﻿end015_1,Life is impermanent and constantly changing; home can be found wherever you discover peace of mind.,ชีวิตเป็นสิ่งไม่เที่ยงและเปลี่ยนแปลงตลอดเวลา ทุกสถานที่ที่เจ้าสบายใจล้วนสามารถเป็นบ้านได้
Role5-2_9_1,"Marshal, the letter has been delivered. Lü Wenhuan refuses to surrender and vows to fight to the bitter death.",เรียนแม่ทัพใหญ่ ข้าได้นำสารไปส่งเรียบร้อยแล้ว ลวี่เหวินหวนปฏิเสธที่จะยอมจำนน และจะขอสู้จนตัวตาย
Role5-2_9_2,That fool still wants to intimidate you and undermine my authority. But you did well and didn't disgrace the Yan Yun Iron Army. Good job!,คนโง่ผู้นั้นยังคงต้องการท้าทายอำนาจข้า แต่เจ้าทำได้ดีมาก และไม่ทำให้กองทัพเหล็กเยี่ยนหยุนต้องอับอาย ดีมาก!
Role5-2_10_1,"Wanyan sent a useless person like you to show off in front of me, he is humiliating himself.",หวันเหยียนส่งคนไร้ประโยชน์อย่างเจ้ามาทำอวดเบ่งต่อหน้าข้า เขาทำให้ตัวเองต้องอับอายแท้ๆ
Role5-2_10_2,"Go back and tell your master that it's impossible for me to surrender. If necessary, I'll fight to the death!",กลับไปบอกนายของเจ้าว่าข้าไม่มีวันยอมแพ้เด็ดขาด หากไม่มีทางเลี่ยง ข้าก็จะสู้จนกว่าชีวิตจะหาไม่!
Role5-2_10_3,Get out of Chuxiang City immediately. We don't welcome Yan dogs here!,ออกไปจากเมืองฉู่เซียงทันที ที่นี่เราไม่ต้อนรับพวกสุนัขเยี่ยน!
Role5-2_11_1,"Marshal, the letter has been delivered. Lü Wenhuan refuses to surrender and vows to fight to the bitter death.",เรียนแม่ทัพใหญ่ ข้าได้นำสารไปส่งเรียบร้อยแล้ว ลวี่เหวินหวนปฏิเสธที่จะยอมจำนน และจะขอสู้จนตัวตาย
Role5-2_11_2,You made a fool of yourself in front of that baffoon Lü Wenhuan. He's trying to intimidate me. You've disappointed me with this mission. You'd better watch out for yourself.,เจ้าทำตัวน่าขายหน้าอยู่ต่อหน้าคนโง่อย่าง ลวี่เหวินหวน คนนั้น เขากำลังพยายามข่มขู่ข้า เจ้าทำภารกิจนี้ล้มเหลว ข้าผิดหวังในตัวเจ้ามาก เจ้าควรระวังตัวให้ดี
Role5-3_1_1,"Skills of the martial arts world are mostly fancy and not as practical as those on the battlefield. However, if we can learn from useful ones, we might be able to enhance our army's combat power and reduce unnecessary casualties.",ทักษะยุทธส่วนใหญ่มักจะเวิ่นเว้อและไม่สามารถใช้ได้ในสงครามจริง แต่หากเราเรียนรู้ในสิ่งที่เป็นประโยชยน์ เราอาจจะเพิ่มสมรรถนะการรบและลดความเสียหายได้
Role5-3_1_2,"{PlayerName}, you come from the martial arts world and should have some understanding of its skills. You should train our soldiers and let them experience some new combat skills.","{PlayerName}, ด้วยประสบการณ์ในยุทธภพของเจ้า น่าจะเข้าใจถึงวิชาการต่อสู้ดี เจ้าควรฝึกฝนทหารของเรา และให้พวกเขาได้สัมผัสกับทักษะการต่อสู้ใหม่ๆ"
Role5-3_1_3,"Yes, sir!",ขอรับ!
Role5-3_2_1,I'm here by Marshal's order to train the Yan Yun Iron Army.,ข้ามาที่นี่ตามคำสั่งของท่านแม่ทัพใหญ่เพื่อฝึกกองทัพเหล็กเยี่ยนหยุน
Role5-3_2_2,"You? A foreigner, who do you think you are? Thinking you have the right to train us?",เจ้าน่ะเหรอ? เจ้าคิดว่าตัวเองเป็นใครห๊ะ ไอ้คนนอก เจ้ามีคุณสมบัติอะไรจะมาฝึกสอนพวกเรา?
Role5-3_2_3,It seems you don't quite accept Marshal's order.,ดูเหมือนเจ้าจะไม่ค่อยยอมรับคำสั่งของแม่ทัพใหญ่นะ
Role5-3_2_4,I dare not disobey the order. I just want to test your abilities first. We don't want to train with a useless person.,คำสั่งน่ะไม่กล้าฝ่าฝืนหรอก แค่อยากจะทดสอบความสามารถของเจ้าก่อน พวกเราไม่อยากฝึกกับคนไร้ประโยชน์หรอกนะ
Role5-3_2_5,"You bunch of overconfident fools, I'll give you your first lesson.",เจ้าพวกโง่งมหลงตัวเอง มา ข้าจะให้บทเรียนแรกแก่เจ้า
Role5-3_3_1,"You took down so many of us alone, you're way stronger than us.\nWe admire the strong, and we'll become stronger if we train with you. Please train us as soon as possible.","ท่านล้มพวกเราหลายคนได้ด้วยตัวคนเดียว แข็งแกร่งกว่าพวกเรามากนัก\nพวกเราเคารพผู้แข็งแกร่ง แล้วเราจะแข็งแกร่งมากขึ้นถ้าหากเราฝึกฝันกับท่าน โปรดให้การสั่งสอนพวกเราด่วนด้วย"
Role5-3_3_2,Many soldiers from Yan Kingdom have heard of your achievements and admire you greatly. They cooperated actively in today's training.,ทหารจำนวนมากจากแคว้นเยี่ยน ต่างได้ยินเกี่ยวกับความสำเร็จของเจ้าและชื่นชมเจ้าอย่างมาก พวกเขาให้ความร่วมมืออย่างแข็งขันในการฝึกในวันนี้
Role5-3_4_1,"Marshal, today's training is completed with great results.",เรียนแม่ทัพใหญ่ การฝึกของวันนี้เสร็จสิ้นแล้ว ผลลัพธ์ยอดเยี่ยมมาก
Role5-3_4_2,"It seems that the soldiers highly recognize your skills, which makes me feel relieved.\nFrom now on, I'll leave the training of my Yan Yun Iron Army to you. Make sure they all become strong with martial arts training!","ดูเหมือนว่าทหารต่างชื่นชมในฝีมือของเจ้าเป็นอย่างยิ่ง ข้ารู้สึกอุ่นใจยิ่งนัก\nตั้งแต่นี้ไป ข้าขอฝากฝังกองทัพเหล็กเยี่ยนหยุนไว้ในความดูแลของเจ้า จงฝึกฝนพวกเขาให้เก่งกล้าสามารถในวิชาการต่อสู้"
Role5-3_4_3,"Yes, sir!",ขอรับ!
Role5-3_5_1,"What qualifications do you, a scum, have to train us?\nIf you want us to recognize you, go back to your mother's womb and learn for another ten years.","เจ้ามันขยะมีคุณสมบัติอะไรมาสอนพวกเรา\nถ้าอยากให้พวกเรายอมรับเจ้า ก็กลับไปอยู่ในท้องแม่แล้วเรียนรู้อีกสิบปีไป"
Role5-3_6_1,"Oh, you're itching for a fight again, want to get beaten up?",โอ้ เจ้าหมายจะหาเรื่องอีกแล้วหรือ? อยากโดนสั่งสอนอีกครั้งหรือไม่?
Role5-3_7_1,"Hmph, how could marshal take in such a scum!",หึ! แม่ทัพจะไปรับขยะอย่างเจ้าเข้ามาในกองทัพได้ยังไง!
Role5-3_8_1,"Anyway, it's boring to be idle. It's good to take you on!",ยังไงก็เถอะ การอยู่เฉย ๆ น่าเบื่อเสียจริง ไม่น่าจะเป็นอะไรหากได้จัดการกับเจ้า!
Role5-3-1_1_1,"Pah, you traitor!\nGet lost, or I won't be polite.","เพ้ย ไอ้คนทรยศ!\nไสหัวไปซะ ไม่งั้นอย่าหาว่าข้าไม่เกรงใจ"
Role5-3-1_2_1,"{PlayerName} sir, what kind of training are we going to do today?",ท่าน{PlayerName} วันนี้เราจะฝึกกันแบบไหนหรือ?
Role5-3-1_3_1,"{PlayerName} sir, you're worked hard. It's a great blessing for these brats to be trained by you.",ท่าน {PlayerName} ได้ทุ่มเทแรงกายแรงใจเป็นอย่างมาก พวกข้ารู้สึกเป็นเกียรติอย่างยิ่งที่ได้ฝึกฝนภายใต้การดูแลของท่าน
Role5-3-1_4_1,"You didn't just get lucky and beat us the other day, did you? You're so incompetent today.",เมื่อวันก่อนเจ้าไม่ได้แค่โชคดีที่เอาชนะเราใช่ไหม? วันนี้เจ้าดูไม่เอาไหนเลย
Role5-3-1_5_1,"These centurions are all expert archers. Lord {PlayerName}, you're unscathed. It's really admirable.",บรรดานายร้อยเหล่านี้ต่างก็เป็นยอดธนู ท่าน {PlayerName} ไม่ได้รับบาดเจ็บเลย นับว่าน่าชื่นชมจริง ๆ
Role5-3-1_6_1,"It's a good thing we're not on the battlefield. If we were, you'd probably be turned into a hedgehog with your skills.",โชคดีแล้วที่เราไม่ได้อยู่บนสนามรบ ไม่งั้นด้วยฝีมือแบบเจ้า คงโดนลูกธนูยิงจนตัวเต็มไปด้วยหนามเหมือนเม่นไปแล้ว
Role5-3-1_7_1,"Under the training of Sir {PlayerName}, we will definitely become the most invincible warriors in the world, and our Yan Yun Iron Army will definitely become the most invincible army in the world!",ภายใต้การฝึกฝนของท่าน{PlayerName} พวกเราจะต้องกลายเป็นยอดนักรบที่ไม่มีใครเทียบ และกองทัพเหล็กเยี่ยนหยุนของพวกเราจะต้องเป็นกองทัพที่เกรียงไกรที่สุดในแผ่นดิน!
Role5-3-1_8_1,"Even the God of War can be defeated. If that's the case, what's the use of our training?","แม้แต่เทพเจ้าแห่งสงครามยังพ่ายแพ้ได้ ถ้าเป็นเช่นนั้น การฝึกฝนของเราจะมีประโยชน์อะไร?"""
Role5-3-1_9_1,"You've already trained today. Both you and the soldiers need to rest. If you want to train, let's talk about it tomorrow.",วันนี้เจ้าได้ฝึกซ้อมมาแล้ว ทั้งเจ้าและทหารต่างต้องการพักผ่อน ถ้าเจ้าอยากฝึกซ้อมอีก ค่อยมาคุยกันพรุ่งนี้
Role5-4_1_1,"Chuxiang City is a barrier for WuYue region, and it's a must-win place for our army to go south.\nKnowing one's enemy is the key to winning every battle. I order you to infiltrate Chuxiang City to investigate its conditions on food storage, military equipments, and war horse.","เมืองฉู่เซียงเป็นด่านสำคัญสู่แคว้นอู๋เยว่ เป็นจุดยุทธศาสตร์ที่กองทัพเราต้องพิชิตเพื่อก้าวไปทางใต้ \nรู้เขารู้เรา รบร้อยครั้งชนะร้อยครั้ง ข้าขอบัญชาให้เจ้าแฝงตัวเข้าไปในเมืองฉู่เซียง สืบข่าวเรื่องเสบียง อาวุธ และกองกำลังม้าศึก"
Role5-4_1_2,"Yes, sir!",ขอรับ!
Role5-4_2_1,This must be where the food is stored. I need to quickly take notes on the amount of food here., ที่แห่งนี้คงเป็นคลังเก็บเสบียง ข้าต้องรีบจดบันทึกจำนวนอาหารที่เก็บไว้
Role5-4_2_2,A moment later...,สักครู่ต่อมา
Role5-4_3_1,Condition on food storage has been investigated. Let's continue to investigate other things.,การตรวจสอบสภาพคลังเสบียงเสร็จสิ้นแล้ว ต่อไปเราจะไปตรวจสอบสิ่งอื่นกัน
Role5-4_4_1,The investigation is complete. Let's go back to the Palace Camp and report to marshal.,การสอบสวนเสร็จสิ้นแล้ว กลับไปที่ค่ายทัพหลวงและรายงานต่อท่านแม่ทัพกันเถอะ
Role5-4_5_1,"So many strong crossbow vehicles, once they enter the battlefield, they will definitely cause heavy casualties...",มีรถยิงลูกธนูขนาดใหญ่จำนวนมากขนาดนี้ เมื่อพวกมันเข้าสู่สนามรบ จะต้องทำให้เกิดการบาดเจ็บล้มตายอย่างหนักแน่นอน...
Role5-4_5_2,A moment later...,สักครู่ต่อมา
Role5-4_6_1,Condition on military equipments has been investigated. Let's continue to investigate other things.,การตรวจสอบสภาพอาวุธยุทโธปกรณ์เสร็จสิ้นแล้ว ต่อไปเราจะไปตรวจสอบสิ่งอื่นกัน
Role5-4_7_1,"There are quite a few war horses stored here, but I'm afraid they won't be of much use in defending the city once a war starts...",มีม้าศึกเก็บไว้ค่อนข้างมากที่นี่ แต่กลัวว่าเมื่อเกิดสงครามขึ้น ม้าเหล่านี้จะไม่มีประโยชน์ในการป้องกันเมือง
Role5-4_7_2,A moment later...,สักครู่ต่อมา
Role5-4_8_1,Condition on war horses has been investigated. Let's continue to investigate other things.,การตรวจสอบสภาพม้าศึกเสร็จสิ้นแล้ว ต่อไปเราจะไปตรวจสอบสิ่งอื่นกัน
Role5-4_9_1,Why are you still here not doing your job when your task is not completed?,เหตุใดเจ้าจึงยังอยู่ที่นี่ ทั้งที่งานของเจ้ายังไม่เสร็จสิ้น?
Role5-4_10_1,"Marshal, conditions on food storage, military equipments, and war horses in Chuxiang City have all been investigated.",ท่านแม่ทัพ สภาพของคลังเสบียง อาวุธยุทโธปกรณ์ และม้าศึก ในเมืองฉู่เซียง ตรวจสอบเรียบร้อยแล้ว
Role5-4_10_2,"Very good. Now that we have a clear view of the military conditions in Chuxiang City, we have a better chance of winning the future battle!",ดีมาก! บัดนี้เราได้ทราบสภาพทางทหารในเมืองฉู่เซียงอย่างชัดเจนแล้ว โอกาสที่เราจะชนะสงครามภายหน้าก็มีมากขึ้น!
Role5-4_11_1,"Who's there!\nDare to break into the armory, you're looking for death!","ใครอยู่ตรงนั้น!\nกล้าบุกรุกเข้ามาในคลังอาวุธเช่นนี้ เจ้าอยากตายนักหรือ!"
Role5-4_12_1,"You treacherous villain, die!",เจ้าไอ้คนทรยศ ตายซะเถอะ!
Role5-6_1_1,"Chuxiang City has always been a strategic location since ancient times. Controlling Chuxiang City allows one to attack Wuyue region in the east and the southwest region in the west, thus truly unifying the world under Yan's rule.",เมืองฉู่เซียงเป็นสถานที่ทางยุทธศาสตร์มาตั้งแต่สมัยโบราณ การควบคุมเมืองฉู่เซียงได้จะช่วยให้สามารถโจมตีเขตอู๋เยว่ทางทิศตะวันออก และเขตตะวันตกเฉียงใต้ที่อยู่ทางทิศตะวันตกได้ ด้วยวิธีนี้ แคว้นเยี่ยนจึงจะรวมเป็นดินให้เป็นหนึ่งได้ 
Role5-6_1_2,"However, despite my numerous attempts to pull Chuxiang City's pacifying envoy, Lü Wenhuan, into our camp. This man remains noncommittal. If he resists and defends the city, it will not only cause heavy casualties to our army, but also indefinitely delay the opportunity to unify the world.",ถึงกระนั้น แม้ข้าจะพยายามมากเพียงใดในเกลี้ยกล่อม ลวี่เหวินหวน ผู้รักษาเมืองฉู่เซียง เข้ามาร่วมฝ่ายเรา แต่ชายผู้นี้กลับไม่ตัดสินใจแน่ชัด หากเขาต่อต้านและทำการป้องกันเมือง จะไม่เพียงแต่ทำให้กองทัพของเราต้องสูญเสียหนักเท่านั้น แต่ยังทำให้โอกาสในการรวบรวมแผ่นดินล่าช้าออกไปอย่างไม่มีกำหนดด้วย
Role5-6_1_3,"The best plan now is to eliminate Lü Wenhuan, this obstacle. With no one leading the troops in Chuxiang City, the army will be in chaos, making our siege a piece of cake!",แผนการที่ดีที่สุดในตอนนี้คือกำจัด ลวี่เหวินหวน ศัตรูตัวฉกาจนี้เสีย เมื่อไร้ผู้นำทัพในเมืองฉูเซียง กองทัพจะตกอยู่ในความโกลาหล ทำให้การบุกยึดเมืองเป็นเรื่องง่ายดาย!
Role5-6_1_4,"{PlayerName}, I order you to infiltrate Chuxiang City and assassinate Lü Wenhuan when opportunity presents itself!",{PlayerName} ข้าขอสั่งให้เจ้าลอบเข้าเมืองฉู่เสียง และลอบสังหารลวี่เหวินหวนเมื่อโอกาสมาถึง
Role5-6_1_5,"Yes, sir!",ขอรับ!
Role5-6_2_1,"There will undoubtedly be strong guards around Lü Wenhuan. Once the assassination is completed, you must escape quickly to avoid being surrounded.",ย่อมมีองครักษ์ที่แข็งแกร่งคุ้มกัน ลวี่เหวินหวน แน่นอน เมื่อเจ้าสังหารเสร็จสิ้นแล้ว เจ้าต้องรีบหนีออกมาโดยเร็ว เพื่อหลีกเลี่ยงการถูกล้อมจับ
Role5-6_3_1,"Marshal, Lü Wenhuan of Chuxiang City has been killed.","ท่านแม่ทัพใหญ่, ลวี่เหวินหวน จากเมืองฉูเซียงถูกฆ่าตายแล้ว"
Role5-6_3_2,"Good, very good! You did a great job, I will reward you handsomely! Today, I will teach you an unique skill that I recently mastered, hoping you can use it to defeat enemies!",ดีมาก ดีเยี่ยม! เจ้าทำงานได้ดี ข้าจะตอบแทนเจ้าอย่างงาม! วันนี้ ข้าจะสอนวิชาพิเศษที่ข้าเพิ่งเรียนรู้มาหวังว่าเจ้าจะสามารถใช้มันในการเอาชนะศัตรูได้!
Role5-6_3_3,"Thank you, Marshal.",ขอบคุณ แม่ทัพใหญ่
Role5-7_1_1,"{PlayerName}, do you know why our army has been stationed in Zhongzhou and did not attack Chuxiang City?",{PlayerName} เจ้าเข้าใจหรือไม่ว่าทำไมกองทัพของเราถึงได้ตั้งอยู่ใน จงโจว และไม่ทำการโจมตีเมืองฉูเซียง?
Role5-7_1_2,I don't know.,ข้าไม่รู้
Role5-7_1_3,"In my eyes, most of the Zhao army are nothing but rabble, however, Ye Family Battalion is the only formidable opponent of our Yan Yun Iron Army. A rumor among people is that Ye Family Battalion is the last line of defense for the Zhao Kingdom.",ในสายตาข้า ทหารของแคว้นจ้าวส่วนใหญ่เป็นเพียงกลุ่มคนไร้ระเบียบเท่านั้น แต่กองทัพตระกูลเย่เป็นศัตรูที่น่ากลัวเพียงกลุ่มเดียวสำหรับกองทัพเหล็กเยี่ยนหยุนของเรา มีข่าวลือในหมู่ประชาชนว่า กองทัพตระกูลเย่คือแนวป้องกันสุดท้ายของแคว้นจ้าว
Role5-7_1_4,"When we attack Chuxiang City, Ye Family Battalion stationed in various places will continuously send reinforcements, cutting off our path of retreat. By then, our army will be in a dilemma, as neither advancing nor retreating will be a good option. Our deaths will be imminent after being surrounded.",เมื่อเราทำการโจมตีเมือง ฉู่เซียง กองทัพตระกูลเย่ ที่ประจำการในสถานที่ต่างๆ จะส่งกำลังเสริมมาอย่างต่อเนื่อง และตัดเส้นทางถอยหลังของเราออกไป ในเวลานั้นกองทัพของเราจะตกอยู่ในสถานการณ์ที่ยากลำบาก เพราะไม่ว่าจะเดินหน้าหรือถอยหลังก็ไม่ใช่ทางเลือกที่ดี การถูกล้อมจะทำให้พบกับความตายในไม่ช้า
Role5-7_1_5,"I heard that Ye Family Battalion has a defense map, which records the defense situation of Ye Family Battalion in Xiangfan. I order you to get this defense map and eliminate all Ye Family Battalion recorded on the map.",ข้าได้ยินมาว่ากองทัพตระกูลเย่มีแผนป้องกัน ซึ่งบันทึกสถานการณ์การป้องกันของกองทัพตระกูลเย่ในเขตเซียงฝาน ข้าขอสั่งให้เจ้ารับแผนที่ป้องกันนี้ และกำจัดกองทัพตระกูลเย่ทั้งหมดที่บันทึกไว้บนแผนที่
Role5-7_1_6,"Where is this defense map now, and where should I start?",ตอนนี้แผนที่ป้องกันอยู่ที่ไหน และควรเริ่มต้นที่ไหน?
Role5-7_1_7,"I have received news that this map is in Ye Family Battalion's camp, but I don't know exactly where it is.",ข้าได้รับข่าวว่าแผนที่นี้ อยู่ในค่ายกองทัพตระกูลเย่ แต่ไม่ทราบแน่ชัดว่ามันอยู่ที่ไหน
Role5-7_1_8,I will infiltrate Ye Family Battalion's camp to investigate.,ข้าจะลอบเข้าไปในค่ายกองทัพตระกูลเย่เพื่อสืบหาข้อมูล
Role5-7_2_1,"So Ye Family Battalion defense map is hidden here, let me see what is recorded on it...",แผนที่การป้องกันของกองทัพตระกูลเย่ซ่อนอยู่ที่นี่ ให้ข้าดูสิว่ามันบันทึกอะไรไว้บ้าง...
Role5-7_2_2,"Xuanfeng, Shengjie, Tabai... Are these names and locations of garrisons stationed in other places besides the main camp of Ye Family Battalion?",ฮวนเฟิง เซิ่งเจี๋ย ถ่าไป๋... เหล่านี้เป็นชื่อและสถานที่ของกองกำลังที่ประจำอยู่ในที่อื่น นอกเหนือจากค่ายใหญ่ของกองทัพตระกูลเย่งั้นหรือ?
Role5-7_2_3,"Let's go to these places first. If it is true, I will eliminate them all at once.",จงนำข้าไปยังสถานที่เหล่านั้นก่อน หากเป็นดังที่คาดการณ์ ข้าจะจัดการให้เรียบร้อยในทันที
Role5-7_3_1,"A military camp is found ahead. According to Ye Family Battalion defense map, this should be <color=#c44b0e>Ye Family Battalion's Xuanfeng Army</color>.","เบื้องหน้ามีค่ายทหารตั้งอยู่ ตามแผนที่ป้องกันที่ข้ามีอยู่ นี่ควรจะเป็น <color=#c44b0e>กองทัพซวนเฟิงของตระกูลเย่</color>"""
Role5-7_4_1,"Several military camps of Ye Family Battalion recorded on the defense map have all been eliminated, and I can report back to marshal.",กองพันตระกูลเย่ที่บันทึกไว้ในแผนที่ได้ถูกกำจัดจนหมดแล้ว ได้เวลากลับไปรายงานแม่ทัพ
Role5-7_5_1,"Xuanfeng Army has been completely eliminated, let's go to other military camps recorded on the map next.",กองทัพฮวนเฟิงถูกกำจัดจนหมดสิ้นแล้ว เราไปยังค่ายทหารจุดอื่นที่บันทึกไว้ในแผนที่กันเถิด
Role5-7_6_1,"A military camp is found ahead. According to Ye Family Battalion defense map, this should be <color=#c44b0e>Ye Family Battalion's Shengjie Army</color>.",พบค่ายทหารอยู่เบื้องหน้า ตามที่บันทึกไว้ในแผนที่การวางกำลังของกองทัพตระกูลเยี่ย ที่นี่น่าจะเป็น<color=#c44b0e>กองทัพเซิ่งเจี๋ยของตระกูลเยี่ย</color>
Role5-7_7_1,"Shengjie Army has been completely eliminated, Let's go to other military camps recorded on the map next.",กองทัพเซิ่งเจี๋ยถูกกำจัดจนหมดสิ้นแล้ว เราไปยังค่ายทหารจุดอื่นที่บันทึกไว้ในแผนที่กันเถอะ
Role5-7_8_1,"A military camp is found ahead. According to Ye Family Battalion defense map, this should be <color=#c44b0e>Ye Family Battalion's Tabai Army</color>.",พบค่ายทหารอยู่เบื้องหน้า ตามที่บันทึกไว้ในแผนที่การวางกำลังของกองพันตระกูลเย่ ที่นี่น่าจะเป็น<color=#c44b0e>กองทัพถ่าไป๋ของกองพันตระกูลเย่</color>
Role5-7_9_1,"Taibai Army has been completely wiped out, it's time to move on to other camps marked on the map.",กองทัพถ่าไป๋ถูกกำจัดจนหมดสิ้นแล้ว ได้เวลาไปยังค่ายทหารอื่นๆที่บันทึกไว้ในแผนที่
Role5-7_10_1,"We need to quickly eliminate troops stationed by Ye Family Battalion in various locations, so that our army can move south without any worries.",พวกเราต้องรีบกำจัดกองทัพตระกูลเย่ที่วางกำลังอยู่ตามจุดต่างๆ ให้หมด เพื่อที่กองทัพของเราจะได้เคลื่อนทัพลงใต้โดยไร้กังวล
Role5-7_11_1,"Marshal, the three armies recorded on Ye Family Battalion defense map have all been completely wiped out.",ขอรายงานท่านแม่ทัพ กองทัพทั้งสามกองที่บันทึกไว้ในแผนที่การวางกำลังของกองพันตระกูลเย่ถูกกำจัดจนหมดสิ้นแล้วขอรับ
Role5-7_11_2,"Indeed, this is great news! \nWith capable subordinates like you, why worry about not achieving great things!","นี่ช่างเป็นข่าวดีจริงๆ!\nมีผู้ใต้บังคับบัญชาที่เก่งกาจเช่นเจ้าเยี่ยงนี้ เมื่อทำการใหญ่ก็ไม่จำเป็นต้องกังวลแล้ว!"
Role5-8_1_1,"The perimeter guards of Ye Family Battalion have been wiped out by us, leaving only the main camp of Ye Family Battalion isolated and helpless, it's the perfect time to eradicate them.",พวกเราได้กวาดล้างกองกำลังคุ้มกันรอบนอกของกองทัพตระกูลเย่จนราบคาบ เหลือแต่เพียงค่ายหลักที่โดดเดี่ยวไร้ทางต่อกรแล้ว นี่เป็นเวลาที่เหมาะสมที่สุดที่จะขุดรากถอนโคนพวกมัน
Role5-8_1_2,"This matter is of great importance, I can't trust anyone else with it.\n{PlayerName}, I'm afraid I have to trouble you again, you must completely eradicate Ye Family Battalion to eliminate future troubles!","นี่ดูเหมือนจะเป็นเรื่องที่สำคัญมากๆ ข้าไม่อาจเชื่อใจผู้ใดได้ {PlayerName} ข้าเกรงว่าข้าจะต้องรบกวนท่านอีกแล้ว ขอให้ท่านกำจัดกองทัพตระกูลเย่ให้สิ้นซาก เพื่อขจัดภัยร้ายไปตลอดกาล!\n\n"
Role5-8_1_3,Yes Sir!,ขอรับ!
Role5-8_2_1,"Ye Family Battalion imposes a major threat to me. If you can completely eradicate them, it will be a great achievement, and I will reward you handsomely!",กองทัพตระกูลเย่เป็นภัยคุกคามอันใหญ่หลวงของข้า หากเจ้าสามารถกำจัดพวกมันให้สิ้นซากได้ จะถือเป็นความดีความชอบครั้งใหญ่ ข้าจะให้รางวัลอย่างงาม!
Role5-8_3_1,"Marshal, Ye Family Battalion has been completely eradicated.\nYe Pengju, Ye Yun, Ye Yinping have all been killed by me!","ท่านแม่ทัพ กองทัพตระกูลเย่ถูกกวาดล้างเรียบร้อยแล้ว\nเย่เผิงจู เย่หยุน เย่หยินผิง ทั้งหมดถูกสังหารโดยข้า!"
Role5-8_3_2,{yell} Heaven is on our side! God bless the Yan Kingdom!,{yell} สวรรค์เข้าข้างเรา! ขอพระเจ้าประทานพรแก่แคว้นเยี่ยน!
Role5-8_3_3,"Today, I will pass on to you my famous sabre technique, the <color=#c44b0e>Savage Primal Blade</color>, to commend your achievements!",วันนี้ ข้าจะถ่ายทอดวิทยายุทธดาบอันเลื่องชื่อของข้า <color=#c44b0e>ดาบพิฆาตอำมหิต</color> ให้กับเจ้าเพื่อชมเชยความสำเร็จของเจ้า!
Role5-8_3_4,"Thank you, Marshal, for teaching me this unparalleled martial art!",ขอบคุณท่านแม่ทัพ สำหรับการชี้แนะวรยุทธ์อันยากหาผู้ใดเทียบ
Role5-9_1_1,"{PlayerName}, you have made remarkable achievements in battle and hold a pivotal position in the army, I have an important matter and would like to hear your opinion.",{PlayerName} ตอนนี้ท่านมีความสําเร็จที่โดดเด่นในการรบและมีบทบาทสําคัญในกองทัพ ข้ามีเรื่องสําคัญเรื่องหนึ่งที่ต้องการฟังความคิดเห็นของท่าน
Role5-9_1_2,What suggestions do you have on the timing of the attack on Chuxiang City?,เจ้ามีความเห็นว่าอย่างไร สำหรับเวลาที่จะเข้าโจมตีเมืองฉู่เซียง?
Role5-9_2_1,"The pacifying envoy of Chuxiang City has no firm stance on his allegiance. If he resists stubbornly, it will be extremely unfavorable for our army. If we want to attack Chuxiang City, we need to quickly need his pledge of allegiance or eliminate him, then everything else will fall into place.",ความจงรักภักดีของเจ้าเมืองฉู่เซียงยังเป็นที่ครหา หากเขาหันกลับมาแย้งเขี้ยวใส่เรา อาจทำให้ทัพของเราเสียเปรียบได้ หากเราต้องการโจมตีเมืองฉู่เซียง เราต้องรีบทำให้เขาสวามิภักดิ์โดยเร็วที่สุด หรือไม่ก็สังหารเขาเสีย แล้วทุกอย่างจะตกอยู่ในกำมือของเรา
Role5-9_2_2,"Hmm, that makes sense. Then let's postpone the expedition for now, I need to think about how to deal with this cunning Lü Wenhuan.",ฮืมม สมเหตุสมผลยิ่ง ถ้างั้นชะลอการเคลื่อนทัพไปก่อน ข้าต้องคิดหาวิธีจัดการไอ้ลูกเต่าลวี่เหวินหวนเสียก่อน
Role5-9_3_1,"Ye Family Battalion stationed outside Chuxiang City poses a great threat to our army. If Ye Family Battalion launches a pincer attack by join forces with the city's defenders during our siege, our army may face the risk of total annihilation.",กองทัพตระกูลเย่ที่ตั้งรกรากอยู่นอกบริเวณเมืองฉู่เซียงนั้น ถือว่าเป็นอุปสรรคใหญ่สำหรับกองทัพเรา หากกองทัพตระกูลเย่ร่วมมือกับทหารเมืองฉู่เซียงโจมตีขนาบหลัง ทัพเราอาจมีความเสี่ยงที่จะถูกกวาดล้างได้
Role5-9_3_2,"Hmm, that's a possibility. Then let's postpone the expedition for now, I need to think about how to quickly eliminate Ye Family Battalion, this major concern.",ฮืมม นี่ถือว่าเป็นไปได้ งั้นชะลอการเคลื่อนทัพออกไปก่อน ข้าต้องคิดหาวิธีกวาดล้างกองทัพตระกูลเย่ อุปสรรคใหญ่ของเราให้ได้เร็วที่สุด
Role5-9_4_1,"I have some knowledge of divination, and the hexagram shows that it is not suitable to send troops in the near future. Those who violate this will fail.",ข้าพอมีความรู้เรื่องการทำนายทายทักและการตั้งฮวงจุ้ยบ้าง เมื่อดูจากลางบอกแล้วว่าในช่วงนี้ไม่ควรออกไปทำสงคราม หากฝ่าฝืนไปจะทำให้การออกรบไม่ราบรื่น ผลสำเร็จที่คาดหวังจะสูญเปล่าไป
