﻿R10136-0_1_1,"I'm a person of ill omen, you'd better stay away from me.",ข้าคือผู้ที่จะนำโชคร้ายมาให้ เจ้าควรอยู่ให้ห่างจากข้าจะดีกว่า
R10136-4_4_3,"What a dilemma, what should I do at this moment?",ช่างน่าลำบากใจนัก ข้าควรทำอย่างไรดี?
R10136-4_5_1,"Miss Ji, please take care.",แม่นางจี้ รักษาตัวด้วย
R10136-4_6_1,"This is not a place where you can stay, don't force me to drive you away!",ที่นี่ไม่ใช่ที่ที่เจ้าจะอยู่ได้ อย่าบังคับให้ข้าลงมือไล่เจ้าเลย!
R10136-4_6_2,"Leaving a weak woman alone in the Outskirts wilderness is unbearable;\nHowever, judging from her words and attitude, if I insist on staying, I might annoy her.","ปล่อยให้สตรีที่อ่อนแออยู่เพียงลำพัง ในพื้นที่รกร้างเช่นนี้ ทำให้ข้ารู้สึกไม่สบายใจจริงๆ\nแต่ดูจากวาจาและท่าทีที่แข็งกร้าวของนาง หากข้าดึงดันอยู่ต่อ คงทำให้นางไม่พอใจแน่"
R10136-4_6_3,"What a dilemma, what should I do at this moment?",ช่างน่าลำบากใจนัก ข้าควรทำอย่างไรดี?
R10136-4_7_1,It's you who forced me to take action against you!,เจ้าบีบบังคับให้ข้าต้องลงมือเองนะ!
R10136-4_8_1,Why resort to violence when we can talk it out?,ค่อยๆพูดกันดีๆก็ได้ ทำไมต้องถึงขั้นลงไม้ลงมือกันด้วย?
R10136-4_8_2,Get lost!,ไปให้พ้น!
R10136-4_8_3,I will come back!,ไว้ข้าจะกลับมาใหม่!
R10136-4_9_1,"Anyway, you can't drive me away, I'll just stay here quietly, I promise I won't disturb you.",ถึงอย่างไรท่านก็ไล่ข้าไม่ได้ ข้าจะอยู่เงียบๆ ตรงนี้ รับรองไม่รบกวนท่านหรอก
R10136-4_9_2,Whatever.,ตามใจเจ้า
R10136-4_9_3,"In the Outskirts wilderness, a lone man and a single woman, what a scandal, hahaha!",ในพื้นที่รกร้างห่างไกลเช่นนี้ ชายและหญิงอยู่ด้วยกันสองต่อสอง จะเป็นการกระทำที่สมควรหรือ? ฮ่าฮ่าฮ่าฮ่า!
R10136-4_9_4,"Miss Ji, my master has been racking his brains and losing sleep over you, and here you are having a secret rendezvous with a wild man!",แม่นางจี้ นายท่านของข้าหลงรักเจ้าจนกินไม่ได้นอนไม่หลับ แต่เจ้ากลับลอบนัดเจอกับชายแปลกหน้าที่นี่!
R10136-4_9_5,"Tell your master, if I find out that the extermination of the Ji family has anything to do with him, I will make him pay in blood!",ไปบอกนายของเจ้า หากข้าพบว่าเขามีส่วนเกี่ยวข้องกับการสังหารตระกูลจี้ ข้าจะให้เขาชดใช้ด้วยเลือด!
R10136-4_9_6,"Such a fiery temper, it seems I should take you to my master and let him deal with you slowly!",นิสัยดื้อรั้นเสียจริงๆ ดูท่าคงต้องจับเจ้า ส่งนายท่านของข้า ให้เขาค่อยๆ จัดการกับเจ้าเอง!
R10136-4_9_7,Take action!,ลงมือ!
R10136-4_10_1,"Cough, cough, no wonder the master has his eyes on you, you are indeed tough...",แค่ก แค่ก ไม่แปลกใจเลยที่นายของข้าหมายตาเจ้า เจ้านี่ดื้อจริงๆ...
R10136-4_10_2,"The master ordered, if we fail in our mission, to tell you the truth about the extermination of the Ji family...",นายท่านสั่งไว้ว่า หากเราล้มเหลว ก็ให้บอกความจริงเกี่ยวกับการสังหารล้างตระกูลจี้แก่เจ้า...
R10136-4_10_3,What?!,อะไรนะ?!
R10136-4_10_4,"Speak up, what's the truth?",รีบพูดมา ความจริงอะไร?
R10136-4_10_5,"Hehe, the truth is...",ฮึฮึ ความจริงก็คือ...
R10136-4_10_6,"Miss Ji, watch out!",แม่นางจี้ ระวัง!
R10136-4_10_7,"Hehe, next, you can just wait for your MP to be gradually drained. Cough, cough, when you become an ordinary person, let's see if you'll still be stubborn...",ฮึฮึ ต่อไปนี้พลังภายในของเจ้าจะถูกกัดกร่อนทีละนิด แค่กๆ จนกว่าเจ้าจะกลายเป็นคนธรรมดา แล้วมาดูกันว่าเจ้าจะยังดื้อรั้นอยู่หรือไม่...
R10136-4_10_8,"Miss Ji, how are you?",แม่นางจี้ ท่านเป็นอย่างไรบ้าง?!
R10136-4_10_9,……,……
R10136-4_10_10,…………,…………
R10136-4_10_11,Puff—,เฮอะ—
R10136-4_10_12,…………,…………
R10136-4_10_13,"(Miss Ji's MP is constantly draining, and she will soon lose all her power and become a useless person. If I infuse her with my MP to help her survive until the poison is removed, it might be a solution...)",(พลังภายในของแม่นางจี้กำลังลดลงเรื่อยๆ อีกไม่นานนางจะสูญเสียพลังจนกลายเป็นคนไร้ความสามารถ หากข้าถ่ายพลังภายในให้นาง อาจช่วยให้นางต้านพิษได้...)
R10136-4_10_14,"(But in doing so, my MP will be greatly depleted, and I don't know if I can ever recover it)",(แต่ข้าจะต้องเสียพลังภายในไปไม่น้อย และไม่รู้ว่าจะฟื้นฟูกลับมาได้หรือไม่)
R10136-4_10_15,What should I do in this urgent situation?,สถานการณ์เร่งด่วนเช่นนี้ ข้าควรตัดสินใจอย่างไรดี?
R10136-4_11_1,"One shichen later, Ji Fuling slowly woke up",หนึ่งชั่วยามต่อมา จี้ฝูหลิง ค่อยๆ ได้สติช้าๆ
R10136-4_12_1,"My MP, I can't feel my MP at all!",พลังภายในของข้า... ข้าไม่รู้สึกถึงมันเลยแม้แต่น้อย!
R10136-4_12_2,My...my MP is gone...,พลัง... พลังภายในของข้าสลายไปหมดแล้ว...
R10136-4_12_3,"I've become a useless person, I can't take my revenge anymore...",ข้ากลายเป็นคนไร้ค่าไปแล้ว ข้าคงไม่อาจล้างแค้นได้อีกต่อไปแล้ว...
R10136-4_12_4,Why is the world so cruel to me! I——,สวรรค์ทำไมช่างโหดร้ายต่อข้ายิ่งนัก! ข้า——
R10136-4_12_5,"With my revenge unfulfilled, how can I face the underworld...",การแก้แค้นยังไม่สำเร็จ ข้าจะมีหน้าไปพบบรรพชนในปรโลกได้อย่างไร...
R10136-4_12_6,Puff—,เฮอะ—
R10136-4_12_7,"I, I can't accept this...",ข้าไม่อาจยอมรับได้...
R10136-4_12_8,"This, this, wasn't it said that she would just lose her energy and become a normal person, why is it like this?",นี่มันไม่ใช่ว่า นางจะกลายเป็นคนธรรมดาเพราะเสียพลังภายในอย่างเดียวหรอกหรือ ทำไมถึงเป็นเช่นนี้ได้?
R10136-4_12_9,"Alas, I am powerless, perhaps this is her fate.",เฮ้อ ข้าก็ไม่สามารถช่วยอะไรได้ บางทีนี่อาจเป็นโชคชะตาของนาง
R10136-4_13_1,One shichen later,หนึ่งชั่วยามต่อมา
R10136-4_14_1,"This, this is...my power seems to have increased.",นี่... นี่... ดูเหมือนพลังของข้าจะเพิ่มขึ้นเล็กน้อย
R10136-4_14_2,"You finally made it through, it seems that my method is quite effective.",ในที่สุดท่านก็รอดมาได้ ดูเหมือนวิธีของข้าจะได้ผลอยู่บ้าง
R10136-4_14_3,It was you who saved me at the cost of your MP...,ที่แท้เจ้าคือผู้ที่เสียสละพลังภายในเพื่อช่วยข้าไว้...
R10136-4_14_4,"If you were to lose all your power, there would be no hope for revenge in this life. How could I just stand by and watch?",หากท่านสูญเสียพลังทั้งหมด ท่านก็จะไม่สามารถล้างแค้นได้ตลอดชีวิต ข้าจะทนนิ่งเฉยอยู่ได้อย่างไร?
R10136-4_14_5,Thank... thank...,ขอบ... ขอบคุณ...
R10136-4_14_6,"What's your next plan? Feel free to share it with me, maybe I can help you.",แล้วท่านมีแผนการใดต่อไปบ้าง? ลองเล่ามาเถิด บางทีข้าอาจช่วยท่านได้
R10136-4_14_7,"My father once told me that if anything happened to him, I must go back home to the Secret chamber to get the <color=#0574a8>Secret Documents</color>. Remember not to let others see the contents of the secret book, to avoid causing trouble.",บิดาเคยบอกข้าไว้ว่า หากวันใดเขาประสบเคราะห์ร้าย ต้องกลับไปที่ห้องลับในบ้านเพื่อนำ <color=#0574a8>บันทักลับ</color> ออกมา และอย่าให้ใครนอกจากคนในครอบครัวได้เห็นมันเด็ดขาด เพื่อหลีกเลี่ยงหายนะ
R10136-4_14_8,"The Ji Residence is now sealed, heavily guarded outside the door. It's not easy to get into the Secret chamber.",คฤหาสน์ตระกูลจี้ตอนนี้ถูกยึดและมีทหารเฝ้าอย่างหนาแน่น จะเข้าไปในห้องลับได้ง่ายๆ ได้อย่างไร?
R10136-4_14_9,"I like to do challenging things. If it's easy, it doesn't show my value. I'll go with you, your matter is on me.",ข้าชอบกระทำเรื่องท้าทาย หากเป็นเรื่องง่ายๆ ก็ไม่อาจแสดงคุณค่าของข้าได้ ข้าจะไปกับท่าน เรื่องของท่าน ก็ปล่อยเป็นหน้าที่ข้าเอง
R10136-4_14_10,"I should remind you that I am a person of ill omen, and I am the remnant of the Ji family, currently wanted by the government. It's not good to get too close to me.",ข้าขอเตือนเจ้า ข้าคือผู้ที่จะนำโชคร้ายมาให้ อีกทั้งข้ายังเป็นคนที่เหลือรอดจากตระกูลจี้ ที่ทางการกำลังตามล่าอยู่ อยู่ใกล้ข้ามากไปจะไม่เกิดเรื่องดีแน่
R10136-4_14_11,"Don't worry, I'm very tough, I haven't been killed by anyone yet!",วางใจเถิด ชะตาของข้าแข็งแกร่งมาก อยู่มาถึงตอนนี้ยังไม่มีใครทำให้ข้าตายได้เลย!
R10136-4_14_12,"Since you're not afraid of death, come find me when you're ready.",ในเมื่อเจ้าไม่กลัวตาย เมื่อเตรียมตัวพร้อมแล้วก็มาหาข้าได้
R10136-4_15_1,"Let's go, Ji Residence is not far away, I'll lead the way for you.",ไปกันเถอะ คฤหาสน์ตระกูลจี้อยู่ไม่ไกล ข้าจะพาเจ้าไป
R10136-5_1_1,"Ji Residence is now sealed, this place is listed as a forbidden area, no one is allowed to approach!",คฤหาสน์สกุลจี้ถูกปิดผนึกแล้ว ที่นี่กลายเป็นพื้นที่ต้องห้าม ผู้ที่ไม่เกี่ยวข้องห้ามเข้าใกล้!
R10136-5_1_2,"In the past, when I returned from traveling, no matter how busy my father was, he would always meet me at the door. Now everything has changed.",แต่ก่อนเวลาข้ากลับจากเดินทาง บิดาข้าไม่ว่าจะยุ่งแค่ไหน ท่านจะออกมารับข้าที่หน้าประตูเสมอ... ตอนนี้กลับกลายเป็นเพียงภาพความหลัง
R10136-5_1_3,"Hmm, now is not the time to be sentimental, we have important things to do.",เฮ้อ ตอนนี้ไม่ใช่เวลามาเศร้า พวกเราต้องจัดการเรื่องสำคัญก่อน
R10136-5_1_4,"The soldiers have worked hard, please let us in.",ท่านทหาร ขอบคุณที่ทำงานอย่างหนัก รบกวนช่วยอนุญาตให้พวกข้าเข้าไปข้างในหน่อยเถิด
R10136-5_1_5,"Are you joking? Didn't you see the seal on the door?\nAnd who are you guys, looking for trouble here after eating too much?","พูดเรื่องตลกอะไรกัน! เจ้าไม่เห็นหรือว่าประตูนี้มีตราผนึกอยู่!\nอีกอย่างนะพวกเจ้าเป็นใครกัน? หรือว่ากินอิ่มจนไม่มีอะไรทำถึงได้มาหาเรื่องใส่ตัวที่นี่?"
R10136-5_1_6,Ji——family——remnant.,ทา——ยาท——ตระกูล——จี้
R10136-5_1_7,"{yell} The remnant of the Ji family is here, don't let anyone escape!",{yell} พวกที่เหลือรอดจากตระกูลจี้อยู่ที่นี่ อย่าปล่อยให้พวกมันหนีรอดไปได้!
R10136-5_2_1,……,……
R10136-5_2_2,What a bullshit seal!,หึ ตราผนึกอะไรไม่สนใจทั้งนั้น!
R10136-5_3_1,"Miss Ji, how do we get into the Secret Chamber of Ji Residence?",แม่นางจี้ เราจะเข้าไปยังห้องลับของคฤหาสน์ตระกูลจี้กันได้อย่างไรหรือ?
R10136-5_3_2,"Actually, I've never been to the Secret chamber, I don't even know there's such a place in the Prefect.",จริงๆ แล้ว ข้าไม่เคยเข้าไปในห้องลับมาก่อนด้วยซ้ำ ข้าเองก็ไม่แม้แต่รู้ว่าในคฤหาสน์จะมีที่แบบนี้อยู่
R10136-5_3_3,"But when my father mentioned it, he was very serious, not like he was joking.\nSo let's search carefully, we should be able to find some clues.","แต่บิดาข้าพูดถึงมันอย่างจริงจัง ไม่น่าใช่เรื่องล้อเล่น\nงั้นเราลองค้นหาดูอย่างละเอียด น่าจะเจอเบาะแสบ้าง"
R10136-5_4_1,"This should be the Secret Chamber of Ji Residence, it's really well hidden.",ที่นี่น่าจะเป็นห้องลับของคฤหาสน์ตระกูลจี้ ซ่อนได้ลึกซึ้งจริงๆ
R10136-5_4_2,"There are so many bookshelves here, it's going to take some effort to find the Secret Documents.",แต่ที่นี่มีตู้หนังสือมากมาย การจะหาบันทักลับ คงต้องใช้เวลาไม่น้อยเลย
R10136-5_5_1,It seems this is the Secret Documents my father mentioned.,ดูเหมือนนี่จะเป็นบันทักลับที่บิดาข้าพูดถึง
R10136-5_5_2,"Now that we've found it, let's destroy it quickly to avoid any trouble.",ในเมื่อเราเจอแล้ว ก็ควรรีบทำลายมันโดยเร็ว จะได้ไม่ต้องปล่อยให้มันกลายเป็นปัญหา
R10136-5_5_3,Aren't you curious about what's written inside?,เจ้าไม่สงสัยเลยหรือ ว่าข้างในเขียนอะไรเอาไว้บ้าง?
R10136-5_5_4,"Your father did say ""Remember not to let others see the contents of the secret book, to avoid causing trouble"".",บิดาท่านเคยกำชับไว้ “ห้ามให้คนภายนอกได้เห็นเนื้อหาในเอกสารลับเด็ดขาด เพื่อป้องกันหายนะ”
R10136-5_5_5,"My father said that just in case, I trust your character, it's okay to take a look.",ที่บิดาข้าพูดเช่นนั้น ก็คงเพื่อป้องกันเอาไว้ก่อน แต่ข้าเชื่อในตัวเจ้า ลองเปิดดูเถิด
R10136-5_5_6,"Obedience is better than politeness, I'm also curious about what's recorded in the Secret Documents that Mr. Ji attaches so much importance to...",ถ้างั้นข้าก็จะทำตามที่ท่านบอก บิดาของท่านให้ความสำคัญกับบันทักลับเล่มนี้มาก ข้าเองก็อยากรู้เช่นกัน ว่ามันบันทึกอะไรไว้บ้าง...
R10136-5_5_7,"""...\nOn March 11, Duke Qi's Manor Butler was ordered by Duke Qi to collect food and grass everywhere.\nOn March 15, Duke Qi's Manor Butler personally escorted the food and grass to the Yan Kingdom's camp.\nOn March 20, Duke Qi gave ten songstresses to the Special Envoy of Yan Kingdom at the Tower of Prosperity.\nDuring April, Duke Qi hosted the Special Envoy of Yan Kingdom more than twenty times.\nOn April 6, the Special Envoy of Yan Kingdom injured someone with his staff, the Prefect of Daliang ignored right and wrong and released the suspect.\nOn April 10, the Daliang guard led the Special Envoy of Yan Kingdom into the Daliang Armory.\n...""","""......\nวันที่ 11 เดือน 3 ผู้ดูแลจวนอ๋องฉีได้รับคำสั่งจากอ๋องฉีให้จัดหาเสบียงจากทุกแห่งหน\nวันที่ 15 เดือน 3 ผู้ดูแลจวนอ๋องฉีควบคุมขบวนเสบียงส่งไปยังค่ายทัพหลวงของแคว้นเยี่ยน\nวันที่ 20 เดือน 3 อ๋องฉีมอบนางรำสิบคนให้แก่ทูตพิเศษแคว้นเยี่ยนที่หอเจิดจรัส\nในเดือน 4 อ๋องฉีได้จัดงานเลี้ยงตอนรับทูตพิเศษแคว้นเยี่ยนมากกว่า 20 ครั้ง\nวันที่ 6 เดือน 4 ทูตพิเศษแคว้นเยี่ยนได้ทำร้ายคนด้วยไม้พลอง นายอำเภอต้าเหลียงเพิกเฉยต่อความจริง และปล่อยผู้ต้องสงสัยไป\nวันที่ 10 เดือน 4 ทหารยามเมืองต้าเหลียง นำทูตพิเศษแคว้นเยี่ยนเข้าไปในคลังแสงเมืองต้าเหลียง\n......"""
R10136-5_5_8,This is clearly the dark history of a group of officials in Daliang.,นี่มันประวัติศาสตร์อันมืดมัวของเหล่าขุนนางในเมืองต้าเหลียงชัดๆ
R10136-5_5_9,Is there a letter?,มีจดหมายอีกฉบับนี่?
R10136-5_5_10,"Looking at the handwriting, it's a letter from my father, let me see what it says.",ดูจากลายมือแล้ว น่าจะเป็นของบิดาข้า ให้ข้าดูหน่อย ว่ามีอะไรเขียนไว้
R10136-5_5_11,"""Poria, my daughter, I fear I may have returned to the underworld by the time you read this letter. \nThis Secret Documents contains the despicable deeds of many officials. I do not wish to use it to threaten them, but to make them think twice before acting. \nHowever, things did not go as planned. I have many enemies who wish to see me dead. \nI once accused Duke Qi of treason. Despite the overwhelming evidence, no one dared to convict him.\n...""","""ฟู่หลิง ลูกสาวของข้า หากเจ้าได้อ่านจดหมายฉบับนี้ ข้าคงลาจากโลกนี้ไปแล้ว\nบันทักลับเล่มนี้ บันทึกเรื่องราวต่ำช้าของบรรดาขุนนางไว้ ข้าไม่ได้ต้องการจะใช้มันเพื่อข่มขู่พวกเขา แต่หวังเพียงต้องการให้พวกเขาระวังตัว และประพฤติตัวให้เหมาะสม\nทว่า เรื่องกลับเป็นไปในทางตรงข้าม ข้ามีแต่ศัตรูรายล้อม ที่หวังจะให้ข้าตาย\nแม้ข้าจะเปิดโปงความผิดของอ๋องฉี แต่กลับไม่มีผู้ใดกล้าตัดสินลงโทษเขา\n......"""
R10136-5_5_12,"""Now that the villains are in power and the honorable are gone, there is no need for this secret book to exist. It will only bring disaster if it falls into the wrong hands. \nTherefore, the secret book must be destroyed immediately, and must not be kept for personal use! \nAfter Duke Qi took over the country, I knew I had no chance of survival. My only concern is your safety. \nI drove you out of the house, the only selfish act I've ever committed in my life, hoping that our family line could continue. I can rest in peace in the underworld...""","“ตอนนี้คนชั่วครองอำนาจ คนดีไร้หนทาง เอกสารเล่มนี้ไร้ประโยชน์ที่จะเก็บไว้ ปล่อยมันไว้จะนำพาภัยครั้งใหม่ หากมันตกอยู่ในมือคนชั่ว\nดังนั้น เอกสารเล่มนี้ต้องถูกทำลายทันที และห้ามเก็บรักษาไว้เพื่อประโยชน์ส่วนตัว!\nหลังจากอ๋องฉีได้ขึ้นมาควบคุมบ้านเมือง ข้าก็รู้ดีว่าข้าคงไม่มีโอกาสรอดแล้ว สิ่งเดียวที่ข้าเป็นห่วงใยคือความปลอดภัยของเจ้า\nที่ข้าไล่เจ้าออกจากบ้าน นี่คือการกระทำที่เห็นแก่ตัวที่สุดในชีวิตของข้า หวังว่าเลือดเนื้อของตระกูลเราจะยังคงอยู่ ข้าจะได้พักผ่อนอย่างสงบในปรโลก..."""
R10136-5_5_13,Father...,ท่านพ่อ...
R10136-5_5_14,It seems that Sir Ji was prepared to die rather than submit to the powerful. I admire his courage.,ดูเหมือนท่านใต้เท้าจี้จะเตรียมใจไว้แล้วว่าจะต้องตาย ถึงแม้จะต้องตาย ท่านก็ไม่ยอมก้มหัวให้กับอำนาจเลย พวกเราเลื่อมใสท่านยิ่งนัก
R10136-5_5_15,"Although this Secret Documents is my father's life's work, it is indeed a curse as he said. I should destroy it.",บันทักลับเล่มนี้ แม้เป็นผลงานที่บิดาข้าทุ่มเททำมันขึ้น แต่ก็อย่างที่ท่านว่าไว้ ถ้าเก็บไว้ก็จะเป็นภัยต่อเรา ควรจะทำลายมันเสียดีกว่า
R10136-5_5_16,"If you dare to destroy that secret book, you'll never get out of here!",หากเจ้ากล้าทำลายบันทักลับนั้น เจ้าก็จะไม่มีทางได้ออกไปจากที่นี่!
R10136-5_5_17,Who's there? Show yourself!,นั่นใคร? ปรากฏตัวออกมาซะ!
R10136-5_5_18,"If you dare, come and get me. I'll be waiting for you outside!",หากเจ้ากล้าจริง จงออกมาเผชิญหน้ากับข้า ข้าจะรอเจ้าอยู่ด้านนอก
R10136-5_5_19,"{PlayerName}, I'll go out first. You keep an eye on the secret book for me.","{PlayerName}, ข้าจะออกไปก่อน เจ้าจงเฝ้าดูตำราลับเล่มนี้ให้ดี"
R10136-5_5_20,(What should I do now?),(ตอนนี้ข้าควรทำอย่างไรดี?)
R10136-5_6_1,"Miss Ji, be careful!","แม่นางจี้, ระวังตัวด้วย!"
R10136-5_6_2,A moment later,สักครู่ต่อมา
R10136-5_7_1,"Hand over the secret book, you little rat in the secret chamber, and I'll spare this girl's life!",ส่งตำราลับมาให้ข้าเดี๋ยวนี้ เจ้าหนูที่ซ่อนตัวอยู่ในโพรงลับ! แล้วข้าจะให้โอกาสเด็กน้อยนี่ได้มีชีวิตอยู่ต่อ!
R10136-5_7_2,What's going on up there? It doesn't look good.,บนนั้นเกิดอะไรขึ้น? ดูท่าสถานการณ์จะเลวร้ายลงทุกที!
R10136-5_7_3,"Don't worry about me, just destroy the secret book!",ข้าไม่เป็นไร! รีบเผาตำราลับให้เป็นจุล!
R10136-5_7_4,Are you looking for death?,เจ้าต้องการลิ้มรสความตายหรือ?
R10136-5_7_5,Uh...,อึก...
R10136-5_7_6,"Damn it, Miss Ji is in danger!",เวรเอ๊ย! แม่นางจี้มีภัย!
R10136-5_7_7,You go! They can't stop you with your skills.,เจ้าไปเถิด! ด้วยวรยุทธ์ของเจ้า พวกมันไม่อาจหยุดยั้งได้!
R10136-5_7_8,How dare you hurt Miss Ji!,ไอ้ลูกเต่า! เจ้ากล้าดียังไงมาทำร้ายแม่นางจี้!
R10136-5_7_9,"Hand over the secret book and I'll spare your lives; otherwise, this day next year will be your death anniversary!",ส่งตำราลับมาให้ข้า แล้วข้าจะไว้ชีวิตเจ้า มิเช่นนั้น วันนี้ของปีหน้า จะเป็นวันครบรอบวันตายของเจ้า!
R10136-5_7_10,Get lost!,ไสหัวไป!
R10136-5_8_1,I didn't expect to owe you another favor. This is not what I wanted.,ข้าไม่ต้องการเป็นหนี้เจ้ามากไปกว่านี้แล้ว! เป็นหนี้บุญคุณผู้อื่นไม่ใช่วิถีของข้า!
R10136-5_8_2,You'll get used to it one day.,สักวันหนึ่งเจ้าจะชินกับมันเอง
R10136-5_8_3,"Ah, what happened to the secret book?",อัก! เกิดอะไรขึ้นกับตำราลับ?
R10136-5_8_4,"It's still here. If I couldn't save you just now, the worst case scenario would be to exchange it for your life.",ตำรายังอยู่ หากข้าช่วยเจ้าไม่ทัน กรณีเลวร้ายที่สุดคือต้องแลกมันกับชีวิตของเจ้า
R10136-5_8_5,"That would be a disgrace to me! If this secret book is leaked, it will cause chaos and disaster in the world. It's not something that can be compensated with our lives.",นี่เป็นมลทินต่อข้าเป็นอย่างยิ่ง! หากตำราลับเล่มนี้หลุดออกไป จะก่อให้เกิดความวุ่นวายและหายนะไปทั่วยุทธภพ แม้ด้วยชีวิตของพวกเราก็มิอาจชดเชยได้
R10136-5_8_6,Give me the secret book. This thing should not be left in the world.,มอบตำราลับมาให้ข้าเดี๋ยวนี้! สิ่งของเช่นนี้ไม่ควรมีอยู่ในยุทธภพ!
R10136-5_9_1,"Here's the secret book. If anything happens, it might save your life.",นี่คือตำราลับ จงเก็บรักษาไว้ให้ดี หากเกิดอันตรายขึ้นมา มันอาจจะเป็นสิ่งเดียวที่จะช่วยเจ้ารอดชีวิตได้
R10136-5_9_2,"Hand over the secret book and I'll spare your lives; otherwise, this day next year will be your death anniversary!",ส่งตำราลับมาให้ข้า แล้วข้าจะไว้ชีวิตเจ้า มิเช่นนั้น วันนี้ของปีหน้า จะเป็นวันครบรอบวันตายของเจ้า!
R10136-5_9_3,"The secret book is on me. If you dare, come and get it.",ตำราลับอยู่ในมือของข้าแล้ว! ถ้าแน่จริง ก็เข้ามาแย่งไป!
R10136-5_9_4,"{yell}, you're arrogant!",{yell} เจ้าคนโอหัง!
R10136-5_10_1,"With your mediocre skills, I don't know who gave you the courage to call me arrogant.",ด้วยฝีมือต่ำต้อยเช่นนี้ ยังจะกล้ามาเหยียดหยามข้าอีกหรือ?
R10136-5_10_2,"Miss Ji, I've cleaned up the riffraff outside. You can come out now.",แม่นางจี้ ข้าได้กำจัดศัตรูภายนอกหมดสิ้นแล้ว ท่านออกมาเถิด
R10136-5_10_3,This is my family's business. Who are you to make decisions for me!,นี่คือธุระของตระกูลข้า เจ้าไม่มีสิทธิ์มาตัดสินใจแทนข้า!
R10136-5_10_4,I...,ข้า...
R10136-5_10_5,You rushed out recklessly when the situation was unclear. What if something happened to you...,เจ้ารีบร้อนออกไปโดยไม่ระวัง กระทำการโดยไม่คิดหน้าคิดหลัง หากเกิดอะไรขึ้นกับเจ้าขึ้นมาจะทำอย่างไร...
R10136-5_10_6,"Don't worry, the secret book is on you. They won't do anything to me."
R10136-5_10_7,"If they threaten me with you, I might give them the secret book to save your life."
R10136-5_10_8,"But, but... if this secret book is leaked, it will cause chaos and disaster in the world. It's not something that can be compensated with our lives."
R10136-5_10_9,"Now you, me, and the secret manual are all safe and sound, so don't think too much about it. Consider how to deal with this secret manual first."
R10136-5_10_10,Such things should no longer remain in the world.
R10136-5_11_1,"We didn't leave a single survivor just now, so it's a pity that we don't know who they are."
R10136-5_11_2,"Since you're here for the secret manual, you must know about it. You want to threaten the officials and cause chaos in the world, no matter who you are, it makes no difference."
R10136-5_11_3,"According to my father's letter, my father impeached Duke Qi for colluding with the Yan Kingdom, which led to a feud with Duke Qi. My father predicted that he would not escape death during Duke Qi's regency, and it turned out to be true."
R10136-5_11_4,"From this, it can be inferred that Duke Qi is the real culprit behind the extermination of my family!"
R10136-5_12_1,"Duke Qi is dead, and the blood feud of my family has been avenged. Miss Ji, you don't have to worry about it."
R10136-5_12_2,"No, you don't understand, you don't understand how frustrating it is to not be able to kill the enemy with your own hands!"
R10136-5_12_3,How can we comfort the spirits of more than ten members of the Ji family in heaven without letting the enemy suffer a thousand cuts!
R10136-5_12_4,……,……
R10136-5_12_5,Puff—
R10136-5_12_6,"Miss Ji, what's wrong with you?"
R10136-5_12_7,"The elder sister who taught me the Ice Heart Technique told me that my congenital heart meridian was damaged. I can't have too much emotional ups and downs in my life, otherwise, even the gods can't save me when my heart meridian is out of control."
R10136-5_12_8,"You were too emotional just now because you couldn't avenge yourself.\nWhat are your plans next?"
R10136-5_12_9,"{PlayerName}, I'm tired. If you care about me, please run away. I want to stay here alone for a while."
R10136-5_12_10,I respect your wishes and won't disturb you during this time.
R10136-5_12_11,"{PlayerName}, thank you for these days."
R10136-5_12_12,"To avoid further stimulating Miss Ji, let her stay in Ji Residence to calm down for a while. I'll come to see her <color=#097a76>three days later</color>."
R10136-5_13_1,"Miss Ji is probably still not calm, so don't disturb her for now."
R10136-5_14_1,I hope Miss Ji has calmed down.
R10136-5_15_1,"Miss Ji, are you all right?"
R10136-5_15_2,"{PlayerName}, I've figured it out these days. If I don't have much time left, instead of sinking into the sadness of the extermination of the Ji family, I might as well travel the world, eliminate the treacherous, and complete my father's unfinished business."
R10136-5_15_3,"My remaining life is to live with more than ten members of the Ji family. As long as I live in the world for one day, the spirit of the Ji family will not be cut off."
R10136-5_15_4,"In that case, I'm afraid I'll have to trouble Miss Ji for our future journey in the martial arts world."
R10136-5_15_5,It's my duty.
R10136-5_16_1,I want Duke Qi to pay with his life!
R10136-5_16_2,"If Duke Qi is the real culprit, I will definitely help you get justice; even if he has nothing to do with it, I will accompany you to find out the truth."
R10136-5_16_3,"This is my own business, you don't have to..."
R10136-5_16_4,"I've been involved in this matter for a long time. I might as well investigate it thoroughly. Even if it's the king, don't expect me to give up halfway."
R10136-5_16_5,"I owe you more and more, but don't expect me to repay you."
R10136-5_16_6,"If I can clear the name for the loyal and good, it is my honor. Besides, just sharing hardships with you during this period is enough to reminisce."
R10136-5_16_7,"Let me pack up a bit, and you can come to the <color=#097a76>Main House</color> to find me later."
R10136-5_17_1,"My remaining life will be lived with more than ten members of the Ji family. As long as I live in the world for one day, the spirit of the Ji family will not be cut off."
R10136-5_17_2,"Now that I'm ready, it's time to seek justice from Duke Qi."
R10136-5_18_1,This is the Ji family... It's better to come with Miss Ji.
R10136-5-1_1_1,"Miss Ji, there's something you need to know."
R10136-5-1_1_2,"What is it? You're so serious, it's strange."
