﻿M5003-4_1_1_1,I didn't expect there to be a Tea Stall here... ,ข้าไม่คิดว่าจะมีร้านชาอยู่ที่นี่...
Day-2150-1_3,"I underestimated the situation this time, my attention lapsed. We'll have another competition next time, and I'll win!",ครั้งนี้นับว่าข้าประมาทไป ไม่ได้ระวังให้ดี คราวหน้าข้าจะเอาชนะเจ้าให้ได้อย่างไร้ข้อกังขา!
Day-2150-1_4,"You are quite vulnerable. Next time, I'll restrain my strength a bit for our match.",เจ้าช่างอ่อนแอเสียจริงๆ ประลองกับเจ้าคราวหน้าข้ายั้งมือสักหน่อยแล้วกัน
Day-2150-1_5,"I underestimated the situation this time, my attention lapsed. We'll have another competition next time, and I'll win!",ครั้งนี้นับว่าข้าประมาทไป ไม่ได้ระวังให้ดี คราวหน้าข้าจะเอาชนะเจ้าให้ได้อย่างไร้ข้อกังขา!
Day-2150-1_6,"You are quite vulnerable. Next time, I'll restrain my strength a bit for our match.",เจ้าช่างอ่อนแอเสียจริงๆ ประลองกับเจ้าคราวหน้าข้ายั้งมือสักหน่อยแล้วกัน
Day-2150-1_7_1,"You can actually block my ten successful forces attack, it seems that your skills have far exceeded mine, you can go to E Qigai Guardian for the examination.",เจ้าสามารถต้านทานการโจมตีเต็มกำลังของข้าได้ ดูท่าฝีมือของเจ้าจะล้ำหน้าข้าไปไกลแล้ว ตอนนี้เจ้าสามารถไปหาผู้คุ้มกฏ เอ้อร์ฉีไก้ เพื่อเข้ารับการทดสอบได้เลย
Day-2150-1_7_2,"By the way, I heard that you haven't learned the heart method when you joined the sect. This is the introductory heart method of the Nine Factions Sect, I'll pass it on to you.",จริงสิ ข้าได้ยินมาว่าเจ้ายังไม่ได้เรียนเคล็ดวิชากำลังภายใน ของนิกายเลย นี่คือวิชากำลังภายในพื้นฐาน ของนิกายเก้าฝ่าย เอาไปฝึกซะสิ
Day-2150-1_7_3,"Thank you, senior brother.",ขอบคุณศิษย์พี่
Day-2150-1_8,"Your kung fu is really powerful, it seems I must work harder.",วิชาของเจ้าช่างเก่งกาจนัก ข้าคงต้องพยายามให้มากขึ้นแล้ว
Day-2150-1_9,"You are quite vulnerable. Next time, I'll restrain my strength a bit for our match.",เจ้าช่างอ่อนแอเสียจริงๆ ประลองกับเจ้าคราวหน้าข้ายั้งมือสักหน่อยแล้วกัน
R10030-2_0_1,"(From a distance, I thought she was just an ordinary old woman, but when I got closer, I realized she was a master with a strong aura!)",(มองจากระยะไกล นึกว่าเป็นหญิงชราธรรมดา พอเข้าไปใกล้ กลับสัมผัสได้ถึงรังสีสังหารที่แผ่ซ่านออกมา ไม่ผิดแน่ นางต้องเป็นยอดฝีมือ!)
R10030-2_0_2,"I am {PlayerName}, may I ask how to address you, senior?",ข้าน้อย {PlayerName} ขอเรียนถามท่านอาวุโสว่าควรเรียกขานท่านว่าอย่างไร?
R10030-2_0_0_1,"Hmm? You're the newbie, right? Granny is a bit busy now, come find me after you've finished E Qigai's examination.",หืม? เจ้าเป็นเด็กใหม่ที่เพิ่งเข้ามาในนิกายสินะ? ยายแก่คนนี้มีธุระต้องทำ เจ้าจงผ่านการทดสอบของ เอ้อร์ฉีไก้ ให้เสร็จก่อน แล้วค่อยกลับมาหาข้าเถอะ
R10030-2_0_0_2,(It seems that I can't talk to her for now...),(ดูเหมือนตอนนี้จะยังพูดคุยกับนางไม่ได้...)
R10030-2_1_0_1,"You are... You're just in time, I just made a medicine, come and try it for me.",เจ้าเป็นใคร... อ้อ! มาถูกเวลาพอดีเลย ข้าเพิ่งปรุงยาเสร็จ ลองช่วยข้าทดสอบหน่อยสิว่าฤทธิ์ยานี้เป็นอย่างไร?
R10030-2_1_0_2,"(This medicine is black and has a strange smell, can I really drink it...)",(น้ำยานี้สีดำสนิท แถมยังมีกลิ่นประหลาดเล็กน้อย... ดื่มเข้าไปแล้วจะเป็นอะไรหรือเปล่านะ?)
R10030-2_1_1_1,"This medicine... {PlayerName}, you better not touch it... ",ยานี่... {PlayerName} ข้าว่าเจ้าอย่าแตะต้องมันเลยจะดีกว่า...
R10030-2_1_2_1,"{PlayerName}, if your toxicology is not high enough, it's better not to touch it.",{PlayerName} หากเจ้ามีความรู้ด้านพิษไม่มากพอ ข้าว่าอย่าไปยุ่งกับมันจะปลอดภัยกว่า
R10030-2_1_3_1,"Wow, there are so many good things in this medicine, you should drink it quickly, young man!",ว้าว! ในน้ำยานี้ใส่ของดีๆ ลงไปตั้งเยอะ น้องชาย รีบดื่มเถอะ!
R10030-2_1_4_1,(Should I drink this old woman's medicine?),(จะลองดื่มยาของยายชราคนนี้ดีหรือไม่?)
R10030-2_option1_1,Drink!<color=#097a76>(Unknown consequences)</color>,ดื่ม! <color=#097a76>（ผลลัพธ์ไม่แน่นอน）</color>
R10030-2_option1_2,Refuse decisively!,ปฏิเสธทันที!
R10030-2_1_5_1,Sigh... young people these days... ,เฮ้อ... หนุ่มสาวสมัยนี้นะ...
R10030-2_2_1_1,"Kid, are you going to help Granny test the medicine this time?",เจ้าเด็กน้อย คราวนี้จะช่วยยายทดสอบยาแล้วหรือยัง?
R10030-2_2_1_2,(Should I drink this old woman's medicine?),(จะลองดื่มยาของยายชราคนนี้ดีหรือไม่?)
R10030-2_2_2_1,Sigh... ,เฮ้อ...
R10030-2_2_3_1,"Forget it, I'll drink it, whatever happens!",ช่างมันเถอะ! ข้าจะดื่มมันแล้วกัน! เอาให้รู้แล้วรู้รอดไปเลย!
R10030-2_2_3_2,Gulp... ,(กลืนลงไป...)
R10030-2_2_4_1,Hmm? How come you're fine? Did I make a mistake?,หืม? ทำไมเจ้าไม่เป็นอะไรเลย? หรือว่าข้าจะคำนวณผิดไป?
R10030-2_2_4_2,"Granny, this medicine... is it Seven-Day Heartbreak Poison? But it's a bit mild, maybe it would be more effective if you used Blue Waist in the medicine.",ท่านยาย... ยานี้คือ 'พิษกู่ตัดไส้เจ็ดวัน' ใช่หรือไม่? แต่ดูเหมือนฤทธิ์ของมันจะอ่อนเกินไป หากใช้ แมลงก้นกระดก เป็นส่วนผสม ฤทธิ์อาจรุนแรงขึ้น
R10030-2_2_4_3,"Using Blue Waist in the medicine, might as well put some Henbane and poison the person directly.",ใช้ แมลงก้นกระดก น่ะหรือ? ถ้าจะทำขนาดนั้น ข้าว่าใส่ มะแว้งนก ไปเลยดีกว่า! คนที่กินเข้าไปจะได้ตายไปซะเลย!
R10030-2_2_4_4,"Granny, I didn't mean that... ",เอ่อ... ข้าไม่ได้หมายความว่าแบบนั้น...
R10030-2_2_4_5,"Hmph, but your toxicology is so good, not bad, not bad, I like it. Granny's vagabond name is ""Du Yapo"", come often, Granny has a lot of things that need people.",หึ! แต่ดูเหมือนเจ้านี่จะมีความรู้ด้านพิษศาสตร์ไม่น้อยเลยนะ ไม่เลวๆ ข้าถูกใจเจ้า! ในยุทธภพ พวกเขาเรียกข้าว่า 'ตู๋หยาผอ' ต่อไปนี้ เจ้าจงแวะมาหาข้าบ่อยๆ ข้ามีเรื่องต้องใช้คนช่วยอีกมาก!
R10030-2_2_5_1,"This medicine, it's poisonous... ",ยานี้... มีพิษ...
R10030-2_2_5_2,I don't know how long it's been... ,ไม่รู้ว่าผ่านไปนานเท่าไรแล้ว...
R10030-2_2_5_3,This is... ,ที่นี่คือ...?
R10030-2_2_5_4,"What the hell is this place, am I already dead!?",ที่นี่มันที่บ้าบออะไร? หรือว่าข้า...ตายไปแล้ว!?
R10030-2_2_5_5,"It's over, it's over, I'm really dead, I can see the ghost messenger already... \nAh, I'm still young, I don't want to die yet... ","จบแล้วๆ ข้าตายแน่ๆ! ข้าเห็นยมทูตแล้ว...\nเฮ้อ... ข้ายังหนุ่มอยู่เลย ข้ายังไม่อยากตายนะ!"
R10030-2_2_5_6,Ghost messenger my foot! You must have been dreaming.,ยมทูตบ้าบออะไรของเจ้า! เจ้าฝันจนเพี้ยนไปแล้วหรือไง?
R10030-2_2_5_7,"Ah, it hurts, it seems I'm not dead yet.",อ๊าก! เจ็บชะมัด... ดูท่าข้าจะยังไม่ตายนะ!
R10030-2_2_5_8,"Of course you're not dead! How could I, an old woman, poison someone as talented as you, who our sect leader values so much?\nAlthough your toxicology skills are a mess, your physique is not bad. I've already detoxified the poison in your body.","แน่นอนว่าเจ้ายังไม่ตาย! ยายคนนี้จะไปฆ่าคนที่ประมุขหมายตาไว้ได้อย่างไร?\nแม้ว่าเจ้าจะไม่มีพรสวรรค์ด้านพิษเลย แต่ร่างกายของเจ้าก็ถือว่าแข็งแรงใช้ได้ ข้าถอนพิษให้เจ้าเรียบร้อยแล้ว"
R10030-2_2_5_9,Really?,จริงหรือ?
R10030-2_2_5_10,"The old woman is called ""Du Yapo"", come by often. I, the old woman, have a lot of things that need to be done. Don't worry, there will be benefits for you.",แน่นอน! ในยุทธภพ พวกเขาเรียกข้าว่า 'ตู๋หยาผอ' ต่อไปนี้ เจ้าจงแวะมาหาข้าบ่อยๆ ข้ายังมีเรื่องต้องใช้คนช่วยอีกมาก! ไม่ต้องห่วง เจ้าจะได้ผลประโยชน์จากมันแน่นอน!
R10030-2_2_5_11,"Help again? You're not going to have me test drugs again, are you?",ช่วยอีกแล้ว? หรือว่าข้าต้องช่วยทดลองยาอีก?
R10030-2_2_5_12,"Don't worry, I won't have you test drugs again. I don't want to poison such a good seedling for nothing, hehehe... ",ไม่ต้องห่วง คราวนี้ข้าจะไม่ให้เจ้าทดลองยาอีกแล้ว! ยายแก่คนนี้ไม่คิดจะฆ่าคนที่เป็นต้นกล้าชั้นดีไปเปล่าๆ หรอก ฮ่าฮ่าฮ่า...
Day-2150-2_0_1,"Boy, I'm running out of poison here. There are many places in this mountain cave where you can gather toxins. I'm not very mobile, so you go and gather some for me.",เจ้าหนู ยายไม่มีวัตถุดิบพิษเพียงพอแล้ว ในถ้ำนี้มีที่ให้เก็บวัตถุดิบมากมาย ยายไม่สะดวกไป เจ้าไปช่วยเก็บมาให้หน่อยสิ
Day-2150-2_1_1,"Today, I'll ask you to catch <color=#c44b0e>10 millipedes</color> for me.",วันนี้ช่วยยายจับ <color=#c44b0e>กิ้งกือ 10 ตัว</color> มาให้หน่อย
Day-2150-2_option1_1,Help Du Yapo catch bugs.,ช่วยตู๋หยาผอจับแมลง
Day-2150-2_option1_2,Maybe another day.,ไว้วันหลังค่อยว่ากัน
Day-2150-2_2_1,"Old woman, I've caught the bugs you wanted.",ยายเฒ่า ข้าจับแมลงที่ท่านต้องการมาให้แล้ว
Day-2150-2_2_2,"As expected of a young person, you're quick and efficient, not bad at all.\nThere's nothing else I need you to do today.","สมแล้วที่เป็นคนหนุ่มสาว มือเท้าคล่องแคล่วดีจริงๆ\nวันนี้ยายไม่มีอะไรให้เจ้าช่วยแล้ว"
Day-2150-2_3_1,"Today, I'll ask you to gather <color=#c44b0e>10 portions of safflower</color> for me.",วันนี้ช่วยยายรวบรวม <color=#c44b0e>ดอกคำฝอย 10 ช่อ</color> มาให้หน่อยสิ
Day-2150-2_option2_1,Help Du Yapo gather herbs.,ช่วยตู๋หยาผอเก็บสมุนไพร
Day-2150-2_4_1,"Old woman, I've gathered the herbs you wanted.",ยายเฒ่า ข้าเก็บสมุนไพรที่ท่านต้องการมาให้แล้ว
Day-2150-2_4_2,"As expected of a young person, you're quick and efficient, not bad at all.\nThere's nothing else I need you to do today.","สมแล้วที่เป็นคนหนุ่มสาว มือเท้าคล่องแคล่วดีจริงๆ\nวันนี้ยายไม่มีอะไรให้เจ้าช่วยแล้ว"
Day-2150-2_5_1,"Today, I'll ask you to catch <color=#c44b0e>5 scorpions</color> for me.",วันนี้ช่วยยายจับ <color=#c44b0e>แมงป่อง 5 ตัว</color> มาให้หน่อยสิ
Day-2150-2_6_1,"Today, I'll ask you to gather <color=#c44b0e>5 portions of black grass</color> for me.",วันนี้ช่วยยายรวบรวม <color=#c44b0e>เฉาอู 5 หัว</color> มาให้หน่อยสิ
Day-2150-2_7_1,"Today, I'll ask you to catch <color=#c44b0e>3 Tian lous</color> for me.",วันนี้ช่วยยายจับ <color=#c44b0e>แมลงกระชอน 3 ตัว</color> มาให้หน่อยสิ
Day-2150-2_8_1,"Today, I'll ask you to gather <color=#c44b0e>3 portions of Man Tuoluo</color> for me.",วันนี้ช่วยยายรวบรวม <color=#c44b0e>ลำโพงม่วง 3 ดอก</color> มาให้หน่อยสิ
Day-2150-2_9_1,"Today, I'll ask you to catch <color=#c44b0e>1 blue waist</color> for me.",วันนี้ช่วยยายจับ <color=#c44b0e>แมลงก้นกระดก 1 ตัว</color> มาให้หน่อยสิ
Day-2150-2_10_1,"Today, I'll ask you to gather <color=#c44b0e>1 portion of Arisaema</color> for me.",วันนี้ช่วยยายรวบรวม <color=#c44b0e>โหราน้ำเต้า 1 หัว</color> มาให้หน่อยสิ
Skill-2150-1_0_1,"What I, the old woman, know are the skills of poison and poison refining. Since you've helped me a lot, I'll teach you this trick.",สิ่งที่ยายเฒ่ารู้นั้น คือทักษะการวางยาพิษและการปรุงพิษ ในเมื่อเจ้าช่วยยายมามากแล้ว ยายจะสอนเคล็ดเล็กๆ นี้ให้เจ้าไว้
Skill-2150-1_0_2,"Thank you, old woman~",ขอบคุณท่านยายเฒ่า~
Skill-2150-1_0_3,"First, I'll teach you the formula for anesthetic drug. You go and refine a batch of anesthetic drug first, then I'll teach you how to poison.",ก่อนอื่นเลย ยายเฒ่าผู้นี้จะสอนตำรับปรุงยาพิษ ยาสลบ ให้เจ้าไปปรุงมาก่อน แล้วยายจะได้สอนวิธีวางยาพิษให้เจ้าที่หลัง
Skill-2150-1_1_1,"Good, this is indeed the unique anesthetic drug I taught you.",ไม่เลว นี่แหละยาสลบตำรับเฉพาะที่ยายได้สอนเจ้าไป
Skill-2150-1_1_2,Next is the technique of poisoning... ,ต่อไปจะเป็นทักษะการวางยาพิษ…
Skill-2150-1_2_1,"However, looking at your young age, your poisoning skills are not much worse than mine. It seems that many people have suffered from your poison before.",แต่ดูเจ้าสิ อายุยังน้อยแท้ๆ แต่ฝีมือวางยาพิษไม่ได้ด้อยไปจากข้าเลย ดูท่าว่าคงจะมีคนตกเป็นเหยื่อเจ้ามาไม่น้อยแล้วสินะ
Skill-2150-1_2_2,"I'll also teach you the formula for the tendon breaking pill, you'll always find it useful in the future.\nWhen you've refined the tendon breaking pill, I'll teach you a more powerful formula.","ข้าจะสอนตำรับปรุงยาพิษสลายเส้นเอ็นนี้ให้เจ้า วันหน้ามันจะเป็นประโยชน์แก่เจ้าแน่นอน\nรอให้เจ้าปรุง พิษสลายเส้นเอ็น ได้ก่อน แล้วข้าจะสอนตำรับที่ร้ายกว่านี้ให้เจ้า"
Skill-2150-1_3_1,"Today, I, the old woman, will teach you the technique of <color=#c44b0e>poisoning</color>.",วันนี้ ยายเฒ่าจะสอนทักษะ <color=#c44b0e>วางยาพิษ</color> ให้เจ้า
Skill-2150-1_3_2,You follow the method taught by the old woman and use the Anesthetic drug<color=#c44b0e>Poison</color> on the Machinery Man in front of you.,เจ้าจงใช้ ยาสลบ <color=#c44b0e>วางยาพิษ</color> หุ่นกลไกตรงหน้าเจ้า ตามวิธีที่ยายได้สอนไปดูสิ
Skill-2150-1_5_1,Is this okay?,แบบนี้ใช้ได้รึยัง?
Skill-2150-1_5_2,"Hmm, not bad, you learn quickly, come back.",อืม ไม่เลวเลย เจ้าเรียนรู้ได้ไวดีจริงๆ กลับมาได้แล้ว
Skill-2150-1_5_3,"I'll teach you the formula for the Tendon breaking pill, you'll find it useful in the future.\nOnce you've made the Tendon breaking pill, I'll teach you a more powerful formula.","สูตรยาพิษสลายเส้นเอ็นนี้ เจ้าเอาไปเถอะ อนาคตเจ้าจะได้ใช้แน่นอน\nรอเจ้าปรุงยา พิษสลายเส้นเอ็น ได้ ยายจะสอนตำรับยาพิษที่ร้ายยิ่งกว่านี้ให้เจ้า"
Skill-2150-1_6_1,"You... sigh, it seems you're not proficient in this, never mind, come out.",เจ้า...เฮ้อ ดูเหมือนเจ้าจะไม่ถนัดทางด้านนี้ เอาเถอะ ออกมาได้
Skill-2150-1_6_2,"You might not be in good form today, no worries, practice makes perfect.",วันนี้เจ้าอาจจะไม่คล่องมือเท่าไร แต่ไม่เป็นไร เรื่องพวกนี้ฝึกบ่อยๆ ก็ชำนาญได้เอง
Skill-2150-1_6_3,"I'll teach you the formula for the Tendon breaking pill, you'll find it useful in the future.\nOnce you've made the Tendon breaking pill, I'll teach you a more powerful formula.","สูตรยาพิษสลายเส้นเอ็นนี้ เจ้าเอาไปเถอะ อนาคตเจ้าจะได้ใช้แน่นอน\nรอเจ้าปรุงยา พิษสลายเส้นเอ็น ได้ ยายจะสอนตำรับยาพิษที่ร้ายยิ่งกว่านี้ให้เจ้า"
Skill-2150-1_7_1,"Hmm, not bad, this is indeed the Tendon breaking pill... ",อืม ไม่เลว นี่แหละยาพิษสลายเส้นเอ็น…
Skill-2150-1_7_2,"This is the formula for the Intestine destroying pill, I'll teach you my secret formula after you've learned to make it.",นี่คือตำรับปรุงยาพิษ พิษไส้ขาด เมื่อเจ้าปรุงยาพิษนี้ได้ ยายจะมอบสุดยอดตำรับยาพิษลับ ที่ยายคิดค้นขึ้นเองให้เจ้า
Skill-2150-1_8_1,"I didn't expect you to learn how to make the Intestine destroying pill so quickly, you're truly talented... ",ไม่คิดว่าเจ้าจะปรุงยาพิษ พิษไส้ขาด ได้เร็วขนาดนี้ เจ้านี่ช่างมีพรสวรรค์จริงๆ…
Skill-2150-1_8_2,"The formula for this Bone melting powder is my painstaking work, after you learn this, there's nothing more I can teach you.",ตำรับยาพิษ ผงละลายกระดูก นี้ ยายเฒ่าบรรจงคิดค้นขึ้นมาด้วยประสบการณ์พิษชั่วชีวิต หากเจ้าฝึกสำเร็จแล้ว ยายเฒ่าผู้นี้ ก็ไม่มีอะไรจะสอนเจ้าอีกแล้ว
Skill-2150-2_0_1,"Kid, you passed the test in just a few days, not bad, I didn't misjudge you.",เจ้าใช้เวลาเพียงไม่กี่วันก็สามารถผ่านการทดสอบได้ ไม่เลวๆ ข้าดูคนไม่ผิดจริงๆ!
Skill-2150-2_0_2,This is the unique mental method of the Nine Factions Sect... but it seems too easy to just give it to you.,คัมภีร์พลังภายในเล่มนี้ เป็นสุดยอดเคล็ดวิชาประจำ นิกายเก้าฝ่าย... แต่ให้เจ้าตรงๆ แบบนี้ มันดูง่ายเกินไปหน่อยนะ
Skill-2150-2_0_3,"Senior, you're not going to give me a difficult question, are you... ",ท่านอาวุโส หรือว่าท่านกำลังคิดจะออกโจทย์ยากๆ ให้ข้าทำอีก?
Skill-2150-2_0_4,"Tsk, when have I ever made things difficult for you.",เฮอะ ข้าไปทำให้เจ้าลำบากตั้งแต่เมื่อไรกัน?
Skill-2150-2_1_1,"I was thinking of taking this opportunity to teach you the art of Steal, but your thieving skills are even better than mine, so let's skip that step. But I'll have to watch my bowl more closely in the future.",ตอนแรกข้ากะจะใช้โอกาสนี้สอนวิชา ล้วงขโมย ให้เจ้าอยู่หรอก แต่ดูจากฝีมือของเจ้าที่เร็วกว่าโจรอย่างข้าเสียอีก ก็คงไม่ต้องแล้ว แค่ต่อไปนี้ ข้าคงต้องคอยเฝ้าชามข้าวของตัวเองให้ดีหน่อย
Skill-2150-2_1_2,"As I said earlier, this manual is the unique method of the Nine Factions Sect, I hope you'll practice diligently and not slack off.",อย่างที่ข้าบอกไป คัมภีร์นี้เป็นสุดยอดเคล็ดวิชาของ นิกายเก้าฝ่าย จงฝึกฝนให้ดี อย่าได้ละเลยเป็นอันขาด
Skill-2150-2_1_3,"I will definitely live up to your expectations, senior.",ข้าจะไม่ทำให้ท่านอาวุโสต้องผิดหวัง!
Skill-2150-2_2_1,"How about this, I'll put this manual on a Machinery Man, you go and ""retrieve"" it.",เอาแบบนี้ดีกว่า ข้าจะนำคัมภีร์พลังภายในเล่มนี้ไปซ่อนไว้ในหุ่นกล เจ้าต้องไป 'หยิบมันมา' ด้วยตัวเอง
Skill-2150-2_2_2,Retrieve? You mean steal... ,หยิบมา? หรือว่า...ข้าต้องขโมย?
Skill-2150-2_2_3,"Anyway, I've taught you the method, the rest is up to you to try.",เอาเป็นว่าข้าสอนวิธีให้แล้ว ส่วนที่เหลือ เจ้าต้องลองทำเอง!
Skill-2150-2_3_1,"Alright, that's about it.",เอาล่ะ น่าจะครบถ้วนดีแล้ว
Skill-2150-2_3_2,"As I said earlier, this manual is the unique method of the Nine Factions Sect, I hope you'll practice diligently and not slack off.",อย่างที่ข้าบอกไป คัมภีร์นี้เป็นสุดยอดเคล็ดวิชาของ นิกายเก้าฝ่าย จงฝึกฝนให้ดี อย่าได้ละเลยเป็นอันขาด
Skill-2150-2_3_3,"I will definitely live up to your expectations, senior.",ข้าจะไม่ทำให้ท่านอาวุโสต้องผิดหวัง!
Day-2150-3_0,"Kid, you want to spar with me? Isn't that a bit overconfident?\nAlright, I also want to see how your martial arts have progressed, how much power do you want me to use?","เจ้าหนู เจ้าคิดจะมาท้าดวลกับข้ารึ? ดูจะไม่ประมาณตัวเอาเสียเลยนะ\nได้ ข้าก็อยากดูเหมือนกันว่าเจ้าฝึกวิชาไปได้ถึงไหนแล้ว เจ้าต้องการให้ข้าใช้พลังแค่กี่ส่วนกันล่ะ?"
Day-2150-3_option1_1,"Three successful forces.<color=#097a76>(Stamina10, 2 quarters. Solo by protagonist)</color>","ใช้พลังแค่สามส่วน <color=#097a76> (ใช้ 10 แรงกาย , 2 เค่อ ตัวเอกต่อสู้คนเดียว)</color>"
Day-2150-3_option1_2,"Five successful forces.<color=#097a76>(Stamina10, 2 quarters. Solo by protagonist)</color>","ใช้พลังห้าส่วน <color=#097a76> (ใช้ 10 แรงกาย , 2 เค่อ ตัวเอกต่อสู้คนเดียว)</color>"
Day-2150-3_option1_3,"Seven successful forces.<color=#097a76>(Stamina10, 2 quarters. Solo by protagonist)</color>","ใช้พลังเจ็ดส่วน <color=#097a76> (ใช้ 10 แรงกาย , 2 เค่อ ตัวเอกต่อสู้คนเดียว)</color>"
Day-2150-3_option1_4,"Ten successful forces!<color=#097a76>(Stamina10, 2 quarters. Solo by protagonist)</color>","ใช้พลังเต็มสิบส่วน! <color=#097a76> (ใช้ 10 แรงกาย , 2 เค่อ ตัวเอกต่อสู้คนเดียว)</color>"
Day-2150-3_option1_5,Not ready yet.,ยังไม่พร้อม
Day-2150-3_1,"Well, kid, your kung fu is improving fast. I wonder when you will make me go all out?",ฮึ ฝีมือเจ้ารุดหน้าเร็วยิ่งนัก ไม่รู้ว่าเมื่อไหร่เจ้าจะทำให้ข้าต้องใช้กำลังทั้งหมดได้กันนะ?
Day-2150-3_2,"You're really overestimating yourself, you should spar with someone else.",ช่างไม่ประมาณตัวจริงๆ เจ้าควรไปประลองกับคนอื่นก่อนเถอะ
Day-2150-3_3_1,"The fledgling of that time, is now so powerful... ",ลูกนกที่อ่อนแอในตอนนั้น บัดนี้กลับแข็งแกร่งขึ้นถึงเพียงนี้...
Day-2150-3_3_2,"How about it, senior, am I capable of standing on my own now?",ท่านผู้อาวุโส ตอนนี้ข้ามีความสามารถพอจะรับภารกิจสำคัญๆ ได้แล้วหรือยัง?
Day-2150-3_3_3,"Not bad, watching you reminds me of my younger days... ",ไม่เลวเลย มองเจ้าแล้วข้าก็นึกถึงตอนที่ข้ายังหนุ่ม...
Day-2150-3_3_4,"Speaking of my younger days, I once begged for food with a raggedy guy, he gave me a boxing manual, but I don't practice boxing, so I'll give it to you.",พอพูดถึงสมัยที่ข้ายังหนุ่ม ตอนนั้นข้ากับขอทานชุดขาดวิ่นคนหนึ่งเคยขอข้าวกินด้วยกัน เขาเคยให้ตำราวิชาหมัดข้ามาเล่มหนึ่ง แต่ข้าไม่ใช่คนฝึกวิชาหมัด งั้นข้าจะยกมันให้เจ้าก็แล้วกัน
Day-2150-3_3_5,"Thank you, senior.",ขอบคุณท่านผู้อาวุโส
Day-2150-3_3_6,"Alright, you're stronger than me now, you don't need to spar with me anymore, I'm happy to be free, go ahead.",เอาล่ะ ตอนนี้เจ้าฝีมือดีกว่าข้าแล้ว ต่อไปก็ไม่ต้องมาขอข้าประลองอีก ข้าจะได้พักผ่อนสบายๆ บ้าง เจ้าก็ไปเถอะ
Day-2150-3_4_1,"You've made me use my full strength, you're already very powerful, it seems your skills are about to surpass mine... ",เจ้าทำให้ข้าใช้กำลังทั้งหมดได้ นับว่าเก่งมากจริงๆ ดูเหมือนฝีมือเจ้าจะเกือบเหนือกว่าข้าแล้ว…
R10019-2_1_1,"I am {PlayerName}, may I ask how to address you, senior?",ข้าน้อย {PlayerName} ขอเรียนถามท่านอาวุโสว่าควรเรียกขานท่านว่าอย่างไร?
R10019-2_1_2,Hmm? Your face... ,หืม? โฉมหน้าของเจ้า...
R10019-2_1_3,"Senior, can you say something? You just keep looking around without saying a word, it's making me a bit nervous.",ท่านอาวุโส ท่านพูดอะไรสักอย่างเถิด! ท่านเอาแต่จ้องข้าไปมาโดยไม่พูดจา ทำให้ข้ารู้สึกขนลุกชอบกล...
R10019-2_1_4,"... No, it's nothing.\nI'm tied up with mundane affairs, you should go find someone else.","...ไม่ ไม่มีอะไร\nข้ามีเรื่องวุ่นวายมากมาย เจ้าควรไปหาคนอื่นก่อนเถอะ"
R10019-2_1_5,(It seems I can't talk to him for now...),(ดูเหมือนตอนนี้จะยังพูดคุยกับเขาไม่ได้...)
R10019-2_2_1,"I'm tied up with mundane affairs, you should go find someone else.",ข้ามีเรื่องวุ่นวายมากมาย เจ้าควรไปหาคนอื่นก่อนเถอะ
R10020-2_1_1,"I am {PlayerName}, may I ask how to address you, senior?",ข้าน้อย{PlayerName} ขอเรียนถามศิษย์พี่ ว่าควรเรียกขานท่านว่าอย่างไร?
R10020-2_1_2,"(Opera tone) Oh, are you, are you the new Soldier that the lord has taken in?",(ร้องงิ้ว) อ๊ะ! หรือว่าเจ้า... หรือว่าเจ้าคือทหารใหม่ที่นายท่านรับเข้ามา?
R10020-2_1_3,"What lord, Soldier, what are you talking about, senior... ",นายท่าน? ทหาร? ศิษย์พี่ ท่านกำลังพูดเรื่องอะไรกัน...
R10020-2_1_4,"(Opera tone) If you are the new Soldier of the lord, then you should solve problems for the lord~",(ร้องงิ้ว) หากเจ้าคือทหารใหม่ของนายท่าน เช่นนั้นเจ้าก็ต้องช่วยแบ่งเบาภาระของนายท่านสิ~
R10020-2_1_5,"(Opera tone) I understand, to do a good job, one must first sharpen his tools, take this thing~",(ร้องงิ้ว) ข้ารู้ดีว่าหากคิดจะทำสิ่งใดให้ดี ย่อมต้องมีเครื่องมือที่เหมาะสม ของสิ่งนี้ เจ้าจงนำไปเถิด~
R10020-2_1_6,"Thank you, senior, but I don't know how to address you... ",ขอบคุณศิษย์พี่ แต่ข้ายังไม่รู้เลยว่าควรเรียกขานท่านว่าอย่างไร...
R10020-2_1_7,"(Opera tone) Where did this Thug come from, daring to approach my beloved wife!",(ร้องงิ้ว) ไอ้พวกสมุนชั้นต่ำที่ไหนกัน กล้าดียังไงถึงเข้ามาใกล้ฮูหยินของข้า!
R10020-2_1_8,"Senior, how can you——",ศิษย์พี่ ทำไมท่านถึง—
R10020-2_1_9,"(Opera tone) Wow, I will let you know how powerful I am!",(ร้องงิ้ว) ว้ายยย! ข้าจะให้เจ้ารู้ซึ้งถึงฤทธิ์เดชของข้า!
R10020-2_1_10,"Newcomer, what are you doing standing there, run!",เจ้าเด็กใหม่! อย่ามัวแต่ยืนอึ้งอยู่ตรงนั้น รีบหนีเร็วเข้า!
R10020-2_1_11,What just happened?,เมื่อครู่นี้มันเกิดอะไรขึ้นกันแน่?
