﻿FondTag_武器,Weapon,อาวุธ
ItemInfo_君子玉,"A jade pendant always worn by the Honorable, given by Cai Yuanchang, serves as the identity proof of the students of Confucius Temple.",จี้หยกที่ผู้มีเกียรติสวมใส่เสมอซึ่งมอบให้โดย ไช่หยวนฉาง ทำหน้าที่เป็นหลักฐานประจำตัวของลูกศิษย์ของวัดขงจื้อ
ItemInfo_菩提佛珠,"With a body like a Buddha tree and a heart like a clear mirror, the monks of Shifa Temple should have a clear mind. This is the identity proof of the monks of Shifa Temple.",มีร่างกายเหมือนต้นโพธิ์ และมีหัวใจเหมือนกระจกใส หลวงจีนอารามซื่อฟา ควรมีจิตใจที่ผ่องใส นี่คือหลักฐานประจำตัว ของหลวงจีนอารามซื่อฟา
ItemInfo_通犀辟毒牌,"Made of rhinoceros horn, possessing this item allows free movement in the toxic miasma of Jiuli, serving as the identity proof of the Jiuli tribe members.",ทำจากนอแรด ผู้ที่ครอบครองสิ่งนี้สามารถเดินทางเข้าออก หมอกพิษแห่งเผ่าจิ่วลี่ ได้อย่างอิสระ และยังถือเป็นสัญลักษณ์แสดงตัวตนของชาวเผ่าจิ่วลีอีกด้วย!
ItemInfo_游商令牌,"Many traveling merchants carry this Token, which is a proof of membership in the Night Auction Market.",ตราสัญลักษณ์ที่พ่อค้าที่เดินทางจำนวนมากพกติดตัวไปด้วยนั้นเป็นหลักฐานการระบุตัวตนของสมาชิกของของตลาดประมูลราตรี
ItemInfo_火焰令,"A token of the Divine Flame Sect  believers, used to prove the identity of the Divine Flame Sect  believers.",สัญลักษณ์ของผู้ศรัทธานิกายเพลิงศักดิ์สิทธิ์ ใช้เพื่อพิสูจน์ตัวตนของผู้ศรัทธานิกายเพลิงศักดิ์สิทธิ์
ItemInfo_透光镜,"A magical glass mirror that can magnify objects, allowing even the smallest flaws to be seen clearly.",กระจกวิเศษที่สามารถขยายวัตถุได้ แม้แต่จุดบกพร่องเล็กๆ น้อยๆ ก็มองเห็นได้ชัดเจน
ItemInfo_引虫香,A sachet with a strange fragrance that can attract various bugs.,ซองที่มีกลิ่นแปลกๆ ที่สามารถดึงดูดแมลงต่างๆ ได้
ItemInfo_大黑锅,"A black pot that provides decent protection when carried on the back. However, most people seem reluctant to carry it.",หม้อสีดำใบใหญ่ที่ให้การปกป้องที่ดีเมื่อสะพายไว้ด้านหลัง อย่างไรก็ตาม คนส่วนใหญ่ดูเหมือนไม่เต็มใจที่จะถือมัน
ItemInfo_百味调料罐,A magical spice jar that can pour out spices of the desired flavor according to the user's thoughts. It is said that a chef surnamed Liu from Sichuan collects such items.,โถใส่เครื่องเทศวิเศษ ที่สามารถเทเครื่องเทศที่มีรสชาติที่ผู้ใช้ต้องการออกมาได้ ว่ากันว่าพ่อครัวแซ่หลิวจากเสฉวน เป็นผู้ชื่นชอบสะสมสิ่งของนี้
ItemInfo_磨刀石,Sharpening the knife does not interfere with chopping wood.,การลับมีดไม่ทำให้การตัดฟืนล่าช้า
ItemInfo_玉如意,"A ruyi made of jade, symbolizing smooth sailing, but in reality, everyone uses it to scratch itches.",หยกรู่อี้ที่ทำจากหยกเขียว เป็นสัญลักษณ์ของความสมหวังและความสุขใจ แต่ในความเป็นจริง ผู้คนมักใช้มันสำหรับเกาแก้คัน
ItemInfo_寒玉玦,"A jade bracelet made of cold jade, often worn as an accessory by the rich. It's unknown from whom Hua Qingqing stole it.",สร้อยข้อมือหยกที่ทำจากหยกเย็น คนมีฐานะมักสวมใส่เป็นเครื่องประดับ ไม่มีใครรู้ว่าหัวชิงชิงขโมยมันมาจากใคร
ItemInfo_羊脂玉佩,"A jade pendant made of white jade, with a moist luster, shaped like condensed fat.",จี้หยกทำจากหยกขาว มีความแวววาว ชุ่มชื้น รูปร่างคล้ายไขมันข้น
ItemInfo_金蚕蛊,"Legend has it that various poisonous insects are sealed in a jar, and after they kill each other, the last one remaining will be like a golden silkworm, extremely poisonous.",ตำนานเล่าว่า ถ้าจับแมลงพิษหลายชนิดใส่ไว้ในภาชนะปิดผนึก แล้วปล่อยให้มันกัดกันเอง ตัวสุดท้ายที่รอดอยู่ จะมีรูปร่างเหมือนตัวหนอนไหมทอง และมีพิษร้ายแรงอย่างยิ่ง
ItemInfo_六寸金针,"Gold needles used in medicine, used to stimulate the patient's acupoints to achieve healing.",เข็มทองที่ใช้ในการแพทย์ ใช้ในการกระตุ้นจุดฝังเข็มของผู้ป่วยเพื่อให้บรรลุการรักษา
ItemInfo_凤鸟玉佩,A jade pendant carved in the shape of a phoenix bird.,จี้หยกแกะสลักเป็นรูปวิหคเพลิง
ItemInfo_盗圣扳指,It is said to be a thumb ring worn by Swallow Li.,กล่าวกันว่าเป็นแหวนสวมนิ้วหัวแม่มือที่ นกนางแอ่นหลี่ ในตำนานเคยสวมใส่
ItemInfo_神捕令,"A token issued by the Crime Investigation Bureau, with which one can arrest criminals worldwide.",ตราที่ออกโดยสำนักเทพมือปราบ ซึ่งสามารถใช้จับกุมอาชญากรได้ทั่วหล้า
ItemInfo_平衡车,A strange appliance that allows for rapid movement when standing on it after simple training. The specific principle is unknown to anyone.,อุปกรณ์แปลก ๆ ที่ช่วยให้เคลื่อนไหวได้อย่างรวดเร็วเมื่อยืนบนมันหลังจากฝึกฝนง่าย ๆ ไม่มีใครทราบหลักการเฉพาะนี้
ItemInfo_皇族玉佩,"An exclusive accessory for royal family members, possession by commoners is punishable by death.",เครื่องประดับพิเศษสำหรับสมาชิกราชวงศ์ การครอบครองโดยสามัญชนมีโทษประหารชีวิต
ItemInfo_金饭碗,"A gold bowl with the words ""Royal decree begging"" written on the bottom, seems to have a history.","ชามข้าวทำจากทองคำ ที่ก้นชามเขียนว่า ""ราชโองการให้ไปขอทาน"" ดูเหมือนจะมีที่มาที่ไปที่น่าสนใจ"
ItemInfo_四海全舆图,"A topographic map that details the terrain of various places in the four seas. With it, you can see your destination at a glance!",แผนที่ภูมิประเทศที่บันทึกรายละเอียดภูมิประเทศของสถานที่ต่างๆ ในทะเลทั้งสี่ ด้วยอุปกรณ์นี้ คุณสามารถดูจุดหมายปลายทางของคุณได้ทันที!
ItemInfo_调兵虎符,"A bronze lying tiger, which can be used to command troops.",ตราเสือหมอบสำริด สามารถใช้ในการบัญชาการทหารได้
ItemInfo_传国玉玺,"Engraved with the words ""Mandated by Heaven, Longevity and Prosperity"", it is a proof of imperial power, but commoners holding this item will be executed along with their nine kin.","สลักด้วยคำว่า ""ได้รับคำสั่งจากสวรรค์ อายุยืนยาว และความเจริญรุ่งเรือง"" เป็นข้อพิสูจน์ถึงอำนาจของจักรพรรดิ แต่สามัญชนที่ถือสิ่งนี้จะถูกประหารชีวิตพร้อมกับญาติเก้าชั่วโครตของพวกเขา"
ItemInfo_千机钥,"A box containing various lock-picking tools. With this, all kinds of machinery locks are no problem.",กล่องที่บรรจุเครื่องมือหยิบล็อคต่างๆ ด้วยเหตุนี้ระบบล็อคเครื่องจักรทุกประเภทจึงไม่มีปัญหา
ItemInfo_免死金牌,"A death-exemption plate bestowed by the late emperor. With this gold plate, one can escape death no matter what crime they commit.",ป้ายทองเว้นตาย ที่ฮ่องเต้ผู้ล่วงลับประทานให้ ป้ายทองคำนี้จะสามารถช่วยให้รอดพ้นจากความตายได้ไม่ว่าจะก่ออาชญากรรมอะไรก็ตาม
ItemInfo_高僧舍利,The remains of a high-ranking monk.,พระธาตุของหลวงจีนผู้ประเสริฐ
ItemInfo_七宝佛珠,"Buddhist beads strung together with seven treasures including gold, silver, glass, coral, amber, giant clam, and agate. Extremely precious.",ลูกปัดพุทธร้อยพันด้วยสมบัติเจ็ดอย่าง ได้แก่ ทอง เงิน แก้ว ปะการัง อำพัน หอยมือเสือ และอาเกต ล้ำค่ามาก.
ItemInfo_功德牌,"The previous Confucian sage personally wrote ""Worry before the world worries, and enjoy after the world enjoys"", which is the highest requirement for future Confucian students.","คำจารึกจากปราชญ์ขงจื๊อรุ่นก่อน เขียนด้วยลายมือว่า ""ก่อนจะสุข ต้องทุกข์เพื่อแผ่นดิน... หลังจากทุกข์หมดสิ้น จึงสุขไปทั่วหล้า"" ถือเป็นข้อเรียกร้องสูงสุด ฝากไว้แก่เหล่าบัณฑิตขงจื๊อรุ่นหลัง"
ItemInfo_天穹之印,"An incomplete seal, you can vaguely make out the character ""Sky"".","ตราประทับที่ไม่สมบูรณ์, สามารถประทับตัวอักษร ""ท้องฟ้า"" ได้คลุมเครือ"
ItemInfo_苍生之印,"An incomplete seal, you can vaguely make out the characters ""Life"" and ""Longevity"".","ตราประทับที่ไม่สมบูรณ์, สามารถประทับตัวอักษร ""ชีวิต""และ""ยืนยาว"" ได้คลุมเครือ"
ItemInfo_社稷之印,"An incomplete seal, you can vaguely make out the character ""Prosperity"".","ตราประทับที่ไม่สมบูรณ์, สามารถประทับตัวอักษร ""เจริญรุ่งเรือง"" ได้คลุมเครือ"
ItemInfo_虚日鼠兽环,One of the rumored twelve animal rings.,หนึ่งใน แหวนนักษัตร สิบสองวงอันเลื่องลือ
ItemInfo_牛金牛兽环,One of the rumored twelve animal rings.,หนึ่งใน แหวนนักษัตร สิบสองวงอันเลื่องลือ
ItemInfo_尾火虎兽环,One of the rumored twelve animal rings.,หนึ่งใน แหวนนักษัตร สิบสองวงอันเลื่องลือ
ItemInfo_房日兔兽环,One of the rumored twelve animal rings.,หนึ่งใน แหวนนักษัตร สิบสองวงอันเลื่องลือ
ItemInfo_亢金龙兽环,One of the rumored twelve animal rings.,หนึ่งใน แหวนนักษัตร สิบสองวงอันเลื่องลือ
ItemInfo_翼火蛇兽环,One of the rumored twelve animal rings.,หนึ่งใน แหวนนักษัตร สิบสองวงอันเลื่องลือ
ItemInfo_星日马兽环,One of the rumored twelve animal rings.,หนึ่งใน แหวนนักษัตร สิบสองวงอันเลื่องลือ
ItemInfo_鬼金羊兽环,One of the rumored twelve animal rings.,หนึ่งใน แหวนนักษัตร สิบสองวงอันเลื่องลือ
ItemInfo_觜火猴兽环,One of the rumored twelve animal rings.,หนึ่งใน แหวนนักษัตร สิบสองวงอันเลื่องลือ
ItemInfo_昴日鸡兽环,One of the rumored twelve animal rings.,หนึ่งใน แหวนนักษัตร สิบสองวงอันเลื่องลือ
ItemInfo_娄金狗兽环,One of the rumored twelve animal rings.,หนึ่งใน แหวนนักษัตร สิบสองวงอันเลื่องลือ
ItemInfo_室火猪兽环,One of the rumored twelve animal rings.,หนึ่งใน แหวนนักษัตร สิบสองวงอันเลื่องลือ
ItemInfo_石灰粉,A pile of lime powder.,กองผงปูนขาว
ItemInfo_飞蝗石,"Some sharp small stones on the roadside, commonly used for throwing in the martial arts world. Thrown by hand, they have a certain power.",หินแหลมคมเล็กๆ ริมถนน มักใช้สำหรับการขว้างปาในยุทธภพ เมื่อขว้างด้วยมือก็มีพลังบางอย่าง
ItemInfo_袖箭,"Small in size but intricately structured, it can be hidden in the sleeve and fired by triggering the machinery.",ขนาดเล็กแต่มีโครงสร้างที่ประณีต สามารถซ่อนไว้ในแขนเสื้อและยิงโดยการกระตุ้นกลไก
ItemInfo_铜钱镖,A simple throwing weapon made by sharpening the edges of a coin.,อาวุธขว้างง่ายๆ ที่ทำโดยการลับขอบเหรียญ
ItemInfo_飞刀,A smaller Throwing blade.,มีดอาวุธลับขนาดเล็ก
ItemInfo_鸡毛箭,An arrow made by grinding chicken feathers and Wooden stick.,"ลูกธนูที่ทำมาจากการฝน, ขนไก่และแท่งไม้"
ItemInfo_毒镖,A dart with deadly poison.,ลูกดอกที่มีพิษร้ายแรง
ItemInfo_五毒梅花针,"A plum-shaped flying needle, soaked in Poison for a long time, is poisonous itself.",เข็มบินรูปดอกเหมยซึ่งแช่อยู่ในพิษเป็นเวลานานก็เป็นพิษในตัวเอง
ItemInfo_铁胎丸,"Solid small iron ball, the size of a quail egg, thrown out with wrist force.",ลูกบอลเหล็กแข็งลูกเล็ก ขนาดเท่าไข่นกกระทา โยนออกมาด้วยแรงข้อมือ
ItemInfo_霹雳弹,"Iron shell, filled with a lot of gunpowder, thrown out after lighting the fuse, can cause a strong explosion.",เปลือกเหล็กที่เต็มไปด้วยดินปืนจำนวนมากถูกโยนออกมาหลังจากจุดไฟ อาจทำให้เกิดการระเบิดอย่างรุนแรงได้
ItemInfo_玉毫针,"Silver needles as thin as hair, specifically attacking human acupoints, to achieve the effect of blocking the opponent's actions.",เข็มเงินบางพอๆ กับเส้นผม โดยเฉพาะโจมตีจุดฝังเข็มของมนุษย์ เพื่อให้ได้ผลในการปิดกั้นการกระทำของคู่ต่อสู้
ItemInfo_霹雳雷火弹,"Based on the Thunder bullet, the shell is thinned, and several steel balls are built in, thus causing a more powerful explosion.",ต้นแบบจากระเบิดอัสนี ผนังถูกทำให้บางลง และมีลูกบอลเหล็กหลายลูกอยู่ภายใน ทำให้เกิดการระเบิดที่ทรงอนุภาพมากยิ่งขึ้น
ItemInfo_暴雨梨花钉,"Pull the Machinery, dozens of silver needles are shot out at the same time, each shot must see blood, known as the king of Throwing.",ดึงเครื่องจักรออก เข็มเงินหลายสิบเข็มถูกยิงออกไปพร้อมกัน แต่ละนัดจะต้องเห็นเลือด ซึ่งเป็นที่รู้จักในนามราชาแห่งอาวุธลับ
ItemInfo_迷魂烟,"The sleeping drug is placed in the bamboo tube, and the explosion can quickly spread the sleeping drug, making people unable to resist.",วางยานอนหลับไว้ในกระบอกไม้ไผ่ และการระเบิดสามารถแพร่กระจายยานอนหลับได้อย่างรวดเร็ว ทำให้ผู้คนไม่สามารถต้านทานได้
ItemInfo_蚀筋化骨水,"Highly toxic potion, the flesh will immediately rot when it touches, and even the bones can be completely dissolved in a few moments.",ยาพิษเข้มข้นสูง เนื้อจะเน่าทันทีเมื่อสัมผัส และแม้แต่กระดูกก็สามารถละลายได้หมดในไม่กี่วินาที
ItemInfo_夺命十三香,"Highly Poisonous powder, emitting a faint fragrance, the victim often has no consciousness and has been poisoned.","ผงพิษสูงส่ง, กลิ่นหอมจางๆ เหยื่อมักไม่มีสติ เมื่อถูกวางยาพิษ"
ItemInfo_铜钥匙,"A copper Key, can Open locked boxes.",กุญแจทองแดงสามารถเปิดกล่องที่ล็อคได้
ItemInfo_西域珠宝,"Jewelry from the Western Regions, but the quality is average, it is difficult to sell at a good price.","อัญมณีจากแคว้นตะวันตก, แต่คุณภาพก็ปานกลางจึงขายได้ราคาดียาก"
ItemInfo_释门戒律,"A small booklet that all monks will get, which records many precepts and corresponding punishments.",หนังสือเล่มเล็กที่หลวงจีนทุกองค์จะได้รับ ซึ่งบันทึกศีลและบทลงโทษมากมาย
ItemInfo_释门戒律（手抄本）,"Handwritten ""Temple rules"".","เขียนด้วยลายมือ ""กฎของวัด"""
ItemInfo_破草鞋,Ragged straw shoes.,รองเท้าฟางขาดๆ.
ItemInfo_柴王府请帖,"Invitation to the birthday banquet of Chai Wangye in Lin'an City, you can go to Chai Wangfu to celebrate your birthday with this invitation.",เทียบเชิญไปงานเฉลิมฉลองวันเกิดของอ๋องไฉในเมืองหลินอัน เพียงแค่มีเทียบเชิญนี้ท่านก็สามารถร่วมงานของอ๋องไฉได้แล้ว
ItemInfo_铁胎弓,"The standard bow and crossbow in the army, at least ten stones of two Strengths can pull it open.",ธนูและหน้าไม้มาตรฐานในกองทัพอย่างน้อยสิบหินสองจุดแข็งสามารถดึงเปิดออกได้
ItemInfo_杨家牌位,"A tablet with the name of General Yang, it seems to be made of special materials.",ป้ายที่มีชื่อของแม่ทัพหยาง ดูเหมือนว่าจะทำจากวัสดุพิเศษ
ItemInfo_风闻令牌,"A bronze Token with the words ""Feng Wen"", it seems to represent a certain identity.","ตราสีบรอนซ์ที่มีคำว่า ""เฟิงเหวิน"" ดูเหมือนว่าจะแสดงถึงเอกลักษณ์บางอย่าง"
ItemInfo_账本,A book for recording accounts.,หนังสือสำหรับบันทึกบัญชี
ItemInfo_字迹潦草的信纸,A letter with very sloppy handwriting.,จดหมายที่ลายมือเลอะเทอะมาก
ItemInfo_樵夫的钥匙,Key of the Woodcutter in Nameless village.,กุญแจของคนตัดฟืนในหมู่บ้านไร้นาม
ItemInfo_王大锤的钥匙,Key of Hammer Wang in Nameless village.,กุญแจของช่างตีเหล็กหวังในหมู่บ้านไร้นาม
ItemInfo_略有磨损的钥匙,Key to Open the Prison box in Chuxiang City.,กุญแจเปิดกล่องเรือนจำในเมืองฉู่เซียง
ItemInfo_尚武钥匙,Key to Open the Chest in various town martial arts halls.,กุญแจสำหรับเปิดหีบในสำนักยุทธของเมืองต่างๆ
ItemInfo_铁钥匙,"Iron Key, can Open locked boxes.","กุญแจเหล็ก, สามารถเปิดกล่องที่ล็อคได้"
ItemInfo_孔一刀的钥匙,Key to Open the Great hall box in Blue Wind Camp mountain village.,กุญแจเพื่อเปิดกล่องห้องโถงใหญ่ในหมู่บ้านบนภูเขาค่ายวายุคราม
ItemInfo_玛瑙石,"A piece of Agate Ore, the quality is average, the size is moderate, you can play with it in your hand.",แร่อาเกตชิ้นหนึ่ง คุณภาพปานกลาง ขนาดปานกลาง สามารถเล่นในมือได้
ItemInfo_佛医经,"Buddhist Archive, which explains various pathologies under the guidance of Buddhist principles.",หอจดหมายเหตุพุทธศาสนาซึ่งอธิบายโรคต่าง ๆ ตามหลักพุทธศาสนา
ItemInfo_金刚经,"One of the Mahayana classics of Buddhism, known for its profound content and concise language.",พระสูตรสำคัญของพระพุทธศาสนาฝ่ายมหายาน เชื่อกันว่าพระสูตรเป็นพระสูตรมหายานรุ่นแรกๆ ที่เกิดขึ้น มีเนื้อหาลึกซึ้งและภาษาที่กระชับ
ItemInfo_法华经,"Classic Buddhist scriptures, said to be written by the Buddha in his later years.",พระคัมภีร์พระธรรมโบราณ ว่ากันว่าพระพุทธเจ้าทรงเขียนในช่วง 8 ปีสุดท้ายก่อนปรินิพพาน
ItemInfo_多心经,"Buddhist classics, because the scriptures are short and concise, easy to recite, so they are widely popular.",คัมภีร์พุทธเก่าแก่ เพราะเป็นคัมภีร์พระไตรปิฎกบทสั้นกระชับ ท่องง่าย จึงเป็นที่นิยมกันอย่างแพร่หลาย
ItemInfo_兽环图录,"Record the information of the twelve Animal rings, and at the same time predict that the person who collects the twelve Animal rings will be favored by heaven.",บันทึกข้อมูลของแหวนนักษัตรทั้งสิบสองวง และในขณะเดียวกันก็ทำนายว่าผู้ที่รวบรวมแหวนนักษัตรได้ครบทั้งสิบสองวงได้ จะได้รับความโปรดปรานจากสวรรค์
ItemInfo_染血密信,"Recorded the news that Yan Kingdom will lead the army to invade the south in a hundred days, the letter has been stained with blood.",บันทึกข่าวว่าแคว้นเยี่ยนจะนำทัพบุกทางใต้ภายในหนึ่งร้อยวัน จดหมายชุ่มไปด้วยเลือด
ItemInfo_花四娘的钥匙,"Key carried by Hua Siniang, the shopkeeper of Nameless village.",กุญแจถือโดยฮวาซื่อเหนียง เจ้าของโรงเตี๊ยมหมู่บ้านไร้นาม
ItemInfo_白玉钥匙,"Precious Key made of white jade, fragile and easy to break.",กุญแจล้ำค่าทำจากหยกขาว เปราะบาง แตกหักง่าย
ItemInfo_山寨牢房钥匙,Blue Wind Camp Prison Key.,กุญแจเรือนจำค่ายวายุคราม
ItemInfo_霖安牢房钥匙,Key to the Prison of Lin'an City Government Office.,กุญแจสู่เรือนจำศาลาว่าการเมืองหลินอัน
ItemInfo_银钥匙,"Silver Key, can Open locked boxes.",กุญแจเงิน สามารถเปิดกล่องที่ล็อคได้
ItemInfo_楚襄牢房钥匙,Key to the Prison of Chuxiang City Government Office.,กุญแจสู่เรือนจำศาลาว่าการเมืองฉู่เซียง
ItemInfo_大梁牢房钥匙,Key to the Prison of Daliang City Government Office.,กุญแจสู่เรือนจำศาลาว่าการเมืองต้าเหลียง
ItemInfo_英雄帖,Hero Card issued by Duke Kang's manor.,เทียบเชิญจอมยุทธที่ออกโดยตำหนักอ๋องคัง
ItemInfo_花四娘的手帕,Handkerchief of shopkeeper Hua Siniang.,ผ้าเช็ดหน้าของเถ้าแก่เนี้ยฮวาซื่อเหนียง
ItemInfo_燕子窝密室钥匙,Key to open the Secret chamber of Swallow Nest.,กุญแจสำหรับเปิดห้องลับของรังนกนางแอ่น
ItemInfo_“燕”字纸条,"A note with the word ""Yan"".","บันทึกที่มีคำว่า ""รัง"""
ItemInfo_“子”字纸条,"A note with the word ""Zi"".","บันทึกที่มีคำว่า ""นก"""
ItemInfo_“窝”字纸条,"A note with the word ""Wo"".","บันทึกที่มีคำว่า ""นางแอ่น"""
ItemInfo_地煞牌,"Token held by the leader of a common martial arts sect, a symbol of power and status.",ตราสัญลักษณ์ที่ถือโดยผู้นำของสำนักยุทธเล็กๆ เป็นสัญลักษณ์ของความแข็งแกร่งและสถานะ
ItemInfo_虎头牌,"Tokens held by the leaders of some small martial arts sects, symbolizing their strength and status.",ตราสัญลักษณ์ที่ถือโดยผู้นำ ของสำนักฝึกฝนวรยุทธขนาดเล็กบางแห่ง เป็นสัญลักษณ์ของความแข็งแกร่งและสถานะ
ItemInfo_武备库钥匙,Key to open the gate of Chuxiang City Armory.,กุญแจเปิดประตูคลังอาวุธเมืองฉู่เซียง
ItemInfo_马王洞密室钥匙,Key to open the stone door of the secret chamber in Horse King Cave.,กุญแจเปิดประตูหินของห้องลับในถ้ำราชาม้า
ItemInfo_软垫,"A soft cushion, usually placed in front of the Buddha statue in temples or Taoist temples for believers to kneel and worship.",เบาะนุ่มๆ มักวางไว้หน้าพระพุทธรูปในวัดหรือวัดลัทธิเต๋าเพื่อให้ผู้ศรัทธาคุกเข่าสักการะ
ItemInfo_官印,"An official seal given by an official claiming to be a subordinate of Lü Wenhuan, the pacifier of Chuxiang City, which can be shown to Lü Wenhuan as a token.",ตราประทับอย่างเป็นทางการ ที่มอบให้โดยเจ้าหน้าที่ที่อ้างว่าเป็นผู้ใต้บังคับบัญชาของ ลวี่เหวินหวน เจ้าเมืองฉู่เซียง ซึ่งสามารถแสดงต่อ ลวี่เหวินหวน เพื่อเป็นสัญลักษณ์ได้
ItemInfo_老婆婆特制檀香,"The incense made by the old woman herself over several days and nights, hoping that the gods can feel her sincerity.",ธูปที่หญิงชราทำขึ้นเองเป็นเวลาหลายวันหลายคืนโดยหวังว่าเทพเจ้าจะรู้สึกถึงความจริงใจของนาง
ItemInfo_摸金门密室钥匙,Key to open the secret chamber of Tomb Raider Sect.,กุญแจเปิดห้องลับของสำนักปล้นสุสาน
ItemInfo_残破的羊皮碎片·一,"A broken piece of parchment, with a pattern drawn on it, but it's hard to understand what it means.",แผ่นหนังที่แตกหักและมีลวดลายวาดอยู่บนนั้น แต่ก็ยากที่จะเข้าใจว่ามันหมายถึงอะไร
ItemInfo_残破的羊皮碎片·二,"A broken piece of parchment, with a pattern drawn on it, but it's hard to understand what it means.",แผ่นหนังที่แตกหักและมีลวดลายวาดอยู่บนนั้น แต่ก็ยากที่จะเข้าใจว่ามันหมายถึงอะไร
ItemInfo_残破的羊皮碎片·三,"A broken piece of parchment, with a pattern drawn on it, but it's hard to understand what it means.",แผ่นหนังที่แตกหักและมีลวดลายวาดอยู่บนนั้น แต่ก็ยากที่จะเข้าใจว่ามันหมายถึงอะไร
ItemInfo_神捕门牢房钥匙,Key to the prison of the Crime Investigation Bureau.,กุญแจห้องขังของสำนักเทพมือปราบ
ItemInfo_吕文桓的书信,A reply to Yan Kingdom written by Lü Wenhuan himself.,จดหมายตอบกลับถึงแคว้นเยี่ยน ที่เขียนโดยลวี่เหวินหวนเอง
ItemInfo_行辕大营牢房钥匙,Key to the prison of Yan Kingdom Palace Camp.,กุญแจสู่ห้องขังค่ายทัพหลวงแคว้นเยี่ยน
ItemInfo_叶家军机要钥匙,"Key to Ye Family Battalion, guarding the secrets of Ye Family Battalion.",กุญแจสู่กองทัพตระกูลเย่ คอยปกป้องความลับของกองทัพตระกูลเย่
ItemInfo_如来经译本·上卷,The upper half of the translated version of Vairocana Solar Sutra.,ครึ่งแรกของฉบับแปลของไวโรจนะมหาสูตร
ItemInfo_如来经译本·下卷,The lower half of the translated version of Vairocana Solar Sutra.,ครึ่งหลังของฉบับแปลของไวโรจนะมหาสูตร
ItemInfo_大日如来经（梵文）,"Vairocana Solar Sutra written in Sanskrit, which is incomprehensible to those who don't understand Sanskrit.","ไวโรจนะมหาสูตร ถูกเขียนเป็นภาษาสันสกฤต, ซึ่งผู้ที่ไม่เข้าใจภาษาสันสกฤตจะเข้าใจยาก"
ItemInfo_梵文解译,"A Sanskrit dictionary, which can be used to look up the meaning of each Sanskrit sentence.",คัมภีร์สัททาวิเสส เป็นพจนานุกรมใช้เพื่อค้นหาความหมายของประโยคภาษาสันสกฤตแต่ละประโยค
ItemInfo_龙树菩萨养性方,A medical archive.,คัมภีร์ทางการแพทย์
ItemInfo_妙法莲华经,"Ancient Buddhist scriptures, said to have been passed down for a thousand years, very precious.","คัมภีร์พุทธโบราณว่ากันว่าสืบทอดกันมานานนับพันปี, ล้ำค่ามากมาก"
ItemInfo_楞伽经,"Ancient Buddhist scriptures, the supreme treasure of the first ancestor of Zen, Damo's transmission of the lamp imprint.","เป็นพระสูตรเก่าแก่เล่มหนึ่งในนิกายมหายาน เป็นสมบัติล้ำค่าของบรรพบุรุษคนแรกของนิกายเซน, เนื้อหากล่าวถึงบทสนทนาระหว่างพระศากยมุนีพุทธเจ้ากับพระมหามติโพธิสัตว์ที่เกาะลงกา"
ItemInfo_完颜乌珠的密信,"A secret letter written by Wanyan Wuzhu, asking you to give it to Lü Wenhuan, the pacifier of Chuxiang City.",จดหมายลับที่เขียนโดยหวันเหยียนอู๋จู ขอให้เจ้ามอบให้ลวี่เหวินหวน เจ้าเมืองฉู่เซียง
ItemInfo_仁字玉竹,"Jade bamboo with a ""benevolence"" pendant.","ไม้ไผ่หยกพร้อมจี้ ""ศีลธรรม"""
ItemInfo_义字玉竹,"Jade bamboo with a ""righteousness"" pendant.","ไม้ไผ่หยกพร้อมจี้ ""คุณธรรม"""
ItemInfo_礼字玉竹,"Jade bamboo with a ""courtesy"" pendant.","ไม้ไผ่หยกพร้อมจี้ ""มารยาท"""
ItemInfo_智字玉竹,"Jade bamboo with a ""wisdom"" pendant.","ไม้ไผ่หยกพร้อมจี้ ""ภูมิปัญญา"""
ItemInfo_信字玉竹,"Jade bamboo with a ""faith"" pendant.","ไม้ไผ่หยกพร้อมจี้ ""ซื่อสัตย์"""
ItemInfo_治疗腿疾的药,"Medicine that can heal leg injuries, not cheap at all.","ยารักษาอาการบาดเจ็บที่ขาได้, ไม่ถูกเลย"
ItemInfo_齐王引荐信,"With this letter of recommendation written by Duke Qi, you can easily join the Confucius Temple.","ด้วยจดหมายรับรองจากอ๋องฉี, เจ้าสามารถเข้าร่วมวัดขงจื้อได้อย่างง่ายดาย"
ItemInfo_巧舌秘典,"A book that records useful rhetoric for various occasions.\n<#d09a09>Usage: Can be read in the Confucius Temple Disciples' Living Quarter.</color>","หนังสือที่บันทึกวาทศิลป์ที่เป็นประโยชน์ในสถานการณ์ต่างๆ\n<#d09a09>ใช้สำหรับ: สามารถอ่านได้ที่ห้องลูกศิษย์ของวัดขงจื้อ</color>"
ItemInfo_商道通鉴,"A book full of mercantile methods.\n<#d09a09>Usage: Can be read in the Confucius Temple Disciples' Living Quarter.</color>","หนังสือที่เต็มไปด้วยวิธีการค้าขาย\n<#d09a09>ใช้สำหรับ: สามารถอ่านได้ที่ห้องลูกศิษย์ของวัดขงจื้อ</color>"
