﻿CharaName_引导者,Junior Sister,น้องสาว
CharaName_思晴,Siqing,ซื่อฉิง
CharaName_媚娘,Meiniang,เหมยเนียง
CharaName_芙蓉,Furong,ฝูหรง
CharaName_夏沫,Xiamo,เซี่ยม้อ
CharaName_缇娜,Tina,ทีน่า
CharaName_幽妍,Youyan,โย่วเหยียน
CharaName_屏蔚,PingWei,ผิงเว่ย
CharaName_蓝樱,Lanying,หลานยิง
CharaName_朵姬,Duoji,ตั่วจี้
CharaName_夜旋,Yexuan,เย่เฉวียน
CharaName_璎珞,Yingluo,หยิงลั่ว
CharaName_颜离,Yanli,หยานลี่
CharaName_如烟,Ruyan,รูเหยียน
CharaName_清沙,Qingsha,ฉิงชา
CharaName_婉儿,Waner,หว่านเอ๋อ
CharaName_慕樱,Muying,มู่หยิง
CharaName_莫奈,Monai,โม่หนาย
CharaName_依娜,Yina,อี้หนา
CharaName_丹,Dan,ต้าน
CharaName_刘,Liu,หลิว
CharaName_释心,Shixin,ฉื่อซิน
CharaName_释名,Shiming,ชื่อหมิง
CharaName_释我,Shiwo,ชื่อว่อ
CharaName_释空,Shikong,ชื่อกง
CharaName_释能,Shineng,ชื่อเหนิง
CharaName_释净,Shijing,ชื่อจิง
CharaName_释德,Shide,ชื่อเต๋อ
CharaName_释惠,Shihui,ชื่อเฮว่
CharaName_清,Qing,ชิง
CharaName_杨子,Yangzi,หยางสื่อ
CharaName_崖子,Yazi,หยาสื่อ
CharaName_书远,Shuyuan,ชือหยวน
CharaName_腾,Teng,เท้ง
CharaName_狞,Ning,หนิง
CharaName_大力,Dali,ต้าหลี่
CharaName_石,Shi,ฉือ
CharaName_大,Da,ต้า
CharaName_二,Er,เอ้อร์
CharaName_三,San,ซาน
CharaName_无惧,Wuju,หวู่จู
CharaName_无畏,Wuwei,หวู่เว่ย
CharaName_无敌,Wudi,หวู่ตี้
CharaName_琴,Qin,ฉิน
CharaName_行健,Xingjian,ฉิงเจี้ยน
CharaName_大牛,Daniu,ต้าเหนียว
CharaName_老二,Laoer,เหลาเอ้อร์
CharaName_无八,Wuba,หวูปา
CharaName_子,Zi,จื่อ
CharaName_屑,Xue,เสี่ย
CharaName_狗,Gou,โก้ว
CharaName_朋,Peng,เผิง
CharaName_儒圣馆弟子,Confucius Temple Disciple,ศิษย์วัดขงจื๊อ
CharaName_黑子,Black Piece,หมากดำ
CharaName_白子,White Piece,หมากขาว
CharaName_年轻女子,Young Woman,หญิงสาว
CharaName_神秘人,Mysterious Man,บุรุษลึกลับ
CharaName_山贼-甲,Mountain Bandit-A,โจรภูเขา - อี้
CharaName_山贼-乙,Mountain Bandit-B,โจรภูเขา - เอ้อร์
CharaName_狼,Wolf,หมาป่า
CharaName_野猪,Wild Boar,หมูป่า
CharaName_祭酒,Libationer,เจ้าพิธี
CharaName_妙音坊弟子,Melody House Disciple,ศิษย์ตำหนักบทเพลง
CharaName_家丁,Servant,คนรับใช้
CharaName_蝮蛇,Viper,งูพิษ
CharaName_毒蝎,Poisonous Scorpion,แมงป่องพิษ
CharaName_猛虎,Fierce Tiger,เสือดุร้าย
CharaName_燕子窝弟子,Swallow Nest disciple,ศิษย์รังนกนางแอ่น
CharaName_镖师,Escort master,ผู้คุ้มภัย
CharaName_机关人,Machinery Man,ช่างกล
CharaName_西域商人,Western merchant,พ่อค้าแดนตะวันตก
CharaName_个性跳脱的画师,Eccentric painter,จิตกรประหลาด
CharaName_清冷无言的女子,Cold and silent woman,สตรีผู้เงียบงันและเย็นชา
CharaName_不苟言笑的道士,A serious Taoist,นักพรตเต๋าท่าทีเคร่งเครียด
CharaName_guid-1主角,Vinegar Shrimp,กุ้งผัดเปรี้ยวหวาน
CharaName_女子,Woman,หญิงสาว
CharaName_商人,Merchant,พ่อค้า
CharaName_阴狠的流浪刀客,Sinister Wandering Swordsman,มือกระบี่พเนจร
CharaName_滑稽的怪异老者,Funny Weird Old Man,ชายชราน่าขันพิลึก
CharaName_嚣张的江湖剑客,Arrogant Wandering Swordsman,มือกระบี่พเนจรหยิ่งทระนง
CharaName_满头大汗的铁匠,Sweating Blacksmith,ช่างตีเหล็กเหงื่อท่วม
CharaName_普普通通的老人,Ordinary Old Man,ชายชราธรรมดา
CharaName_鬼手神匠,Ghost Hand Divine Craftsman,ช่างฝีมือหัตถ์พระเจ้า
CharaName_冷酷的流浪刀客,Cold Wandering Swordsman,มือกระบี่พเนจรสุดเท่
CharaName_无名,Nameless,ไร้นาม
CharaName_通天塔主人,Sky Breaker Tower Master,ปรมาจารย์แห่งหอสูงเทียมฟ้า
CharaName_雄赳赳,Heroic,วีรชน
CharaName_咯咯哒,Giggling,เอ้ก อี้ เอ้ก
CharaName_冷峻的江湖刀客,The stern martial artist with a knife,มือดาบหน้านิ่ง
CharaName_帅气的江湖剑客,The handsome martial artist with a sword,ชาวยุทธสุดหล่อ
CharaName_喽啰甲,Thug A,อันธพาล - อี้
CharaName_喽啰乙,Thug B,อันธพาล - เอ้อร์
CharaName_门派余孽甲,Sect Remnant A,ศิษย์ที่เหลือรอด - อี้
CharaName_门派余孽乙,Sect Remnant B,ศิษย์ที่เหลือรอด - เอ้อร์
CharaName_扶摇子,
CharaName_醋,
CharaName_小虾,
