﻿Fame-35_1_1,This pigeon letter...,นกพิราบส่งสาร...
Fame-35_27_4,Only women and villains are difficult to raise. Why should I argue with you?,มีแต่สตรีและโจรชั่วเท่านั้นที่ยากจะเลี้ยงดู เหตุใดข้าต้องเสียเวลาเถียงกับเจ้าด้วย?
Fame-35_27_5,You--!,เจ้า——!
Fame-35_27_6,"Both of you... The person in question isn't here, what's the use of arguing so fiercely...",ทั้งสองท่าน... บุคคลที่พวกท่านกล่าวถึงมิได้อยู่ที่นี่ จะโต้เถียงกันไปใยให้เสียเวลา...
Fame-35_27_7,Hmph!,ฮึ่ม!
Fame-35_28_1,……,……
Fame-35_28_2,"Master, why do you look like you have something to say but are holding back?",ท่านอาจารย์ เหตุใดท่านถึงมีท่าทีเหมือนมีเรื่องจะกล่าวแต่กลับอ้ำอึ้งไว้เช่นนั้น?
Fame-35_28_3,"It's nothing, I'm just a bit tired. I'll go rest for a while.",ไม่มีอะไร ข้าแค่เหนื่อยนิดหน่อย พักกันสักครู่เถอะ
Fame-35_29_1,"{PlayerName}, you are now a significant figure in the martial arts world. You should also attend this Sword Duel Convention.",{PlayerName} เจ้าเป็นบุคคลสำคัญในยุทธภพแล้ว ควรเข้าร่วมงานชุมนุมวิจารณ์กระบี่ครั้งนี้ด้วย
Fame-35_29_2,"Dojokeeper is right, I should also do my part.",ท่านกล่าวได้ถูกต้องแล้ว ข้าก็ควรจะทำหน้าที่ของตนเองเช่นกัน
Fame-35_29_3,"Good, very good. The Sword Discussion Platform is in Wuyue Region, it would be a good story for you and me to go there together.",ดี ดีมาก ลานวิจารณ์กระบี่นี้อยู่ในเขตอู๋เยว่ คงจะดีไม่น้อยหากเจ้ากับข้าจะไปที่นั่นด้วยกัน
Fame-35_30_1,"Hehe, I wonder who will be able to win my weapon this year.",ฮึๆ ข้าอยากรู้จริงๆ ว่าในปีนี้ใครจะคว้าชัยและสามารถครอบครองอาวุธของข้าได้
Fame-35_31_1,Master? You mean...,ท่านอาจารย์ ความหมายของท่านคือ...
Fame-35_32_1,"Senior Jian Chi, you mean...",ผู้อาวุโสมารกระบี่ ความหมายของท่านคือ...
Fame-35_33_1,"Hehe, this Sword Duel Convention was originally organized by me and a few friends. At that time, vagabonds from all over the world will gather here to make friends through martial arts, and I will also give them some guidance.",หึหึ เดิมทีแล้วงานชุมนุมวิจารณ์กระบี่นี้ ข้าและเหล่าสหายเป็นผู้จัดขึ้น ยอดฝีมือทั่วหล้าจะมารวมตัวกันที่นี่เพื่อผูกมิตรภาพผ่านการประลองยุทธ์ และข้าจะให้คำชี้แนะแก่พวกเขาด้วย
Fame-35_33_2,The one who wins in the duel can even get the Weapon personally forged by me.,ผู้ที่ชนะการประลองจะได้รับอาวุธที่ข้าเป็นผู้สร้างขึ้นมาด้วยตัวเอง
Fame-35_33_3,Really? There's a chance to get the legendary Weapon forged by Jian Chi himself! I want to go for this opportunity too!,จริงหรือ? เป็นโอกาสที่จะได้อาวุธระดับตำนานที่มารกระบี่เป็นผู้สร้างขึ้นมาด้วยตัวเอง! ข้าเองก็ต้องคว้าโอกาสนี้เอาไว้ด้วยแล้ว!
Fame-35_33_4,"...The sword is ultimately an external object. In my opinion, you no longer need a divine weapon to assist you. Instead, the Weapon in your hands will be regarded as a divine weapon by the world.",กระบี่เป็นเพียงของภายนอกกาย ในความคิดของข้า เจ้าไม่จำเป็นต้องพึ่งพาศาสตราเทพหรอก แม้แต่กระบี่ในมือของเจ้านั้น ยุทธภพจะถือว่าเป็นศาสตราเทพเอง
Fame-35_33_5,"Hahaha, I'm still far from it.",ฮาฮา ข้ายังห่างไกลนัก
Fame-35_33_6,"Don't be modest. I was far behind you at your age, otherwise I wouldn't have made those mistakes...",อย่าได้ถ่อมตนนัก ตัวข้าในวัยเท่าเจ้าก็ยังด้อยกว่าเจ้ามากนัก มิฉะนั้นข้าคงไม่ก่อความผิดพลาดเหล่านั้น...
Fame-35_33_7,...Mistakes?,...ความผิดพลาด?
Fame-35_33_8,"What's done is done, {PlayerName}, focus on the present. The Sword Discussion Conference is held on the Sword Discussion Platform in Wuyue Region, don't forget.","สิ่งที่ผ่านไปแล้วย่อมมิอาจหวนคืน {PlayerName} เจ้าจงตั่งมั่นอยู่กับปัจจุบัน\nงานชุมนุมวิจารณ์กระบี่จัดขึ้นที่ลานวิจารณ์กระบี่ในเขตอู๋เยว่ จงอย่าลืมซะล่ะ"
Fame-35_33_9,Yes~,ขอรับ~
Fame-35_34_1,Oh? Is it time for the Sword Duel Convention again?,โอ๊ะ? ถึงเวลาของงานชุมนุมวิจารณ์กระบี่อีกครั้งแล้วหรือนี่?
Fame-35_34_2,"Brother, do you know what this Sword Duel Convention is?",พี่ชาย รู้ไหมว่างานชุมนุมวิจารณ์กระบี่คืองานอะไร?
Fame-35_34_3,"Really, you don't even know this? This is a grand event in Jianghu every three years! It is said that all the heroes in the world will come to the Sword Discussion Platform to make friends through martial arts, and the winner of the martial arts competition can get a weapon made by the master himself!",จริงรึ ไม่รู้จักเลยหรือ? นี่คืองานชุมนุมอันยิ่งใหญ่ในยุทธภพที่จัดขึ้นทุกๆ สามปี! ว่ากันว่าเหล่ายอดฝีมือจากทั่วหล้าจะมาที่ลานวิจารณ์กระบี่ เพื่อสร้างมิตรภาพผ่านการประลองยุทธ์ และผู้ชนะการประลองจะได้รับอาวุธที่ปรมาจารย์เป็นผู้สร้างด้วยตัวเอง!
Fame-35_34_4,Heard of it? So you've never been there?,เคยได้ยินไหม? ไม่เคยเลยหรือ?
Fame-35_34_5,"I... My master never allows us to compete with others, especially me, I'm not even allowed to approach the Sword Discussion Platform...",ข้า... อาจารย์ของข้าไม่เคยอนุญาตให้แข่งขันกับผู้อื่น โดยเฉพาะอย่างยิ่ง ข้าไม่ได้รับอนุญาตให้เข้าใกล้ลานวิจารณ์กระบี่เสียด้วยซ้ำ...
Fame-35_34_6,Then you're talking as if you know everything.,เช่นนั้นเจ้าก็คงจะพูดราวกับว่าเจ้ารู้ทุกสิ่งอย่างสินะ
Fame-35_35_1,"Master didn't specifically say that the disciples in the pavilion can't participate, but he did say that the senior brother can't participate.",ท่านอาจารย์ไม่ได้บอกว่าไม่ให้ศิษย์ในสำนักเข้าร่วม แต่ท่านบอกว่าห้ามศิษย์พี่เข้าร่วมต่างหาก
Fame-35_35_2,Hey! Why does Master specifically forbid me to participate!,เพ้ย! ทำไมอาจารย์ถึงไม่ให้ข้าเข้าร่วมการประลองล่ะ!
Fame-35_35_3,"Senior brother, you should know the reason better than me.",ศิษย์พี่ ท่านน่าจะรู้เหตุผลดีกว่าข้านะ
Fame-35_35_4,"...I don't care! This opportunity is so rare, how can I not go and see the skills of those Vagabonds?",...ข้าไม่สนแล้ว! นี่เป็นโอกาสอันหายากยิ่ง ข้าจะไม่ไปดูฝีมือของเหล่าชาวยุทธ์ได้อย่างไร?
Fame-35_35_5,Is this okay? If his old man blames us in the future...,มันจะดีหรือ? หากเราถูกลงโทษในภายหลังล่ะ...
Fame-35_36_1,But the Weapon personally forged by Senior Jian Chi... This sounds interesting.,แต่อาวุธที่ผู้อาวุโสมารกระบี่สร้างขึ้น... มันน่าสนใจมากจริง
Fame-35_36_2,"What's so interesting, my sword is also forged by the master, I don't see anything interesting, it's better to learn martial arts with others!",น่าสนใจตรงไหนกับ กระบี่ในมือข้าก็เป็นท่านอาจารย์ตีขึ้นมา ข้าไม่เห็นว่าจะน่าสนใจตรงไหน ไปเรียนรู้วรยทธ์จากผู้อื่นยังจะดีเสียกว่า
Fame-35_36_3,"Since we happen to be here, shall we go and see the skills of these Vagabonds?",ในเมื่อเรามาถึงที่นี่พอดี จะลองไปดูฝีมือของพวกชาวยุทธสักหน่อยเป็นไร?
Fame-35_36_4,You just said that Master doesn't allow you to compete with others...,เมื่อกี้ท่านเพิ่งพูดอยู่ว่าอาจารย์ไม่อนุญาตให้ท่านประลองยุทธ์กับผู้อื่น...
Fame-35_37_1,"It's okay, as long as you're by my side, Master should turn a blind eye!",ไม่เป็นไรหรอกน่า ตราบใดที่เจ้ายังเข้าข้างข้า อาจารย์ย่อมทำเป็นมองไม่เห็นอยู่แล้วล่ะน่า!
Fame-35_37_2,Are you using me as a shield...,นี่ท่านใช้ข้าเป็นโล่กำบังงั้นหรือ...
Fame-35_37_3,"Alright, alright, let's go quickly, if we go late, we won't be able to catch up!",เอาน่า เอาน่า รีบไปกันเถอะ หากไปช้าเดี๋ยวจะพลาดเอานะ!
Fame-35_37_4,"Hey, don't just walk away like this...",นี่ท่าน อย่าจากไปแบบนี้สิ...
Fame-35_38_1,"Sword Duel Convention, so Master has been busy with this recently.",งานชุมนุมวิจารณ์กระบี่... ที่แท้ท่านอาจารย์ช่วงนี้ยุ่งอยู่กับเรื่องนี้นี่เอง
Fame-35_38_2,"Brother Ou Ye, what is this Sword Duel Convention?",พี่โอวเย่ งานชุมนุมวิจารณ์กระบี่คืออะไรหรือ?
Fame-35_38_3,It's a grand event in the martial arts world hosted by our master. They will invite martial artists from all over the world to make friends through martial arts. The winner of the duel can even get the weapon personally forged by the master.,นี่คืองานใหญ่ของยุทธภพที่จัดขึ้นโดยท่านอาจารย์ของเรา พวกเขาจะเชิญจอมยุทธ์จากทั่วทุกสารทิศมาเพื่อกระชับมิตรผ่านการประลอง ผู้คว้าชัยในการประลองจะได้รับอาวุธที่ท่านอาจารย์ตีขึ้นด้วยมือของตนเองเป็นรางวัล
Fame-35_38_4,"To be able to get a weapon personally forged by Senior Jian Chi, this is quite attractive!",การได้ครองอาวุธที่หลอมด้วยมือของผู้เฒ่ามารกระบี่ นี่มันช่างเย้ายวนใจเกินต้านทาน!
Fame-35_38_5,"Yes, so every Sword Duel Convention attracts many Vagabonds to participate. Master has repeatedly emphasized that there must be no mistakes. I still remember the last time the junior brothers in the pavilion were in a hurry.",ใช่แล้ว งานชุมนุมวิจารณ์กระบี่ทุกครั้งดึงดูดชาวยุทธ์จำนวนมากให้มาเข้าร่วม ท่านอาจารย์กำชับซ้ำแล้วซ้ำเล่าว่าต้องไม่มีข้อผิดพลาดใดๆ ข้ายังจำได้ดีว่าครั้งก่อนที่เหล่าศิษย์น้องในศาลาต่างเร่งรีบกันใหญ่
Fame-35_38_6,So what's it like at this Sword Duel Convention?,แล้วงานงานชุมนุมวิจารณ์กระบี่ครั้งนี้เป็นอย่างไรบ้าง?
Fame-35_38_7,I don't know about that. Master wants me to study the art of forging more than martial arts. I'm not interested in the martial arts of those martial arts sects like you.,เรื่องนั้นข้าไม่รู้หรอก ท่านอาจารย์ต้องการให้ข้าศึกษาวิถีแห่งการหลอมโลหะมากกว่าการฝึกฝนวรยุทธ ข้าไม่สนใจเรื่องวิทยายุทธของสำนักต่างๆ เหมือนเจ้าหรอกนะ
Fame-35_38_8,"Then, Brother Ou Ye, can you tell me where this Sword Duel Convention is held?",เช่นนั้น พี่โอวเย่ บอกข้าได้หรือไม่ ว่างานชุมนุมวิจารณ์กระบี่ครั้งนี้จัดขึ้นที่ใด?
Fame-35_38_9,"That's fine, it's in the Wuyue Region, not far from the Sword Pavilion.",ได้สิ งานจัดขึ้นในเขตอู๋เยว่ ไม่ไกลจากศาลากระบี่เท่าใดนัก
Fame-35_39_1,"Wow, a sword duel convention, this is a big deal, I can't miss it no matter what!",โอ้! งานชุมนุมวิจารณ์กระบี่ นี่มันเรื่องใหญ่ ข้าพลาดไม่ได้เป็นอันขาด!
Fame-35_39_2,"From what you're saying, this sword duel convention is quite impressive?",จากที่ท่านเล่ามา งานชุมนุมวิจารณ์กระบี่ครั้งนี้ดูเหมือนจะมีอะไรน่าสนใจมากมายงั้นสินะ?
Fame-35_39_3,Impressive? It's more than impressive! The only place in the world where you can see the Eight Saints and so many Vagabonds is this Sword Discussion Platform!,น่าสนใจ? มันมากกว่าคำว่าน่าสนใจเสียอีก! ที่นี่เป็นที่เดียวในยุทธภพที่เจ้าจะได้เห็นแปดเซียน และเหล่าจอมยุทธพเนจรมากมายเช่นนี้! นี่คือลานวิจารณ์กระบี่!
Fame-35_39_4,"It seems you know nothing about the sword duel convention, let me tell you about it!",ดูท่าเจ้าจะไม่รู้เรื่องงานชุมนุมวิจารณ์กระบี่เลยสินะ! เช่นนั้นให้ข้าบอกกล่าวให้กระจ่างเอง!
Fame-35_39_5,"This Sword Discussion Conference is organized by the Eight Saints, held every three years, and the venue is the Sword Discussion Platform next to the Langya Sword Pavilion.",งานชุมนุมวิจารณ์กระบี่นี้จัดขึ้นโดยแปดเซียน จัดขึ้นทุกสามปี สถานที่จัดคือลานวิจารณ์กระบี่ข้างศาลากระบี่หลางหยา!
Fame-35_39_6,"At that time, not only the Eight Saints, but also famous and unknown heroes from all over the world will gather here, making friends through martial arts on the Sword Debate Platform.",ในเวลานั้น ไม่เพียงแต่แปดเซียนเท่านั้น แต่ยังมีเหล่าจอมยุทธผู้มีชื่อเสียงและไร้ชื่อเสียงจากทั่วทุกสารทิศมาชุมนุมกันที่นี่ เพื่อผูกมิตรด้วยการประลองยุทธ์บนลานประลองกระบี่แห่งนี้
Fame-35_39_7,"The Eight Saints will give advice on the shortcomings of the Vagabonds' moves, and with the guidance of the immortals, they can often achieve enlightenment!",แปดเซียนจะให้คำชี้แนะเกี่ยวกับข้อบกพร่องในกระบวนท่าของเหล่าชาวยุทธ์ และด้วยการชี้แนะของเหล่าเซียน พวกเขามักจะบรรลุถึงความรู้แจ้งได้!
Fame-35_39_8,What's even more impressive is that the knights who win in the competition can get a divine weapon made by Jian Chi himself!,ที่น่าตื่นตาตื่นใจยิ่งกว่านั้นคือ ยอดฝีมือที่ชนะการประลองจะได้รับอาวุธวิเศษที่มารกระบี่หลอมขึ้นด้วยตัวเอง!
Fame-35_39_9,"Imagine who wouldn't want to hold a weapon made by Jian Chi when traveling the world? Therefore, the most lively event in the world is the sword duel convention!",เพียงคิดดูสิ ผู้ใดบ้างจะไม่อยากครอบครองอาวุธที่มารกระบี่หลอมขึ้นเมื่อออกท่องยุทธภพ? ด้วยเหตุนี้ งานชุมนุมวิจารณ์กระบี่จึงเป็นงานที่คึกคักที่สุดในยุทธภพ!
Fame-35_40_1,I see.,เป็นเช่นนี้เอง
Fame-35_40_2,"Brother, we must not miss this excitement! These are all the materials for my storytelling, I've thought about the title, it's called ""Mysterious Man makes a scene on the Sword Debate Platform, {PlayerSurName} hero decides Heaven and Earth in one move""!","น้องชาย พวกเราต้องไม่พลาดความตื่นเต้นครั้งนี้! นี่มันเป็นเนื้อหาให้ข้าไปเล่าขานเลยนะ ข้าคิดชื่อเรื่องไว้แล้ว - ""บุรุษลึกลับสร้างความวุ่นวายบนลานประลองกระบี่ จอมยุทธ์{PlayerSurName} ตัดสินฟ้าดินในกระบวนท่าเดียว""!"
Fame-35_40_3,The title of your book seems to curse something will definitely happen on the Sword Debate Platform.,ชื่องานเขียนของท่านนี่ ช่างดูเหมือนเป็นการแช่งให้เกิดเหตุการณ์ร้ายบนลานวิจารณ์กระบี่เลยนะ
Fame-35_40_4,"It's not a curse, it's ups and downs, that's what the audience likes!\nWell, let's hurry up and go!","แช่งอะไรกัน นั่นเรียกว่าความพลิกผันต่างหาก ผู้ฟังถึงจะชอบ!\nเอาล่ะ อย่ามัวรีรอ ไปกันเถอะ!"
Fame-35_41_1,"I see, but Jian Chi is dead, I don't know what will be given out at this year's sword duel convention.",เป็นเช่นนี้นี่เอง แต่ว่ามารกระบี่ได้ล่วงลับไปแล้ว ข้าสงสัยว่างานชุมนุมวิจารณ์กระบี่ในปีนี้จะมีสิ่งใดเป็นรางวัล
Fame-35_41_2,"Indeed, this year is different from the past, but that makes it even more curious. Let's hurry up and go!",จริงอยู่ ปีนี้ไม่เหมือนทุกปีที่ผ่านมา แต่นั่นแหละที่ทำให้ผู้คนยิ่งอยากรู้อยากเห็น อย่ามัวรีรอ ไปกันเร็วเข้า!
Fame-35_42_1,"Following big brother really has meat to eat, I didn't expect that one day I would have the opportunity to participate in such a martial arts event!",ติดตามพี่ใหญ่แล้วมีแต่ได้จริงๆ ไม่คิดเลยว่าวันหนึ่งข้าจะมีโอกาสได้เข้าร่วมงานชุมนุมชาวยุทธเช่นนี้!
Fame-35_42_2,"Brother, do you also know about this martial arts event?",พี่ชาย ท่านรู้เรื่องเกี่ยวกับงานประลองยุทธ์นี้ไหม?
Fame-35_42_3,"Of course, this sword duel convention is held every three years, and the inn is full of Vagabonds before and after each convention.",แน่นอนว่างานชุมนุมวิจารณ์กระบี่นี้จัดขึ้นทุกสามปี และโรงเตี๊ยมก็คราคร่ำไปด้วยเหล่าชาวยุทธ์ทั้งก่อนและหลังการจัดงาน
Fame-35_42_4,"Although I don't know the details, I heard from those knights that the Eight Saints will personally guide their martial arts at the convention, and those who dominate the convention can get a weapon made by Jian Chi himself!",แม้ว่าข้าไม่รู้รายละเอียดมากนัก แต่ก็ได้ยินมาว่าแปดเซียนจะคอยชี้แนะวรยุทธ์ให้พวกเขาในงานชุมนุมด้วยตนเอง และผู้ที่เอาชนะงานชุมนุมได้ จะได้รับอาวุธที่มารกระบี่สร้างขึ้นมาเองกับมือ!
Fame-35_43_1,"To get personal guidance from the Eight Saints and a weapon made by Jian Chi himself, such opportunities are indeed rare, there must be a lot of people flocking to it.",การได้รับคำชี้แนะส่วนตัวจากแปดเซียน และอาวุธที่มารกระบี่สร้างขึ้นมาเองนั้น โอกาสเช่นนี้ถือว่าหายากจริงๆ ต้องมีผู้คนมากมายแห่แหนกันไปที่นั่นเป็นแน่
Fame-35_44_1,"Jian Chi is dead, there will probably not be this part in this year's sword duel convention, but in the past, there must have been a lot of people flocking to it.",มารกระบี่ตายไปแล้ว อาจจะไม่มีส่วนนี้ในงานชุมนุมวิจารณ์กระบี่ปีนี้ แต่ในอดีตคงมีผู้คนแห่แหนไปร่วมงานนี้กันอย่างมากมาย
Fame-35_45_1,"Yes, there are always a lot of Vagabonds coming. I even heard that some Vagabonds, in order to get Jian Chi's weapon, do not hesitate to poison others...",ใช่แล้ว มีพวกชาวยุทธ์จำนวนไม่น้อยมาที่นี่ ข้ายังได้ยินมาด้วยว่าบางคนใช้วิธีวางยาพิษผู้อื่นเพียงเพื่อจะได้อาวุธของมารกระบี่...
Fame-35_45_2,This... Don't the Eight Saints care?,นี่... แล้วแปดเซียนไม่จัดการอะไรเลยหรือ?
Fame-35_45_3,"There are hundreds, if not dozens, of knights coming from all over the world, they are just mortals, how can they manage?",มีผู้คนนับร้อยมาจากทั่วยุทธภพ พวกเขามีกันอยู่แค่นั้น จะจัดการอะไรได้?
Fame-35_45_4,That's true...,นั่นก็จริง...
Fame-35_45_5,"Alright big brother, less idle talk, take me to join the fun quickly!",เอาล่ะพี่ใหญ่ เลิกคุยเรื่อยเปื่อยแล้วรีบพาข้าไปร่วมสนุกเถอะ!
Fame-35_46_1,There's another sentence on the back of the letter.,มีอีกประโยคหนึ่งอยู่ด้านหลังจดหมาย
Fame-35_46_2,"""Wuyue Region, north of the Sword Pavilion, Sword Debate Platform.""","""เขตอู๋เยว่ ทิศเหนือของศาลากระบี่ ลานวิจารณ์กระบี่"""
Fame-35_46_3,It seems this is the location of the sword duel convention.,เหมือนจะเป็นสถานที่จัดงานชุมนุมวิจารณ์กระบี่นะ
Fame-35_47_1,It would be great if there was a chance to see those rare kung fu at this sword duel convention.,คงจะดีไม่น้อยหากมีโอกาสได้ชมวรยุทธ์อันหายากในงานชุมนุมวิจารณ์กระบี่ครั้งนี้
Fame-35_48_1,"The ancestral butcher's knife technique, I wonder if it can catch the eyes of those seniors.",ข้าไม่รู้ว่าวิชาการใช้มีดที่สืบทอดมาจากบรรพบุรุษของข้าจะได้รับการชื่นชมจากผู้อาวุโสเหล่านั้นหรือไม่
Fame-35_49_1,"If I could get guidance from a master, my skills would definitely improve.",หากข้าได้รับคำชี้แนะจากอาจารย์ วรยุทธ์ของข้าจะต้องดีขึ้นอย่างแน่นอน
Fame-35_50_1,"Yay, there's going to be a show~",เยี่ยมเลย งานกำลังจะเริ่มแล้ว~
Fame-35_51_1,"Being pointed at by the Han people is a bit annoying, but it's not bad to exchange skills!",การที่ถูกชาวฮั่นชี้หน้ามันน่าหงุดหงิดนิดหน่อย แต่การได้แลกเปลี่ยนวรยุทธ์กันก็ไม่ใช่เรื่องแย่!
Fame-35_52_1,"Just right, I also want to test my current level of skills.",พอดีว่าข้าก็อยากจะทดสอบระดับฝีมือของข้าตอนนี้อยู่ด้วยเหมือนกัน
Fame-35_53_1,"Whether it's the martial arts world or martial arts, sister is not interested, but if you want to go, then sister will accompany you.",ข้าไม่สนใจเรื่องยุทธภพหรือวรยุทธ์อะไรนั่นหรอก แต่ถ้าท่านอยากไป ข้าก็จะไปด้วย
Fame-35_54_1,"Ha ha ha, we The Divine Hawk Hero must show our skills at this conference and become famous!",ฮ่า ฮ่า ฮ่า พวกเราวีรบุรุษอินทรีศักดิ์สิทธิ์ จะต้องแสดงฝีมือในงานชุมนุมนี้และสร้างชื่อเสียงให้โด่งดังให้ได้!
Fame-35_55_1,"What swordsmanship conference, it sounds boring, {PlayerName}, why not accompany me for a few rounds?",งานชุมนุมวิจารณ์กระบี่อะไรกัน ฟังดูน่าเบื่อจริงๆ {PlayerName} ทำไม่ไม่มาประลองกับข้าสักสองสามรอบล่ะ?
Fame-35_56_1,"Brother, please wait.",พี่ชาย รอประเดี๋ยว
Fame-35_56_2,Hmm? Are you calling me?,หืม? เรียกข้าหรือ?
Fame-35_56_3,"Yes, you look like a martial artist, are you going to the Swordsmanship Conference?",ใช่แล้ว ดูท่าทางท่านเหมือนกับผู้ฝึกวรยุทธ์ ท่านกำลังจะไปที่งานชุมนุมวิจารณ์กระบี่ใช่ไหม?
Fame-35_56_4,"Yes, I'm going to the Swordsmanship Conference, what's the matter?",ใช่แล้ว ข้ากำลังจะไป มีอะไรงั้นรึ?
Fame-35_56_5,"Great, I'm also going to this Sword Debate Conference, but I've been wandering around here for a while and can't find where the Sword Debate Platform is.",เยี่ยมเลย ข้าเองก็กำลังจะไปงานชุมนุมวิจารณ์กระบี่เช่นกัน แต่ว่าข้าเดินวนรอบๆแถวนี้มาสักพักแล้วยังหาลานวิจารณ์กระบี่ไม่พบเลย
Fame-35_56_6,This... The Sword Debate Platform should be nearby...,นี่... ลานวิจารณ์กระบี่น่าจะอยู่แถวๆนี้แหละ...
Fame-35_56_7,"Since you know where this Sword Debate Platform is, would you be willing to take me there?",ในเมื่อท่านรู้ว่าลานวิจารณ์กระบี่อยู่ที่ใด ท่านช่วยพาข้าไปด้วยได้ไหม?
Fame-35_56_8,"That's no problem, it's on the way, you can follow me.",ไม่มีปัญหา ตามข้ามาได้เลย
Fame-35_56_9,"Thank you, brother, my name is Gongsun Hui.",ขอบคุณพี่ชาย ข้ามีนามว่ากงซุนฮุ่ย
Fame-35_56_10,{PlayerName}。,ข้า {PlayerName}
Fame-35_56_11,Nice to meet you.,ยินดีที่ได้พบท่าน
Fame-35_57_1,"The Sword Debate Platform should be right ahead, do you want to participate in the Sword Debate Conference?",ลานวิจารณ์กระบี่น่าจะอยู่ข้างหน้านี้แหละ เจ้าจะเข้าร่วมประลองในงานชุมนุมวิจารณ์กระบี่ด้วยไหม?
M5069-1_1_1,"Brother, is this the Sword Debate Platform?",พี่ชาย นี่คือลานวิจารณ์กระบี่ใช่ไหม?
M5069-1_1_2,"Well, this should be the Sword Debate Platform.",แน่นอน ลานวิจารณ์กระบี่คงจะเป็นที่นี่แหละ
M5069-1_1_3,But it doesn't look like it.,แต่มันดูไม่ค่อยเหมือนเลยนะ
M5069-1_2_1,What are you two dazed about? It's another shichen's walk to the Sword Debate Platform after this.,เจ้าสองคนสับสนอะไรหรือเปล่า? จากตรงนี้ต้องเดินไปอีกหนึ่งชั่วยาม จึงจะถึงลานวิจารณ์กระบี่นะ
M5069-1_2_2,...Didn't you say you've never been to the Sword Debate Platform?,...อย่าบอกนะว่าเจ้าไม่เคยเข้าร่วมลานวิจารณ์กระบี่เลย?
M5069-1_2_3,"No, no, no, I just haven't been to the Sword Debate Platform during the Sword Debate Conference, we regularly come here to maintain the venue when there is no conference.",ไม่ ไม่เลย ข้าไม่เคยมาที่ลานวิจารณ์กระบี่ระหว่างที่จัดงานชุมนุมวิจารณ์กระบี่เลย ข้าจะมาที่นี่เพื่อดูแลสถานที่เวลาที่ไม่มีการจัดงานเท่านั้น
M5069-1_3_1,"Of course this is not the Sword Debate Platform, this is the road to the Sword Debate Platform, it's another half shichen's walk to the Sword Debate Platform after this.",แน่นอนว่าที่นี่ไม่ใช่ลานวิจารณ์กระบี่ ที่นี่คือเส้นทางไปยังลานวิจารณ์กระบี่ หลังจากนี้ยังต้องเดินไปต่ออีกครึ่งชั่วยามจึงจะถึงลานวิจารณ์กระบี่
M5069-1_4_1,"This is the mountain road to the Sword Debate Platform, it's another more than a shichen's climb after this.",นี่คือเส้นทางบนเขาที่มุ่งสู่ลานวิจารณ์กระบี่ จากนี้ต้องขึ้นเขาไปอีกหนึ่งชั่วยามจึงจะถึง
M5069-1_5_1,"I see, thank you for the information.",เช่นนี้นี่เอง ขอบคุณที่ช่วยบอกนะ
M5069-1_6_1,"Huff... Huff... Brother, are we not at the Sword Debate Platform yet?",แฮ่ก... แฮ่ก... พี่ชาย นี่เรายังไม่ถึงลานวิจารณ์กระบี่อีกเหรอ?
M5069-1_6_2,"Brother, there are two more shichen, hang in there.",พี่ชาย ยังต้องไปต่ออีกสองชั่วยาม ทนหน่อยนะ
M5069-1_6_3,"Huff... I can't go on, brother, I'm exhausted...",แฮ่ก... ข้าไปต่อไม่ไหวแล้วพี่ชาย ข้าเหนื่อยแล้ว...
M5069-1_6_4,"Brother, there's a Tea Stall ahead—",พี่ชาย ข้างหน้ามีร้านน้ำชาอยู่—
M5069-1_6_5,"Great, there's always a way out!",เยี่ยมเลย เมื่อเจอปัญหาย่อมมีทางออกเสมอ!
M5069-1_7_1,"It seems that this is indeed the road to the Sword Debate Platform, I was wrong to blame you.",เหมือนว่านี่จะเป็นทางไปลานวิจารณ์กระบี่จริงๆ ข้าตำหนิท่านผิดไปแล้ว
M5069-1_7_2,"No problem, I was also stunned when I first came in.",มิเป็นไรหรอก ตอนข้ามาครั้งแรกก็อึ้งไปเลยเหมือนกัน
M5069-1_7_3,"There's a Tea Stall ahead, let me treat you to a cup of tea as an apology.",ข้างหน้านั่นมีร้านน้ำชา ข้าขอเลี้ยงชาสักถ้วยหนึ่งเพื่อเป็นการขอโทษก็แล้วกันนะ
M5069-1_7_4,That's not necessary...,นั่นไม่จำเป็นหรอก...
M5069-1_7_5,"So you don't like tea, brother?",พี่ชายไม่ชอบดื่มชางั้นหรือ?
M5069-1_7_6,"Not really... It's just that the Swordsmanship Conference is about to start, I don't want to waste any shichen.",ไม่หรอก... ก็แค่งานชุมนุมวิจารณ์กระบี่กำลังจะเริ่มขึ้นแล้วเท่านั้น ข้าไม่อยากเสียเวลาไปเปล่าๆ
M5069-1_7_7,"I see, it was my lack of consideration, let's hurry to the Sword Debate Platform.",เช่นนี้เอง เป็นข้าที่คิดน้อยเกินไป รีบไปที่ลานวิจารณ์กระบี่กันเถอะ
M5069-1_7_8,"Two heroes, there are still two shichen's journey to the Sword Debate Platform ahead, why not sit down and have a cup of tea and rest your feet at my place first?",จอมยุทธทั้งสอง ยังต้องเดินทางอีกสองชั่วยามเพื่อจะไปลานวิจารณ์กระบี่อยู่ข้างหน้า ทำไมไม่นั่งลงจิบชาสักถ้วยและพักขาที่นี่เสียหน่อยล่ะ?
M5069-1_7_9,"No, we're in a hurry.",ไม่ได้หรอก พวกเรากำลังรีบ
