﻿M2341-14_0_0_1,There is a lingering smell of white vinegar...,มีกลิ่นน้ำส้มสายชูขาวจางๆ ที่ไม่จางหายไป...
M2346-1_4_5,Why not? Please have a look.,ทำไมจะไม่ได้เล่า? โปรดชมภาพตามสบายเถิด
M2346-1_4_6,"What Ma Qingshan painted is the scenery in front of us, but he also added a lot of things that are not here.",ภาพเขียนของ หม่าชิงซาน แม้สะท้อนให้เห็นทิวทัศน์ตรงหน้า แต่เขากลับเติมแต่งสิ่งที่มิได้มีอยู่จริงเข้าไปมากมาย
M2346-1_4_7,"A terrible fight took place here, many people killed each other, causing heavy casualties, the scene is straightforward and terrifying.",ดูสิ ที่แห่งนี้เคยมีการต่อสู้อันดุเดือด ผู้คนเข่นฆ่าซึ่งกันและกัน นองเลือดนับไม่ถ้วน ภาพเบื้องหน้านี้ช่างโหดร้ายและน่าสะพรึงกลัวยิ่งนัก
M2346-1_4_8,"I admit that your technique is superb, and your landscape painting is unparalleled, but why are you adding terrifying things to the scene!",ข้ายอมรับว่าท่านมีฝีมือล้ำเลิศ วาดทิวทัศน์ได้งดงามไร้ที่ติ แต่ไยท่านจึงเติมสิ่งน่าสะพรึงกลัวลงไปในภาพเล่า!
M2346-1_4_9,Where did I add anything? Isn't it something that's all over the place?,ข้าเพิ่มสิ่งใดกัน? สิ่งที่เห็นนั้นมิใช่หรือ เป็นสภาพที่ปรากฏอยู่ทั่วทุกหนแห่ง?
M2346-1_4_10,Where? Look at this...,อยู่ที่ใดกัน? ดูให้ดีเถิด...
M2346-1_4_11,"Wait... Look closely here, there are some inconspicuous, blood seeping into the soil...",เดี๋ยวก่อน... ดูให้ถี่ถ้วนตรงนี้ มีรอยเลือดที่แทบสังเกตไม่เห็น ซึมลึกลงสู่ผืนดิน...
M2346-1_4_12,"If you don't look carefully, it's really hard to notice...",หากมิได้พินิจดูอย่างถี่ถ้วน ก็ยากนักที่จะสังเกตเห็น...
M2346-1_4_13,"No, it's everywhere, you could say it's flowing all over the mountain path, take a sniff, the wind is blowing with a stench...",มิใช่เช่นนั้น มันอยู่ทั่วทุกหนแห่ง อาจกล่าวได้ว่าโลหิตไหลนองไปทั่วเส้นทางบนภูผา ลองสูดกลิ่นดู สายลมที่พัดผ่านนำพากลิ่นคาวเลือดอันชวนสะอิดสะเอียน...
M2346-1_4_14,"Look at the trees again, branches broken, the trunk is full of traces of knife and axe...",จงดูต้นไม้อีกครา กิ่งก้านหักระเนระนาด ลำต้นเต็มไปด้วยร่องรอยคมดาบและขวาน...
M2346-1_4_15,"It can be said that at least ten people were injured or killed in a fight in this area. And the road I just walked on, probably has many bloodstains.",อาจกล่าวได้ว่า อย่างน้อยก็มีผู้คนสิบรายที่บาดเจ็บหรือสิ้นชีวิตจากการต่อสู้ในพื้นที่แห่งนี้ และเส้นทางที่ข้าเพิ่งย่างผ่านมา เกรงว่าคงเต็มไปด้วยคราบโลหิตมากมาย...
M2346-1_4_16,"It's just that the battlefield has been cleaned up, and the wounded and dead bodies have been removed.",เพียงแต่สนามรบได้ถูกชำระล้างเรียบร้อยแล้ว ร่างของผู้บาดเจ็บและผู้ล่วงลับถูกเคลื่อนย้ายออกไปจนสิ้น...
M2346-1_4_17,I didn't expect such a thing to happen in this lush and grassy place...,ข้าไม่เคยคาดคิดว่า เหตุการณ์เช่นนี้จะเกิดขึ้น ณ ที่แห่งนี้... ดินแดนที่เต็มไปด้วยพฤกษาเขียวขจี และทุ่งหญ้าอันอุดมสมบูรณ์...
M2346-1_4_18,"You see, I didn't add anything randomly, it's just that you didn't see it!",ดูสิ! ข้ามิได้กุเรื่องขึ้นมาแต่อย่างใด เพียงแต่เจ้ายังมองไม่เห็นรายละเอียดเหล่านั้นต่างหาก!
M2346-1_5_1,What happened on this secluded mountain path near the Penglai Sect? What is its relation to the Penglai Sect?,ทางเดินบนเขาอันเร้นลับใกล้สำนักเผิงไหลแห่งนี้ เกิดเหตุการณ์ใดขึ้นกันแน่? และมีความเกี่ยวข้องกับสำนักเผิงไหลอย่างไร?
M2346-1_5_2,"The Penglai Sect, seemingly bustling and harmonious... what exactly happened?",สำนักเผิงไหลที่ดูเหมือนจะสงบสุขนั้น แท้จริงแล้วมีสิ่งใดซ่อนเร้นอยู่เบื้องหลัง?
M2346-1_6_1,"There are also traces of bloody fights in the firewood room, was this also part of the battlefield at that time?",ในห้องเก็บฟืนก็มีร่องรอยการต่อสู้นองเลือด หรือที่แห่งนี้ก็เป็นส่วนหนึ่งของสมรภูมิในครั้งนั้นด้วย?
M2346-1_7_1,"According to the conversation I overheard outside the wall, the Penglai Sect had an internal strife where half of the people died. This is probably one of the places where they fought.",จากถ้อยคำที่ข้าได้ยินมาจากนอกกำแพง สำนักเผิงไหลเกิดความแตกแยกภายใน ผู้คนล้มตายไปถึงครึ่งหนึ่ง... และที่แห่งนี้คงเป็นหนึ่งในสนามรบของพวกเขา
M2346-1_7_2,"I'm done with the painting here, I'm going to go somewhere else to take a look...",ข้าวาดภาพที่นี่เสร็จแล้ว จะไปสำรวจที่อื่นสักหน่อย...
M2346-1_7_3,"Wait, HorsePavilion Master, this mountain path is dangerous...",ช้าก่อน ท่านเจ้าสำนักหม่า ทางภูเขาสายนี้อันตรายนัก...
M2346-1_7_4,"By the way, this mountain path is dangerous, just now a few people who looked like Mountain Bandits were running around in my painting frame, it was annoying, so I let them lie down for a while, you better be careful!",จริงสิ ทางเดินบนเขานี้มีอันตราย เมื่อครู่มีกลุ่มโจรป่าหลายคนวิ่งวุ่นไปมาในกรอบภาพของข้า เห็นแล้วขัดหูขัดตา ข้าจึงให้พวกมันนอนพักไปสักครู่ ท่านจงระวังตัวด้วยเถิด!
M2346-1_7_5,Gone... What is Ma Qingshan's purpose?,หายตัวไปแล้วหรือ… หม่าชิงซาน ผู้นี้มีจุดประสงค์ใดกันแน่?
M2346-2_2a_1,"This must be one of the great hero's ink treasures, right?",นี่คงเป็นหนึ่งในลายพู่กันของจอมยุทธ์ผู้ยิ่งใหญ่กระมัง?
M2346-2_2a_2,"Looking at the depth and angle of the engraving, it feels like it was written with a sword. Using the sword as a pen, the writing is fast and not sluggish, engraving on the stone is as smooth as writing on paper, it can't be done without exquisite swordsmanship and profound internal strength.",ดูจากรอยสลักที่ลึกตื้นและมุมองศาแล้ว รู้สึกได้ว่าใช้กระบี่สลักไว้ การใช้กระบี่แทนพู่กัน การจรดกระบี่รวดเร็วแต่ไม่ติดขัด การสลักหินลื่นไหลราวกับใช้พู่กันเขียนบนกระดาษ ต้องเป็นวิชากระบี่อันล้ำเลิศและพลังภายในอันลึกซึ้งจึงจะกระทำได้
M2346-2_1_1,This rope that doesn't look very sturdy... can it really support a person climbing up?,เชือกเส้นนี้ดูไม่แข็งแรงนัก... จะรับน้ำหนักยามปีนป่ายได้จริงหรือ?
M2346-2_op1_1,Try to climb up along the rope.<color=#097a76>(10Stamina)</color>,ลองปีนขึ้นไปตามเชือกดู <color=#097a76>(แรงกาย 10)</color>
M2346-2_op1_2,"It's a bit dangerous, don't climb.",อันตรายเกินไป อย่าปีนเลยดีกว่า
M2346-2_2_1,"There's a rope tied to this stele, the other end of the rope hangs down the cliff, it seems you can climb down with the rope.",มีเชือกเส้นหนึ่งผูกติดกับศิลาจารึก ปลายเชือกอีกด้านทอดลงไปตามหน้าผา ดูเหมือนว่าจะใช้โรยตัวลงไปได้...
M2346-2_2_2,What does this stele say? Uh...,อ่านศิลาจารึกนี้ดูหน่อย... อืม...
M2346-2_2_3,"""I chased the eight thieves to this island.""","""ข้าไล่ล่าแปดโจรมาถึงเกาะแห่งนี้"""
M2346-2_3_1,Isn't this the content of the paper on Cook's body?,นี่มันเนื้อความเดียวกับในกระดาษที่พบบนร่างของพ่อครัวมิใช่หรือ?
M2346-2_3_2,So it was copied here...,ที่แท้ก็คัดลอกมาจากที่นี่เอง...
M2346-2_3_3,"Looking at the depth and angle of the engraving, it feels like it was written with a sword. Using the sword as a pen, the writing is fast and not sluggish, engraving on the stone is as smooth as writing on paper, it can't be done without exquisite swordsmanship and profound internal strength.",ดูจากรอยสลักที่ลึกตื้นและมุมองศาแล้ว รู้สึกได้ว่าใช้กระบี่สลักไว้ การใช้กระบี่แทนพู่กัน การจรดกระบี่รวดเร็วแต่ไม่ติดขัด การสลักหินลื่นไหลราวกับใช้พู่กันเขียนบนกระดาษ ต้องเป็นวิชากระบี่อันล้ำเลิศและพลังภายในอันลึกซึ้งจึงจะกระทำได้
M2346-2_3_4,"Who is ""I""? And who are the eight thieves?","""ข้า"" ที่กล่าวถึงเป็นผู้ใดกันแน่? แล้วแปดโจร คือผู้ใด?"
M2346-2_3_5,Never mind for now.,ช่างเถิด... ยังไม่ต้องพะวงกับเรื่องนี้ตอนนี้
M2346-2_4_1,"Looking at the depth and angle of the engraving, it feels like it was written with a sword. Using the sword as a pen, the writing is fast and not sluggish, engraving on the stone is as smooth as writing on paper, it can't be done without exquisite swordsmanship and profound internal strength.",ดูจากรอยสลักที่ลึกตื้นและมุมองศาแล้ว รู้สึกได้ว่าใช้กระบี่สลักไว้ การใช้กระบี่แทนพู่กัน การจรดกระบี่รวดเร็วแต่ไม่ติดขัด การสลักหินลื่นไหลราวกับใช้พู่กันเขียนบนกระดาษ ต้องเป็นวิชากระบี่อันล้ำเลิศและพลังภายในอันลึกซึ้งจึงจะกระทำได้
M2346-2_4_2,"Who is ""I""? And who are the eight thieves?","""ข้า"" ที่กล่าวถึงเป็นผู้ใดกันแน่? แล้วแปดโจร คือผู้ใด?"
M2346-2_4_3,Never mind for now.,ช่างเถิด... ยังไม่ต้องพะวงกับเรื่องนี้ตอนนี้
M2346-2_5_1,"There is a rope tied to this stone, hanging down the cliff.",เชือกเส้นหนึ่งผูกติดกับศิลาก้อนนี้ ทอดตัวห้อยลงไปตามหน้าผา...
M2346-2_op2_1,Try to climb down along the rope.<color=#097a76>(10Stamina)</color>,ข้าจะลองปีนลงไปตามเส้นทางของเชือก... <color=#097a76>(แรงกาย 10)</color>
M2346-2_op2_2,"It's a bit dangerous, don't climb.",อันตรายเกินไป อย่าปีนเลยดีกว่า
M2341-24_0_0_1,"Stop! This is the main hall of the Golden Basin Handwashing Convention, no one without an invitation or a wooden plaque is allowed in!",ช้าก่อน! ที่นี่คือห้องโถงใหญ่ของพิธีล้างมือในอ่างทองคำ ผู้ที่มิได้รับเทียบเชิญและมิมีป้ายไม้ โปรดอย่าล่วงล้ำ!
M2341-24_0_0_2,What should I do?,ข้าควรทำเช่นไรดี?
M2341-24_op1_1,How can I get in?,ข้าจะเข้าไปได้อย่างไร?
M2341-24_op1_2,I have a Fully Stamped Wooden Token.,ข้ามีป้ายไม้ที่ประทับตราครบถ้วน
M2341-24_op1_3,"I'm the deputy steward, let me in.",ข้าคือรองผู้ดูแล ขอเข้าไปด้วย
M2341-24_op1_4,Nothing. (Run away),ไม่มีอะไร (จากไป)
M2341-24_0_2_1,"If you want to enter the main hall, it's simple, as long as you have an invitation written by our Sect Leader, you can enter.",หากท่านต้องการเข้าสู่ห้องโถงใหญ่ ก็เป็นเรื่องง่ายดาย เพียงแค่ท่านมีจดหมายเชิญที่เขียนโดยประมุขสำนักของพวกเรา ท่านก็สามารถเข้าไปได้
M2341-24_0_2_2,"Those without an invitation can compete in the Arena for the qualification to enter, for more specific matters, you can ask the Emcee of the Arena.",ผู้ที่ไม่มีจดหมายเชิญ สามารถเข้าร่วมการประลองในสังเวียนเพื่อชิงสิทธิ์ในการเข้างานได้ สำหรับรายละเอียดเพิ่มเติม ท่านสามารถสอบถามได้จากโฆษกประจำสังเวียน
M2341-24_0_3_1,"(These two guards are standing here, they must have seen Wang Bushu, will it be risky to impersonate him?)",(ยามทั้งสองที่ยืนอยู่ตรงนี้ จะต้องเคยเห็นหวังปู้ซูแน่ๆ ถ้าจะปลอมตัวเป็นเขาคงเสี่ยงเกินไป)
M2341-24_0_3_2,"(Never mind, let's try.)",(ช่างเถอะ ลองดูก็แล้วกัน)
M2341-24_0_3_3,"See the Token in my hand? I'm the deputy steward, let me in.",เห็นตราประจำตำแหน่งในมือข้าหรือไม่? ข้าคือรองผู้ดูแล ขอเข้าไปด้วย
M2341-24_0_3_4,"Since you are a member of the sect, you should know the rules, are you here to deliver something?",ในเมื่อเจ้าเป็นศิษย์ของสำนัก เจ้าย่อมต้องรู้กฎระเบียบดี มาที่นี่เพื่อส่งของหรือ?
M2341-24_0_3_5,I'm here to deliver...,ข้ามาเพื่อส่ง...
M2341-24_op2_2,To deliver tea.,ข้ามาส่งชาน่ะ
M2341-24_op2_3,I don't have anything to deliver.,ข้ามิได้มีสิ่งใดจะส่ง
M2341-24_0_4_1,The kitchen asked me to deliver tea.,ทางโรงครัวใช้ให้ข้ามาส่งชาน่ะ
M2341-24_0_4_2,"Deliver tea? Let me see... oh, you gambler finally willing to work.",ส่งชารึ? ขอดูสักหน่อย... โอ้ เจ้าผีพนัน ในที่สุดก็ยอมทำงานแล้วสินะ
M2341-24_0_4_3,"(What's the situation with Wang Bushu? These two don't even recognize his face, but they know his fame...)",(น่าแปลกยิ่งนัก... สองคนนี้ไม่เคยเห็นโฉมหน้าของหวังปู้ซู แต่กลับรู้จักชื่อเสียงของเขาดี...)
M2341-24_0_4_4,"(Could he be a master of disguise, with the skill to change various faces?)",(อาจเป็นไปได้ว่าเขาเป็นยอดฝีมือด้านการพรางตัว มีวรยุทธ์พิเศษในการเปลี่ยนโฉมหน้าได้หลากหลาย?)
M2341-24_0_4_5,(Never mind.),(ช่างเถิด)
M2341-24_0_4_6,"The guard accepts the tea you brought, but only puts it in a brocade box.",ทหารยามรับชาที่ท่านนำมา แต่เพียงวางลงในหีบผ้าต่วนเท่านั้น
M2341-24_0_4_7,"Why put it in a box? If it's not given to someone to drink immediately, the tea will cool down, won't it?",เหตุใดจึงต้องเก็บไว้ในหีบด้วย? หากมิได้ยกให้ผู้ใดดื่มในยามนี้ น้ำชาก็จะเย็นชืดมิใช่หรือ?
M2341-24_0_4_8,"Don't you understand? It's not time for the tea ceremony yet, and this box is wrapped inside and out, layer upon layer, with the effect of keeping warm.",เจ้ายังไม่เข้าใจอีกหรือ? ยังไม่ถึงเวลาพิธีชงชา อีกทั้งหีบนี้ถูกห่อหุ้มทั้งในและนอก ซ้อนทับกันหลายชั้น มีคุณสมบัติรักษาความร้อนได้
M2341-24_0_4_9,"When it's time for the tea ceremony, it will be taken out, and the tea will still be warm.",เมื่อถึงเวลาพิธีชงชา จะนำออกมา น้ำชาก็ยังคงอุ่นอยู่
M2341-24_0_4_10,"If the martial saint Guan Gong had this box when he beheaded Hua Xiong, he might have been able to behead a few more generals and then drink warm wine.",หากท่านเทพสงครามกวนอูในกาลก่อน ตอนที่พิชิตฮัวหยง มีหีบนี้อยู่ บางทีอาจจะสามารถสังหารแม่ทัพได้อีกมากมาย แล้วค่อยกลับมาจิบสุราอุ่นๆ ก็คงจะดี
M2341-24_0_4_11,"Haha, makes sense.",ฮ่าๆ พูดเช่นนี้ก็มีเหตุผลยิ่ง
M2341-24_0_4_12,"After delivering the tea, you can leave.",หลังจากส่งชาแล้ว เจ้าก็กลับไปได้
M2341-24_0_4_13,"(Does it sound like they're not letting me, the deputy steward, in?)",(ท่าทางพวกเขาจะไม่ยอมให้ข้า รองผู้ดูแล เข้าไปกระมัง?)
M2341-24_0_4_14,"(Could it be that the rule is that apart from the martial arts champion, even the internal staff of the sect cannot enter the main hall? It's so heavily guarded...)",(อาจเป็นกฎว่านอกจากยอดยุทธ์แล้ว แม้แต่คนภายในสำนักก็เข้าไปในตำหนักใหญ่ไม่ได้กระมัง? รักษาการณ์เข้มงวดเสียเหลือเกิน...)
M2341-24_0_4_15,"Alright, then I'll take my leave.",ถ้าเช่นนั้น ข้าขอตัวลากลับก่อน
M2341-24_0_4a_1,"It is decreed that no one, even a steward, may enter without an item recorded in the book.",มีบัญชาจากเบื้องบน หากมิมีชื่อในบัญชี ต่อให้เป็นผู้ดูแล ก็มิอาจล่วงล้ำเข้าไปได้
M2341-24_0_4a_2,(No compromise at all... It seems I need to bring something...),(ไม่มีข้อยกเว้นใดๆ เลย... ดูท่าข้าต้องนำของบางอย่างมาเสียแล้ว...)
M2341-24_0_5_1,Aren't you a deputy steward? How come you have a wooden plaque too?,เจ้าเป็นถึงรองผู้ดูแลมิใช่หรือ? ไฉนจึงมีป้ายไม้ด้วยเล่า?
M2341-24_0_5_2,"Can't I, the deputy steward, participate in the martial arts competition? I want to go in, I also have this wooden card, any problem?",ข้าเป็นรองผู้ดูแลจะขึ้นประลองยุทธ์มิได้เชียวรึ? ไยข้าจะเข้าไปมิได้ ข้าก็มีป้ายไม้นี่อยู่ มีปัญหาอันใดหรือ?
M2341-24_0_5_3,Does that paper say what to do in this situation?,ในกระดาษแผ่นนั้น มีกล่าวถึงวิธีรับมือกับสถานการณ์เช่นนี้หรือไม่?
M2341-24_0_5_4,It doesn't say?,มิได้มีบันทึกไว้แม้แต่น้อย!
M2341-24_0_5_5,So what do we do?,เช่นนั้น พวกเราควรทำเช่นไรดี?
M2341-24_0_5_6,"Should we... let him in? After all, the rank of deputy steward is higher than ours...",หรือว่า... จะปล่อยเขาไป? อย่างไรเสียตำแหน่งรองผู้ดูแลก็สูงกว่าพวกเรามากนัก...
M2341-24_0_5_7,"And if anything happens, it won't be our fault,",และหากมีเรื่องใดเกิดขึ้น ก็มิใช่ความผิดของพวกเรา
M2341-24_0_5_8,Okay.,ตกลง
M2341-24_0_5_9,"Alright, you can go in. Remember, you're going in as a winner, not as a deputy steward.",ได้ ขอเชิญท่านผ่านเข้าไป แต่พึงจำไว้ ท่านเข้าไปในฐานะผู้ชนะ มิใช่ในฐานะรองผู้ดูแล
M2341-24_0_5_10,"Sure, sure, I won't cause you any trouble.",ขอบอกเลยว่า ข้าไม่สร้างปัญหาให้กับพวกเจ้าแน่นอน
M2341-24_0_6_1,(Examining the wooden plaque carefully),(ตรวจดูป้ายไม้อย่างพินิจพิเคราะห์)
M2341-24_0_6_2,"This wooden plaque... is too new, so new it looks like it was just carved...",ป้ายไม้นี้... ใหม่เกินไป ใหม่ราวกับเพิ่งแกะสลักเสร็จ...
M2341-24_0_6_3,Well... that's a coincidence!,เอ่อ... นั่นมัน... บังเอิญพอดี!
M2341-24_0_6_4,What's the coincidence?,บังเอิญอันใดรึ?
M2341-24_0_6_5,"The emcee brother stamped me fifteen times, and every time he held this stamp, he would mutter this.",พี่ชายโฆษกผู้นั้น ประทับตราให้ข้าถึงสิบห้าครั้ง และทุกคราที่เขาถือตรานี้ เขาจะพึมพำเช่นนี้ออกมา
M2341-24_0_6_6,Really?,อ้อ... เช่นนั้นหรือ?
M2341-24_0_6_7,"He's standing right there, if you don't believe me, you can call him over and ask.",เขายืนอยู่ตรงนั้น หากไม่เชื่อข้า เจ้าก็เรียกเขามาสอบถามได้มิใช่หรือ?
M2341-24_0_6_8,……,……
M2341-24_0_6_9,"Alright, please come in.",เชิญท่านเข้าไปได้
M2341-24_1_0_1,"This is the main hall, it seems the golden basin hand-washing ceremony hasn't started yet, the guests here are all socializing.",นี่คือโถงใหญ่ ดูเหมือนว่าพิธีล้างมือในอ่างทองคำจะยังไม่เริ่ม บรรดาแขกต่างกำลังพูดคุยสังสรรค์กันอยู่
M2341-24_1_0_2,I need to speed up and try to investigate the matter before the golden basin hand-washing ceremony begins...,ข้าต้องเร่งฝีเท้า และพยายามสืบสวนเรื่องนี้ ก่อนพิธีล้างมือในอ่างทองคำจะเริ่มขึ้น...
M2341-24_1_1_1,"Young hero, may I have a word with you?",ท่านจอมยุทธน้อย ให้ข้าได้สนทนาสักครู่ได้หรือไม่?
M2341-24_1_1_2,Hmm? Ah? Alright.,หืม? อ่า? ก็ได้
M2341-24_1_1_3,"Young hero, the main hall is full of ears and eyes, and my master can't talk to you in public, so he asked me to convey a few things to you.",ท่านจอมยุทธน้อย ในห้องโถงใหญ่มีหูมีตามากมาย อาจารย์ไม่สะดวกสนทนากับท่านต่อหน้าผู้คน จึงให้ข้ามาแจ้งเรื่องราวที่อาจารย์ฝากฝังไว้
M2341-24_1_1_4,Please go ahead.,เชิญท่านกล่าว
M2341-24_1_2_1,My master is relieved to see that you are safe and sound.,อาจารย์ของข้าโล่งใจที่เห็นท่านปลอดภัยไร้กังวล
M2341-24_1_2_2,Thank you for his concern.,ขอบคุณในความห่วงใยของท่านอาจารย์
M2341-24_1_3_1,"The first thing, the actions and purpose of the young hero on this island, all the Sect Leaders know. Master said they will stay in the main hall to distract them.",ประการแรก การกระทำและจุดประสงค์ของท่านจอมยุทธ์น้อยบนเกาะแห่งนี้ บรรดาเจ้าสํานักล้วนล่วงรู้แล้ว อาจารย์กล่าวว่า พวกเขาจะอยู่ในห้องโถงใหญ่ เพื่อเบี่ยงเบนความสนใจของพวกมัน
M2341-24_1_3_2,"(The ""they"" he's talking about is probably Blood Rakshasa and his people...)","(ที่เขาว่า ""พวกมัน"" คงหมายถึง รากษสโลหิต และสมุนของมันเป็นแน่...)"
M2341-24_1_3_3,"My master asked me to tell you eight words: Be careful in your actions, be bold in your decisions.",อาจารย์ฝากคำแปดคำมาบอกแก่ท่านว่า: ระวังทุกย่างก้าว ตัดสินใจอย่างอาจหาญ
M2341-24_1_3_4,"Please tell the elder, thank you for his guidance.",โปรดเรียนท่านผู้อาวุโส ขอบคุณสำหรับคำชี้แนะของท่าน
M2341-24_1_3_5,"Secondly, my master has also noticed the traces of someone's activities here, but can't find the person. Young hero, you must be very careful.",ประการที่สอง อาจารย์ยังพบร่องรอยการเคลื่อนไหวของใครบางคนในที่นี้ แต่หาตัวตนที่แท้จริงไม่พบ ท่านต้องระวังตัวให้มาก
M2341-24_1_3_6,"The third thing, there are too many eyes and ears in the main hall. If the young hero has no important matters, try not to enter and exit the main hall to avoid being noticed and causing trouble. It's good that we have {Me} here.",ประการที่สาม ในโถงใหญ่มีหูมีตามากเกินไป หากท่านจอมยุทธน้อยไม่มีเรื่องสำคัญอันใด โปรดหลีกเลี่ยงการเข้าออกห้องโถงใหญ่ เพื่อมิให้ผู้ใดจับพิรุธได้ อันจะก่อให้เกิดเหตุพลิกผัน ที่นี่มีพวกเราก็พอแล้ว
M2341-24_1_3_7,"The fourth thing, we have people at the front gate mountain path, behind the firewood room, and behind the backyard. We have noticed some suspicious individuals. I wonder if it's the impatient Vagabond who ran in.",ประการที่สี่ พวกเรามีคนเฝ้าบริเวณทางขึ้นเขาหน้าประตู ด้านหลังห้องเก็บฟืน และบริเวณป่าหลังสำนัก พวกเราสังเกตเห็นบุคคลต้องสงสัย ข้าสงสัยว่าอาจจะเป็นชาวยุทธ์ที่ใจร้อนแอบเข้ามาหรือเปล่า
M2341-24_1_3_8,"If there's no other place to investigate, you might want to check here.",หากไร้ซึ่งเบาะแสในการสืบสวน บางทีอาจเริ่มต้นจากที่นี่ได้
M2341-24_1_3_9,Okay.,ตกลง
M2341-24_1_3_10,"May the boundless heavenly lord bless you, young hero. I'll take my leave now.",ขอเทพเซียนอันไร้ขอบเขตคุ้มครองท่านจอมยุทธ์น้อย ข้าขอตัวก่อน
M2341-24_1_3_11,"The Sect Leader of the main hall will help {Me} distract attention, so the pressure for {Me} to act covertly will be much less...",เหล่าเจ้าสำนักในห้องโถงใหญ่ จะช่วยข้าดึงดูดความสนใจ หากข้าลงมืออย่างลับๆ ย่อมลดแรงกดดันไปได้ไม่น้อย...
M2341-24_1_4_1,"Dear benefactor, may I have a word with you?",ประสก อาตมาขอสนทนากับท่านสักครู่ได้หรือไม่?
M2341-24_1_4_2,Hmm? Ah? Alright.,หืม? อ่า? ก็ได้
M2341-24_1_4_3,"Dear benefactor, there are many eyes and ears in the main hall. It's not convenient for the master to talk to you in public, so he asked {Me} to convey a few things to you.",ประสกหนุ่ม โถงใหญ่มีผู้คนมากมาย อาจารย์ไม่สะดวกที่จะสนทนากับประสกต่อหน้าทุกคน จึงมอบหมายให้อาตมามาบอกเรื่องบางอย่างแทน
M2341-24_1_4_4,Please go ahead.,เชิญท่านกล่าว
M2341-24_1_4_5,"The first thing, the actions and purpose of the young hero on this island, all the Sect Leaders know. Master said they will stay in the main hall to distract them.",ประการแรก การกระทำและจุดประสงค์ของท่านจอมยุทธ์น้อยบนเกาะแห่งนี้ บรรดาเจ้าสํานักล้วนล่วงรู้แล้ว อาจารย์กล่าวว่า พวกเขาจะอยู่ในห้องโถงใหญ่ เพื่อเบี่ยงเบนความสนใจของพวกมัน
M2341-24_1_4_6,"(The ""they"" he's talking about is probably Blood Rakshasa and his people...)","(ที่เขาว่า ""พวกมัน"" คงหมายถึง รากษสโลหิต และสมุนของมันเป็นแน่...)"
M2341-24_1_4_7,"The master asked {Me} to tell you eight words: Mind on Buddha, hand like thunder.",ท่านอาจารย์ฝากให้อาตมามาบอกท่านไว้แปดคำ: จิตนึกถึงพุทธองค์ มือดุจสายฟ้าฟาด
M2341-24_1_4_8,"Please tell the elder, thank you for his guidance.",โปรดบอกท่านอาจารย์ ขอบคุณสำหรับคำชี้แนะของท่าน.
M2341-24_1_4_9,"The second thing, the master also noticed someone's activity here, but couldn't find the person. You must be very careful.",ประการที่สอง อาจารย์ยังพบร่องรอยการเคลื่อนไหวของใครบางคนในที่นี้ แต่หาตัวตนที่แท้จริงไม่พบ ท่านต้องระวังตัวให้มาก
M2341-24_1_4_10,"The third thing, there are too many eyes and ears in the main hall. If the young hero has no important matters, try not to enter and exit the main hall to avoid being noticed and causing trouble. It's good that we have {Me} here.",ประการที่สาม ในโถงใหญ่มีหูมีตามากเกินไป หากท่านจอมยุทธน้อยไม่มีเรื่องสำคัญอันใด โปรดหลีกเลี่ยงการเข้าออกห้องโถงใหญ่ เพื่อมิให้ผู้ใดจับพิรุธได้ อันจะก่อให้เกิดเหตุพลิกผัน ที่นี่มีพวกเราก็พอแล้ว
M2341-24_1_4_11,"The fourth thing, we have people at the front gate mountain path, behind the firewood room, and behind the backyard. We have noticed some suspicious individuals. I wonder if it's the impatient Vagabond who ran in.",ประการที่สี่ พวกเรามีคนเฝ้าบริเวณทางขึ้นเขาหน้าประตู ด้านหลังห้องเก็บฟืน และบริเวณป่าหลังสำนัก พวกเราสังเกตเห็นบุคคลต้องสงสัย อาตมาสงสัยว่าอาจจะเป็นชาวยุทธ์ที่ใจร้อนแอบเข้ามาหรือเปล่า
M2341-24_1_4_12,"If there's no other place to investigate, you might want to check here.",หากไร้ซึ่งเบาะแสในการสืบสวน บางทีอาจเริ่มต้นจากที่นี่ได้
M2341-24_1_4_13,Okay.,ตกลง
M2341-24_1_4_14,"May Buddha bless you, benefactor. I'll take my leave now.",อมิตาพุทธ ขอให้ประสกจงมีแต่ความสุขความเจริญ อาตมาขอตัวลา
M2341-24_1_4_15,"The Sect Leader of the main hall will help {Me} distract attention, so the pressure for {Me} to act covertly will be much less...",เหล่าเจ้าสำนักในห้องโถงใหญ่ จะช่วยข้าดึงดูดความสนใจ หากข้าลงมืออย่างลับๆ ย่อมลดแรงกดดันไปได้ไม่น้อย...
M2341-24_1_5_1,"Young hero, may I have a word with you?",ท่านจอมยุทธน้อย ให้ข้าได้สนทนาสักครู่ได้หรือไม่?
M2341-24_1_5_2,Hmm? Ah? Alright.,หืม? อ่า? ก็ได้
M2341-24_1_5_3,"Young hero, the main hall is full of ears and eyes, and my master can't talk to you in public, so he asked me to convey a few things to you.",ท่านจอมยุทธน้อย ในห้องโถงใหญ่มีหูมีตามากมาย อาจารย์ไม่สะดวกสนทนากับท่านต่อหน้าผู้คน จึงให้ข้ามาแจ้งเรื่องราวที่อาจารย์ฝากฝังไว้
M2341-24_1_5_4,Please go ahead.,เชิญท่านกล่าว
