﻿SlgTechName_科技0,Technology 0,วิทยาการ 0
SlgTechName_九流门_特征4,Trait: Enemy Damage Recovery,คุณลักษณะ: ฟื้นฟูจากศัตรู
SlgTechName_九流门_特征5,Trait: MP Conservation,คุณลักษณะ: ควบคุมลมปราณ
SlgTechName_九流门_特征6,Trait: HP Boost,คุณลักษณะ: HP เพิ่มขึ้น
SlgTechName_九流门_特征7,Trait: Critical Boost,คุณลักษณะ: คริติคอลเพิ่มขึ้น
SlgTechName_妙音坊_特征1,Trait: Insightful,คุณลักษณะ: มองทะลุปรุโปร่ง
SlgTechName_妙音坊_特征2,Trait: Rapid Response,คุณลักษณะ: ร่างดุจมารร้าย
SlgTechName_妙音坊_特征3,Trait: Aura Disruption,คุณลักษณะ: ค่าปราณสับสน
SlgTechName_妙音坊_特征4,Trait: Evasion Enhancement,คุณลักษณะ: เพิ่มประสิทธิภาพการหลบหลีก
SlgTechName_妙音坊_特征5,Trait: Divine Flame Protection,คุณลักษณะ: เพลิงศักดิ์สิทธิ์คุ้มกาย
SlgTechName_妙音坊_特征6,Trait: Critical Boost,คุณลักษณะ: คริติคอลเพิ่มขึ้น
SlgTechName_妙音坊_特征7,Trait: Shadow Following,คุณลักษณะ: เงาตามติด
SlgTechName_九黎部落_特征1,Trait: Martial Arts Disruption,คุณลักษณะ: ขัดวรยุทธ์
SlgTechName_九黎部落_特征2,Trait: Follower's Path,คุณลักษณะ: ใช้ประโยชน์จากสถานการณ์
SlgTechName_九黎部落_特征3,Trait: Weapon Blessing,คุณลักษณะ: เสริมพลังอาวุธ
SlgTechName_九黎部落_特征4,Trait: Flute Critical,คุณลักษณะ: เสียงขลุ่ยทรงพลัง
SlgTechName_九黎部落_特征5,Trait: Staff and Spear Protection,คุณลักษณะ: ตั้งรับหอกพลอง
SlgTechName_九黎部落_特征6,Trait: Evasion Boost,คุณลักษณะ: เพิ่มหลบหลีก
SlgTechName_九黎部落_特征7,Trait: Damage Boost,คุณลักษณะ: ความเสียหายเพิ่มขึ้น
SlgTechName_九江水寨_特征1,Trait: Mark Increase Roll,คุณลักษณะ: เสริมพลังตราประทับ
SlgTechName_九江水寨_特征2,Trait: Mark Counter,คุณลักษณะ: โต้ตอบรอยประทับ
SlgTechName_九江水寨_特征3,Trait: Chain Reaction,คุณลักษณะ: เกี่ยวพัน
SlgTechName_九江水寨_特征4,Trait: Weapon Blessing,คุณลักษณะ: เสริมพลังอาวุธ
SlgTechName_九江水寨_特征5,Trait: Damage Enhancement,คุณลักษณะ: เสริมความเสียหาย
SlgTechName_九江水寨_特征6,Trait: Critical Boost,คุณลักษณะ: คริติคอลเพิ่มขึ้น
SlgTechName_九江水寨_特征7,Trait: Damage Boost,คุณลักษณะ: ความเสียหายเพิ่มขึ้น
SlgTechName_本草门_特征1,Trait: Immunity Barrier,คุณลักษณะ: เกราะต้านทาน
SlgTechName_本草门_特征2,Trait: Back from the Brink,คุณลักษณะ: รอดจากหายนะ
SlgTechName_本草门_特征3,Trait: HP Enhancement,คุณลักษณะ: เพิ่ม HP
SlgTechName_本草门_特征4,Trait: Self-healing when Hit,คุณลักษณะ: ฟื้นฟูเมื่อถูกโจมตี
SlgTechName_本草门_特征5,Trait: Emergency Self-rescue,คุณลักษณะ: ช่วยตนฉุกเฉิน
SlgTechName_本草门_特征6,Trait: Iron Body,คุณลักษณะ: กายาเหล็กไหล
SlgTechName_本草门_特征7,Trait: Hardened,คุณลักษณะ: ทนทาน
SlgTechName_万兽山庄_特征1,Trait: Beast Taming Ability,คุณลักษณะ: พลังควบคุมสัตว์
SlgTechName_万兽山庄_特征2,Trait: Beast Taming Technique,คุณลักษณะ: วิชาฝึกสัตว์
SlgTechName_万兽山庄_特征3,Trait: Animal Hunter,คุณลักษณะ: พรานสัตว์
SlgTechName_万兽山庄_特征4,Trait: HP Enhancement,คุณลักษณะ: เพิ่ม HP
SlgTechName_万兽山庄_特征5,Trait: Armor Blessing,คุณลักษณะ: เสริมเกราะ
SlgTechName_万兽山庄_特征6,Trait: Evasion Boost,คุณลักษณะ: เพิ่มหลบหลีก
SlgTechName_万兽山庄_特征7,Trait: Shadow Following,คุณลักษณะ: เงาตามติด
SlgTechName_燕子窝_特征1,Trait: Immune to Back Attack,คุณลักษณะ: ต้านทานโจมตีด้านหลัง
SlgTechName_燕子窝_特征2,Trait: Immune to Side Attack,คุณลักษณะ: ต้านทานโจมตีด้านข้าง
SlgTechName_燕子窝_特征3,Trait: Shadow-like,คุณลักษณะ: ร่างดุจเงาไหว
SlgTechName_燕子窝_特征4,Trait: Back Attack Breaker,คุณลักษณะ: โจมตีทลายด้านหลัง
SlgTechName_燕子窝_特征5,Trait: Side Attack Breaker,คุณลักษณะ: โจมตีทลายด้านข้าง
SlgTechName_燕子窝_特征6,Trait: Quick Reflex,คุณลักษณะ: โต้ตอบว่องไว
SlgTechName_燕子窝_特征7,Trait: Stalwart,คุณลักษณะ: กำยำ
SlgTechName_神捕门_特征1,Trait: Instant death,คุณลักษณะ: สังหารทันที
SlgTechName_神捕门_特征2,Trait: Critical Damage,คุณลักษณะ: ความเสียหายคริติคอล
SlgTechName_神捕门_特征3,Trait: Divine Flame Protection,คุณลักษณะ: เพลิงศักดิ์สิทธิ์คุ้มกาย
SlgTechName_神捕门_特征4,Trait: Cloud Breaking Power,คุณลักษณะ: พลังทลายเมฆา
SlgTechName_神捕门_特征5,Trait: Weapon Blessing,คุณลักษณะ: เสริมพลังอาวุธ
SlgTechName_神捕门_特征6,Trait: Damage Boost,คุณลักษณะ: ความเสียหายเพิ่มขึ้น
SlgTechName_神捕门_特征7,Trait: Critical Boost,คุณลักษณะ: คริติคอลเพิ่มขึ้น
SlgTechName_虎威镖局_特征1,Trait: Enemy Chasing,คุณลักษณะ: ไล่ล่าศัตรู
SlgTechName_虎威镖局_特征2,Trait: Critical Damage,คุณลักษณะ: ความเสียหายคริติคอล
SlgTechName_虎威镖局_特征3,Trait: Armor Blessing,คุณลักษณะ: เสริมเกราะ
SlgTechName_虎威镖局_特征4,Trait: Parry Enhancement,คุณลักษณะ: เสริมการปัดป้อง
SlgTechName_虎威镖局_特征5,Trait: Critical Enhancement,คุณลักษณะ: เสริมคริติคอล
SlgTechName_虎威镖局_特征6,Trait: Damage Boost,คุณลักษณะ: ความเสียหายเพิ่มขึ้น
SlgTechName_虎威镖局_特征7,Trait: Stalwart,คุณลักษณะ: กำยำ
SlgTechName_夜摩坊_特征1,Trait: Immune to Control,คุณลักษณะ: ต้านทานการควบคุม
SlgTechName_夜摩坊_特征2,Trait: Wall of Steel,คุณลักษณะ: กำแพงเหล็กกล้า
SlgTechName_夜摩坊_特征3,Trait: MP Enhancement,คุณลักษณะ: เสริม MP
SlgTechName_夜摩坊_特征4,Trait: Cloud Breaking Power,คุณลักษณะ: พลังทลายเมฆา
SlgTechName_夜摩坊_特征5,Trait: Damage Enhancement,คุณลักษณะ: เสริมความเสียหาย
SlgTechName_夜摩坊_特征6,Trait: Stalwart,คุณลักษณะ: กำยำ
SlgTechName_夜摩坊_特征7,Trait: Light Body,คุณลักษณะ: ตัวเบา
SlgTechName_琅琊剑阁_特征1,Trait: Critical Critical,คุณลักษณะ: ถึงฆาตโจมตี
SlgTechName_琅琊剑阁_特征2,Trait: Sword Defense Increases Damage,คุณลักษณะ: กระบี่ป้องกันเพิ่มความเสียหาย
SlgTechName_琅琊剑阁_特征3,Trait: Sword Intent,คุณลักษณะ: แก่นแท้แห่งกระบี่
SlgTechName_琅琊剑阁_特征4,Trait: Damage Enhancement,คุณลักษณะ: เสริมความเสียหาย
SlgTechName_琅琊剑阁_特征5,Trait: Precision,คุณลักษณะ: แม่นยำ
SlgTechName_琅琊剑阁_特征6,Trait: Critical Boost,คุณลักษณะ: คริติคอลเพิ่มขึ้น
SlgTechName_琅琊剑阁_特征7,Trait: Sword Boost,คุณลักษณะ: เสริมพลังกระบี่
SlgTechName_摸金门_特征1,Trait: Lost in Dream,คุณลักษณะ: ตกอยู่ในภวังค์
SlgTechName_摸金门_特征2,Trait: Hidden Blade,คุณลักษณะ: หลอมทองซ่อนคม
SlgTechName_摸金门_特征3,Trait: Fast Response,คุณลักษณะ: ปฏิกิริยาว่องไว
SlgTechName_摸金门_特征4,Trait: Strong Body and Muscles,คุณลักษณะ: ร่างแกร่ง
SlgTechName_摸金门_特征5,Trait: Armor Blessing,คุณลักษณะ: เสริมเกราะ
SlgTechName_摸金门_特征6,Trait: Iron Body,คุณลักษณะ: กายาเหล็กไหล
SlgTechName_摸金门_特征7,Trait: Hardened,คุณลักษณะ: ทนทาน
SlgTechName_青风寨_特征1,Trait: Critical Damage,คุณลักษณะ: ความเสียหายคริติคอล
SlgTechName_青风寨_特征2,Trait: Critical Critical,คุณลักษณะ: ถึงฆาตโจมตี
SlgTechName_青风寨_特征3,Trait: Brave Charge,คุณลักษณะ: ทะลวงห้าวหาญ
SlgTechName_青风寨_特征4,Trait: Damage Enhancement,คุณลักษณะ: เสริมความเสียหาย
SlgTechName_青风寨_特征5,Trait: Critical Enhancement,คุณลักษณะ: เสริมคริติคอล
SlgTechName_青风寨_特征6,Trait: Attack Boost,คุณลักษณะ: เพิ่มพลังโจมตี
SlgTechName_青风寨_特征7,Trait: Stalwart,คุณลักษณะ: กำยำ
SlgTechName_叶家军_特征1,Trait: Coordinated Defense,คุณลักษณะ: ร่วมใจพิทักษ์
SlgTechName_叶家军_特征2,Trait: Enemy Chasing,คุณลักษณะ: ไล่ล่าศัตรู
SlgTechName_叶家军_特征3,Trait: Weapon Blessing,คุณลักษณะ: เสริมพลังอาวุธ
SlgTechName_叶家军_特征4,Trait: Armor Blessing,คุณลักษณะ: เสริมเกราะ
SlgTechName_叶家军_特征5,Trait: Damage Enhancement,คุณลักษณะ: เสริมความเสียหาย
SlgTechName_叶家军_特征6,Trait: Parry Boost,คุณลักษณะ: เสริมการปัดป้อง
SlgTechName_叶家军_特征7,Trait: Critical Boost,คุณลักษณะ: คริติคอลเพิ่มขึ้น
SlgTechName_冷皮帮_特征1,Trait: Preeminent,คุณลักษณะ: โด่งดัง
SlgTechName_冷皮帮_特征2,Trait: Windwalker,คุณลักษณะ: ล่องเวหา
SlgTechName_冷皮帮_特征3,Trait: Damage Enhancement,คุณลักษณะ: เสริมความเสียหาย
SlgTechName_冷皮帮_特征4,Trait: Combo Enhancement,คุณลักษณะ: เสริมโจมตีต่อเนื่อง
SlgTechName_冷皮帮_特征5,Trait: Critical Enhancement,คุณลักษณะ: เสริมคริติคอล
SlgTechName_冷皮帮_特征6,Trait: Attack Boost,คุณลักษณะ: เพิ่มพลังโจมตี
SlgTechName_冷皮帮_特征7,Trait: Stalwart,คุณลักษณะ: กำยำ
SlgTechName_圣火宗_特征1,Trait: Spirit of Steel,คุณลักษณะ: จิตวิญญาณเหล็กกล้า
SlgTechName_圣火宗_特征2,Trait: Heart of Defender,คุณลักษณะ: จิตใจมุ่งมั่น
SlgTechName_圣火宗_特征3,Trait: Divine Flame Protection,คุณลักษณะ: เพลิงศักดิ์สิทธิ์คุ้มกาย
SlgTechName_圣火宗_特征4,Trait: Armor Blessing,คุณลักษณะ: เสริมเกราะ
SlgTechName_圣火宗_特征5,Trait: Strong Body and Muscles,คุณลักษณะ: ร่างแกร่ง
SlgTechName_圣火宗_特征6,Trait: Light Body,คุณลักษณะ: ตัวเบา
SlgTechName_圣火宗_特征7,Trait: Hardened,คุณลักษณะ: ทนทาน
SlgTechName_通用_武功实战经验提升1,Martial Arts EXP Increase 1,ค่าประสบการณ์ยุทธ์เพิ่มขึ้น 1
SlgTechName_通用_武功实战经验提升2,Martial Arts EXP Increase 2,ค่าประสบการณ์ยุทธ์เพิ่มขึ้น 2
SlgTechName_通用_武功实战经验提升3,Martial Arts EXP Increase 3,ค่าประสบการณ์ยุทธ์เพิ่มขึ้น 3
SlgTechInfo_通用_快速战斗,Unlock Quick Battle feature.,ปลดล็อก ต่อสู้แบบด่วน
SlgTechInfo_释法寺_解锁dlc连环掌,Allow Sect Disciple to comprehend martial arts:,อนุญาตให้ศิษย์สำนักเรียนรู้วรยุทธ์:
SlgTechInfo_释法寺_解锁dlc罗汉拳法,Unlock martial arts for Sect: Arhat Fist.,ปลดล็อกวรยุทธ์สำหรับสำนัก: หมัดอรหันต์
SlgTechInfo_释法寺_解锁dlc普渡杖法,Unlock martial arts for Sect: Enlighten Staff.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ไม้เท้ารู้แจ้ง
SlgTechInfo_释法寺_解锁dlc韦陀杖法,Unlock martial arts for Sect: Veda Staff.,ปลดล็อกวรยุทธ์สำหรับสำนัก: พลองพระเวท
SlgTechInfo_释法寺_解锁dlc般若掌,Unlock martial arts for Sect: Prajna Palm.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ฝ่ามือปัญญา
SlgTechInfo_释法寺_解锁dlc大力金刚掌,Unlock martial arts for Sect: Powerful Diamond Palm.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ฝ่ามือวชิระ
SlgTechInfo_释法寺_解锁dlc金刚降魔杵,Unlock martial arts for Sect: Evil Destroyer Diamond Staff.,ปลดล็อกวรยุทธ์สำหรับสำนัก: พลองวชิระสยบมาร
SlgTechInfo_释法寺_解锁dlc紧那罗王棍,Unlock martial arts for Sect: Kinnara Staff.,ปลดล็อกวรยุทธ์สำหรับสำนัก: พลองราชากินนร
SlgTechInfo_释法寺_解锁dlc如来神掌,Unlock martial arts for Sect: Vairocana Godly Palm.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ฝ่ามือยูไล
SlgTechInfo_释法寺_解锁dlc达摩杖法,Unlock martial arts for Sect: Dharma Staff.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ไม้เท้าโพธิธรรม
SlgTechInfo_释法寺_解锁dlc金钟罩,Unlock martial arts for Sect: Golden Bell Technique.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ระฆังทองคุ้มกาย
SlgTechInfo_释法寺_解锁dlc横练金身,Unlock martial arts for Sect: Forging Golden Body.,ปลดล็อกวรยุทธ์สำหรับสำนัก: กายาวัชระทองคำ
SlgTechInfo_释法寺_解锁dlc大日如来经,Unlock martial arts for Sect: Vairocana Solar Sutra.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ไวโรจนะมหาสูตร
SlgTechInfo_儒圣馆_解锁dlc一指禅,Unlock martial arts for Sect: Zen Finger.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ฌานหนึ่งดรรชนี
SlgTechInfo_儒圣馆_解锁dlc龙蛇笔法,Unlock martial arts for Sect: Dragon Snake Pen.,ปลดล็อกวรยุทธ์สำหรับสำนัก: พู่กันงูมังกรร่ายรำ
SlgTechInfo_儒圣馆_解锁dlc流云飞扇,Unlock martial arts for Sect: Drifting Cloud Fan.,ปลดล็อกวรยุทธ์สำหรับสำนัก: พัดเมฆาล่องลอย
SlgTechInfo_儒圣馆_解锁dlc泛沧浪,Unlock martial arts for Sect: Floating Blue.,ปลดล็อกวรยุทธ์สำหรับสำนัก: เกลียวคลื่น
SlgTechInfo_儒圣馆_解锁dlc通天手,Unlock martial arts for Sect: Omnipotent Hand.,ปลดล็อกวรยุทธ์สำหรับสำนัก: หัตถ์ทงเทียน
SlgTechInfo_儒圣馆_解锁dlc曹全碑,Unlock martial arts for Sect: Cao Quan Steele.,ปลดล็อกวรยุทธ์สำหรับสำนัก: จารึกเฉาฉวน
SlgTechInfo_儒圣馆_解锁dlc逍遥游,Unlock martial arts for Sect: Carefree Life.,ปลดล็อกวรยุทธ์สำหรับสำนัก: อิสระจร
SlgTechInfo_儒圣馆_解锁dlc高山流水,Unlock martial arts for Sect: Mountain and River.,ปลดล็อกวรยุทธ์สำหรับสำนัก: เขาสูงธารน้ำไหล
SlgTechInfo_儒圣馆_解锁dlc灭天掌,Unlock martial arts for Sect: Sky Destroyer Palm.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ฝ่ามือทลายสวรรค์
SlgTechInfo_儒圣馆_解锁dlc江山多娇,Unlock martial arts for Sect: Country Full of Beauties.,ปลดล็อกวรยุทธ์สำหรับสำนัก: แผ่นดินที่งดงาม
SlgTechInfo_儒圣馆_解锁dlc扇舞春秋,Unlock martial arts for Sect: Spring and Autumn Fan.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ระบำพัดสารทวสันต์
SlgTechInfo_儒圣馆_解锁dlc广陵散,Unlock martial arts for Sect: Guangling Melody.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ลำนำแห่งกว่างหลิง
SlgTechInfo_儒圣馆_解锁dlc儒雅风流,Unlock martial arts for Sect: Elegant Romanticist.,ปลดล็อกวรยุทธ์สำหรับสำนัก: หรูหราสง่างาม
SlgTechInfo_儒圣馆_解锁dlc盛世春秋,Unlock martial arts for Sect: Glorious Era.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ยุคทองอันเจิดจรัส
SlgTechInfo_儒圣馆_解锁dlc儒十三经,Unlock martial arts for Sect: Confucius Thirteen Sutras.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ขงจื้อสิบสามคัมภีร์
SlgTechInfo_道玄宗_解锁dlc太乙剑法,Unlock martial arts for Sect: Taiyi Sword.,ปลดล็อกวรยุทธ์สำหรับสำนัก: เพลงกระบี่ไทยี่
SlgTechInfo_道玄宗_解锁dlc须弥剑法,Unlock martial arts for Sect: Sumeru Sword.,ปลดล็อกวรยุทธ์สำหรับสำนัก: เพลงกระบี่เขาพระสุเมรุ
SlgTechInfo_道玄宗_解锁dlc七巧如意手,Unlock martial arts for Sect: Dexterous Hand.,ปลดล็อกวรยุทธ์สำหรับสำนัก: หัตถ์เจ็ดปรารถนา
SlgTechInfo_道玄宗_解锁dlc逍遥拳法,Unlock martial arts for Sect: Carefree Fist.,ปลดล็อกวรยุทธ์สำหรับสำนัก: หมัดสราญรมย์
SlgTechInfo_道玄宗_解锁dlc太极剑法,Unlock martial arts for the sect: Taichi Sword.,ปลดล็อกวรยุทธ์สำหรับสำนัก: กระบี่ไทเก๊ก
SlgTechInfo_道玄宗_解锁dlc岁寒三友,Unlock martial arts for the sect: Three Friends of Winter.,ปลดล็อกวรยุทธ์สำหรับสำนัก: สามสหายเหมันต์
SlgTechInfo_道玄宗_解锁dlc醉仙拳,Unlock martial arts for the sect: Wine God Fist.,ปลดล็อกวรยุทธ์สำหรับสำนัก: หมัดเซียนเมามาย
SlgTechInfo_道玄宗_解锁dlc太极拳,Unlock martial arts for the sect: Taichi Fist.,ปลดล็อกวรยุทธ์สำหรับสำนัก: หมัดไทเก๊ก
SlgTechInfo_道玄宗_解锁dlc无极剑法,Unlock martial arts for the sect: Infinity Sword.,ปลดล็อกวรยุทธ์สำหรับสำนัก: เพลงกระบี่ไร้ขอบเขต
SlgTechInfo_道玄宗_解锁dlc贯云指,Unlock martial arts for the sect: Cloud Piercing Finger.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ดรรชนีทะลวงเมฆา
SlgTechInfo_道玄宗_解锁dlc凌波诀,Unlock martial arts for the sect: Wave Rider Technique.,ปลดล็อกวรยุทธ์สำหรับสำนัก: วิชาทะยานคลื่น
SlgTechInfo_道玄宗_解锁dlc太极玄,Unlock martial arts for the sect: Nether Taichi.,ปลดล็อกวรยุทธ์สำหรับสำนัก: พลังเทพไท้เก๊ก
SlgTechInfo_道玄宗_解锁dlc无极混元功,Unlock martial arts for the sect: Infinity Origin Move.,ปลดล็อกวรยุทธ์สำหรับสำนัก: พลังรวมศูนย์ไร้สิ้นสุด
SlgTechInfo_九流门_解锁dlc黑虎拳,Unlock martial arts for the sect: Black Tiger Fist.,ปลดล็อกวรยุทธ์สำหรับสำนัก: หมัดพยัคฆ์ทมิฬ
SlgTechInfo_九流门_解锁dlc雷云掌,Unlock martial arts for the sect: Thundercloud Palm.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ฝ่ามือเมฆาอัสนี
SlgTechInfo_九流门_解锁dlc伤情别离掌,Unlock martial arts for the sect: Breakup Palm.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ฝ่ามือกำสรด
SlgTechInfo_九流门_解锁dlc断魂爪,Unlock martial arts for the sect: Soul Destroyer Claw.,ปลดล็อกวรยุทธ์สำหรับสำนัก: กรงเล็บสะบั้นวิญญาณ
SlgTechInfo_九流门_解锁dlc撼天指法,Unlock martial arts for the sect: Heaven Shaking Finger.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ดรรชนีสะเทือนฟ้า
SlgTechInfo_九流门_解锁dlc玄煞劲,Unlock martial arts for the sect: Nether Killing Force.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ปราณปรโลกสังหาร
SlgTechInfo_九流门_解锁dlc玄阴诀,Unlock martial arts for the sect: Nether Yin Manual.,ปลดล็อกวรยุทธ์สำหรับสำนัก: เคล็ดหยินเร้นลับ
SlgTechInfo_九流门_解锁dlc天魔噬魂术,Unlock martial arts for the sect: Archdemon's Soul Eating Skill.,ปลดล็อกวรยุทธ์สำหรับสำนัก: มารฟ้ากลืนวิญญาณ
SlgTechInfo_妙音坊_解锁dlc阳春白雪,Unlock martial arts for the sect: Spring White Snow.,ปลดล็อกวรยุทธ์สำหรับสำนัก: หิมะในฤดูใบไม้ผลิ
SlgTechInfo_妙音坊_解锁dlc阳关三叠,Unlock martial arts for the sect: Triassis Yangguan.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ด่านหยางกวนสามท่อน
SlgTechInfo_妙音坊_解锁dlc音波功,Unlock martial arts for the sect: Soundwave Attack.,ปลดล็อกวรยุทธ์สำหรับสำนัก: พลังคลื่นเสียง
SlgTechInfo_妙音坊_解锁dlc汉宫秋月,Unlock martial arts for the sect: Autumn Palace Moon.,ปลดล็อกวรยุทธ์สำหรับสำนัก: พระราชวังฮั่นในคืนพระจันทร์สารท
SlgTechInfo_妙音坊_解锁dlc蝶舞天涯,Unlock martial arts for the sect: Dancing Butterfly Over Skyline.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ระบำผีเสื้อเหนือเส้นขอบฟ้า
SlgTechInfo_妙音坊_解锁dlc鹧鸪天,Unlock martial arts for the sect: Partridge Day.,ปลดล็อกวรยุทธ์สำหรับสำนัก: หยางกุ้ยเฟยร่ำเมรัย
SlgTechInfo_妙音坊_解锁dlc十面埋伏,Unlock martial arts for the sect: Full Directional Ambush.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ซุ่มจู่โจมทั้งสิบทิศ
SlgTechInfo_妙音坊_解锁dlc傲江湖,Unlock martial arts for the sect: Proud Wanderer.,ปลดล็อกวรยุทธ์สำหรับสำนัก: เย้ยยุทธจักร
SlgTechInfo_妙音坊_解锁dlc碧涧流泉,Unlock martial arts for the sect: Flowing Mountain Stream.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ลำธารภูเขาน้ำตก
SlgTechInfo_妙音坊_解锁dlc凌波诀,Unlock martial arts for the sect: Wave Rider Technique.,ปลดล็อกวรยุทธ์สำหรับสำนัก: วิชาทะยานคลื่น
SlgTechInfo_妙音坊_解锁dlc洛神步,Unlock martial arts for the sect: God Step.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ท่าเท้าเทพธิดา
SlgTechInfo_妙音坊_解锁dlc霓裳羽衣经,Unlock martial arts for the sect: Dancing Garment Sutra.,ปลดล็อกวรยุทธ์สำหรับสำนัก: คัมภีร์อาภรณ์ร่ายรำ
SlgTechInfo_九黎部落_解锁dlc腐尸枪法,Unlock martial arts for the sect: Rotting Spear.,ปลดล็อกวรยุทธ์สำหรับสำนัก: เพลงหอกสลายซาก
SlgTechInfo_九黎部落_解锁dlc暗香凌波,Unlock martial arts for the sect: Hidden Fragrance Wave.,ปลดล็อกวรยุทธ์สำหรับสำนัก: คลื่นซ่อนหอม
SlgTechInfo_九黎部落_解锁dlc黄泉引路枪,Unlock martial arts for the sect: Death Bringer Spear.,ปลดล็อกวรยุทธ์สำหรับสำนัก: หอกเบิกทางยมโลก
SlgTechInfo_九黎部落_解锁dlc梅花三弄,Unlock martial arts for the sect: Plum Flower Three Lanes.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ตำนานรักดอกเหมย
SlgTechInfo_九黎部落_解锁dlc九黎巫叉,Unlock martial arts for the sect: Jiuli Trident.,ปลดล็อกวรยุทธ์สำหรับสำนัก: หอกตรีศูลจิ่วลี่
SlgTechInfo_九黎部落_解锁dlc万蛊谣,Unlock martial arts for the sect: Ancient Song.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ลือเรื่องหมื่นพิษ
SlgTechInfo_九黎部落_解锁dlc腐毒功,Unlock martial arts for the sect: Poison Technique.,ปลดล็อกวรยุทธ์สำหรับสำนัก: วิชาพิษกัดกร่อน
SlgTechInfo_九黎部落_解锁dlc罗刹毒经,Unlock martial arts for the sect: Raksha Poison Sutra.,ปลดล็อกวรยุทธ์สำหรับสำนัก: รากษกพิษยสูตร
SlgTechInfo_九黎部落_解锁dlc巫蛊毒功,Unlock martial arts for the sect: Ancient Sage Poison Technique.,ปลดล็อกวรยุทธ์สำหรับสำนัก: มนตร์พิษโบราณ
SlgTechInfo_九江水寨_解锁dlc开山刀法,Unlock martial arts for the sect: Mountain Clear Blade.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ดาบสะบั้นภูผา
SlgTechInfo_九江水寨_解锁dlc疾风刺,Unlock martial arts for the sect: Wind Stab.,ปลดล็อกวรยุทธ์สำหรับสำนัก: แทงวายุกระโชก
SlgTechInfo_九江水寨_解锁dlc狂风扇诀,Unlock martial arts for the sect: Tornado Fan.,ปลดล็อกวรยุทธ์สำหรับสำนัก: พัดวายุคลั่ง
SlgTechInfo_九江水寨_解锁dlc怒流刀法,Unlock martial arts for the sect: Furious Blade.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ดาบพายุคลั่ง
SlgTechInfo_九江水寨_解锁dlc银蛇流光,Unlock martial arts for the sect: Silver Snake Mirage.,ปลดล็อกวรยุทธ์สำหรับสำนัก: เงาคลื่นอสรพิษเกล็ดเงิน
SlgTechInfo_九江水寨_解锁dlc风卷残云式,Unlock martial arts for the sect: Storming Cloud Fan.,ปลดล็อกวรยุทธ์สำหรับสำนัก: พายุพัดเมฆากระหน่ำ
SlgTechInfo_九江水寨_解锁dlc吞鲸刀法,Unlock martial arts for the sect: Devouring Blade.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ดาบกลืนกิน
SlgTechInfo_九江水寨_解锁dlc天外流星,Unlock martial arts for the sect: Shooting Star.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ดาวตกนอกฟ้า
SlgTechInfo_九江水寨_解锁dlc蝶恋花,Unlock martial arts for the sect: Flirting Butterfly.,ปลดล็อกวรยุทธ์สำหรับสำนัก: ผีเสื้อเหย้าบุปผา
SlgTechInfo_九江水寨_解锁dlc凌波诀,Unlock martial arts for the sect: Wave Rider Technique.,ปลดล็อกวรยุทธ์สำหรับสำนัก: วิชาทะยานคลื่น
SlgTechInfo_九江水寨_解锁dlc海纳百川,Unlock martial arts for the sect: Great Ocean Manual.,ปลดล็อกวรยุทธ์สำหรับสำนัก: พลังรวมสมุทร
SlgTechInfo_九江水寨_解锁dlc惊涛骇浪诀,Unlock martial arts for the sect: Tsunami Manual.,ปลดล็อกวรยุทธ์สำหรับสำนัก: คลื่นพายุกระหน่ำ
SlgTechInfo_本草门_解锁dlc浣纱剑法,Unlock martial arts for the sect: Huansha Sword.,ปลดล็อกวรยุทธ์สำหรับสำนัก: กระบี่ล่าสังหาร
SlgTechInfo_本草门_解锁dlc莲花妙剑,Unlock martial arts for the sect: Lotus Flower Sword.,ปลดล็อกวรยุทธ์สำหรับสำนัก: เพลงกระบี่ดอกบัว
