﻿tag1,Nameless Region,พื้นที่ไร้นาม
tag6_chuanwen13_2,The purple orb is hidden in the chest behind the pavilion in the center of the lake in Wuyue RegionSnowflower Valley.,ลูกแก้วสีม่วงซ่อนอยู่ในหีบหลังศาลากลางทะเลสาบในหุบเขาโบตั๋น เขตหวู่เยว่
tag6_chuanwen13_3,The green orb will appear in the place with the most advanced medical knowledge in the world.,ลูกแก้วสีเขียวจะปรากฏขึ้น ณ สถานที่แห่งการแพทย์ล้ำสมัยที่สุดในโลก
tag6_chuanwen13_4,The blue orb will appear in a place full of beautiful women.,ลูกแก้วสีฟ้าจะปรากฎในสถานที่ที่เต็มไปด้วยสตรีงดงาม
tag6_chuanwen13_5,The red orb will appear in the place where people with Herculean strength reside.,ลูกแก้วสีแดงจะปรากฏในบริเวณที่มีผู้คนที่แข็งแกร่งอาศัยอยู่
tag10_chuanwen2_0,Bailing Mountain Divine Hawk,อินทรีศักดิ์สิทธิ์แห่งภูเขาไป๋หลิง
tag10_chuanwen2_1,There seems to be a Divine Hawk appearing on Bailing Mountain in the Southwest region.,ดูเหมือนว่าจะมีอินทรีศักดิ์สิทธิ์ปรากฏบนภูเขาไป๋หลิงในภูมิภาคตะวันตกเฉียงใต้
tag13,Jiujiang Fortress,ค่ายน้ำจิ่วเจียง
tag13_chuanwen1_0,Investigate the military advisor,สอบสวนกุนซือ
tag13_chuanwen1_1,"Ding Haitang is investigating the military advisor of the water village, Zhuge Shenji. If you get any clues about Zhuge Shenji, please tell Ding Haitang.",ติงไห่ถังกำลังสอบสวนกุนซือของค่ายน้ำจิ่วเจียง จูเก๋อเฉินจี หากเจ้าได้รับเบาะแสใด ๆ เกี่ยวกับจูเก๋อเฉินจี โปรดแจ้งต่อติงไห่ถัง
tag6_chuanwen11_2,"The Seal of Heaven is currently in the main tent of the Yan Yun Iron Army's Palace Camp, guarded by Wanyan Wuzhu himself.",ตราประทับแห่งสวรรค์อยู่ที่กระโจมหลักในค่ายกองทัพเหล็กเยี่ยนหยุน โดยมีหวันเหยียนอู๋จูคอยคุ้มกันด้วยตนเอง
tag6_chuanwen11_3,"The Seal of the Masses is now in the Enlightenment Tower of Lin'an City, as a reward for those who ascend the tower.",ตราแห่งมวลชน ณ บัดนี้ ตั้งอยู่ที่หอสำนึกแห่งเมืองหลินอัน เป็นรางวัลสำหรับผู้ที่ขึ้นไปถึงยอดหอ
tag6_chuanwen14_0,Yan Yun Artisan,ช่างฝีมือ เยี่ยนหยุน
tag6_chuanwen14_1,You can learn the skill of synthesis from Elder Shen at the Xu Family Outpost.,ท่านสามารถเรียนรู้วิชาผสานวัตถุ (หรือ วิชาหลอมโอสถ) จากท่านผู้อาวุโสเซิน ณ ค่ายตระกูลซู
tag14,Deep Snow Manor Murder Case,คดีฆาตกรรมหมู่ตึกหิมะ
tag14_chuanwen1_0,Scene Condition,สภาพแวดล้อมโดยรอบ
tag14_chuanwen1_1,There are no signs of a fight at the scene. Master Xuan Chen was killed by a Critical hit or Poisoned.,ณ ที่เกิดเหตุไม่มีร่องรอยการต่อสู้ ท่านอาจารย์เซวียนเฉินอาจถูกสังหารด้วยวิชาหนึ่งกระบวนท่าพิฆาต หรือด้วยพิษ
tag14_chuanwen2_0,Murong Xuan's Testimony,คำให้การของมู่หรงเซวียน
tag14_chuanwen2_1,Murong Xuan claims to have stood guard outside Duan Hongjin's room all night and saw no one.,มู่หรงเซวียนอ้างว่าเฝ้ายามอยู่หน้าห้องของต้วนหงจินตลอดคืนและไม่เห็นผู้ใด
tag14_chuanwen2_2,"Because it was too cold on the night of the incident, Murong Xuan actually sneaked into Duan Hongjin's room.",เนื่องจากคืนเกิดเหตุอากาศหนาวเกินไป มู่หรงเซวียนจึงแอบเข้าไปในห้องของต้วนหงจิน
tag14_chuanwen2_3,"Murong Xuan heard a ""crack"" sound in Duan Hongjin's room, followed by Duan Hongjin's scream, but saw no figure, and there were no footprints in the snow outside the room.","มู่หรงเซวียนได้ยินเสียง ""แกร๊ง"" ดังมาจากห้องของต้วนหงจิน ตามมาด้วยเสียงกรีดร้องของต้วนหงจิน แต่มิได้เห็นร่างผู้ใด และไม่มีรอยเท้าบนหิมะนอกห้อง"
tag14_chuanwen3_0,Duan Hongjin's Testimony,คำให้การของต้วนหงจิน
tag14_chuanwen3_1,"Duan Hongjin heard a ""crack"" sound in his sleep last night, woke up and saw a figure staring at him in the room, so he screamed. Then Murong Xuan entered the room, but there was no one else in the room.","ต้วนหงจินได้ยินเสียง ""แกร๊ง"" ในขณะที่หลับอยู่เมื่อคืนที่ผ่านมา เมื่อตื่นขึ้นก็เห็นเงาคนหนึ่งกำลังจ้องมองตนอยู่ในห้อง จึงร้องออกมา จากนั้นมู่หรงเซวียนก็เข้ามาในห้อง แต่ไม่มีใครอื่นอยู่ในห้องอีกแล้ว"
tag14_chuanwen4_0,Wu Yue's Testimony,คำให้การของอู๋เยว่
tag14_chuanwen4_1,Wu Yue claims to have slept all night and knows nothing.,อู๋เยว่ อ้างว่าหลับตลอดคืนและไม่ทราบเรื่องใดๆ
tag14_chuanwen5_0,Liu Pojun's Testimony,คำให้การของหลิวปู้จุน
tag14_chuanwen5_1,"Liu Pojun claims that because of Wu Yue's thunderous snoring, he couldn't sleep and braved the blizzard to go to the toilet in the middle of the night, and saw no one on the way.",หลิวปู้จุนอ้างว่าเนื่องจากเสียงกรนดังสนั่นของอู๋เยว่ ทำให้เขาไม่สามารถนอนหลับได้ และจำต้องฝ่าพายุหิมะไปเข้าห้องน้ำในตอนกลางคืน โดยไม่พบเจอผู้ใดระหว่างทาง
tag14_chuanwen5_2,"Liu Pojun claims that Wu Yue doesn't usually snore, only when he's particularly tired.",หลิวปู้จุนอ้างว่าปกติอู๋เยว่จะไม่กรน ยกเว้นเมื่อเหนื่อยล้าเป็นพิเศษ
tag14_chuanwen6_0,Ji Yunxiang's Testimony,คำให้การของจี้หยุนเซียง
tag14_chuanwen6_1,"Ji Yunxiang claims to have long been accustomed to Wu Yue's snoring, so he slept in the room all night.",จี้หยุนเซียง อ้างว่าชินกับเสียงกรนของอู๋เยว่มานานแล้ว จึงนอนหลับอยู่ในห้องตลอดทั้งคืน
tag14_chuanwen7_0,Sun Yogin's Testimony,คำให้การของซุนโยจิน
tag14_chuanwen7_1,"Sun Yogin claims to have been in his room all night. Because the snoring from next door was too loud, he couldn't sleep, but he heard a ""crack"" sound from the eaves.","ซุนโยจิน อ้างว่าอยู่ในห้องของตนตลอดทั้งคืน เนื่องจากเสียงกรนจากห้องข้างๆ ดังเกินไป จึงนอนไม่หลับ แต่ได้ยินเสียง ""แกร๊ง"" จากชายคาบ้าน"
tag14_chuanwen8_0,Condition of the Body,สภาพศพ
tag14_chuanwen8_1,"There are no open wounds on Master Xuan Chen's body, nor any blood. The skin is slightly white, but not much different from ordinary people, and there is blood in the mouth.",ท่านอาจารย์เซวียนเฉินไม่มีบาดแผลเปิดหรือร่องรอยเลือดไหลภายนอก ผิวหนังขาวซีดเล็กน้อย แต่ก็ไม่ต่างจากคนทั่วไปนัก และมีเลือดไหลออกจากปาก
tag14_chuanwen9_0,Gatekeeper's Testimony,คำให้การของคนเฝ้าประตู
tag14_chuanwen9_1,The gatekeeper claims to have seen nothing suspicious.,คนเฝ้าประตูอ้างว่าไม่เห็นสิ่งใดผิดปกติ
tag14_chuanwen9_2,"Although the gatekeeper saw Liu Pojun, he returned after going to the toilet, and there was nothing suspicious.",ถึงแม้คนเฝ้าประตูจะเห็นหลิวปู้จุนออกไปเข้าห้องน้ำ แต่ก็เห็นหลิวปู้จุนกลับเข้ามา และไม่มีสิ่งใดผิดปกติ
tag14_chuanwen9_3,The gatekeeper claims that no one entered or left the manor last night.,คนเฝ้าประตูอ้างว่าไม่มีผู้ใดเข้าออกคฤหาสน์เมื่อคืนที่ผ่านมา
tag14_chuanwen10_0,Master's Testimony,คำให้การของท่านอาจารย์
tag14_chuanwen10_1,The master claims he was asleep all last night.,ท่านอาจารย์อ้างว่าหลับตลอดคืนที่ผ่านมา
tag14_chuanwen10_2,The master claims that only the heroes in the manor can do martial arts.,ท่านอาจารย์อ้างว่ามีเพียงเหล่าวีรบุรุษในคฤหาสน์เท่านั้นที่ฝึกยุทธ
tag1_chuanwen9_2,Many unique martial arts are mastered by various people in the Jianghu. Good relations with them might allow you to learn these skills.
tag4_chuanwen8_0,Imperial Examination,การสอบระดับขุนนาง
tag4_chuanwen8_1,"Answer a few questions correctly at the Chuxiang City Calligraphy School, impress the old scholars, and they might recommend you for the provincial exam."
tag11_chuanwen2_0,Recruit Escort Lieutenant,รับสมัครผู้คุ้มภัย
tag11_chuanwen2_1,Tiger Escort in the northeast of Chuxiang City is recruiting Escort Lieutenants.,สำนักคุ้มภัยพยัคฆาที่ทางตะวันออกเฉียงเหนือของเมืองฉู่เซียง กำลังมองหาผู้คุ้มภัยอยู่ 
tag15,Bloody Banquet,งานเลี้ยงนองเลือด
tag15_chuanwen1_0,Dead body,ศพ
tag15_chuanwen1_1,"Mr. Shi's lips are purple, there's blood in his mouth, bite marks on his lower lip, a slightly red handprint on his back, and a hairpin stuck in his abdomen. He was clutching his chest in pain before he died. There's a slightly red handprint on his back and a hairpin stuck in his abdomen."
tag15_chuanwen2_0,Clerk's testimony
tag15_chuanwen2_1,"The clerk claims that Mr. Shi did not eat meatballs at the banquet, everyone ate the other dishes together and drank wine."
tag15_chuanwen2_2,"The clerk claims that several merchants toasted Mr. Shi, and then Mr. Shi went to the table of the mole."
tag15_chuanwen4_0,General Yao's testimony,คำให้การของแม่ทัพเหยา
tag15_chuanwen4_1,"General Yao claims that the mole knocked over his wine glass, which made him angry and go watch the dance, and later he pushed the mole."
tag15_chuanwen4_2,"General Yao claims that before entering the Tower of Prosperity, he pushed Mr. Shi because he was blocking his way."
tag15_chuanwen5_0,Eunuch Wang's testimony,คำให้การของขันทีหวาง
tag15_chuanwen5_1,"Eunuch Wang claims that the banquet atmosphere was great, he enjoyed the banquet. Someone from the next table toasted him and Mr. Shi, and General Yao ran away for some reason."
tag15_chuanwen6_0,Golden Fortune Shop Innkeeper's testimony,คำให้การของเถ้าแก่ร้านโชคทองคำ
tag15_chuanwen6_1,"The innkeeper of the Golden Fortune Shop claims that after Mr. Shi came to his table, he drank a few glasses with the building owner, then General Yao and the mole had a conflict, and Mr. Shi was asked to leave by Lu Jianren, but he tripped when he ran away."
tag15_chuanwen7_0,"""Mole"" testimony"
tag15_chuanwen7_1,"The mole claims that after Mr. Shi came to his table, he drank a few glasses with the building owner, then General Yao and he had a conflict, and Mr. Shi was asked to leave by Lu Jianren, but he tripped when he ran away."
tag15_chuanwen7_2,"The mole claims that Mr. Shi didn't drink much, but he seemed drunk."
tag15_chuanwen7_3,The mole claims that he didn't touch General Yao's wine glass.
tag15_chuanwen8_0,Chen Guangzhou's testimony,คำให้การของ เฉินกว่างโจว
tag15_chuanwen8_1,Chen Guangzhou was drinking alone at the banquet and didn't run away.
tag15_chuanwen9_0,Bookstore Innkeeper's testimony
tag15_chuanwen9_1,"The innkeeper of the Literature Bookstore claims that Dean Lu had something to discuss with Mr. Shi and went to invite him. During this time, General Yao had a conflict with someone. After Mr. Shi tripped, he came to his table, but Mr. Shi was indulging in wine and had no intention of discussing business."
tag15_chuanwen10_0,Lu Jianren's testimony,คำให้การของ ลู่เจี้ยนเหริน
tag15_chuanwen10_1,"Lu Jianren claims that he had something to discuss with Mr. Shi, so he went to invite him. During this time, General Yao had a conflict with someone. After Mr. Shi tripped, he came to his table, but Mr. Shi was indulging in wine and had no intention of discussing business."
tag15_chuanwen11_0,Liu Fuming's testimony,คำให้การของ หลิวฝูหมิง
tag15_chuanwen11_1,Liu Fuming claims that he was observing everyone's actions from a hidden spot at the banquet.
tag15_chuanwen11_2,"Liu Fuming claims that Mr. Shi was poisoned by a type of snake venom, which initially resembles drunkenness. He also raises snakes that carry this venom."
tag15_chuanwen12_0,Testimony of the reception maid
tag15_chuanwen12_1,"The maid in charge of reception said that Mr. Shi and General Yao came to the Tower of Prosperity together, and they seemed to be unhappy."
tag15_chuanwen12_2,The hairpin found on Mr. Shi's body is a family heirloom of the maid in charge of reception.
tag15_chuanwen13_0,Testimony of the Northwestern Dancer
tag15_chuanwen13_1,The maid from the northwest said that there was a green object pinned to Mr. Shi's waist.
tag15_chuanwen14_0,Testimony of the Maid at Mr. Shi's Table
tag15_chuanwen14_1,"The maid at Mr. Shi's table said that she poured the wine for Mr. Shi and the owner of the Stone Building, and everyone else drank from the same pot, but only Mr. Shi and the owner of the Stone Building were heavily drunk."
tag15_chuanwen14_2,"The maid at the table of the Stone Building owner said that when General Yao had a conflict with the mole, a green light flashed by."
tag15_chuanwen15_0,Testimony of the Maid at Mr. Shi's Table
tag15_chuanwen15_1,"The maid in charge of Mr. Shi's table testified that the mole knocked over General Yao's wine glass, causing General Yao to curse at the mole."
tag16,South-East Region,แดนตะวันออกเฉียงใต้
tag16_chuanwen1_0,South-East Barbarian Camp,ค่ายคนเถื่อนเขตตะวันออกเฉียงใต้
tag16_chuanwen1_1,"A note found in the South-East Barbarian Camp reads: ""...Three days, fifty long spears, thirty bows, two hundred arrows. Five days, received three jars of wine from Duke Chai's Tower, three thousand taels of silver... Fifteen days, Blade Destruction Army arrived..."""
tag16_chuanwen1_2,"A total of three thousand taels of silver were found in the South-East Barbarian Camp, with the words ""Chai Ming"" on them."
tag16_chuanwen2_0,Surging Waves Escort
tag16_chuanwen2_1,The lost goods of the Surging Waves Escort were all transported by water from Phoenix Woods Harbor.
tag16_chuanwen3_0,Sea Goddess Temple,วิหารเทพธิดาเจ้าสมุทร
tag16_chuanwen3_1,The child of the temple keeper at the Sea Goddess Temple is a refined young man who is addicted to gambling at the Roaring Sea House.,ได้ยินมาว่าเจ้าหนุ่มน้อยคนเฝ้าวิหารเทพธิดาเจ้าสมุทร ถึงรูปร่างจะดูดีมีชาติตระกูล แต่ก็ติดพนันที่ตำหนักทะเลครวญจนงอมแงมเชียวล่ะ
tag16_chuanwen4_0,Roaring Sea House,ตำหนักทะเลครวญ
tag16_chuanwen4_1,"The real controller of the casino at the Roaring Sea House is King Chai. The silver from the casino is stamped with the words ""Chai Ming"" and is transported back to Duke Chai's Tower by the house guests."
tag16_chuanwen5_0,King Chai's Secret Chamber,ห้องลับอ๋องไฉ
tag16_chuanwen5_1,The items in the study and main hall of Duke Chai's Tower are forbidden for servants to touch. King Chai likes to have things within reach.
tag16_chuanwen6_0,King Chai's Birthday Banquet,งานเลี้ยงวันเกิดอ๋องไฉ
tag16_chuanwen6_1,King Chai has set a rule in Phoenix Woods Harbor that anyone who can defeat a few of the masters he designates in Phoenix Woods Harbor can receive an invitation to the birthday banquet.
tag16_chuanwen6_2,"To get an invitation to King Chai's birthday banquet, you need to defeat four masters hidden in the market. The hint is: ""Green curtains lightly roll to reflect the new clothes, fine wine rushes to fill the table. The market is noisy with red, green and yellow, sparks fly beside the hammer."""
tag16_chuanwen7_0,The Liao Family Massacre
tag16_chuanwen7_1,"The owner of the tea stall at Mei Pass Post said that the night the Liao family was attacked was very quiet, with no noise at all. But Liao Yuelong said that he knocked on doors for help that night.",เถ้าแก่ร้านน้ำชาจุดพักม้าด่านเหมยเล่าว่า คืนที่ครอบครัวเหลียวถูกโจมตีนั้น มันดูเงียบงัน ไร้เสียงรบกวนใดๆ แต่ เหลียวเย่หลง กลับบอกว่า เขาร้องขอความช่วยเหลือจากผู้คนในคืนนั้น
tag16_chuanwen7_2,"The owner of the tea stall at Mei Pass Post said that the number of charred bodies found in the Liao family matched the number of people in the family, with no survivors.",เถ้าแก่ร้านน้ำชาจุดพักม้าด่านเหมยเล่าว่า พบศพที่ไหม้เกรียมภายในบ้านตระกูลเหลียวเท่ากับจำนวนสมาชิกในครอบครัว ไม่มีผู้ใดรอดชีวิต
tag16_chuanwen7_3,"On the day of the Liao family massacre thirteen years ago, the dessert shop at Mei Pass Post opened, and the innkeeper of the dessert shop gave everyone a dessert.",ในวันที่ครอบครัวเหลียวถูกสังหารอย่างโหดเหี้ยมเมื่อ 13 ปีก่อน ร้านขนมหวานที่จุดพักม้าด่านเหมยเปิดให้บริการเป็นครั้งแรก และเถ้าแก่ร้านขนมหวาน แจกขนมฟรีให้กับทุกคนที่ผ่านมา
tag16_chuanwen7_4,"When the dessert shop opened, the innkeeper of the dessert shop gave everyone a dessert, but the innkeeper of the bun shop and the Liao family did not receive it."
tag16_chuanwen7_5,"On the day of the Liao family massacre, the innkeeper of the bun shop claimed that he did not receive the dessert and did not wake up that night."
tag16_chuanwen7_6,"The fire in the Liao family started at the southwestern end of the house, in between two houses."
tag16_chuanwen7_7,"The northeastern end of the Liao family's house was almost untouched by the fire, but no special fire prevention measures were taken."
tag16_chuanwen7_8,"Perhaps because it rained during the day, the thatched roof of the Liao family's house was almost unburned, but the mud walls were severely burned."
tag16_chuanwen7_9,"There were signs of a fight in the Liao family's house, and one side was using a knife."
tag16_chuanwen8_0,Mei Pass Post Station,ด่านเหมย - ที่ทำการจุดพักม้าส่งสาร
tag16_chuanwen8_1,"At the post station of Mei Pass Post, you can stay as long as you answer the soldier ""Under the sky, all land belongs to the king"".","ที่ศาลาพักม้า ณ ด่านเหมย เจ้าสามารถพักฟรีถ้าหากเจ้าตอบคำถามทหารว่า ""ใต้หล้าฟ้าดินล้วนเป็นของฮ่องเต้"""
