﻿BuffName_DLC一击必杀,Instant death,ดาบเดียวปลิดชีพ
BuffInfo_DLC印记增幅,"During battle, when self's HP is above 50%, and the enemy has any knife, Dagger, fan law mark effects, <#29F161>Attack increases Damage by 50%</color>.","ในระหว่างการต่อสู้ หาก HP ของตนเองสูงกว่า 50%, เมื่อโจมตีศัตรูมีรอยประทับดาบ มีดสั้น พัด อยู่ <#29F161>การโจมตีสร้างความเสียหายเพิ่มขึ้น 50%</color>"
BuffInfo_DLC印记反制,"During battle, when self's HP is below 50%, when attacked and the attacker has any knife, Dagger, fan law mark effects, the enemy's <#FE2929>Attack decreases by 30%</color>.","ในระหว่างการต่อสู้ เมื่อ HP ของตนเองต่ำกว่า 50%, เมื่อถูกโจมตีโดยศัตรูที่มีรอยประทับดาบ มีดสั้น พัด <#FE2929>พลังโจมตีของศัตรูจะลดลง 30%</color>"
BuffInfo_DLC免疫屏障,"When attacked by external skills, there is a <#29F161>50% chance to be immune to the negative status of the attacker</color>.",เมื่อถูกโจมตีด้วยวิชาภายนอก มีโอกาส <#29F161>มีโอกาส 50% ที่จะต้านทานสถานะด้านลบของผู้โจมตี</color>
BuffInfo_DLC绝处逢生,"When hit by Finishing Strike, become Invincible, recover <#29F161>20% of HP and MP</color>, effective once per battle.",เมื่อถูกโจมตีถึงตาย จะไม่ตาย <#29F161>ฟื้นฟู HP และ MP 20%</color> มีผล 1 ครั้งต่อการต่อสู้
BuffInfo_DLC御兽之能,"During the battle, for each animal on your side of the battlefield, when attacked, your own <#29F161>Parry increases by 5%, up to a maximum of 50%</color>.",ในระหว่างการต่อสู้ สัตว์แต่ละตัวที่อยู่ในสนามรบที่เป็นฝ่ายของคุณ <#29F161> การปัดป้องคุณจะเพิ่มขึ้น 5% เมื่อถูกโจมตี เพิ่มขึ้นสูงสุด 50%</color>
BuffInfo_DLC御兽之术,"During the battle, for each animal on your side of the battlefield, when attacking, your own <#29F161>Attack increases by 5%, up to a maximum of 50%</color>.",ในระหว่างการต่อสู้ สัตว์แต่ละตัวที่อยู่ในสนามรบที่เป็นฝ่ายของคุณ <#29F161> ดาเมจของคุณจะเพิ่มขึ้น 5% เมื่อโจมตี เพิ่มขึ้นสูงสุด 50%</color>
BuffInfo_DLC免疫背击,Additional damage for Pierce Back attack.,ไม่สนใจความเสียหายเพิ่มเติมจากการโจมตีจากด้านหลัง
BuffInfo_DLC免疫侧击,Additional damage for Pierce Side attack.,ไม่สนใจความเสียหายเพิ่มเติมจากการโจมตีจากด้านข้าง
BuffInfo_DLC免疫控制,"Immune to negative control statuses such as ""Vulnerable"", ""Cut tendon"", ""Unconscious"" etc. caused by external skills.","ต้านทานต่อสถานะควบคุมเชิงลบ เช่น ""เปราะบาง"", ""ตัดเส้นเอ็น"", ""หมดสติ"" อื่นๆ ที่มาพร้อมกับวิชาภายนอก"
BuffInfo_DLC铜墙铁壁,Receive No damage for the first time being attacked in each battle (Unable to receive damage brought by No damage negative status).,ในการต่อสู้ เมื่อถูกโจมตีเป็นครั้งแรก จะไม่ได้รับความเสียหาย (ไม่สามารถหลีกเลี่ยงความเสียหายที่เกิดจากสถานะผิดปกติได้)
BuffInfo_DLC御剑增伤,"When attacking, for every additional 5 points in Sword, <#29F161>Attack increases damage by 10%</color>.",เมื่อโจมตี ทุกๆค่ากระบี่ 5 แต้ม จะทำให้ <#29F161>การโจมตีสร้างความเสียหายเพิ่มขึ้น 10%</color>
BuffInfo_DLC神失梦迷,"When casting the external skill ""Insanity Staff"", 100% trigger the ""Slumber"" effect on the enemy.","เมื่อใช้วิชาภายนอก 'พลองมารคลั่ง' จะมีโอกาส 100% ที่จะทำให้ศัตรูได้รับสถานะ ""หลับใหล"""
BuffInfo_DLC融金藏锋,"When casting the external skill ""Origin Staff"", 100% trigger the ""Unconscious"" effect on the enemy.","เมื่อใช้วิชาภายนอก 'พลองรวมศูนย์' จะมีโอกาส 100% ที่จะทำให้ศัตรูได้รับสถานะ ""หมดสติ"""
BuffInfo_DLC致命伤害,"When attacking, there is a 50% chance that <#29F161>Attack increases damage by 100%</color>.","เมื่อโจมตี, มีโอกาส 50% ที่<#29F161>การโจมตีสร้างความเสียหายเพิ่มขึ้น 100%</color>"
BuffInfo_DLC斩敌追击,"After killing an enemy, you can <#29F161>take another action</color>.",หลังจากสังหารศัตรู จะสามารถ<#29F161>ดำเนินการได้อีกครั้ง</color>
BuffInfo_DLC追风掣电,"After each attack, you can <#29F161>move again</color>, but can only choose to rest or retreat after moving.",หลังจากการโจมตีแต่ละครั้ง คุณสามารถ <#29F161>เคลื่อนที่ได้อีกครั้ง</color> หลังจากเคลื่อนที่ คุณสามารถเลือกได้ว่าจะพักหรือถอยเท่านั้น
BuffInfo_DLC坚守之心,"You have the ""Resolute"" status, when attacked by the enemy, the enemy's own <#FE2929>Attack decreases by 30%</color>.",หากตนเองได้รับผล 'ความมุ่งมั่น' อยู่ เมื่อถูกศัตรูโจมตี <#FE2929>พลังโจมตีของศัตรูจะลดลง 30%</color>
BuffInfo_DLC逆境求生,"The lower your HP when entering battle, the more additional Action Speed you get, <#29F161>for every 10% decrease in HP, Action Speed increases by 2 points</color>.",เมื่อเข้าสู่การต่อสู้ ยิ่งค่าพลังชีวิตของตนเองต่ำลง ความเร็วท่าร่างยิ่งเพิ่มขึ้น <#29F161>ทุกๆ พลังชีวิตที่น้อยลง 10% จะเพิ่มความเร็วท่าร่างขึ้น 2 แต้ม</color>
BuffInfo_DLC致命暴击,"The lower your HP when entering battle, the more additional Critical you get, <#29F161>for every 10% decrease in HP, Critical increases by 5%</color>.",เมื่อเข้าสู่การต่อสู้ ยิ่งค่าพลังชีวิตของตนเองต่ำลง อัตราโจมตีคริติคอลยิ่งเพิ่มขึ้น <#29F161>ทุกๆ พลังชีวิตที่น้อยลง 10% จะเพิ่มอัตราโจมตีคริติคอลขึ้น 5%</color>
BuffInfo_DLC百炼成钢,"The lower your HP when entering battle, the more additional Parry you get, <#29F161>for every 10% decrease in HP, Parry increases by 5%</color>.",เมื่อเข้าสู่การต่อสู้ ยิ่งค่าพลังชีวิตของตนเองต่ำลง อัตราปัดป้องยิ่งเพิ่มขึ้น <#29F161>ทุกๆ พลังชีวิตที่น้อยลง 10% จะเพิ่มอัตราปัดป้องขึ้น 5%</color>
BuffInfo_DLC协同守护,"After entering the battle, allies within 3 squares of you have their <#29F161>Evasion increased by 15%</color>, the same effect only takes effect once.",หลังจากเข้าการต่อสู้ พันธมิตรที่อยู่ภายในรัศมี 3 ช่อง ของตัวเอง จะได้รับ<#29F161>อัตราหลบหลีกเพิ่มขึ้น 15%</color> เอฟเฟกต์เดียวกันจะมีผลเพียงแค่อันเดียวเท่านั้น
BuffInfo_DLC协同守护_光环,<#29F161>Evasion increases by 15%</color>,<#29F161>หลบหลีกเพิ่มขึ้น 15%</color>
BuffInfo_DLC威震一方,"After entering the battle, enemies within 3 squares of you have their <#FE2929>Defense reduced by 20%</color>, the same effect only takes effect once.",เมื่อเข้าสู่การต่อสู้ ภายใน 3 ช่องรอบตัว<#FE2929>พลังป้องกันของศัตรูจะลดลง 20%</color> สถานะเดียวกันนี้จะมีผลเพียงหนึ่ง
BuffInfo_DLC威震一方_光环,<#FE2929>Defense decreases by 20%</color>,<#FE2929>พลังป้องกันลดลง 20%</color>
BuffInfo_DLC武功扰乱,"After entering the battle, the cooldown of all enemy team's external skills is increased by 1, the same effect only takes effect once.",เมื่อเข้าสู่การต่อสู้ คูลดาวน์วิชาภายนอก ของทีมศัตรูเพิ่มขึ้น 1 สถานะเดียวกันจะมีผลเพียงหนึ่งเท่านั้น
BuffInfo_DLC武功扰乱_光环,External skill cooldown +1,คูลดาวน์วิชาภายนอก +1
BuffInfo_DLC辣手无情,"When fighting against female enemies, <#29F161>Attack increases damage by 50%</color>.",เมื่อต่อสู้กับศัตรูเพศหญิง<#29F161>จะสร้างความเสียหายเพิ่มขึ้น 50%</color>
BuffInfo_DLC身轻如羽,"After entering the battle, for every 1 point of Dexterity, <#29F161>increase 1 point of Action Speed</color>.",หลังจากเข้าสู่การต่อสู้ ทุกความคล่องแคล่ว 1 แต้ม จะ<#29F161>เพิ่มความเร็วท่าร่าง 1 แต้ม</color>.
BuffInfo_DLC清心寡欲,"When attacked by female enemies during battle, <#29F161>Parry increases by 50%</color>.",เมื่อถูกโจมตีโดยศัตรูหญิงระหว่างการต่อสู้ <#29F161>บล็อกเพิ่มขึ้น 50%</color>
BuffInfo_DLC运筹帷幄,"Upon entering combat, the cooldown of all external skills is reduced by 1.",เมื่อเข้าสู่การต่อสู้ คูลดาวน์ของวิชาภายนอกทั้งหมดลดลง 1 
BuffInfo_DLC伤敌恢复,"Attack an enemy every Accuracy, <#29F161>recover 20 HP for yourself</color>.",แต่ละครั้งที่มีศัตรูถูกโจมตีระหว่างการโจมตี <#29F161>ฟื้นฟูพลังชีวิต 20 แต้ม</color>
BuffInfo_DLC内力节流,"When using martial arts, <#29F161>MP Cost is reduced by 50%</color>.",เมื่อใช้วรยุทธ <#29F161>การใช้พลังภายในจะลดลง 50%</color>
BuffInfo_DLC气场扰乱,"After entering the battle, all enemies' <#FE2929>Initial Action Point is reduced by 50 each time they act</color>.",หลังจากเข้าสู่การต่อสู้ ทุกครั้งที่ศัตรูทั้งหมดดำเนินการ <#FE2929>การรวบรวมปราณเคลื่อนที่เริ่มต้นจะลดลง 50 แต้ม</color>
BuffInfo_DLC气场扰乱_光环,"After each action, <#FE2929>Initial Action Point is reduced by 50</color>.",หลังจากเสร็จการกระทำ <#FE2929>การรวบรวมค่าปราณเคลื่อนที่เริ่มต้นจะลดลง 50 จุด</color>
BuffInfo_DLC箫音暴击,"When attacking with a flute as your weapon, <#29F161>critical rate increases by 15%</color>.",เมื่อโจมตี โดยอาวุธที่ถือเป็นขลุ่ย <#29F161>อัตราโจมตีคริติคอลเพิ่มขึ้น 15%</color>
BuffInfo_DLC枪棍守护,"When attacked by an enemy with a spear or stick as their weapon, <#29F161>parry rate increases by 15%</color>.",เมื่อถูกโจมตี ถ้าอาวุธของศัตรูคือหอกหรือไม้เท้า <#29F161>โอกาสปัดป้องเพิ่มขึ้น 15%</color>
BuffInfo_DLC环环相扣,"When attacking with external skills, for each additional enemy within attack range, the hit enemy receives an extra <#29F161>50 points of damage</color>.",เมื่อโจมตีด้วยวิชาภายนอก ทุกๆระยะ ในการโจมตีศัตรูที่เพิ่มขึ้น ศัตรูจะได้รับ <#29F161>ความเสียหายเพิ่มเติมอีก 50 หน่วย</color>
BuffInfo_DLC伤害强化,"After entering the battle, every 1 point of Strength increases <#29F161>Attack damage by 2%</color> when attacking.",เมื่อเข้าสู่การต่อสู้ ทุกๆ 1 แต้มของค่าพละกำลัง เมื่อโจมตี <#29F161>จะเพิ่มความเสียหายจากการโจมตีขึ้น 2%.</color>
BuffInfo_DLC受击自愈,"Every time you trigger Evasion or Parry when attacked, <#29F161>recover 100 HP</color>.",แต่ละครั้งที่คุณถูกโจมตี หลบหลีกหรือปัดป้อง <#29F161>ฟื้นฟูพลังชีวิต 100 แต้ม</color>
BuffInfo_DLC危急自救,"When HP is below 50% during battle, <#29F161>recover 50 HP after each action</color>.",หากพลังชีวิตต่ำกว่า 50% ในระหว่างการต่อสู้ <#29F161>หลังลงมือจะฟื้นฟูพลังชีวิต 50 หน่วย</color>
BuffInfo_DLC动物猎手,"When fighting against animal enemies, <#29F161>Attack increases damage by 50%</color>.",<#29F161>การโจมตีสร้างความเสียหายเพิ่มขึ้น 50%</color> ต่อศัตรูที่เป็นสัตว์
BuffInfo_DLC生命增强,Maximum HP increases by 400 points.,พลังชีวิตสูงสุดเพิ่มขึ้น 400 หน่วย
BuffInfo_DLC身似掠影,"The lower your HP is when entering battle, the more additional Action Speed you get, <#29F161>for every 10% decrease in HP, Action Speed increases by 1 point</color>.",เมื่อเข้าสู่การต่อสู้ ยิ่งค่าพลังชีวิตของตนเองต่ำลง ความเร็วท่าร่างยิ่งเพิ่มขึ้น <#29F161>ทุกๆ พลังชีวิตที่น้อยลง 10% จะเพิ่มความเร็วท่าร่างขึ้น 1 แต้ม</color>
BuffInfo_DLC背击破招,"When attacking the enemy from the back, the enemy's <#FE2929>Evasion and Parry are reduced by 10% for this attack</color>.",เมื่อโจมตีศัตรูจากด้านหลัง <#FE2929>การหลบหลีกและการปัดป้องของศัตรูจะลดลง 10%</color>
BuffInfo_DLC侧击破招,"When attacking the enemy from the side, the enemy's <#FE2929>Evasion and Parry are reduced by 10% for this attack</color>.",เมื่อขนาบข้างศัตรู <#FE2929>การหลบหลีกและการปัดป้องของศัตรูจะลดลง 10%</color>
BuffInfo_DLC内力增强,MP increases by 300 points.,MP เพิ่มขึ้น 300 หน่วย
BuffInfo_DLC破云之力,"After entering the battle, every 1 point of Strength additionally <#29F161>increases Attack by 20 points</color>.",หลังจากเข้าสู่การต่อสู้ ค่าพละกำลังต่อหน่วยจะ <#29F161>เพิ่มพลังโจมตี 20 แต้ม</color>
BuffInfo_DLC剑意凛然,"When entering battle with a sword-type weapon, depending on the weapon's grade, <#29F161>Attack increases by 3%, 6%, 9%, 12% respectively</color>.","เมื่อเข้าสู่การต่อสู้ โดยถืออาวุธประเภทกระบี่ <#29F161>พลังโจมตีจะเพิ่มขึ้น 3%, 6%, 9% และ 12% ตามลำดับของระดับคุณภาพของอาวุธ</color>"
BuffInfo_DLC疏而不漏,"Each time you attack, the enemy's <#FE2929>Parry is reduced by 10%</color>.",<#FE2929>โอกาสปัดป้องของศัตรูจะลดลง 10%</color> ทุกครั้งที่โจมตี
BuffInfo_DLC伺机而动,"After being attacked, <#29F161>increase your own Qi value by 100 points</color>.",เมื่อถูกโจมตี <#29F161>เพิ่มค่าปราณเคลื่อนที่ 100 แต้ม</color>
BuffInfo_DLC奋勇向前,"After entering the battle, <#29F161>Initial Action Point increases by 200 points</color>.",หลังเข้าสู่การต่อสู้ <#29F161>ความเร็วท่าร่างเริ่มต้นเพิ่มขึ้น 200</color>
BuffInfo_DLC武器加持,The <#29F161>main attribute effect of the equipped weapon is increased by 30%</color>.,<#29F161>คุณสมบัติหลักของอาวุธที่สวมใส่เพิ่มขึ้น 30%</color>
BuffInfo_DLC防具加持,The <#29F161>main attribute effect of the equipped armor is increased by 30%</color>.,การสวมชุดเกราะ<#29F161>คุณสมบัติหลักของชุดเกราะเพิ่มขึ้น 30%</color>
BuffInfo_DLC伤害增强,"During battle, <#29F161>Attack increases damage by 30%</color>.","ระหว่างต่อสู้,<#29F161>การโจมตีสร้างความเสียหายเพิ่มขึ้น 30%</color>"
BuffInfo_DLC圣火护体,"When attacked by nearby enemies, the enemy's <#FE2929>Attack is reduced by 15%</color>.",เมื่อถูกโจมตีโดยศัตรูที่อยู่ใกล้เคียง <#FE2929>พลังโจมตีของศัตรูจะลดลง 15%</color>
BuffInfo_DLC强体健肌,Every 1 point of Constitution additionally <#29F161>increases HP by 25 points</color>.,ทุกๆ 1 แต้มของค่าพลังกาย <#29F161>เพิ่มค่า HP ขึ้น 25 หน่วย</color>
BuffInfo_DLC连击增强,Combo+10%,อัตราโจมตีต่อเนื่อง+10%
BuffInfo_DLC暴击增强,Critical+10%,คริติคอล+10%
BuffInfo_DLC闪避增强,Evasion+10%,หลบหลีก+10%
BuffInfo_DLC格挡增强,Parry+10%,ปัดป้อง+10%
BuffInfo_DLC生命提升,Maximum HP increased by 200 points.,พลังชีวิตสูงสุดเพิ่มขึ้น 200 หน่วย
BuffInfo_DLC闪避提升,Evasion+5%,หลบหลีก+5%
BuffInfo_DLC如影随形,Dexterity+1,คล่องแคล่ว+1
BuffInfo_DLC手脚灵活,Action Speed+2,ความเร็วท่าร่าง+2
BuffInfo_DLC伤害提升,"During combat, <#29F161>Attack increases damage by 10%</color>.",ระหว่างการต่อสู้ <#29F161>การโจมตีสร้างความเสียหายเพิ่มขึ้น 10%</color>
BuffInfo_DLC御剑提升,Sword+5,กระบี่+5
BuffInfo_DLC铜身铁骨,<#29F161>Defense increased by 30 points</color>,<#29F161>พลังป้องกันเพิ่มขึ้น 30 หน่วย</color>
BuffInfo_DLC格挡提升,Parry+5%,ปัดป้อง+5%
BuffInfo_DLC暴击提升,Critical+5%,คริติคอล +5%
BuffInfo_DLC攻击提升,<#29F161>Attack increased by 50 points</color>,<#29F161>พลังโจมตีเพิ่มขึ้น 50 แต้ม</color>
BuffInfo_DLC龙精虎猛,Strength+1,พละกำลัง+1
BuffInfo_DLC身轻如燕,"Enter combat, Movement Range increased by 1 grid.",เมื่อเข้าสู่การต่อสู้ ระยะการเคลื่อนที่จะเพิ่มขึ้น 1 ช่อง
BuffInfo_DLC身强体健,Constitution+1,พลังกาย+1
BuffInfo_DLC踏雪无痕,"After entering combat, the whole team's <#29F161>Action Speed increases by 15%</color>.",หลังจากเข้าสู่การต่อสู้ ทั้งทีมของคุณ <#29F161>ความเร็วท่าร่างเพิ่มขึ้น 15%</color>
BuffInfo_DLC踏雪无痕_光环,<#29F161>Action Speed increases by 15%</color>,<#29F161>ความเร็วท่าร่างเพิ่มขึ้น 15%</color>
BuffInfo_DLC气场威压,"After entering combat, the enemy team's <#FE2929>Action Speed decreases by 15%</color>.",หลังจากเข้าสู่การต่อสู้ <#FE2929>ความเร็วท่าร่างลดลง 15%</color>
BuffInfo_DLC气场威压_光环,<#FE2929>Action Speed decreases by 15%</color>,<#FE2929>ความเร็วท่าร่างลดลง 15%</color>
BuffInfo_DLC毒域侵蚀,"After entering combat, the enemy team gains the ""Poison Source"" effect [<#F3DE99>Poison Source: Lose 50 HP after each action</color>]","หลังจากเข้าสู่การต่อสู้ ทีมศัตรูทั้งหมดจะได้รับเอฟเฟกต์ ""พิษ"" [<#F3DE99>พิษ: ลดพลังชีวิต 50 แต้มหลังแต่ละการกระทำ</color>]"
BuffInfo_DLC毒域侵蚀_光环,Lose <#FE2929>50 HP after each action</color>.,หลังจากแต่ละการกระทำ <#FE2929>ลดพลังชีวิต 50 แต้ม</color>
BuffInfo_DLC虎狼之势,"After entering combat, our team's animals' <#29F161>Attack increases by 30%, Critical increases by 10%</color>.",หลังจากเข้าสู่การต่อสู้ การโจมตีของสัตว์ของคุณ <#29F161>พลังโจมตีเพิ่มขึ้น 30% และการโจมตีคริติคอลจะเพิ่มขึ้น 10%</color>
BuffInfo_DLC虎狼之势_光环_附属1,"<#29F161>Attack increases by 30%, Critical increases by 10%</color>",<#29F161>พลังโจมตีเพิ่มขึ้น 30% การโจมตีคริติคอลเพิ่มขึ้น 10%</color>
BuffInfo_DLC背刃之痛,"After entering combat, the enemy team gains the ""Backstab"" effect [<#F3DE99>Backstab: When receiving a Back attack, own Defense decreases by 30%</color>]","หลังจากเข้าสู่การต่อสู้ ทีมศัตรูทั้งหมดจะได้รับคุณลักษณะ""แทงข้างหลัง"" [<#F3DE99>แทงข้างหลัง: เมื่อได้รับการแทงข้างหลัง พลังป้องกันของคุณจะลดลง 30%</color>]"
BuffInfo_DLC背刃之痛_光环,"When receiving a Back attack, own <#FE2929>Defense decreases by 30%</color>.",เมื่อถูกโจมตีจากด้านหลัง <#FE2929>พลังป้องกันของคุณจะลดลง 30%</color>
BuffInfo_DLC武器印记,"After entering combat, our team gains the ""Mark"" effect [<#F3DE99>Mark: When attacked by a knife, dagger, or fan weapon, there is a 50% chance to apply a corresponding weapon mark to the attacker</color>]","เมื่อเข้าสู่การต่อสู้, กลุ่มของตนจะได้รับผล 'รอยประทับ'【<#F3DE99>รอยประทับ: เมื่อถูกโจมตีด้วยอาวุธประเภทดาบ มีดสั้น พัด จะมีโอกาส 50% ที่จะทำให้ผู้โจมตีได้รับรอยประทับจากอาวุธที่ตรงกัน</color>】."
BuffInfo_DLC武器印记_光环,"When attacked by a knife, dagger, or fan weapon, there is a 50% chance to apply a corresponding weapon mark to the attacker.",เมื่อถูกโจมตีด้วยดาบ มีดสั้น พัด จะมีโอกาส 50% ที่จะทำให้ผู้โจมตีได้รับรอยประทับจากอาวุธที่ตรงกัน.
BuffInfo_DLC狂战之怒,"After entering combat, our team's <#29F161>Critical increases by 15%</color>.",หลังจากเข้าสู่การต่อสู้ <#29F161>การโจมตีคริติคอลของทั้งทีมจะเพิ่มขึ้น 15%</color>
BuffInfo_DLC狂战之怒_光环,<#29F161>Critical increases by 15%</color>,<#29F161>การโจมตีคริติคอลเพิ่มขึ้น 15%</color>
BuffInfo_DLC坚韧之甲,"After entering combat, our team's <#29F161>Defense increases by 5%, Parry increases by 10%</color>.",หลังจากเข้าสู่การต่อสู้ <#29F161>พลังป้องกันของทีมจะเพิ่มขึ้น 5% และโอกาสปัดป้องจะเพิ่มขึ้น 10%</color>
BuffInfo_DLC坚韧之甲_光环,"<#29F161>Defense increases by 5%, Parry increases by 10%</color>",<#29F161>พลังป้องกันเพิ่มขึ้น 5% โอกาสปัดป้องเพิ่มขึ้น 10%</color>
BuffInfo_DLC攻防兼备,"After entering combat, our team's <#29F161>Attack increases by 10%, Defense increases by 5%</color>.",หลังจากเข้าสู่การต่อสู้<#29F161>พลังโจมตีของทั้งทีมจะเพิ่มขึ้น 10% และพลังป้องกันเพิ่มขึ้น 5%</color>
BuffInfo_DLC攻防兼备_光环,"<#29F161>Attack increases by 10%, Defense increases by 5%</color>",<#29F161>พลังโจมตีเพิ่มขึ้น 10% พลังป้องกันเพิ่มขึ้น 5%</color>
BuffInfo_DLC战意高扬,"After entering combat, our team's <#29F161>Attack increases by 20%</color>.",หลังจากเข้าสู่การต่อสู้ <#29F161>พลังโจมตีของทั้งทีมเพิ่มขึ้น 20%</color>
BuffInfo_DLC战意高扬_光环,<#29F161>Attack increases by 20%</color>,<#29F161>พลังโจมตีเพิ่มขึ้น 20%</color>
BuffInfo_DLC敌意涣散,"After entering combat, the enemy team's <#FE2929>Defense decreases by 20%</color>.",หลังจากเข้าสู่การต่อสู้ <#FE2929>พลังป้องกันของทีมศัตรูจะลดลง 20%</color>
BuffInfo_DLC敌意涣散_光环,<#FE2929>Defense decreases by 20%</color>,<#FE2929>พลังป้องกันลดลง 20%</color>
BuffInfo_DLC不世之材,Character's all five-dimensional aptitude +5,คุณสมบัติหลักทั้งห้าของตัวละคร +5
BuffInfo_DLC势不可挡,Attack+100,พลังโจมตี+100
BuffInfo_DLC守势如山,Defense+100,พลังป้องกัน+100
BuffInfo_DLC生机勃勃,HP+500,พลังชีวิต+500
BuffInfo_DLC动如脱兔,Action Speed+7,ท่าร่าง+7
BuffInfo_DLC攻势如虹,Attack+70,พลังโจมตี+70
BuffInfo_DLC钢筋铁骨,Defense+70,พลังป้องกัน+70
BuffInfo_DLC生龙活虎,HP+350,พลังชีวิต+350
BuffInfo_DLC速战速决,Action Speed+4,ท่าร่าง+4
BuffInfo_DLC攻击增强,Attack+40,พลังโจมตี+40
BuffInfo_DLC防御增强,Defense+40,พลังป้องกัน+40
BuffInfo_DLC生命增强1,HP+200,พลังชีวิต+200
BuffInfo_DLC健步如飞,Action Speed+2,ความเร็วท่าร่าง+2
BuffInfo_dlc内功_儒雅风流,50% chance to increase <#29F161>Critical by 10%</color> when attacking.,มีโอกาส 50 %<#29F161>คริติคอลเพิ่มขึ้น 10%</color>เมื่อโจมตี
BuffInfo_dlc内功_盛世春秋,"After entering battle, <#29F161>Critical increases by 10%</color>; after triggering Critical, enemy's <#FE2929>Attack decreases by 10%</color>, lasting for one action.",หลังจากเข้าสู่การต่อสู้ <#29F161>การโจมตีคริติคอลเพิ่มขึ้น 10%</color>; หลังจากทำให้เกิดการโจมตีคริติคอล พลังโจมตีของศัตรู <#FE2929>ลดลง 10%</color> คงอยู่ต่อหนึ่งการกระทำ
BuffInfo_dlc内功_盛世春秋_附属1,<#FE2929>Attack decreases by 10%</color>,<#FE2929>พลังโจมตีลดลง 10%</color>
BuffInfo_dlc内功_儒十三经,50% chance to Counter when attacked.,เมื่อถูกโจมตี มีโอกาสสวนกลับ 50%
BuffInfo_dlc内功_凌波诀,"After entering battle, <#29F161>Evasion increases by 5%</color>.",หลังจากเข้าสู่การต่อสู้ <#29F161>โอกาสหลบหลีกเพิ่มขึ้น 5%</color>
BuffInfo_dlc内功_太极玄,"After each action, <#29F161>energy starts accumulating from 50</color>; when attacked, your <#29F161>energy increases by 50 points</color>.",หลังลงมือแต่ละครั้ง <#29F161>ค่าปราณเคลื่อนที่จะเริ่มต้นที่ 50 หน่วย</color> และเมื่อถูกโจมตี <#29F161>ค่าปราณเคลื่อนที่จะเพิ่มขึ้นอีก 50 หน่วย</color>
BuffInfo_dlc内功_无极混元功,"After entering battle, <#29F161>Action Speed increases by 20%</color>; when attacking, if Critical is triggered, <#29F161>Combo is guaranteed</color>.",หลังเข้าสู่การต่อสู้ <#29F161>ความเร็วท่าร่างเพิ่มขึ้น 20%</color> เมื่อโจมตี หากเกิดคริติคอล <#29F161>จะโจมตีต่อเนื่องแน่นอน</color>
BuffInfo_dlc内功_金钟罩,"After entering battle, <#29F161>Parry increases by 5%, Defense increases by 20 points</color>.",หลังเข้าสู่การต่อสู้ <#29F161>ปัดป้องเพิ่มขึ้น 5% พลังป้องกันเพิ่มขึ้น 20 หน่วย</color>
BuffInfo_dlc内功_横练金身,"After entering battle, <#29F161>Parry increases by 5%</color>; each time you are attacked, 5% of the damage is Reflected back to the attacker.",หลังเข้าสู่การต่อสู้ <#29F161>ปัดป้องเพิ่มขึ้น 5%</color> แต่ละครั้งที่ถูกโจมตี จะสะท้อนความเสียหายกลับไปหาผู้โจมตี 5%
BuffInfo_dlc内功_大日如来经,"After entering battle, <#29F161>Parry increases by 15%</color>; each time you are attacked, 10% of the damage is Reflected back to the attacker.",หลังเข้าสู่การต่อสู้ <#29F161>ปัดป้องเพิ่มขึ้น 5%</color> แต่ละครั้งที่ถูกโจมตี จะสะท้อนความเสียหายกลับไปหาผู้โจมตี 10%
BuffInfo_dlc内功_玄煞劲,"Within a 2-tile range of yourself, enemy's <#FE2929>energy decreases by 50 points</color> after each action.",ภายในระยะ 2 ช่องจากรอบตนเอง หลังลงมือ จะ<#FE2929>ลดค่าปราณเคลื่อนที่ของศัตรูลง 50 แต้ม</color>
BuffInfo_dlc内功_玄煞劲_光环,"After each action, <#FE2929>energy decreases by 50 points</color>.",หลังลงมือ <#FE2929>ลดค่าปราณเคลื่อนที่ลง 50 แต้ม</color>
BuffInfo_dlc内功_玄阴诀,"After entering battle, <#29F161>Critical increases by 10%</color>; when attacking, if the enemy has ""Weakness"" or ""Slow"" effect, this time <#29F161>Critical increases by 50%, Damage increases by 20%</color>.","หลังเข้าสู่การต่อสู้ <#29F161>คริติคอลเพิ่มขึ้น 10%</color> เมื่อโจมตี หากศัตรูได้รับสถานะ ""อ่อนแอ"" หรือ ""เชื่องช้า"" อยู่ <#29F161>คริติคอลเพิ่มขึ้น 50% ความเสียหายเพิ่มขึ้น 20%</color>"
BuffInfo_dlc内功_天魔噬魂术,"30% of the damage caused by each attack is converted into your own HP, up to a Recovery of 500 points.",30% ของความเสียหายที่เกิดจากการโจมตีแต่ละครั้ง จะถูกเปลี่ยนเป็นพลังชีวิต HP ของตนเอง สูงสุดไม่เกิน 500
BuffInfo_dlc内功_洛神步,"After entering battle, <#29F161>Movement Range increases by 2 tiles</color>; after each action, <#29F161>energy starts accumulating from 50</color>.",หลังเข้าสู่การต่อสู้ <#29F161>ระยะการเคลื่อนจะเพิ่มขึ้น 2 ช่อง</color> หลังลงมือแต่ละครั้ง <#29F161>ค่าปราณเคลื่อนที่จะเริ่มต้นที่ 50 </color>
