﻿CharaName_引导者,Junior Sister,ศิษย์น้องหญิงคนเล็ก
CharaName_恋碟,Liandie,เหลียนเฝีย
CharaName_韵,Yun,หยุน
CharaName_浅浅,Qianqian,เฉียนเฉียน
CharaName_思晴,Siqing,ซือชิง
CharaName_媚娘,Meiniang,เหมยเนียง
CharaName_芙蓉,Furong,ฝูหรง
CharaName_夏沫,Xiamo,เสี่ยโม่
CharaName_缇娜,Tina,ทีน่า
CharaName_幽妍,Youyan,โยวเหยียน
CharaName_屏蔚,PingWei,ผิงเว่ย
CharaName_蓝樱,Lanying,หลานยิง
CharaName_朵姬,Duoji,ตัวจี
CharaName_夜旋,Yexuan,เย่เสวียน
CharaName_璎珞,Yingluo,อิงลั่ว
CharaName_颜离,Yanli,หยานลี่
CharaName_如烟,Ruyan,รูเหยียน
CharaName_清沙,Qingsha,ชิงซา
CharaName_婉儿,Waner,หว่านเอ๋อร์
CharaName_慕樱,Muying,มู่อิง
CharaName_莫奈,Monai,โม่เน่
CharaName_依娜,Yina,อี๋นา
CharaName_丹,Dan,ต้าน
CharaName_刘,Liu,หลิว
CharaName_释心,Shixin,ฉื่อซิน
CharaName_释名,Shiming,ชื่อหมิง
CharaName_释我,Shiwo,ซื่อหว่อ
CharaName_释空,Shikong,ซื่อคง
CharaName_释能,Shineng,ซื่อเหนิง
CharaName_释净,Shijing,ซีจิง
CharaName_释德,Shide,ซื่อเต๋อ
CharaName_释惠,Shihui,ซื่อฮุ่ย
CharaName_清,Qing,ชิง
CharaName_杨子,Yangzi,หยางจือ
CharaName_崖子,Yazi,หยาฉือ
CharaName_书远,Shuyuan,ชูหยวน
CharaName_腾,Teng,เท้ง
CharaName_狞,Ning,หนิง
CharaName_大力,Dali,ต้าหลี่
CharaName_石,Shi,ฉือ
CharaName_大,Da,ต้า
CharaName_二,Er,เอ้อร์
CharaName_三,San,ซาน
CharaName_无惧,Wuju,หวูฉู่
CharaName_无畏,Wuwei,หวู่เว่ย
CharaName_无敌,Wudi,หวู่ตี้
CharaName_琴,Qin,ฉิน
CharaName_行健,Xingjian,ฉิงเจี้ยน
CharaName_大牛,Daniu,ต้าหนิว
CharaName_老二,Laoer,เหลาเอ๋อร์
CharaName_无八,Wuba,หวูปา
CharaName_子,Zi,จื่อ
CharaName_屑,Xue,เสี่ย
CharaName_狗,Gou,โก้ว
CharaName_朋,Peng,เผิง
CharaName_儒圣馆弟子,Confucius Temple Disciple,ศิษย์วัดขงจื๊อ
CharaName_黑子,Black Piece,หมากดำ
CharaName_白子,White Piece,หมากขาว
CharaName_年轻女子,Young Woman,หญิงสาว
CharaName_神秘人,Mysterious Man,บุรุษลึกลับ
CharaName_山贼-甲,Mountain Bandit-A,โจรภูเขา - อี้
CharaName_山贼-乙,Mountain Bandit-B,โจรภูเขา - เอ้อร์
CharaName_狼,Wolf,หมาป่า
CharaName_野猪,Wild Boar,หมูป่า
CharaName_祭酒,Libationer,เจ้าพิธี
CharaName_妙音坊弟子,Melody House Disciple,ศิษย์ตำหนักบทเพลง
CharaName_家丁,Servant,คนรับใช้
CharaName_蝮蛇,Viper,งูพิษ
CharaName_毒蝎,Poisonous Scorpion,แมงป่องพิษ
CharaName_猛虎,Fierce Tiger,เสือดุร้าย
CharaName_燕子窝弟子,Swallow Nest disciple,ศิษย์รังนกนางแอ่น
CharaName_镖师,Escort master,หัวหน้าผู้คุ้มภัย
CharaName_机关人,Machinery Man,หุ่นกลไล
CharaName_西域商人,Western merchant,พ่อค้าแดนตะวันตก
CharaName_个性跳脱的画师,Eccentric painter,จิตกรประหลาด
CharaName_清冷无言的女子,Cold and silent woman,สตรีผู้เงียบงันและเย็นชา
CharaName_不苟言笑的道士,A serious Taoist,นักพรตเต๋าท่าทีเคร่งเครียด
CharaName_guid-1主角,Vinegar Shrimp,ซูเสี่ยวเซีย
CharaName_女子,Woman,หญิงสาว
CharaName_商人,Merchant,พ่อค้า
CharaName_阴狠的流浪刀客,Sinister Wandering Swordsman,มือกระบี่พเนจร
CharaName_滑稽的怪异老者,Funny Weird Old Man,ผู้เฒ่าที่ตลกและแปลกประหลาด
CharaName_嚣张的江湖剑客,Arrogant Wandering Swordsman,มือกระบี่พเนจรที่เย่อหยิ่ง
CharaName_满头大汗的铁匠,Sweating Blacksmith,ช่างตีเหล็กที่เหงื่อท่วมศีรษะ
CharaName_普普通通的老人,Ordinary Old Man,ผู้เฒ่าที่แสนปกติ
CharaName_鬼手神匠,Ghost Hand Divine Craftsman,ช่างเทวะมือปีศาจ
CharaName_冷酷的流浪刀客,Cold Wandering Swordsman,มือกระบี่พเนจรที่เย็นชา
CharaName_无名,Nameless,นิรนาม
CharaName_通天塔主人,Sky Breaker Tower Master,ปรมาจารย์แห่งหอสูงเทียมฟ้า
CharaName_雄赳赳,Heroic,วีรชน
CharaName_咯咯哒,Giggling,คิกคัก
CharaName_冷峻的江湖刀客,The stern martial artist with a knife,จอมยุทธ์พเนจรที่เยือกเย็น
CharaName_帅气的江湖剑客,The handsome martial artist with a sword,จอมยุทธ์พเนจรที่ทรงเสน่ห์
CharaName_喽啰甲,Thug A,อันธพาล อี้
CharaName_喽啰乙,Thug B,อันธพาล เอ้อร์
CharaName_门派余孽甲,Sect Remnant A,ศิษย์ที่เหลือรอด - อี้
CharaName_门派余孽乙,Sect Remnant B,ศิษย์ที่เหลือรอด - เอ้อร์
CharaName_扶摇子,Fu Yaozi,ฝูเหยาจื่อ
CharaName_醋,Vinegar,ซู
CharaName_小虾,Shrimp,เสี่ยวเซีย
CharaName_一枝花,Yi Zhihua,อี้จื่อฮวา
CharaName_山贼,Mountain Bandit,โจรภูเขา
CharaName_村长,Village Head,หัวหน้าหมู่บ้าน
CharaName_小宝,Xiao Bao,เสี่ยวเป่า
CharaName_山贼甲,Brigand A,โจรภูเขา - อี้
CharaName_山贼乙,Brigand B,โจรภูเขา - เอ้อร์
CharaName_山贼丙,Brigand C,โจรภูเขา - ปิง
CharaName_丁小姐,Miss Ding,คุณหนูติง
CharaName_丁员外,Ding the merchant,ติงหยวนไหว่
CharaName_官府特使,Official Envoy,ทูตพิเศษจากทางการ
CharaName_康王,Duke Kang,อ๋องคัง
CharaName_柳生,Liu Sheng,ยางิว
CharaName_服部,Hattori,ฮัตโตริ
CharaName_完颜,Wan Yan,หวันเหยียน
CharaName_柴王,Chai Wang,อ๋องไฉ
CharaName_佟,Tong,ถง
CharaName_建炎皇帝,Jian Yan Emperor,ฮ่องเต้เจี้ยนเหยียน
CharaName_魔化柴王,Demonize · Chai Wang,วิถีมาร·อ๋องไฉ
CharaName_游击将军,Guerrilla General,แม่ทัพหน่วยกองโจร
CharaName_官兵甲,Soldier A,ทหาร - อี้
CharaName_官兵乙,Soldier B,ทหาร - เอ้อร์
CharaName_官兵丙,Soldier C,ทหาร - ไก้
CharaName_皇城司太监,Imperial City Office Eunuch,ขันทีกรมวังหลวง
CharaName_康王府管事,Duke Kang's manor Steward,พ่อบ้านตำหนักอ๋องคัง
CharaName_康王府精英护卫,Elite Guard of Duke Kang's Mansion,องครักษ์ตำหนักอ๋องคัง
CharaName_背嵬军,Beiwei Army,ทัพเป่ยเว่ย
CharaName_斋藤,Saito,ไซโตะ
CharaName_月咏,Tsukuyomi,ซึคุโยะ
CharaName_计,Ji,จี้
CharaName_包,Pack,เปา
CharaName_郎中,Doctor,แพทย์
CharaName_屠户,Butcher,คนขายเนื้อ
CharaName_猎户,Hunter,นายพราน
CharaName_江湖人,Rivers and Lakes People,ชาวยุทธ
CharaName_萧,Xiao,เสี่ยว
CharaName_狂妄的西域高手,Arrogant Western Master,ยอดฝีมือจากดินแดนตะวันตกที่หยิ่งยะโส
CharaName_霸道的西域高手,Tyrannical Western Master,ยอดฝีมือจากดินแดนตะวันตกที่โหดร้ายทารุณ
CharaName_毒舌的西域高手,Sarcastic Western Master,ยอดฝีมือจากดินแดนตะวันตกที่หยาบคาย
CharaName_阴气森森的机关傀儡,Eerie Automaton,เครื่องจักรที่ลึกลับ
CharaName_巨大机关傀儡,Giant Automaton,เครื่องจักรยักษ์
CharaName_白猿,White Ape,ลิงขาว
CharaName_酒坊掌柜,Tavern Keeper,เถ้าแก่โรงเตี๊ยม
CharaName_神色怪异的小二,Odd-looking Waiter,เสี่ยวเอ้อแปลกๆ
CharaName_蚍蜉城精英忍者甲,Elite Ninja A of Great Ant City,นินจาชั้นยอด - อี้ จากเมืองผีฝู
CharaName_蚍蜉城精英忍者乙,Elite Ninja B of Great Ant City,นินจาชั้นยอด - เอ้อร์ จากเมืองผีฝู
CharaName_蚍蜉城精英忍者丙,Elite Ninja C of Great Ant City,นินจาชั้นยอด -ปิง จากเมืองผีฝู
CharaName_剑贫,Jian Pin,เจี้ยนผิน
CharaName_一脸不屑的剑客,Contemptuous Swordsman,มือกระบี่ที่มีสีหน้าดูถูก
CharaName_狼狈为奸的师弟,Conspiring Junior Brother,ศิษย์น้องที่ร่วมมือกัน
CharaName_夺命书生,Deadly Scholar,บัณฑิตอันตราย
CharaName_快剑郎君,Swift Sword Gentleman,สภาพบุรุษมือกระบี่ว่องไว
CharaName_青衣神剑,Green-clad Sword Saint,เซียนกระบี่ในชุดเขียว
CharaName_巴山道人,Bashan Taoist,นักพรตจากภูเขาบาซาน
CharaName_一脸满足的老者,Satisfied Old Man,ผู้เฒ่าใบหน้ายิ้มแย้ม
CharaName_平静安详的老妪,Serene Old Woman,หญิงชราสงบเสงี่ยม
CharaName_厨子,Cook,พ่อครัว
CharaName_幼童,Child,เด็ก
CharaName_黑衣杀手,Assassin in Black,นักฆ่าชุดดำ
CharaName_凶横的护卫,Fierce Guard,ผู้คุ้มกันที่ดุร้าย
CharaName_赵老爷,Zhao Laoye,จ้าวเหล่าหเย
CharaName_燕军将领,Yan Army General,แม่ทัพกองทัพเยียน
CharaName_三花猫,San Hua Cat,แมวซานฮวา
CharaName_野狼,Wild Wolf,หมาป่า
CharaName_官兵,Soldier,ทหาร
CharaName_惊鸾杀手,Jing Luan Assassin,นักฆ่าจิงหลวน
CharaName_黑衣人首领,Leader in Black,หัวหน้าชายชุดดำ
CharaName_黑衣人,Man in black,ชายชุดดำ
CharaName_保国寺住持,Baoguo Temple Abbot,เจ้าอาวาสวัดเป่ากั๋ว
CharaName_一身正气的道士,Righteous Taoist,นักพรตเต๋าผู้เที่ยงธรรม
CharaName_义正言辞的刀客,Righteous Swordsman,มือกระบี่ผู้เที่ยงธรรม
CharaName_怒气冲冲的镖师,Furious Escort Master,หัวหน้าผู้คุ้มภัยเกรี้ยวกราด
CharaName_大义凛然的侠客,Noble Swordsman,มือกระบี่ลูกคุณหนู
CharaName_老汉,Old Man,ผู้เฒ่า
CharaName_九黎族人,Jiuli Tribesman,คนเผ่าจิ่วลี่
CharaName_蚍蜉城上忍,Great Ant City Senior Ninja,นินจาอาวุโสเมืองผีฝู
CharaName_蚍蜉城忍者,Great Ant City Ninja,นินจาเมืองผีฝู
CharaName_铁面人,Tie Mianren,บุรุษหน้ากากเหล็ก
CharaName_新九流门徒,New Nine Streams Disciple,ศิษย์นิกายเก้าฝ่ายใหม่
CharaName_面人小贩,Noodle Vendor,คนขายก๋วยเตี๋ยว
CharaName_糖葫芦小贩,Candied Fruit Vendor,คนขายถังหูลู่
CharaName_朝地一棍,Ground-striking Staff,กระบองฟาดปฐพี
CharaName_定关西,Ding Guanxi,ผู้ปกครองป้อมปราการตะวันตก
CharaName_笑面太岁,Smiling Tai Sui,ไท่จุนหน้ายิ้ม
CharaName_捕头,Constable,มือปราบ
CharaName_捕快,Constable,มือปราบ
CharaName_守门弟子,Gatekeeping Disciple,ศิษย์ที่เฝ้าประตู
CharaName_师爷,Clerk,กุนซือ
CharaName_赌徒,Gambler,นักพนัน
CharaName_得意洋洋的江湖人,Proud Jianghu Man,จอมยุทธผู้ภาคภูมิ
CharaName_如痴如醉的官兵甲,Infatuated Soldier A,ทหารที่ชอบมีนเมา -อี้
CharaName_如痴如醉的官兵乙,Infatuated Soldier B,ทหารที่ชอบมีนเมา -เอ้อร์
CharaName_满脸冷酷的将军,Cold-faced General,แม่ทัพที่มีสีหน้าเยือกเย็น
CharaName_护院,Guardian,ผู้พิทักษ์
CharaName_夫人,Lady,สาวน้อย
CharaName_老爷,Master,นายท่าน
CharaName_李老板,Boss Li,หัวหน้าหลี่
CharaName_丁老板,Boss Ding,หัวหน้าติง
CharaName_陈老板,Boss Chen,เถ้าแก่เฉิน
CharaName_伙计,Clerk,เสี่ยวเอ้อ
CharaName_古墓巨蝎,Ancient Tomb Giant Scorpion,เครื่องจักรโบราณแมงป่อง
CharaName_巨蜥,Giant Lizard,กิ้งก่ายักษ์
CharaName_群芳馆侍女,Qunfang Pavilion Maid,สาวรับใช้ในตำหนักดอกไม้
CharaName_武师,Martial Arts Trainer,ครูฝึกยุทธ
CharaName_书生,Scholar,ปราชญ์
CharaName_混混,Ruffian,อันธพาล
CharaName_雪绒,Snow Velvet,เสือดาวหิมะ
CharaName_魔化蔡元常,Demonize · Cai Yuanchang,วิถีมาร·ไช่หยวนฉาง
CharaName_容貌俊秀的公子,Handsome Young Master,คุณชายรูปงาม
CharaName_兴致勃勃的富商,Enthusiastic Merchant,พ่อค้าที่มีความกระตือรือร้น
CharaName_影武者,Shadow Warrior,นักรบเงา
CharaName_燕,Yan,เยี่ยน
CharaName_古墓傀儡,Ancient Tomb Automaton,เครื่องจักรโบราณ
CharaName_火蜥蜴,Salamander,จิ้งจกไฟ
CharaName_马匪首领,Horse Bandit Leader,หัวหน้าโจรปล้นม้า
CharaName_马匪,Horse Bandit,โจรปล้นม้า
CharaName_说书人,Shuo Shuren,โช่วชูเหริน
CharaName_蔡,Cai,ไช่
CharaName_残棋,Can Qi,คานฉี
CharaName_书,Book,ซู
CharaName_画,Painting,ฮวา
CharaName_哑,Mute,หยา
CharaName_重,Heavy,ฉง
CharaName_邋遢张,La Tazhang,ลาทาจาง
CharaName_长春子,Chang Chunzi,ฉางชุนจื่อ
CharaName_慧元,Hui Yuan,ฮุ่ยหยวน
CharaName_华严,Hua Yan,ฮัวเหยียน
CharaName_癞头癫,Lai Toudian,ไล่โถวเตียน
CharaName_释愚,Shi Yu,ซื่อหยู
CharaName_释厄,Shi E,ซื่อเอ้อร์
CharaName_付,Fu,ฟู่
CharaName_顾,Gu,กู้
CharaName_鱼,Yu,หยู
CharaName_定,Ding,ติง
CharaName_曲,Qu,ฉู่
CharaName_唐,Tang,ถัง
CharaName_老猎人,Old Hunter,พรานชรา
CharaName_陆,Lu,ลู่
CharaName_步,Bu,ปู้
CharaName_洛,Luo,ลั่ว
CharaName_裘,Qiu,ฉิว
CharaName_命,Life,หมิง
CharaName_叶,Ye,เย่
CharaName_霍,Huo,ฮั่ว
CharaName_紫,Purple,จื่อ
CharaName_时,Shi,ซื่อ
CharaName_剑痴,Jian Chi,มารกระบี่
CharaName_欧冶,Ouye,โอวเย่
CharaName_独孤,Dugu,ตู๋กู
CharaName_疯戏子,Feng Xizi,เฟิงซีสือ
CharaName_损道人,Sun Daoren,ซุนเต้าเหริน
CharaName_恶乞丐,E Qigai,เอ้อร์ฉีไก้
CharaName_凌,Ling,หลิง
CharaName_庖,Pao,เปา
CharaName_穆,Mu,มู่
CharaName_夜枭,Ye Xiao,เย่เซียว
CharaName_楚,Chu,ฉู่
CharaName_海棠,Begonia,ไห่ถัง
CharaName_绛,Jiang,เจียง
CharaName_福箐郡主,Princess Fuqing,องค์หญิงฟู่ชิง
CharaName_廖,Liao,เหลียว
CharaName_燕云铁军,Yan Yun Iron Army,กองทัพเหล็กเยี่ยนหยุน
CharaName_蚍蜉城弟子,Great Ant City Disciple,ศิษย์จากเมืองผีฝู
CharaName_柴王阁高手,Chaiwangge Expert,ยอดฝีมือตำหนักอ๋องไฉ
CharaName_燕云铁军守卫（弱）,Yan Yun Iron Army Guard (Weak),ทหารเหล็กแห่งเยี่ยนหยุน (ฝึกหัด)
CharaName_燕云铁军守卫（中）,Yan Yun Iron Army Guard (Medium),ทหารเหล็กแห่งเยี่ยนหยุน (ขั้นกลาง)
CharaName_燕云铁军守卫（强）,Yan Yun Iron Army Guard (Strong),ทหารเหล็กแห่งเยี่ยนหยุน (ขั้นสูง)
CharaName_蚍蜉城守卫（弱）,Great Ant City Guard (Weak),ยามเมืองผีฝู (อ่อนหัด)
CharaName_蚍蜉城守卫（中）,Great Ant City Guard (Medium),ยามเมืองผีฝู (ขั้นกลาง)
CharaName_蚍蜉城守卫（强）,Great Ant City Guard (Strong),ยามเมืองผีฝู (ขั้นสูง)
CharaName_柴王阁守卫（弱）,Chaiwangge Guard (Weak),องครักษ์ตำหนักอ๋องไฉ (อ่อนหัด)
CharaName_柴王阁守卫（中）,Chaiwangge Guard (Medium),องครักษ์ตำหนักอ๋องไฉ (ปกติ)
CharaName_柴王阁守卫（强）,Chaiwangge Guard (Strong),องครักษ์ตำหนักอ๋องไฉ (แข็งแกร่ง)
CharaName_守卫（弱）,Guard (Weak),ยาม (อ่อนหัด)
CharaName_守卫（中）,Guard (Medium),ยาม (ขั้นกลาง)
CharaName_守卫（强）,Guard (Strong),ยาม (ขั้นสูง)
CharaName_棕熊,Brown Bear,หมีน้ำตาล
CharaName_士兵,Soldier,ทหาร
CharaName_武藏,Musashi,มุซาชิ
CharaName_兵卫,Hyobu,เฮียวเอะ
CharaName_乌珠,Wuzhu,อู๋จู
CharaName_道辅,Daofu,เต๋าฟู่
CharaName_久秀,Hisashi,ฮิซาฮิเดะ
CharaName_樱羽,Sakuraba,ซากุระฮะ
CharaName_武,Wu,อู๋
CharaName_百出,Hyakushutsu,ไป๋ฉู่
CharaName_亮,Liang,เหลียง
CharaName_昭宁,Zhaoning,จ้าวหนิง
CharaName_打听,Dating,ต้าถิง
CharaName_元霸,Yuanba,หยวนป้า
CharaName_歌行,Gexing,เก้อซิง
CharaName_元常,Yuanchang,หยวนฉาง
CharaName_攸之,Youzhi,โหย่วจือ
CharaName_狂,Mad,กวง
CharaName_痴,Fool,ชือ
CharaName_阳子,Yangzi,หยางสื่อ
CharaName_会之,Huizhi,ฮุ่ยจือ
CharaName_瑶琴,Yaoqin,เหยาฉิน
CharaName_倾城,Qingcheng,ชิงเฉิง
CharaName_薇儿,Wei'er,เว่ยเอ๋อ
CharaName_木黎,Muli,มู่หลี
CharaName_彩蝶,Colorful Butterfly.,ไฉ่ตี้
CharaName_风波,Fengbo,เฟิงป๋อ
CharaName_神机,Shenji,เสินจี
CharaName_忘忧,Wangyou,หวังโหย่ว
CharaName_太君,Taijun,ไท่จุน
CharaName_剑南,Jiannan,เจี้ยนหนาน
CharaName_绝尘,Juechen,เจวี่ยเฉิน
CharaName_青青,Qingqing,ชิงชิง
CharaName_天雄,Tianxiong,เทียนซง
CharaName_之墨,Zhi Mo,จื่อโม่
CharaName_千雪,Qianxue,เฉียนเสวี่ย
CharaName_不凡,Bufan,ปู้ฟาน
CharaName_一刀,Yidao,อี้เตา
CharaName_鹏举,Pengju,เผิงจู
CharaName_银瓶,Yinping,หยินผิง
CharaName_诗楼,Shilou,ซื่อเหล่า
CharaName_德诺,Denuo,เต๋อนัว
CharaName_天,days,เทียน
CharaName_文修,Coinxiu,เหวินซิ่ว
CharaName_红玉,Hongyu,หงอวี้
CharaName_无欺,Wuqi,อู๋ฉี
CharaName_恒,Heng,เหิง
CharaName_剑一,Jianyi,เจี้ยนอี้
CharaName_梦蝶,Dream Butterfly,เมิ่งเตี๋ย
CharaName_再兴,Rebirth,ไซซิง
CharaName_狂生,Mad Life,กวงเฉิง
CharaName_璇玑,Xuanji,เสวียนจี
CharaName_罗冲,Luo Chong,หลัวจง
CharaName_紫烟,Purple Smoke,จื่อเยียน
CharaName_如蕊,Ruru,หรูรุ่ย
CharaName_月龙,Yuelong,เยว่หลง
CharaName_鸿轩,Hongxuan,หงซวน
CharaName_白头翁,Old man with white hair,ไป่โถวเหวิง
CharaName_十八,Eighteen,สือปา
CharaName_幻象,Illusion,ภาพหลอน
