﻿BuffEffect_OnEnable,{0} gains <#00FF00>{1}</color> status,{0} ได้รับ สถานะ <#00FF00>{1}</color> 
BuffInfo_菩提禅心,"A knife hangs over the head of the colored word, as a monk, one needs to cut off all emotional ties.\nFor each female teammate in the team, <#FE2929>Intelligence-2, Luck-2, Action Speed decreases by 10%, EXP gained from killing enemies decreases by 15%</color>.\nWithout any female teammates, <#29F161>Intelligence+2, Luck+2, EXP gained from killing enemies increases by 100%</color>.\nDuring battle, when Benevolence is above 0, <#29F161>each point increases Attack damage by 0.25%</color>; when Benevolence is below 0, <#FE2929>each point decreases Attack damage by 0.25%</color>."
BuffInfo_摸金校尉,"Good at finding wealth, always able to find valuable things in unexpected places. Each time you loot a locked chest, you will definitely get more Coins than last time."
BuffInfo_日进斗金,"Must be the reincarnation of the God of Wealth, able to get <#29F161>75 times the number of days in the world of Coins</color> every day, really enviable."
BuffInfo_毒蛊寄生,"There is already a Poisonous parasite in the body, and toxins can be released with every move. <#29F161>Both attacks and injuries can apply 8 points of Poisoned effect to the enemy</color>."
BuffInfo_皮糙肉厚,"Born Hardy, ordinary attacks are like itching. <#29F161>Every 1 point of Constitution will reduce the final damage received by 1%</color>."
BuffInfo_心宽体胖,"Cheerful mood, carefree, naturally comfortable. <#29F161>Max HP increased by 10%</color>."
BuffInfo_酩酊醉意,"Everyone is drunk, only I am sober, every time you enter a battle, there is a chance to consume a bottle of wine and get a short-term effect bonus. If there is no wine to drink, it will cause Depression."
BuffInfo_交游广阔,"Good at dealing with everyone, can call brothers and sisters when meeting passers-by. <#29F161>Gift effect increased by 20%</color>."
BuffInfo_动如脱兔,"After entering the battle, <#29F161>Movement Range increased by 1 square</color>, <#29F161>Action Speed increased by 10 points</color>."
BuffInfo_护花使者,"After entering the battle, protect female teammates within a 2-square range, <#29F161>damage reduced by 15% when attacked</color>."
BuffInfo_护花使者_光环,"After entering the battle, <#29F161>female teammates are protected</color>, <#29F161>damage is reduced by 15% when attacked</color>."
BuffInfo_国公世子,"<#29F161>Initial Fame level 5, initial Coin 20000, opposite sex Gift effect increased by 25%</color>."
BuffInfo_文武状元,"<#29F161>Strength+3, Intelligence+3, EXP required for martial arts upgrade reduced by 50%</color>."
BuffInfo_剧情暗器奇才,"A prodigy in Throwing, even a stone in hand is like an arrow. <#29F161>Throwing+30</color>."
BuffInfo_剧情毒术奇才,"A prodigy in Toxicology, once acted, even the divine doctor can't save. <#29F161>Toxicology+30</color>."
BuffInfo_剧情短兵奇才,"A prodigy in Short, enemies in close combat are either dead or injured. <#29F161>Short+30</color>."
BuffInfo_剧情拳掌奇才,"A prodigy in Fist, who says bare hands can't beat weapons? <#29F161>Fist+30</color>."
BuffInfo_剧情耍刀奇才,"A prodigy in using a knife, it's like a thousand troops rushing between the flashes of the knife. <#29F161>Knife+30</color>."
BuffInfo_剧情医术奇才,"Medical talent, there is no incurable disease in the world, even the king of hell has a headache, <#29F161>Medical+30</color>."
BuffInfo_剧情音律奇才,"A prodigy in Music, a heavenly tune, lingering for three days, <#29F161>Musical+30</color>."
BuffInfo_剧情御剑奇才,"A prodigy in using a sword, a strong contender for the next generation of sword saints, <#29F161>Sword+30</color>."
BuffInfo_剧情长兵奇才,"A prodigy in using Long weapons, it makes people suspect that the fighting Buddha has descended, <#29F161>Long+30</color>."
BuffInfo_剧情特异毒体,"An unusual obsession with studying Toxicology, <#29F161>Toxicology limit increased to 500</color>."
BuffInfo_剧情暗器精研,"An unusual obsession with studying Throwing skills, <#29F161>Throwing limit increased to 500</color>."
BuffInfo_剧情动如雷霆,"Like a ghost on the battlefield, no one can keep up with your actions, <#29F161>Action Speed+20%</color>.",ดุจผีร้ายบนสมรภูมิ มิมีผู้ใดตามการกระทำของคุณได้ทัน  <#29F161>Action Speed+20%</color>.
BuffInfo_剧情雪上加霜,"With ruthless poison, it's hard to defend against. After poisoning the target in battle, there is a <#29F161>25%</color> chance to act again, this effect can only be triggered once per round."
BuffInfo_剧情妙手仁心,"Taking it upon yourself to heal the world, after healing in battle, there is a <#29F161>25%</color> chance to act again, this effect can only be triggered once per round."
BuffInfo_剧情身先士卒,"Brave in battle, always leading the team, start each battle with <#29F161>100 energy</color>."
BuffInfo_剧情身轻如燕,"Famous for your speed, ordinary people can't catch up, you can <#29F161>move an extra square</color> in battle."
BuffInfo_剧情目无全牛,"With superior hunting skills, you can accurately kill any beast in sight. <#29F161>Increases Damage by 30% against animal enemies</color>."
BuffInfo_剧情免疫中毒,"Your Constitution is beyond ordinary, immune to all poisons, <#29F161>immune to all Poisoned effects</color>."
BuffInfo_剧情免疫封穴,"Your Constitution is unusual, with reversed acupoints, <#29F161>immune to all Sealed effects</color>."
BuffInfo_剧情免疫流血,"Hardy, ordinary swords can't pierce your skin, <#29F161>immune to all Bleeding effects</color>."
BuffInfo_剧情免疫致盲,"Excellent eyesight, you can see a fly miles away clearly, <#29F161>immune to all Blinded effects</color>."
BuffInfo_剧情免疫内伤,"Born with abundant energy, <#29F161>immune to all Internal Injury effects</color>."
BuffInfo_剧情触类旁通,"You are extraordinarily talented, and you can grasp new things at a glance. The <#29F161>EXP+30%</color> obtained by killing the opponent in battle."
BuffInfo_剧情大器晚成,"Slow starter, accumulate over time, before level 50, only get <#FE2929>half EXP</color> from killing opponents in battle, but after level 50, you can get an additional <#29F161>2 times EXP</color>."
BuffInfo_剧情庄周梦蝶,"Every time you fall asleep, you will have a thrilling Martial Arts duel with the enemy in your dream. After waking up, you will get <#29F161>EXP equal to your own Level×10</color>."
BuffInfo_剧情手到擒来,"With eyes good at finding materials, you can easily gather any material. The growth efficiency of gathering skills <#29F161>increases by 30%</color>."
BuffInfo_剧情心灵手巧,"With infinite creativity, even inferior materials can be made into good products. The growth efficiency of manufacturing skills <#29F161>increases by 30%</color>."
BuffInfo_剧情火眼金睛,"An expert in Appraise, no matter what it is, you can see its origin and function at a glance. The growth efficiency of Appraise skills <#29F161>increases by 30%</color>."
BuffInfo_剧情谋生有道,"Adaptable and resilient, you can thrive even in the harshest environments. The growth efficiency of survival skills is increased by <#29F161>30%</color>."
BuffInfo_剧情歪门邪道,"Walking in the martial world doesn't always mean taking the high road, being a street boy is also a way. The growth efficiency of street skills is increased by <#29F161>30%</color>."
BuffInfo_剧情道貌岸然,"A thousand miles to send a goose feather, a light gift carries heavy affection. The effect of improving relations with other characters is increased by <#29F161>50%</color>, but when relations deteriorate, the decrease in relations value will be <#FE2929>doubled</color>."
BuffInfo_剧情惺惺相惜,"No matter who the other person is, you always seem to hit it off with them. When giving gifts to the same sex, the effect is increased by <#29F161>30%</color>."
BuffInfo_剧情异性相吸,"You are charming and attractive, always able to attract admirers wherever you go. When giving gifts to friends of the opposite sex, the effect is increased by <#29F161>30%</color>."
BuffInfo_剧情乐不思蜀,"An astonishing optimist, no matter what happens, your mood never worsens."
BuffInfo_剧情立竿见影,"Born with a regenerative body, your recovery skills are exceptional. When receiving HP and MP recovery effects, the <#29F161>recovery effect is doubled</color>.",กำเนิดมาพร้อมกายพิเศษ ความสามารถในการฟื้นตัวที่ดีเยี่ยมเหนือปุถุชน เมื่อได้รับผลการฟื้นฟู HP และ MP  <#29F161>ผลฟื้นฟูมีผลประสิทธิสองเท่า</color>
BuffInfo_剧情身如鬼魅,"In the world of martial arts, speed is the key, <#29F161>Action Speed+20</color>."
BuffInfo_剧情随手烟尘,"Always carrying smoke-producing items with you, throwing them into people's eyes when they least expect it, it's really hard to guard against. <#29F161>Each attack will cause 10 points of blindness to the target</color>."
BuffInfo_剧情精通兽语,"Born with the ability to communicate with all kinds of wild beasts, it seems that only animals are your true friends. <#29F161>When communicating with animals, bypass the Beast Taming Skill restriction</color>."
BuffInfo_剧情辣手摧花,"Without a shred of mercy for women, you strike them even more ruthlessly. <#29F161>Deal an extra 25% damage to female characters</color>."
BuffInfo_剧情嫉恶如仇,Never tolerate any evil deeds! <#29F161>Critical+10%</color>.
BuffInfo_剧情战意凛然,"Like a giant spirit, you are awe-inspiring and never back down in the face of strong enemies, gaining an extra <#29F161>50% Spirit</color>."
BuffInfo_剧情妙手空空,"With extremely fast hands, your pickpocketing skills are undetectable. <#29F161>Each attack on an enemy will steal 1% of their gold, up to a maximum of 50 coins per target per attack</color>."
BuffInfo_剧情明察秋毫,"With exceptional vision, no detail can escape your eyes. <#29F161>Accuracy rate+30%</color>."
BuffInfo_剧情玄门正宗,"Everything in the world comes from something, and something comes from nothing. <#29F161>MP consumption is reduced by 25% when using external skills</color>."
BuffInfo_剧情众志成城,"When brothers unite, their power can cut through gold. For each character with whom you have 100 relations, you can deal an extra 5 points of damage, up to a maximum of 250 points."
BuffInfo_剧情飞星连珠,"A true master of throwing, your dart arrives before your hand moves. In combat, after using a throwing attack, there is a <#29F161>25%</color> chance of taking another action, this effect can only be triggered once per round."
BuffInfo_剧情九流杂学,"The survival experience passed down among the common people, covering all aspects. <#29F161>Success rate of Steal, Poison, Sneak Attack, and ImmobilizeSkill increased by 25%</color>."
BuffInfo_剧情逆流而上,"Against the current, knowing the difficulty and moving forward. Movement Range -1, but Action Speed +20."
BuffInfo_剧情兵器亲和,"Master the tricks of using various Weapons, the Equip requirement for Weapons is reduced by 25%."
BuffInfo_剧情医术精研,"Have an obsession with Medical research beyond ordinary people, <#29F161>Medical limit increased to 500</color>."
BuffInfo_剧情儒者之风,"When each of the ""Benevolence, Righteousness, Courtesy, Wisdom, and Trust"" is above 0, <#29F161>each point increase finally increases damage by 0.05%</color>; when each of the ""Benevolence, Righteousness, Courtesy, Wisdom, and Trust"" is below 0, <#FE2929>each point decrease increases damage by 0.2% when attacked</color>."
BuffInfo_剧情菩提禅心,"A knife hangs over the head of the colored word, as a monk, one needs to cut off all emotional ties.\nFor each female teammate in the team, <#FE2929>Intelligence-2, Luck-2, Action Speed decreases by 10%, EXP gained from killing enemies decreases by 15%</color>.\nWithout any female teammates, <#29F161>Intelligence+2, Luck+2, EXP gained from killing enemies increases by 100%</color>.\nDuring battle, when Benevolence is above 0, <#29F161>each point increases Attack damage by 0.25%</color>; when Benevolence is below 0, <#FE2929>each point decreases Attack damage by 0.25%</color>."
BuffInfo_剧情摸金校尉,"Good at finding wealth, always able to find valuable things in unexpected places. Each time you loot a locked chest, you will definitely get more Coins than last time."
BuffInfo_剧情日进斗金,"Must be the reincarnation of the God of Wealth, able to get <#29F161>75 times the number of days in the world of Coins</color> every day, really enviable."
BuffInfo_剧情毒蛊寄生,"There is already a Poisonous parasite in the body, and toxins can be released with every move. <#29F161>Both attacks and injuries can apply 8 points of Poisoned effect to the enemy</color>."
BuffInfo_剧情皮糙肉厚,"Born Hardy, ordinary attacks are like itching. <#29F161>Every 1 point of Constitution will reduce the final damage received by 1%</color>."
BuffInfo_剧情心宽体胖,"Cheerful mood, carefree, naturally comfortable. <#29F161>Max HP increased by 10%</color>."
BuffInfo_剧情酩酊醉意,"Everyone is drunk, only I am sober, every time you enter a battle, there is a chance to consume a bottle of wine and get a short-term effect bonus. If there is no wine to drink, it will cause Depression."
BuffInfo_剧情交游广阔,"Good at dealing with everyone, can call brothers and sisters when meeting passers-by. <#29F161>Gift effect increased by 20%</color>."
BuffInfo_剧情文武状元,"<#29F161>Strength+3, Intelligence+3, EXP required for martial arts upgrade reduced by 50%</color>."
BuffInfo_所向披靡,"Wherever you go, no one dares to stand in your way. When an attack triggers a Critical, it increases the Combo rate by 25%, and a Combo will definitely trigger a Critical."
BuffInfo_天煞孤星,"As a Lone wanderer destined by Accuracy, when you travel alone and kill the opponent through battle, you can get <#29F161>three times the EXP</color>, and <#29F161>get 100% of the final damage</color>.","ลิขิตดวงดาราแห่งฟ้าดิน พเนจรเดียวดายพันลี้ผ่านผืนน้ำและทะเลสาบ เมื่อมีเพียงคุณเพียงคนในสมรภูมิ คุณจะได้รับ <#29F161>EXP สามเท่า</color>, และ <#29F161>ทำ 100% ของพลังความเสียหายรวม</color>"
BuffInfo_财大气粗,"Nothing is more insulting than hitting people with money! In battle, every 1000 coins you have can cause an additional 1 point of damage, up to 250 points."
BuffInfo_死里逃生,"Excellent survival instincts always allow you to survive. In each battle, when you first suffer Critical damage, you will retain 1 point of health."
BuffInfo_兵器精通,"Master of all kinds of weapons, even if the Weapon conditions are not met, the Accuracy rate will not be reduced."
BuffInfo_影子护卫,"Every time you encounter danger, someone will help you out and leave after the matter is over. (When HP is below 25% in battle, a mysterious person will appear to help fight. Only appears once per battle)"
BuffInfo_神行无忌,"Being naughty since childhood and chased around by people, you have developed the ability to run fast, and you can <#29F161>move 2 extra squares in battle</color>."
BuffInfo_草木皆兵,"Having a unique understanding of Weapons and martial arts, even if you hastily pick up the wrong Weapon, it will not cause any trouble, <#29F161>when using external skills, pierce the Weapon type restriction</color>."
BuffInfo_无师自通,"Having read widely and being able to recite fluently, no matter what book you look at, you can remember it at a glance, <#29F161>when learning from a manual, pierce any conditions</color>."
BuffInfo_心有灵犀,"Excellent at learning skills, all knowledge is understood at a glance, <#29F161>when successfully learning from an external skill manual, the increased martial arts value will be twice the usual</color>."
BuffInfo_万里独行,"Friendship only affects the speed of drawing a sword! <#29F161>The fewer teammates, the higher the Action Speed. When there are no teammates, the Action Speed is an additional +25, and for each additional teammate, the Action Speed is -5</color>.",สหายและมิตรภาพเป็นเพียงสิ่งเหนี่ยวรั้งยากต่อการออกกระบี่!  <#29F161> ยิ่งมีเพื่อนร่วมทีมน้อย Action Speed ก็จะยิ่งสูงขึ้น เมื่อไม่มีเพื่อนร่วมทีม Action Speed บวกเพิ่ม +25 และยิ่งมีเพื่อนร่วมทีมแต่ล่ะคนที่ในทีม จะยิ่งลด Action Speed ลง -5</color>
BuffInfo_自带毒疮,"After years of learning poison skills, you have finally developed a poisonous body. <#29F161>When attacked, you will inflict 20 points of Poisoned effect on the attacker</color>."
BuffInfo_贪生怕死,"Timid as a mouse, any slight disturbance will make you flee like a startled bird. <#29F161>In a wild battle, you can pierce through the battle range and escape directly when HP is below 20%</color>."
BuffInfo_劫后余生,"Despite numerous hardships, you have survived and honed your survival skills. <#29F161>After each battle victory, you will recover 10% of your HP and MP</color>.",แม้จะผ่านความยากลำบากมากมาย ภัยพิบัติพบเจอกลับหลอมกายให้มั่นคง <#29F161>หลังจากชนะแบทเทิลแต่ล่ะรอบ คุณจะได้รับฟื้นพลัง 10% ของ HP และ MP</color>.
BuffInfo_体力充沛,"Born wholesome, you seem to have endless strength. <#29F161>Stamina limit increases by 150</color>."
BuffInfo_圣贤传人,"You are the embodiment of a saint, a reincarnated sage! <#29F161>The initial values of the six virtues of benevolence, righteousness, propriety, wisdom, faith, and courage are 100</color>."
BuffInfo_邪魔外道,"You are the terrifying demon that everyone talks about, even babies in their cradles dare not cry at the mention of your name. <#29F161>The initial values of the six virtues of benevolence, righteousness, propriety, wisdom, faith, and courage are -100</color>."
BuffInfo_天命弱鸡,"You are a pitiful person abandoned by the heavens, able to arouse everyone's sympathy, but you are oblivious to it, even enjoying it. <#29F161>Your five innate attributes will always be 1; Mood will never decrease; Gift effect increases by 500%; When hit by a Finishing Strike, you will not die but will retain 1 HP, effective once per battle</color>."
BuffInfo_扮猪吃虎,Start at <#29F161>Level 50</color>.
BuffInfo_武林盟主,"Start with <#29F161>Fame level 10</color>, initial <#29F161>relations with the six major factions are 40</color>, and the heads of the six major factions have <#29F161>relations of 60</color> (The six major factions: Taoist Sect, Shifa Temple, Confucius Temple, Langya Sword Pavilion, Jiujiang Water Camp, Crime Investigation Bureau)."
BuffInfo_武林霸主,"Start with <#29F161>Fame level 10</color>, initial <#29F161>Level 100</color>, initial <#FE2929>Benevolence -100</color>."
BuffInfo_多情浪子,"<#29F161>Gift effect to females increases by 50%</color>, provides protection to female teammates within a 3-grid range during battle, reducing the damage they receive by <#29F161>15% when attacked</color>."
BuffInfo_千王之王,"<#29F161>Accuracy increases by 50%</color>, after using Throwing, <#29F161>100% chance to act again</color> (cannot be triggered consecutively)."
BuffInfo_转世佛子,"<#29F161>Initial Benevolence 100, Intelligence +5</color>, when Benevolence is above 0, <#29F161>each point increases damage by 0.5% when attacking</color>; when Benevolence is below 0, <#FE2929>each point decreases damage taken by 0.95% when attacked</color>."
BuffInfo_碧血丹心,"<#29F161>Parry, Critical, Combo increase by 10%</color>, start the battle with <#29F161>initial Spirit of 100</color>."
BuffInfo_知行合一,"""If any of the 'Benevolence, Righteousness, Courtesy, Wisdom, Trust' attributes are below 100, during battle, <#FE2929>Critical, Parry, Accuracy, Evasion decrease by 10%, and EXP gained from defeating enemies decreases by 50%</color>.""\n""If all of the 'Benevolence, Righteousness, Courtesy, Wisdom, Trust' attributes are at 100, during battle, <#29F161>Critical, Parry, Accuracy, Evasion increase by 10%, and EXP gained from defeating enemies increases by 100%</color>."""
BuffInfo_替天行道,"When attacking, you will deal additional true damage to the enemy boss Character equal to your FameLevel*50; after entering the battle, all your Characters' Action Speed increases (status holder's FameLevel*1.5%), and all enemy Characters' Action Speed decreases (status holder's FameLevel*1.5%)."
BuffInfo_匹夫有责,"During the battle, for each additional teammate, your own and your team's Characters' <#29F161>Parry increases by 2%, Parry Damage reduce effect increases by 5%</color>; for each additional enemy, your own and your team's Characters' <#29F161>Critical increases by 1% (up to 10%), Critical Damage increases by 3% (up to 30%)</color>."
BuffInfo_匹夫有责_光环,"During the battle, for each additional teammate, your own and your team's Characters' <#29F161>Parry increases by 2%, Parry Damage reduce effect increases by 5%</color>; for each additional enemy, your own and your team's Characters' <#29F161>Critical increases by 1% (up to 10%), Critical Damage increases by 3% (up to 30%)</color>."
BuffInfo_博采众长,"For each external skill learned to the tenth level, the basic Attack increases by 1%, 3%, 5% according to the quality of the martial arts; for each internal skill learned to the tenth level, the basic Defense increases by 1%, 3%, 5% according to the quality of the martial arts."
BuffInfo_追命阎罗,"When attacking, triggering a critical hit has a 15% chance to get a combo, and triggering a combo has a 15% chance to act again."
BuffInfo_剧情所向披靡,"If there are no worries, you can give it your all. When Attack triggers Critical, it increases Combo rate by 25%, and after triggering Combo, it will definitely Critical."
BuffInfo_剧情天煞孤星,"As a Lone wanderer destined by Accuracy, when you travel alone and kill the opponent through battle, you can get <#29F161>three times the EXP</color>, and <#29F161>get 100% of the final damage</color>.","ลิขิตดวงดาราแห่งฟ้าดิน พเนจรเดียวดายพันลี้ผ่านผืนน้ำและทะเลสาบ เมื่อมีเพียงคุณเพียงคนในสมรภูมิ คุณจะได้รับ <#29F161>EXP สามเท่า</color>, และ <#29F161>ทำ 100% ของพลังความเสียหายรวม</color>"
BuffInfo_剧情财大气粗,"Nothing is more insulting than hitting people with money! In battle, every 1000 coins you have can cause an additional 1 point of damage, up to 250 points."
BuffInfo_剧情死里逃生,"Excellent survival instincts always allow you to survive. In each battle, when you first suffer Critical damage, you will retain 1 point of health."
BuffInfo_剧情兵器精通,"Master of all kinds of weapons, even if the Weapon conditions are not met, the Accuracy rate will not be reduced."
BuffInfo_剧情影子护卫,"Every time you encounter danger, someone will help you out and leave after the matter is over. (When HP is below 25% in battle, a mysterious person will appear to help fight. Only appears once per battle)"
BuffInfo_剧情神行无忌,"Being naughty since childhood and chased around by people, you have developed the ability to run fast, and you can <#29F161>move 2 extra squares in battle</color>."
BuffInfo_剧情草木皆兵,"Having a unique understanding of Weapons and martial arts, even if you hastily pick up the wrong Weapon, it will not cause any trouble, <#29F161>when using external skills, pierce the Weapon type restriction</color>."
BuffInfo_剧情无师自通,"Having read widely and being able to recite fluently, no matter what book you look at, you can remember it at a glance, <#29F161>when learning from a manual, pierce any conditions</color>."
BuffInfo_剧情心有灵犀,"Excellent at learning skills, all knowledge is understood at a glance, <#29F161>when successfully learning from an external skill manual, the increased martial arts value will be twice the usual</color>."
BuffInfo_剧情万里独行,"Friendship only affects the speed of drawing a sword! <#29F161>The fewer teammates, the higher the Action Speed. When there are no teammates, the Action Speed is an additional +25, and for each additional teammate, the Action Speed is -5</color>.",สหายและมิตรภาพเป็นเพียงสิ่งเหนี่ยวรั้งยากต่อการออกกระบี่!  <#29F161> ยิ่งมีเพื่อนร่วมทีมน้อย Action Speed ก็จะยิ่งสูงขึ้น เมื่อไม่มีเพื่อนร่วมทีม Action Speed บวกเพิ่ม +25 และยิ่งมีเพื่อนร่วมทีมแต่ล่ะคนที่ในทีม จะยิ่งลด Action Speed ลง -5</color>
BuffInfo_剧情自带毒疮,"After years of learning poison skills, you have finally developed a body with poison, <#29F161>when attacked in battle, you will inflict 20 points of Poisoned effect on the attacker</color>."
BuffInfo_剧情贪生怕死,"Timid as a mouse, any slight disturbance will make you flee like a startled bird. <#29F161>In a wild battle, you can pierce through the battle range and escape directly when HP is below 20%</color>."
BuffInfo_剧情劫后余生,"Despite numerous hardships, you have survived and honed your survival skills. <#29F161>After each battle victory, you will recover 10% of your HP and MP</color>.",แม้จะผ่านความยากลำบากมากมาย ภัยพิบัติพบเจอกลับหลอมกายให้มั่นคง <#29F161>หลังจากชนะแบทเทิลแต่ล่ะรอบ คุณจะได้รับฟื้นพลัง 10% ของ HP และ MP</color>.
BuffInfo_剧情体力充沛,"Born wholesome, you seem to have endless strength. <#29F161>Stamina limit increases by 150</color>."
BuffInfo_剧情圣贤传人,"You are the embodiment of a saint, a reincarnated sage! <#29F161>The initial values of the six virtues of benevolence, righteousness, propriety, wisdom, faith, and courage are 100</color>."
BuffInfo_剧情邪魔外道,"You are the terrifying demon that everyone talks about, even babies in their cradles dare not cry at the mention of your name. <#29F161>The initial values of the six virtues of benevolence, righteousness, propriety, wisdom, faith, and courage are -100</color>."
BuffInfo_剧情扮猪吃虎,
BuffInfo_剧情武林盟主,"Elected by various sects and respected by everyone, as a Jianghu Master, you will settle the chaos in the martial world and create a prosperous era."
BuffInfo_剧情武林霸主,"As a Jianghu Conqueror who has wiped out the six major sects and unified the martial world, from now on, who dares to disobey your command in the martial world?",ในฐานะผู้พิชิตยุทธภพที่ได้กวาดล้างสำนักหลักทั้งหก และรวบรวมยุทธจักรเป็นหนึ่งเดียว จากนี้ไปจะมีผู้ใดกล้าไม่เชื่อฟังคำสั่งของท่าน?
BuffInfo_剧情天命弱鸡,"You are a pitiful person abandoned by the heavens, able to arouse everyone's sympathy, but you are oblivious to it, even enjoying it. <#29F161>Your five innate attributes will always be 1; Mood will never decrease; Gift effect increases by 500%; When hit by a Finishing Strike, you will not die but will retain 1 HP, effective once per battle</color>."
BuffInfo_剧情多情浪子,"<#29F161>Gift effect to females increases by 50%</color>, provides protection to female teammates within a 3-grid range during battle, reducing the damage they receive by <#29F161>15% when attacked</color>."
BuffInfo_剧情千王之王,"<#29F161>Accuracy increases by 50%</color>, after using Throwing, <#29F161>100% chance to act again</color> (cannot be triggered consecutively)."
BuffInfo_剧情转世佛子,"<#29F161>Benevolence+100, Intelligence+5</color>, when Benevolence is above 0, <#29F161>each point increases Attack damage by 0.5%</color>; when Benevolence is below 0, <#FE2929>each point decreases Attack damage by 0.95%</color>."
BuffInfo_剧情碧血丹心,"<#29F161>Parry, Critical, Combo increase by 10%</color>, start the battle with <#29F161>initial Spirit of 100</color>."
BuffInfo_剧情知行合一,"When any of the ""Benevolence, Righteousness, Courtesy, Wisdom, Trust"" traits are below 100, <#FE2929>Critical, Parry, Accuracy, Evasion decrease by 10%, EXP gained from defeating enemies decreases by 50%</color>;\nWhen all ""Benevolence, Righteousness, Courtesy, Wisdom, Trust"" traits are at 100, <#29F161>Critical, Parry, Accuracy, Evasion increase by 10%, EXP gained from defeating enemies increases by 100%</color>."
BuffInfo_剧情替天行道,"When attacking, you will deal additional true damage to the enemy boss Character equal to your FameLevel*50; after entering the battle, all your Characters' Action Speed increases (status holder's FameLevel*1.5%), and all enemy Characters' Action Speed decreases (status holder's FameLevel*1.5%)."
BuffInfo_剧情匹夫有责,"During the battle, for each additional teammate, your own and your team's Characters' <#29F161>Parry increases by 2%, Parry Damage reduce effect increases by 5%</color>; for each additional enemy, your own and your team's Characters' <#29F161>Critical increases by 1% (up to 10%), Critical Damage increases by 3% (up to 30%)</color>."
BuffInfo_剧情博采众长,"For each external skill learned to the tenth level, the basic Attack increases by 1%, 3%, 5% according to the quality of the martial arts; for each internal skill learned to the tenth level, the basic Defense increases by 1%, 3%, 5% according to the quality of the martial arts."
BuffInfo_剧情追命阎罗,"When attacking, triggering a critical hit has a 15% chance to get a combo, and triggering a combo has a 15% chance to act again."
BuffInfo_伙伴特征身材矮小,Initial <#29F161>Evasion+5%</color>.
BuffInfo_伙伴特征妙手空空,"15% chance to steal money from the target when Attack hits, up to 50 coins."
BuffInfo_伙伴特征手脚灵活,<#29F161>Action Speed+5</color>.
BuffInfo_伙伴特征酩酊醉意,"25% chance to consume a bottle of wine when entering battle, gaining <#29F161>Critical+5%</color>, <#29F161>Critical damage increased by 10%</color> (the higher the quality of the wine, the greater the effect), if there is no wine, Depression."
BuffInfo_伙伴特征酩酊醉意没酒,"<#FE2929>Critical-20%, Critical damage-50%</color>"
BuffInfo_伙伴特征皮糙肉厚,Each point of Constitution reduces <#29F161>final damage taken by 1%</color>.
BuffInfo_伙伴特征暴躁失控,"When HP is below 30%, you lose control in battle, <#29F161>Critical increases by 15%</color>, gain <#29F161>Spirit increase by 50%</color>."
BuffInfo_伙伴特征毒不走空,"After using poison, there is a 25% chance to act again (cannot be triggered consecutively)."
BuffInfo_伙伴特征掌中带毒,Inflict <#FE2929>10 points of Poisoned</color> on the enemy during an Attack.
BuffInfo_伙伴特征衣袖藏毒,"After being hit, the attacker will be inflicted with 10 points of Poisoned effect."
BuffInfo_伙伴特征心宽体胖,Current <#29F161>HP maximum value increased by 10%</color>.
BuffInfo_伙伴特征行动迟缓,"<#29F161>Action Speed -10</color>, <#29F161>Parry +5%</color>."
BuffInfo_伙伴特征先发制人,Initial <#29F161>energy accumulation increases by 100</color> upon entering battle.
BuffInfo_伙伴特征动如脱兔,<#29F161>Action Speed +10</color>.
BuffInfo_伙伴特征狐假虎威,"For each additional surviving ally upon entering battle, Attack <#29F161>Increases Damage by 3%</color>."
BuffInfo_伙伴特征金针刺穴,Inflict <#FE2929>5 points of Sealed</color> on the enemy during an Attack.
BuffInfo_伙伴特征医有所成,<#29F161>Medical limit reaches 350</color>.
BuffInfo_伙伴特征妙手仁心,"After casting Heal, there's a 25% chance to act again (cannot be triggered consecutively)."
BuffInfo_伙伴特征不解风情,"When attacking female enemies, <#29F161>final damage increases by 15%</color>, when attacked by females, <#29F161>final damage decreases by 15%</color>."
BuffInfo_伙伴特征子凭父贵,"When Lü Wenhuan is alive and in the same faction, Attack <#29F161>Increases Damage by 25%</color>, damage received from Attack <#29F161>decreases by 25%</color>, <#29F161>Action Speed +15</color>."
BuffInfo_伙伴特征落井下石,Initial <#29F161>Combo rate +3%</color>.
BuffInfo_伙伴特征山林猎手,"Against animal enemies, <#29F161>final damage increases by 50%</color>."
BuffInfo_伙伴特征如履平地,Can additionally <#29F161>move 1 square</color> during battle.
BuffInfo_伙伴特征多年积习,<#29F161>Long +15</color>.
BuffInfo_伙伴特征远离是非,Can additionally <#29F161>move 1 square</color> during battle.
BuffInfo_伙伴特征粗通拳脚,Initial <#29F161>Fist +15</color>.
BuffInfo_伙伴特征道听途说,<#29F161>EXP gained from killing opponents in battle increases by 5%</color>.
BuffInfo_伙伴特征医者自医,"After winning a battle, <#29F161>recover 5% of HP and MP</color>."
BuffInfo_伙伴特征柔情似水,"When allies within 2 squares are attacked, <#29F161>damage decreases by 10%</color>."
BuffInfo_伙伴特征柔情似水_光环,"When attacked, <#29F161>damage decreases by 10%</color>."
BuffInfo_伙伴特征冷若冰霜,"When enemies within 2 squares are attacked, <#29F161>damage increases by 10%</color>."
BuffInfo_伙伴特征冷若冰霜_光环,"When attacked, damage increases by 10%."
