﻿CharaName_NameFormat,{0} {1}
CharaName_银瓶,Yinping
CharaName_木黎,Muli
CharaName_小七,Xiaoqi
CharaName_中横,Zhongheng
CharaName_彩蝶,Caidie
CharaName_嗔,Chen
CharaName_鸿轩,Hongxuan
CharaName_梦蝶,Mengdie
CharaName_道辅,Daofu
CharaName_鹏举,Pengju
CharaName_阳子,Yangzi
CharaName_啸天,Xiaoian
CharaName_王爷,Prince
CharaName_元常,Yuanchang
CharaName_攸之,Youzhi
CharaName_绝尘,Juechen
CharaName_会之,Huizhi
CharaName_春秋,Chunqiu
CharaName_阎罗,Yanluo
CharaName_云,Yun
CharaName_乌珠,Wuzhu
CharaName_亮,Liang
CharaName_元霸,Yuanba
CharaName_风波,Fengbo
CharaName_神机,Shenji
CharaName_海棠,Haitang
CharaName_再兴,Zaixing
CharaName_恒,Heng
CharaName_红玉,Hongyu
CharaName_剑一,Jianyi
CharaName_武藏,Wucang
CharaName_兵卫,Bingwei
CharaName_樱羽,Yingyu
CharaName_一刀,Yidao
CharaName_百出,Baichu
CharaName_倾城,Qingcheng
CharaName_无欺,Wuqi
CharaName_二,Two
CharaName_三,Three
CharaName_月龙,Yuelong
CharaName_乐雅,Leya
CharaName_文修,Wenxiu
CharaName_万三,Wansan
CharaName_本草,Bencao
CharaName_文桓,Wenhuan
CharaName_子虚,Zixu
CharaName_罗冲,Luochong
CharaName_浮名,Fuming
CharaName_天,Sky
CharaName_诗楼,Shilou
CharaName_姬,Ji
CharaName_不凡,Bufan
CharaName_之墨,Zhimo
CharaName_狂,Kuang
CharaName_痴,Chi
CharaName_琴,Qin
CharaName_南天,Nantian
CharaName_天雄,Tianxiong
CharaName_清扬,Qing Yang
CharaName_剑南,Jian Nan
CharaName_太君,Tai Jun
CharaName_婉儿,Wan Er
CharaName_小白,Xiao Bai
CharaName_幺儿,Yao Er
CharaName_神仙醋,Shenxiancu
CharaName_见愁,Jianchou
CharaName_皇帝,Emperor
CharaName_十八,Shiba
CharaName_大锤,Dachui
CharaName_四娘,Siniang
CharaName_·主将,·Main General
CharaName_大师,Master
CharaName_太监,Eunuch
CharaName_·副将,·Deputy General
CharaName_庄稼汉,Farmer
CharaName_严,Yan
CharaName_如蕊,Rurui
CharaName_楚,Chu
CharaName_狂生,Kuangsheng
CharaName_昭宁,Zhaoning
CharaName_付,Fu
CharaName_瑶琴,Yaoqin
CharaName_鱼,Yu
CharaName_玄儿,Weier
CharaName_歌行,Gexing
CharaName_毒龙,lizard
CharaName_异变毒龙,Heteromorphic lizard
CharaName_帮主,Master 
CharaName_抱琴侍女,Handmaid with guqin
CharaName_捧香侍女,Handmaid holding incense
CharaName_武师,Martial Arts Trainer
CharaName_噬魂蝎,Poisonous Scorpion
CharaName_毒蛇,Viper
CharaName_琼花谷·守关人,Epiphyllum Valley Gatekeeper
CharaName_蓬头垢面的乞丐,A disheveled beggar
CharaName_博士,Doctor
CharaName_行人,Pedestrian
CharaTitle_族长,Clan Leader
CharaTitle_指挥使,Commander
CharaTitle_元帅,Marshal
CharaTitle_掌门,Sect Leader
CharaTitle_圣主,Saint Lord
CharaTitle_馆主,dojokeeper
CharaTitle_老大,Boss
CharaTitle_住持,Abbot
CharaTitle_寨主,Bandit Chief
CharaTitle_阁主,Pavilion Master
CharaTitle_总镖头,Chief Escort
CharaTitle_城主,City Lord
CharaTitle_楼主,Building owner
CharaTitle_安抚使,Pacifying Envoy
CharaTitle_门主,Gate Master
CharaTitle_坊主,Abbot
CharaTitle_岛主,Island Master
CharaTitle_总捕头,Chief Catcher
CharaTitle_庄主,Manor Lord
CharaTitle_小二,Waiter
CharaTitle_长乐柜坊,Zhangyue Casino
CharaTitle_猎户,Hunter
CharaTitle_铁匠,Blacksmith
CharaTitle_郎中,Doctor
CharaTitle_掌柜,Shopkeeper
CharaTitle_霖安城,Lin'an City
CharaTitle_悦来客栈,Hotel Delighted
CharaTitle_招财当铺,Pawn shop
CharaTitle_珍品阁,Exquisite Pavilion
CharaTitle_霖安武馆,Lin'an Dojo
CharaTitle_杂物肆,Grocery store
CharaTitle_画罗轩,Painting Shop
CharaTitle_凝香馆,Aroma House
CharaTitle_太白楼,Wine God Tower
CharaTitle_云林寺,Cloud Forest Temple
CharaTitle_康王府,Duke Kang's manor
CharaTitle_群芳馆,Maiden House
CharaTitle_聚财坊,Relic House
CharaTitle_平安镖局,Safeguard Escort
CharaTitle_斗技场,Underground Arena
CharaTitle_楚襄城,Chuxiang City
CharaTitle_福临客栈,Hotel Prosperous
CharaTitle_楚襄武馆,Chuxiang Dojo
CharaTitle_安济堂,Charity House
CharaTitle_奇珍坊,Rare Artifact Shop
CharaTitle_杂货铺,Grocery store
CharaTitle_白云观,White Cloud Temple
CharaTitle_红袖阁,Pink Attire Pavilion
CharaTitle_聚宝当铺,Pawn shop
CharaTitle_品茗轩,Tea shop
CharaTitle_忘忧楼,Forgotten House
CharaTitle_隆中书院,Dragon Library
CharaTitle_大梁城,Daliang City
CharaTitle_浮云客栈,Hotel Drifting Cloud
CharaTitle_大梁武馆,Daliang Dojo
CharaTitle_回春堂,Clinic House
CharaTitle_多宝斋,Golden Fortune Shop
CharaTitle_百货铺,Department store
CharaTitle_保国寺,Baoguo Temple
CharaTitle_云罗坊,Cloud Fabric Shop
CharaTitle_永乐当铺,Pawn shop
CharaTitle_云华轩,Cloud Flower Shop
CharaTitle_珠光宝气楼,Glittering Artifact House
CharaTitle_太学馆,Imperial School
CharaTitle_汇文书局,Literature Bookstore
CharaTitle_擂台,Arena
CharaTitle_留香坊,Fragrance Square
CharaTitle_繁华似锦楼,Tower of Prosperity
CharaTitle_青风寨,Blue Wind Camp
CharaTitle_大王寨,Bandit Camp
CharaTitle_释法寺,Shifa Temple
CharaTitle_道玄宗,Taoist Sect
CharaTitle_儒圣馆,Confucius Temple
CharaTitle_九流门,Nine Factions Sect
CharaTitle_妙音坊,Melody House
CharaTitle_神捕门,Crime Investigation Bureau
CharaTitle_圣火宗,Holy Fire Sect
CharaTitle_皇城司,Imperial City Office
CharaTitle_燕云铁军,Yan Yun Iron Army
CharaTitle_叶家军,Ye Family Battalion
CharaTitle_蚍蜉城,Dragonfly City
CharaTitle_九江水寨,Jiujiang Water Camp
CharaTitle_九黎部落,Jiuli Tribe
CharaTitle_脏街,Dirty Street
CharaTitle_摸金门,Tomb Raider Sect
CharaTitle_玄衣会,Black Robe Group
CharaTitle_燕子窝,Nest of Swallow
CharaTitle_虎威镖局,Tiger Escort
CharaTitle_琅琊剑阁,Langya Sword Pavilion
CharaTitle_万兽山庄,Ten Thousand Beast Manor
CharaTitle_冷皮帮,Cold Skin Gang
CharaTitle_夜摩坊,Night Demon Square
CharaTitle_海龙帮,Sea Dragon Gang
CharaTitle_飞鹰帮,Flying Eagle Gang
CharaTitle_天鹫宫,Tianjiu Palace
CharaTitle_镇西关,West Pass
CharaTitle_大理寺,Supreme Court
CharaTitle_马王洞,Horse King Cave
CharaTitle_琼花谷,Epiphyllum Valley
CharaTitle_流民,Refugee
CharaTitle_通缉,Wanted
CharaTitle_武学大师,Martial Arts Master
CharaTitle_将军府,General's mansion
CharaTitle_选锋军,Xuanfeng Army
CharaTitle_胜捷军,Shengjie Army
CharaTitle_踏白军,Tabai Army
CharaTitle_横江军,Cross River Army
CharaTitle_游奕军,Wandering Army
CharaTitle_破敌军,Enemy Breaking Army
CharaTitle_五方军,Five Directions Army
CharaTitle_流寇,Roving Bandit
CharaTitle_上京军,Capital Army
CharaTitle_南京军,Southern Capital Army
CharaTitle_中都军,Central Army
CharaTitle_文人,literati
CharaTitle_皇室,Royal Family
CharaTitle_山贼,Brigand
CharaTitle_混混,Ruffian
CharaTitle_劫匪,Bandit
CharaTitle_点穴手,Immobilize Hand
CharaTitle_一招大师,One Move Master
CharaTitle_天地双侠,Twin Heroes of Heaven and Earth
CharaTitle_神捕,Detective Masters
CharaTitle_盗墓贼,Tomb Raider
CharaTitle_忍者,Ninja
CharaTitle_北斗拳,North Star Fist
CharaTitle_移山观,Mountain Moving Observatory
CharaTitle_海蛟帮,Hai Jiao Gang
