﻿RandomBattle_0,Start Battle,เริ่มการต่อสู้
explainFailTip_叶家军,The soldiers of Ye Family Battalion are no fools! Don't think you can fool them!,ทหารของกองพันตระกูลเย่ไม่ใช่คนโง่! อย่าคิดว่าเจ้าสามารถหลอกพวกเขาได้!
apologySuccessTip_叶家军,"If you had admitted your mistake earlier, would you have fallen to this point? You can go now!",หากเจ้ายอมรับความผิดพลาดก่อนหน้านี้ เจ้าจะตกมาถึงจุดนี้หรือไม่? เจ้าไปได้แล้ว!
apologyItemQuitTip_ 叶家军,You'll soon find out how foolish it is to mess with Ye Family Battalion!,ในไม่ช้าเจ้าจะพบว่ามันโง่แค่ไหนที่ยุ่งกับกองพันตระกูลเย่!
runAwaySuccessTip_叶家军,"Hmph, forget it, don't chase the poor!",ฮืม ลืมมันซะ อย่าไล่ล่าคนจน!
runAwayFailTip_叶家军,"With your weak physique, even ten years of training won't help you outrun Ye Family Battalion!",ด้วยร่างกายที่อ่อนแอของเจ้า การฝึกฝนแม้สิบปีก็ไม่ช่วยให้เจ้ารอดพ้นจากกองพันตระกูลเย่ได้!
failMoneyTip_叶家军,I was just worrying about not having money to buy military rations! Consider your contribution as a compensation! You can go now!,ข้าแค่กังวลว่าจะไม่มีเงินซื้อเสบียงทหาร! ถือว่าการบริจาคของเจ้าเป็นค่าตอบแทน! เจ้าไปได้แล้ว!
failItemOtherTip_叶家军,Good weapons should be used by more capable people! They are of no value in your hands!,อาวุธที่ดีควรใช้โดยคนที่มีความสามารถมากกว่า! พวกมันไม่มีค่าอยู่ในมือของเจ้า!
failItemBagTip_叶家军,"The things on you are somewhat useful, Ye Family Battalion only kills enemies, you can go!",สิ่งที่อยู่บนตัวเจ้าค่อนข้างมีประโยชน์ กองพันตระกูลเย่ฆ่าศัตรูเท่านั้น เจ้าไปได้!
failBuffTip_叶家军,"You've had enough bitterness, don't cause trouble here in the future!",เจ้ามีความขมขื่นมามากพอแล้ว อย่าสร้างปัญหาที่นี่ในอนาคต!
startTip_道玄宗,"What a coincidence, today I will rid the martial arts world of you, the troublemaker!",ช่างบังเอิญจริงๆ วันนี้ข้าจะกำจัดโลกแห่งศิลปะการต่อสู้ของเจ้า ผู้ก่อกวน!
fightTip_道玄宗,Just what I wanted! Everyone in Taoist Sect wishes to punish you!,สิ่งที่ข้าต้องการ! ทุกคนในลัทธิเต๋าปรารถนาที่จะลงโทษเจ้า!
explainSuccessTip_道玄宗,"What you said makes sense, after all, there is a cause for everything. But don't do it again next time.",สิ่งที่เจ้าพูดก็สมเหตุสมผลแล้วทุกอย่างย่อมมีเหตุของมัน แต่อย่าทำอีกในครั้งต่อไป
explainFailTip_道玄宗,"You're talking nonsense without any remorse, if I don't teach you a lesson today, it would be a disgrace to the Taoist Sect disciples!",เจ้ากำลังพูดเรื่องไร้สาระโดยไม่สำนึกผิด ถ้าข้าไม่สอนบทเรียนให้เจ้าวันนี้ สาวกนิกายเต๋าคงจะอับอาย!
apologySuccessTip_道玄宗,"Since it's your first offense, the ignorant are not guilty, you can go!",เนื่องจากมันเป็นความผิดครั้งแรกของเจ้า คนโง่ไม่มีความผิด เจ้าไปได้เลย!
apologyItemQuitTip_ 道玄宗,You take pleasure in making fun of others! It's a mistake upon a mistake! I won't let you off easily today!,เจ้าสนุกกับการล้อเลียนผู้อื่น! มันเป็นความผิดพลาดครั้งแล้วครั้งเล่า! วันนี้ข้าจะไม่ปล่อยเจ้าไปง่ายๆ!
runAwaySuccessTip_道玄宗,"You're a cunning fox, you won't be so lucky next time!",เจ้าจิ้งจอกเจ้าเล่ห์ ครั้งต่อไปเจ้าไม่โชคดีเช่นนี้แน่!
runAwayFailTip_道玄宗,Trying to slip away under the eyes of Taoist Sect disciples is as difficult as climbing to the sky.,การพยายามหลบหนีไปภายใต้สายตาของสาวกนิกายเต๋านั้นยากพอ ๆ กับการปีนขึ้นไปบนฟ้า
failMoneyTip_道玄宗,"As the saying goes, spending money can avoid disasters. Today, since you've paid, I won't hold it against you!",ดังคำกล่าวที่ว่า การใช้จ่ายเงินสามารถหลีกเลี่ยงภัยพิบัติได้ วันนี้ ในเมื่อเจ้า่จ่ายเงินแล้ว ข้าจะไม่ถือสากับเจ้า!
failItemOtherTip_道玄宗,A petty thief like you shouldn't have such a top-quality item!,โจรลักเล็กขโมยน้อยอย่างเจ้าไม่ควรมีของคุณภาพดีขนาดนี้!
failItemBagTip_道玄宗,"These are just minor punishments, please don't do anything outrageous in the future and provoke public anger!",นี่เป็นเพียงการลงโทษเล็กน้อย โปรดอย่าทำอะไรที่น่ารังเกียจในอนาคต และยั่วยุให้สาธารณชนโกรธ!
failBuffTip_道玄宗,"I hope this lesson will make you remember, so you won't have to suffer the same in the future!",ข้าหวังว่าบทเรียนนี้จะทำให้เจ้าจดจำได้ จะได้ไม่ต้องทนทุกข์เหมือนเดิมอีกในอนาคต!
startTip_黑风寨,"You chose to break into hell when there's a road to heaven, kid! Today, we'll show you the right path, make your choice!",เจ้าเลือกที่จะบุกเข้าไปในนรกเมื่อมีถนนสู่สวรรค์นะเจ้าหนู! วันนี้เราจะพาเจ้าไปถูกทาง เลือกเลย!
fightTip_黑风寨,"Good boy! You've got guts, but today you won't have any seeds to sow! Brothers, attack!",เด็กดี! มีเมล็ดพันธุ์ดี แต่วันนี้คุณไม่มีเมล็ดพันธุ์ให้หว่านอีกต่อไป! เอาล่ะพี่น้อง!
explainSuccessTip_黑风寨,"Hmm! You seem to have a point, this time I'll let you go, but if we run into you again, I'll chop you up and feed you to the dogs.",อืม! ดูเหมือนเจ้ามีเหตุผล คราวนี้ข้าจะปล่อยเจ้าไป แต่หากเราเจอเจ้าอีก ข้าจะสับเจ้าให้สุนัขกิน
explainFailTip_黑风寨,"Are you trying to fool the ghosts by burning paper money at the grave? Brothers, don't listen to his sweet talk, just chop these sons of bitches up!",เจ้ากำลังพยายามหลอกผีด้วยการเผาเงินกระดาษที่หลุมศพหรือไม่? พี่น้องอย่าไปฟังคำพูดหวาน ๆ ของเขา แค่สับไอ้สารเลวพวกนี้ให้หมด!
apologySuccessTip_黑风寨,"Alright, alright, if you were this capable in the first place, you wouldn't be in this situation today. Get lost, and don't let us see you again!",เอาล่ะ เอาล่ะ ถ้าเจ้ามีความสามารถตั้งแต่แรก วันนี้เจ้าจะไม่อยู่ในสถานการณ์เช่นนี้ หายไปซะและอย่าให้เราเจอเจ้าอีก!
apologyItemQuitTip_ 黑风寨,"Huh? Are you messing with me? Brothers, attack and chop them up!",ฮะ? คุณจะเล่นตลกกับฉันเหรอ? พี่น้องทั้งหลาย จงโจมตีและฟันพวกมันให้สิ้นซาก!
runAwaySuccessTip_黑风寨,Damn! Where did he go? He disappeared in such a short time? Consider this bastard lucky!,สาปแช่ง! เคนอยู่ไหน? แป๊บเดียวก็วิ่งหนีแล้วเหรอ? ถือว่าเจ้าสารเลวคนนี้โชคดี!
runAwayFailTip_黑风寨,"Come back here! You think you can run away in front of me? Do you know who I am? Brothers, chop them up!",กลับมาที่นี้! อยากวิ่งต่อหน้าปู่โดยไม่มองว่าปู่คือใคร? พี่น้อง สับมันให้แหลก!
failMoneyTip_黑风寨,"Kid, didn't expect you to be so rich! Then leave some for us to build our stronghold! Hahahaha!",ไอ้หนู ไม่คิดว่าเจ้าจะรวยขนาดนี้! แล้วเหลือบางส่วนให้พี่น้องไปสร้างรั้วกัน! ฮ่าๆๆๆ!
failItemOtherTip_黑风寨,"Hmph! It's a waste for you useless people to have these treasures, hand them over!",ฮึ่ม! เป็นเรื่องน่าเสียดายสำหรับเจ้าที่คนไร้ประโยชน์จะมีสมบัติเหล่านี้ ส่งมอบมันไป!
failItemBagTip_黑风寨,"Didn't expect this kid to have so many good things in his bag, leave the things and get lost! The boss taught us not to slaughter.",ไม่คิดว่าผู้ชายคนนี้จะมีสิ่งดี ๆ อยู่ในกระเป๋ามากมายขนาดนี้ ทิ้งของไว้ข้างหลัง แล้วออกไปซะ! เจ้านายสอนเราไม่ให้ฆ่า
failBuffTip_黑风寨,"Hmph! This is what happens when you offend our Black Wind Stronghold, disappear from my sight and enjoy the rest of your life!",สูด! นี่คือผลที่ตามมาจากการละเมิด หมู่บ้านลมดำ ของเรา โปรดหายไปจากสายตาของฉันแล้วกลับไปใช้ชีวิตที่เหลือของคุณ!
