﻿KungfuInfo_Level,The {0}th level,ขั้นที่{0}
BondKungfuEffect_白首相随,"Inflict damage on enemies within self range, after release both parties gain effect【<#29F161>Parry increase by 10%</color>, <#29F161>When Parry is triggered, ParryDamage reduce effect increase by 15</color>, lasts for 2 actions】.","สร้างความเสียหายให้กับศัตรูที่อยู่ในระยะ, หลังจากใช้วรยุทธทั้งสองฝ่ายจะได้รับผล【เมื่อโดนโจมตี <#29F161>โอกาสปัดป้องเพิ่มขึ้น 10%</color>, เมื่อปัดป้องได้, <#29F161>ลดพลังโจมตีที่ปัดป้องได้ 15%</color> ผลลัพธ์คงอยู่ 2 รอบ""】"
BondKungfuEffect_龙凤呈祥,"Inflict damage on enemies within self range, after release both parties gain effect【<#29F161>Combo rate increase by 10%</color>, <#29F161>Action Speed increase by 25%</color>, lasts for 2 actions】.","สร้างความเสียหายให้กับศัตรูที่อยู่ในระยะ, หลังจากปล่อยทั้งสองฝ่ายจะได้รับผล【<#29F161>อัตราโจมตีต่อเนื่องเพิ่มขึ้น 10%</color>, <#29F161>ความเร็วท่าร่างเพิ่มขึ้น 25%</color> ผลลัพธ์คงอยู่ 2 รอบ】 ."
BondKungfuEffect_金风玉露,"Inflict damage on enemies within self range and knock back 2 squares, reduce 300 points of energy gathering.","สร้างความเสียหายแก่ศัตรูที่อยู่ในระยะและกระแทกกลับไป 2 ช่อง, ลดค่าปราณเคลื่อนที่ลง 300 แต้ม."
BondKungfuEffect_风花雪月,"Inflict damage on enemies within self range, and inflict Internal Injury effect on the enemy, the higher the Musical of both parties, the higher the enemy's Internal Injury effect.","สร้างความเสียหายแก่ศัตรูที่อยู่ในระยะ, และสร้างสถานะ ""บาดเจ็บภายใน"" แก่ศัตรู, ยิ่งค่า""เชี่ยวชาญดนตรี""ของทั้งสองฝ่ายมากเท่าไร สถานะบาดเจ็บภายในแก่ศัตรูจะเพิ่มมากขึ้นเท่านั้น."
BondKungfuEffect_其利断金,"Inflict damage on enemies within self range, after release both parties' next Attack will definitely be Critical.","สร้างความเสียหายแก่ศัตรูที่อยู่ในระยะ, หลังจากใช้วรยุทธนี้การโจมตีถัดไปของทั้งสองฝ่าย จะโจมตี ""คริติคอล""แน่นอน"
BondKungfuEffect_佳偶天成,"Inflict damage on enemies within self range, the higher the Musical of both parties in this Attack, the higher the final Increases Damage obtained.","สร้างความเสียหายแก่ศัตรูที่อยู่ในระยะ, ยิ่งค่า""เชี่ยวชาญดนตรี""ของทั้งสองฝ่ายมากเท่าไรในการโจมตีนี้, ความเสียหายสุดท้ายที่ได้รับก็จะเพิ่มขึ้นมากเท่านั้น."
BondKungfuEffect_百无禁忌,"Inflict damage on enemies within self range, and inflict Poisoned effect on the enemy, the higher the Toxicology of both parties, the higher the enemy's Poisoned effect.","สร้างความเสียหายแก่ศัตรูที่อยู่ในระยะ, และสร้างสถานะ ""พิษ"" แก่ศัตรู, ยิ่งค่า""ศาสตร์พิษ""ของทั้งสองฝ่ายมากเท่าไร สถานะพิษแก่ศัตรูจะเพิ่มมากขึ้นเท่านั้น."
BondKungfuEffect_并蒂莲开,"Inflict damage on enemies within self range, and inflict Bleeding effect on the enemy, the higher the Short of both parties, the higher the enemy's Bleeding effect.","สร้างความเสียหายแก่ศัตรูที่อยู่ในระยะ, และสร้างสถานะ ""เลือดไหล"" แก่ศัตรู, ยิ่งค่า""เชี่ยวชาญอาวุธสั้น""ของทั้งสองฝ่ายมากเท่าไร สถานะเลือดไหลแก่ศัตรูจะเพิ่มมากขึ้นเท่านั้น."
BondKungfuEffect_海誓山盟,"Inflict damage on enemies within self range, the higher the Blade of both parties in this Attack, the higher the final Increases Damage obtained.","สร้างความเสียหายแก่ศัตรูที่อยู่ในระยะ, ยิ่งค่า""เชี่ยวชาญดาบ""ของทั้งสองฝ่ายมากเท่าไรในการโจมตีนี้, ความเสียหายสุดท้ายที่ได้รับก็จะเพิ่มขึ้นมากเท่านั้น."
BondKungfuEffect_暗香浮动,"Increase the Attack of friendly characters in range by 10%, Defense by 10%, and Action Speed by 25%, lasts for 1 action.","พรรคพวกที่อยู่ในระยะ เพิ่มพลังโจมตี 10%, พลังป้องกัน 10% และความเร็วท่าร่าง 25% มีผล 1 รอบ"
BondKungfuEffect_凤舞九天,"Inflict damage on enemies within self range, after release both parties gain effect【<#29F161>Attack increase by 25%</color>, lasts for 1 action】.","สร้างความเสียหายให้กับศัตรูที่อยู่ในระยะ, หลังจากปล่อยทั้งคู่จะได้รับผล【<#29F161>พลังโจมตีเพิ่มขึ้น 25%</color> คงอยู่ 1 รอบ】 ."
KunfuName_结缔,Assist,ช่วยเหลือ
KunfuName_蓄力,Charge,รวมปราณ
KunfuName_防御,Defense,ป้องกัน
KunfuName_调息,Regen,ฟื้นภายใน
KunfuName_施毒,Poison,พิษ
KunfuName_解毒,Detoxify,ขจัดพิษ
KunfuName_治疗,Heal,รักษา
KunfuName_轻身,Speed Up,เร่งความเร็ว
KunfuName_暗器,Throwing,อาวุธลับ
KunfuName_铁砂掌,Iron Sand Palm,ฝ่ามือทรายเหล็ก
KunfuName_金刚刀法,Vajra Blade Technique,เพลงดาบวัชระ
KunfuName_九阳大神功,Nine Yang Divine Skill,พลังเทพเก้าตะวัน
KunfuName_吸星大法,Energy Taker Technique,วิชาดูดดาว
KunfuName_左右互搏,Ambidextrous Combat,สองมือขัดแย้ง
KunfuName_野狼普攻,Attack,โจมตี
KunfuName_蛇普攻,Attack,โจมตี
KunfuName_熊普攻,Attack,โจมตี
KunfuName_野猪普攻,Attack,โจมตี
KunfuName_猫普攻,Attack,โจมตี
KunfuName_家禽普攻,Attack,โจมตี
KunfuName_野狼王普攻,Attack,โจมตี
KunfuName_野猪王普攻,Attack,โจมตี
KunfuName_毒蝎普攻,Attack,โจมตี
KunfuName_狗普攻,Attack,โจมตี
KunfuName_牛普攻,Attack,โจมตี
KunfuName_猴普攻,Attack,โจมตี
KunfuName_马普攻,Attack,โจมตี
KunfuName_老虎普攻,Attack,โจมตี
KunfuName_白猿普攻,Attack,โจมตี
KunfuName_熊猫普攻,Attack,โจมตี
KunfuName_机关人普攻,Attack,โจมตี
KunfuName_动物撕咬,Bite,กัด
KunfuName_动物撕裂,Tear,ฉีก
KunfuName_动物冲撞,Slam,กระแทก
KunfuName_动物顶撞,Rush,เร่งรีบ
KunfuName_动物猛击,Strong Attack,โจมตีหนัก
KunfuName_动物啮咬,Chew,เคี้ยว
KunfuName_动物毒刺,Poisonous Vine,เหล็กในพิษ
KunfuName_动物吐息,Earth Breath,ลมหายใจดิน
KunfuName_动物喷火,Flame Breath,ลมหายใจเปลวไฟ
KunfuName_动物狼捕食,Finishing Strike,จู่โจมถึงตาย
KunfuName_动物碎骨击,Finishing Strike,จู่โจมถึงตาย
KunfuName_动物千斤顶,Finishing Strike,จู่โจมถึงตาย
KunfuName_动物狂犬吠,Finishing Strike,จู่โจมถึงตาย
KunfuName_动物斗鸡啄,Finishing Strike,จู่โจมถึงตาย
KunfuName_动物蝎尾刺,Finishing Strike,จู่โจมถึงตาย
KunfuName_动物蛇牙毒,Finishing Strike,จู่โจมถึงตาย
KunfuName_动物百爪千挠,Finishing Strike,จู่โจมถึงตาย
KunfuName_动物致命一击,Finishing Strike,จู่โจมถึงตาย
KunfuName_撕咬,Bite,กัด
KunfuName_撕裂,Tear,ฉีก
KunfuName_冲撞,Slam,กระแทก
KunfuName_顶撞,Rush,เร่งรีบ
KunfuName_猛击,Strong Attack,โจมตีหนัก
KunfuName_啮咬,Chew,เคี้ยว
KunfuName_毒刺,Poisonous Vine,เหล็กในพิษ
KunfuName_吐息,Earth Breath,ลมหายใจดิน
KunfuName_喷火,Flame Breath,ลมหายใจเปลวไฟ
KunfuName_狼捕食,Finishing Strike,จู่โจมถึงตาย
KunfuName_碎骨击,Finishing Strike,จู่โจมถึงตาย
KunfuName_千斤顶,Finishing Strike,จู่โจมถึงตาย
KunfuName_狂犬吠,Finishing Strike,จู่โจมถึงตาย
KunfuName_斗鸡啄,Finishing Strike,จู่โจมถึงตาย
KunfuName_蝎尾刺,Finishing Strike,จู่โจมถึงตาย
KunfuName_蛇牙毒,Finishing Strike,จู่โจมถึงตาย
KunfuName_百爪千挠,Finishing Strike,จู่โจมถึงตาย
KunfuName_致命一击,Finishing Strike,จู่โจมถึงตาย
KunfuName_普通攻击：拳掌,Normal Attack,โจมตีปกติ
KunfuName_普通攻击：剑,Normal Attack,โจมตีปกติ
KunfuName_普通攻击：刀,Normal Attack,โจมตีปกติ
KunfuName_普通攻击：棍,Normal Attack,โจมตีปกติ
KunfuName_普通攻击：枪,Normal Attack,โจมตีปกติ
KunfuName_普通攻击：扇,Normal Attack,โจมตีปกติ
KunfuName_普通攻击：匕首,Normal Attack,โจมตีปกติ
KunfuName_普通攻击：笔,Normal Attack,โจมตีปกติ
KunfuName_普通攻击：琴,Normal Attack,โจมตีปกติ
KunfuName_普通攻击：箫,Normal Attack,โจมตีปกติ
KunfuName_普通攻击：琵琶,Normal Attack,โจมตีปกติ
KunfuName_一刀绝尘,Marvelous Blade,หนึ่งดาบสะบั้นธุลี
KunfuName_太极十三势,Taichi Thirteen Forms,ไทเก็กสิบสามลักษณ์
KunfuName_平地惊雷,Shattering Thunder,ทลายอัสนี
KunfuName_石灰漫天,Quicklime Rain,ฝนปูนขาวกระจายฟ้า
KunfuName_十字追魂,Soul Chaser Word,สิบอักขระล่าวิญญาณ
KunfuName_天罗地网,No Escape,แหฟ้าตาข่ายดิน
KunfuName_人海战术,Human Wave Tactic,กลยุทธ์ฝูงชน
KunfuName_直捣黄龙,Ferocious Dragon Charge,มังกรร้ายจู่โจม
KunfuName_前仆后继,New Future,อนาคตใหม่
KunfuName_浊浪排空,Dust Clearing,ปัดฝุ่น
KunfuName_万剑归宗,Ten Thousand Swords,หมื่นกระบี่หวนกลับ
KunfuName_枯木逢春,Revitalization,วสันต์ฟื้นอรัญโศก
KunfuName_儒门春秋,Confucius Era,ขงจื้อสารทวสันต์
KunfuName_菩提金身,Buddha Golden Body,กายาพุทธะทองคำ
KunfuName_退避三舍,Fall Back,ถอยบ้านสามหลัง
KunfuName_财迷心窍,Money Over Survival,เห็นแก่อามิสสินจ้าง
KunfuName_乾坤一掷,Decisive Throw,ขว้างจักรวาล
KunfuName_暴雨梨花,Rainstorm Flower,มรสุมเข็มบุปผา
KunfuName_满天花雨,Scattered Petals,กระจายกลีบบุปผา
KunfuName_撒石灰粉,Throw Quicklime,โปรยปูนขาว
KunfuName_红莲业火,Red Lotus Sinful Flame,เพลิงอเวจีบัวโลหิต
KunfuName_迷情熏香,Neutralizing Incense,เสน่ห์หอม
KunfuName_七息断魂雾,Soul Breaker Mist,หมอกเจ็ดลมทำลายวิญญาณ
KunfuName_酥筋化骨香,Muscle Relaxant Incense,หอมทำลายกระดูก
KunfuName_飞腿扬沙,Flying Sand Kick,ลูกเตะทรายบิน
KunfuName_投石问路,Throw Rock,เขวี้ยงหิน
KunfuName_铜锤灌顶,Head Buster,ทุบหัวค้อนทองแดง
KunfuName_穿云一枪,Piercing Spear,หนึ่งหอกทะลวงเมฆา
KunfuName_召唤猎犬,Summon Hound,อัญเชิญสุนัขล่าเนื้อ
KunfuName_地动山摇,Earthquake,พสุธากัมปนาท
KunfuName_石破天惊,Tremor,สะท้านปฐพี
KunfuName_梨花奥义,Pear Blossom Essence,แก่นแท้ของหลีฮวา
KunfuName_一剑破万法,One Sword Annihilation,หนึ่งกระบี่ทลายหมื่นวิธี
KunfuName_天地无极,Infinity World,ฟ้าดินไร้ประมาณ
KunfuName_剑意勃发,Sword Qi Explosion,เจตน์กระบี่ทิ่มทะลวง
KunfuName_虫豸为伴,Friend of Bugs,มิตรหนอนแมลง
KunfuName_金刚撞钟,Diamond Rush,วัชระลั่นระฆัง
KunfuName_奉旨讨逆,Extermination Decree,ไล่ปราบกบฏ
KunfuName_一剑破苍穹,Heaven Breaker,หนึ่งกระบี่ทะลวงสวรรค์
KunfuName_罢黜百家,Only One School,ขับไล่ร้อยสำนัก
KunfuName_纸醉金迷,Drown In Riches,มีเงินท่วมหัว
KunfuName_伸腿瞪眼丸,Overbearing Stance,เหยียดขาจ้องเม็ดยา
KunfuName_定鼎中原,World Conqueror,พิชิตโลก
KunfuName_叱咤一枪,Devastating Spear,หอกทำลายล้าง
KunfuName_旋风斩,Wind Cyclone,พายุหมุน
KunfuName_烛龙一剑,Dragon Sword,กระบี่แปลงมังกร
KunfuName_雷劫万千,Thunder Tribulation,ทัณฑ์ฟ้าเหลือคณา
KunfuName_追星赶月,Star Chaser,ไล่ดาวคว้าจันทร์
KunfuName_飞箸穿云,Cloud Piercing Chopstick,ตะเกียบบินทะลวงเมฆา
KunfuName_断子绝孙腿,Cruel Crotch Kick,ท่าเท้าสะบั้นเยื่อใย
KunfuName_推山填海,Mountain Mover,เคลื่อนภูผาถมสมุทร
KunfuName_山崩地裂,Mountain Breaker,เขาถล่มดินทลาย
KunfuName_生机回春,Life Replenishment,ฟื้นฟูชีวิต
KunfuName_杨枝甘露,Water of Life,น้ำแห่งชีวิต
KunfuName_飞蝶穿花,Fluttering Butterfly,ผีเสื้อโฉบบุปผา
KunfuName_剑影纷纷,Sword Shadows,เงากระบี่
KunfuName_劳燕分飞,Painful Separation,การแยกจากอันเจ็บปวด
KunfuName_杀生证道,Slaughtering Way,ฆ่าพิสูจน์ความจริง
KunfuName_七佛灭罪真言,Seven Buddha Punishment Word,มนต์เจ็ดโพธิสัตว์ชำระบาป
KunfuName_搜山检海,Leave No Stone Untouched,แสวงขุนเขาธารา
KunfuName_轰地雷,Destruction Mines,กับระเบิด
KunfuName_倒转乾坤,Full Reversal,พลังเคลื่อนย้ายจักรวาล
KunfuName_天地不仁,Cruel World,ทั่วหล้าไร้ปราณี
KunfuName_否极泰来,Overcoming Hardship,ก้าวผ่านความยากลำบาก
KunfuName_六字大明咒,Six Character Charm,มนตร์หกพยางค์
KunfuName_天籁魔音,Tianlai Magic Sound,เสียงมหัศจรรย์แห่งธรรมชาติ
KunfuName_千山鸟飞绝,The Silent Mountains,พันขุนเขา ไร้นกบิน
KunfuName_九流归一,Nine Flow Unification,เก้าธารารวมเป็นหนึ่ง
KunfuName_望穿秋水,Endearing Wait,รอรักนิรันดร์กาล
KunfuName_比翼连枝,Together As One,รวมใจเป็นหนึ่ง
KunfuName_珠联璧合,Happy Together,สุขใจด้วยกัน
KunfuName_花开富贵,Gorgeous Flower,บุปผางดงาม
KunfuName_吟风弄月,Under The Moon,ใต้เงาจันทร์
KunfuName_相濡以沫,A Friend In Need,ช่วยเหลือซึ่งกันและกัน
KunfuName_海角天涯,Faraway Place,สุดขอบโลก
KunfuName_白首相随,Accompanied by aging,ร่วมมือสอดประสาน
KunfuName_龙凤呈祥,Dragon and Phoenix,หงส์คู่มังกร
KunfuName_金风玉露,Golden Season,สายลมสารทน้ำค้างยามเช้า
KunfuName_风花雪月,Fenghua Xueyue,วายุบุปผา หิมะจันทรา
KunfuName_其利断金,Pull Together,สองคนหนึ่งใจ
KunfuName_佳偶天成,A Happy Marriage,วิวาห์เปี่ยมสุข
KunfuName_百无禁忌,Nothing is a taboo,ไร้ข้อห้าม
KunfuName_并蒂莲开,Lotus Blossom,ดอกบัวบาน
KunfuName_海誓山盟,Oath of Love,คำสาบานรัก
KunfuName_暗香浮动,Fragrant Assault,บุปผาหอมโชย
KunfuName_凤舞九天,Phoenix Dance Heavens,รำวิหคเพลิงสวรรค์
KunfuName_市井拳法,Scoundrel Fist,มวยข้างถนน
KunfuName_罗汉拳法,Arhat Fist,หมัดอรหันต์
KunfuName_一指禅,Zen Finger,ฌานหนึ่งดรรชนี
KunfuName_逍遥拳法,Carefree Fist,หมัดไร้โศก
KunfuName_奔雷掌法,Quick Palm,ฝ่ามืออัสนี
KunfuName_朱砂掌法,Cinnabar Palm,ฝ่ามือสีชาด
KunfuName_连环掌,Continuous Palm,ฝ่ามือต่อเนื่อง
KunfuName_黑虎拳,Black Tiger Fist,หมัดพยัคฆ์ทมิฬ
KunfuName_雷云掌,Thundercloud Palm,ฝ่ามือเมฆาอัสนี
KunfuName_封穴手,Meridian Sealing Hand,หัตถ์ผนึกชีพจร
KunfuName_广袖流云,Drifting Cloud,แขนเสื้อเมฆาล่องลอย
KunfuName_飞花指,Flying Flower Finger,ดรรชนีเด็ดบุปผา
KunfuName_玲珑掌,Sparkling Palm,ฝ่ามือโฉมสะคราญ
KunfuName_菩提掌,Bodhi Palm,ฝ่ามือยูไล
KunfuName_花拳绣腿,Amateurish Strike,หมัดบุปผา
KunfuName_五行拳,Five Elements Fist,มวยห้าธาตุ
KunfuName_七巧如意手,Dexterous Hand,หัตถ์เจ็ดปรารถนา
KunfuName_迷魂毒掌,Enchanted Poison Palm,ฝ่ามือมนต์เสน่ห์พิษ
KunfuName_闪电五连击,Five Thunderbolts,เบญจอสุนีบาต
KunfuName_秋风掌法,Autumn Wind Palm Technique,ฝ่ามือสารทวายุ
KunfuName_空空拳法,Empty Fist,หมัดสูญจำรัส
KunfuName_寒魄冰心掌,Frozen Heart Palm,ฝ่ามือใจน้ำแข็ง
KunfuName_清心玉女掌,Mind Clearing Maiden Palm,ฝ่ามือดรุณีฤทัยหยก
KunfuName_大力金刚掌,Powerful Diamond Palm,ฝ่ามือวัชระ
KunfuName_凌空点穴手,Far Sealing Hand,ดรรชนีสกัดจุดกลางอากาศ
KunfuName_灵蛇缠丝掌,Snake Bound Palm,ฝ่ามือพัวพันวิญญาณอสรพิษ
KunfuName_伤情别离掌,Breakup Palm,ฝ่ามือตัดสัมพันธ์
KunfuName_降龙伏虎拳,Dragon Slaying Fist,หมัดปราบพยัคฆ์มังกร
KunfuName_玄阴化骨手,Bone Melting Nether Hand,ฝ่ามือละลายกระดูก
KunfuName_太极拳,Taichi Fist,หมัดไทเก๊ก
KunfuName_五毒掌,Five Poisons Palm,ฝ่ามือเบญจพิษ
KunfuName_破空拳,Breakthrough Fist,หมัดทลายนภา
KunfuName_醉仙拳,Wine God Fist,หมัดเซียนเมามาย
KunfuName_断魂爪,Soul Destroyer Claw,กรงเล็บสะบั้นวิญญาณ
KunfuName_般若掌,Prajna Palm,ฝ่ามือปัญญา
KunfuName_幻灭指,Disintegrating Finger,ดรรชนีสลายสิ้น
KunfuName_碧落黄泉,Death Road,เส้นทางมรณะ
KunfuName_破庙拳法,Abandoned Temple Fist,หมัดสิ้นลำลึกสถาน
KunfuName_断情掌,Cruel Palm,ฝ่ามือทะลวงใจ
KunfuName_通天手,Omnipotent Hand,หัตถ์ทงเทียน
KunfuName_碎玉掌,Jewel Breaker Palm,ฝ่ามือทลายหยก
KunfuName_四相掌,Four Generals Palm,ฝ่ามือสี่สัณฐาน
KunfuName_野球拳,Rock Paper Scissor,หมัดลูกกลมเถื่อน
KunfuName_开山掌,Mountain Clear Palm,ฝ่ามือทลายภูผา
KunfuName_玄天指,Ether Finger,ดรรชนีอากาศธาตุ
KunfuName_降霜拳法,Frostfall Fist Technique,หมัดเหมันต์
KunfuName_悲欢指法,Bitter Joy Finger Technique,ดรรชนีระคนทุกข์
KunfuName_撼天指法,Heaven Shaking Finger,ดรรชนีสะเทือนสวรรค์
KunfuName_如来大悲掌,Vairocana Kindness Palm,ฝ่ามือยูไลเปี่ยมการุณย์
KunfuName_如来神掌,Vairocana Godly Palm,ฝ่ามือยูไล
KunfuName_八极奔雷掌,Baji Quick Palm,ฝ่ามือแปดทิศอัสนี
KunfuName_灭天掌,Sky Destroyer Palm,ฝ่ามือทำลายสวรรค์
KunfuName_紫薇惊龙掌,Dragon King Palm,ฝ่ามือราชันมังกร
KunfuName_烈阳拳,Solar Fist,หมัดสุรีย์ผลาญ
KunfuName_翻云遮天手,Heaven Engulfed Hand,ฝ่ามือพลิกเมฆา
KunfuName_贯云指,Cloud Piercing Finger,ดรรชนีทะลวงเมฆา
KunfuName_万民掌,People's Palm,หมื่นฝ่ามือเรียงราย
KunfuName_地趟刀法,Earth Blade,ดาบพสุธา
KunfuName_伏虎刀法,Tiger Taming Blade,ดาบปราบพยัคฆ์
KunfuName_三才刀法,Trinity Blade,ดาบสามสะท้าน
KunfuName_疾风斩,Wind Blade,ดาบวายุ
KunfuName_开山刀法,Mountain Clear Blade,ดาบสะบั้นภูผา
KunfuName_荡寇刀法,Bandit Killer Blade,ดาบสังหารโจร
KunfuName_疾风八斩法,Octagonal Wind Blade,8 ดาบตัดวายุ
KunfuName_火云刀法,Flaming Cloud Blade,เพลงดาบเมฆาอัคคี
KunfuName_九苗刀法,Jiumiao Technique,ดาบแมวเก้าแผล
KunfuName_九江刀法,Nine Rivers Blade,ดาบเก้าธารา
KunfuName_柳生刀法,Willow Blade,เพลงดาบหลิวเซิง
KunfuName_西域刀法,Xiyu Blade,ดาบทะเลทราย
KunfuName_风沙刀法,Sandstorm Blade,ดาบพายุทะเลทราย
KunfuName_大蛮刀法,Brutal Blade,ดาบคนเถื่อน
KunfuName_合月镰三式,Moon Phase Three Forms,ดาบเคียวพระจันทร์สามประสาน
KunfuName_修罗刀法,Shura Blade,ดาบอสุรา
KunfuName_破甲刀法,Armor Breaker Blade,ดาบผ่าเกราะ
KunfuName_剔骨刀法,Bone Cleaver Blade,ดาบเลาะกระดูก
KunfuName_柴刀刀法,Lumbering Blade,ดาบตัดไม้
KunfuName_雁行刀法,Wild Goose Blade,ดาบห่านป่า
KunfuName_霹雳刀法,Thunder Blade,ดาบอัสนี
KunfuName_破军刀法,Ruinous Star Blade,ดาบทลายทัพ
KunfuName_独狼刀法,Cruel Wolf Blade,เพลงดาบหมาป่าเดียวดาย
KunfuName_碧磷刀法,Jade Blade,ดาบพิษมรกต
KunfuName_怒流刀法,Furious Blade,ดาบคลั่งโหมกระหน่ำ
KunfuName_七旋斩,Seven Spins Blade,7 ดาบหมุนเวียน
KunfuName_纵横刀诀,Roaming Blade,ดาบสะบั้น
KunfuName_烈火刀法,Flaming Blade,วิชาดาบเปลวอัคคี
KunfuName_盘空刀法,Empty Blade,ดาบควงนภา
KunfuName_庖丁解牛法,Ox Killer Blade,วิชาเผาติงแล่วัว
KunfuName_叱咤刀法,Wind Cloud Blade,เพลงดาบคำราม
KunfuName_无双刀法,Peerless Blade,เพลงดาบไร้ผู้เปรียบ
KunfuName_九幽玄刹刀,Nether Killing Blade,ดาบผลาญเก้านรก
KunfuName_蛮荒霸道斩,Savage Primal Blade,ดาบพิฆาตอำมหิต
KunfuName_一刀斩,One Blade,พิฆาตในดาบเดียว
KunfuName_天魔刀法,Archdemon Blade,ดาบมารสวรรค์
KunfuName_吞鲸刀法,Devouring Blade,ดาบกลืนกิน
KunfuName_鬼轮斩,Demonic Circle Blade,ดาบกงล้อมารวิบัติ
KunfuName_回风剑法,Wind Reversal Sword,กระบี่ลมหวน
KunfuName_九宫剑法,Nine Diagrams Sword,กระบี่เก้าลักษณ์
KunfuName_七星剑法,Seven Stars Sword,เพลงกระบี่เจ็ดดาว
KunfuName_浣纱剑法,Huansha Sword,กระบี่ล่าสังหาร
KunfuName_莲花妙剑,Lotus Flower Sword,เพลงกระบี่ดอกบัว
KunfuName_倾城剑法,Alluring Sword,กระบี่โฉมสะคราญ
KunfuName_太乙剑法,Taiyi Sword,เพลงกระบี่ไทยี่
KunfuName_须弥剑法,Sumeru Sword,เพลงกระบี่เขาพระสุเมรุ
KunfuName_游龙剑法,Dragon Roaming Sword,กระบี่มังกรร่ายรำ
KunfuName_青萍剑法,Blue Weed Sword,เพลงกระบี่แหนคราม
KunfuName_柔云剑法,Gentle Cloud Sword,กระบี่เมฆาละมุน
KunfuName_玉女剑法,Maiden Sword,เพลงกระบี่ดรุณีหยก
KunfuName_贪狼剑法,Flirting Star Sword,กระบี่หยอกดารา
KunfuName_苍穹剑法,Heaven Sword,เพลงกระบี่ฟ้ากว้าง
KunfuName_广寒剑法,Moon Palace Sword,เพลงกระบี่วังจันทรา
KunfuName_太虚十八剑,Taixu Eighteen Swords,ไท่ซวีสิบแปดกระบี่
KunfuName_赤焰剑法,Burning Flame Sword,เพลงกระบี่เปลวอัคคี
KunfuName_太极剑法,Taichi Sword,กระบี่ไท้เก็ก
KunfuName_无情剑法,Emotionless Sword,เพลงกระบี่ไร้ปราณี
KunfuName_落霞剑法,Sunset Sword,เพลงกระบี่อัสดง
KunfuName_凌尘剑法,Mortal Sword,เพลงกระบี่ธุลีดิน
KunfuName_岁寒三友,Three Friends of Winter,สามสหายเหมันต์
KunfuName_炎霜剑法,Burning Mist Sword,วิชากระบี่เพลิงน้ำแข็ง
KunfuName_忘忧剑法,Forgotten Sword,เพลงกระบี่ลืมทุกข์
KunfuName_星月剑法,Moon Star Sword,กระบี่จันทร์ดารา
KunfuName_素女剑法,Pure Maiden Sword,กระบี่ดรุณีใจสงบ
KunfuName_贪生剑法,Survival Sword,กระบี่เสียดายชีวิต
KunfuName_无锋剑法,Windless Sword,วิชากระบี่ไร้คม
KunfuName_求败九式,Dugu Nine Swords,เก้ากระบี่เดียวดาย
KunfuName_破天剑法,Sky Breaker Sword,เพลงกระบี่ทลายฟ้า
KunfuName_磐龙剑法,Dragon Sword,เพลงกระบี่มังกร
KunfuName_无极剑法,Infinity Sword,เพลงกระบี่ไร้สิ้นสุด
KunfuName_无名剑法,Nameless Sword,กระบี่ไร้นาม
KunfuName_浮华掠影剑,Illusion Sword,กระบี่เงาลวง
KunfuName_恶煞枪法,Evil Spear,เพลงหอกปีศาจ
KunfuName_腐尸枪法,Rotting Spear,เพลงหอกสลายซาก
KunfuName_雷霆枪法,Thunder Spear,เพลงหอกอัสนี
KunfuName_捕兽叉法,Beast Taming Trident,หอกคุมอสูร
KunfuName_破阵大枪,Formation Breaker Spear,หอกทำลายค่าย
KunfuName_六合枪法,Six Forms Spear,หอกหกประสาน
KunfuName_梅花枪法,Flower Spear,หอกดอกเหมย
KunfuName_中平枪法,Middle Stance Spear,หอกผ่ากลาง
KunfuName_霸王枪法,Emperor Spear,หอกจักรพรรดิ
KunfuName_黄泉引路枪,Death Bringer Spear,หอกเบิกทางยมโลก
KunfuName_七杀枪法,Power Star Spear,หอกเจ็ดพิฆาต
KunfuName_叶家枪法,Ye Family Spear,เพลงหอกสกุลเย่
KunfuName_飞龙枪法,Wyvern Spear,หอกมังกรบิน
KunfuName_虎啸穿云枪,Tiger Howl Spear,เพลงหอกพยัคฆ์คำรามทะลวงเมฆา
KunfuName_梨花枪法,Pear Blossom Spear,หอกหลีฮวา
KunfuName_百鸟朝凰枪,Phoenix Ascension Spear,เพลงหอกวิหคเพลิงสวรรค์
KunfuName_七探蛇盘枪,Scouting Snake Spear,เจ็ดหอกแสวงอสรพิษ
KunfuName_沥泉枪法,Slipstream Spear,หอกธาราหยด
KunfuName_九黎巫叉,Jiuli Trident,หอกตรีศูลจิ่วลี่
KunfuName_叫花棒法,Beggar Staff,ไม้ตีสุนัข
KunfuName_六合棍法,Six Forms Staff,พลองหกประสาน
KunfuName_韦陀杖法,Veda Staff,พลองพระเวท
KunfuName_蟠龙棍法,Dragon Staff,พลองมังกร
KunfuName_大力棍法,Brutal Staff,กระบองพิฆาต
KunfuName_普渡杖法,Enlighten Staff,ไม้เท้ารู้แจ้ง
KunfuName_狼牙棒,Battle Mace,กระบองรบ
KunfuName_杀威棒法,Prestige Destroyer Staff,พลังพลองสังหารสิ้น
KunfuName_扫地棍法,Trash Sweeping Staff,พลองกวาดลาน
KunfuName_翻江浆法,River Whirling,พลองตลบลำน้ำ
KunfuName_混元棍法,Origin Staff,พลองรวมศูนย์
KunfuName_金刚降魔杵,Evil Destroyer Diamond Staff,พลองวัชระปราบมาร
KunfuName_游龙锏法,Roaming Dragon Staff,พลองมังกรร่ายรำ
