﻿UI_InstantKill,Instant death,เสียชีวิตทันที
UIBattleActorInfo_RoleInfo_lv,59,59
UIBattleActorInfo_RoleInfo_lv_Text(TMP),Level,ระดับ
UIBattleActorInfo_RoleInfo_lv_Exp_Text(TMP),Jianghu Knowledge,ประสบการณ์ยุทธ
UIBattleActorInfo_RoleInfo_lv_Exp_expIndex,5556/27895,5556/27895
UIBattleActorInfo_RoleInfo_Relation,[Intimate],[คนสนิท]
UIBattleActorInfo_RoleInfo_Radar_txt,CON,พลังกาย
UIBattleActorInfo_RoleInfo_Radar_Text1,INT,สติปัญญา
UIBattleActorInfo_RoleInfo_Radar_Text2,LUK,โชค
UIBattleActorInfo_RoleInfo_Radar_Text3,DEX,คล่องแคล่ว
UIBattleActorInfo_RoleInfo_Radar_Text4,STR,พละกำลัง
UIBattleActorInfo_RoleInfo_Radar_Base_txt_tizhi,50,50
UIBattleActorInfo_RoleInfo_Radar_Base_txt_wuxing,70,70
UIBattleActorInfo_RoleInfo_Radar_Base_txt_fuyuan,10,10
UIBattleActorInfo_RoleInfo_Radar_Base_txt_minjie,20,20
UIBattleActorInfo_RoleInfo_Radar_Base_txt_bili,30,30
UIBattleActorInfo_RoleInfo_Equip_Item_num,22,22
UIBattleActorInfo_RoleInfo_Equip_Item_mark_Text(TMP),EQ,สวมใส่
UIBattleActorInfo_RoleInfo_Equip1_Item_num,22,22
UIBattleActorInfo_RoleInfo_Equip1_Item_mark_Text(TMP),EQ,สวมใส่
UIBattleActorInfo_RoleInfo_Equip2_Item_num,22,22
UIBattleActorInfo_RoleInfo_Equip2_Item_mark_Text(TMP),EQ,สวมใส่
UIBattleActorInfo_RoleInfor1_tag_Text(10),HP,HP
UIBattleActorInfo_RoleInfor1_tag_Text,Attack power,พลังโจมตี
UIBattleActorInfo_RoleInfor1_tag_Text(1),Qinggong,วิชาตัวเบา
UIBattleActorInfo_RoleInfor1_tag_Text(2),Fist,หมัด
UIBattleActorInfo_RoleInfor1_tag_Text(3),Blade,ดาบ
UIBattleActorInfo_RoleInfor1_tag_Text(4),Short,อาวุธสั้น
UIBattleActorInfo_RoleInfor1_tag_Text(5),Accuracy,ความแม่นยำ
UIBattleActorInfo_RoleInfor1_tag_Text(6),Critical,คริติคอล
UIBattleActorInfo_RoleInfor1_tag_Text(7),Medical,วิชาแพทย์
UIBattleActorInfo_RoleInfor1_tag_Text(8),Throwing,อาวุธลับ
UIBattleActorInfo_RoleInfor1_tag_Text(9),Knowledge,ความเข้าใจวรยุทธ
UIBattleActorInfo_RoleInfor1_tag1_Text(10),MP,MP
UIBattleActorInfo_RoleInfor1_tag1_Text,Defense power,พลังป้องกัน
UIBattleActorInfo_RoleInfor1_tag1_Text(1),Action Speed,ท่าร่าง
UIBattleActorInfo_RoleInfor1_tag1_Text(2),Sword,กระบี่
UIBattleActorInfo_RoleInfor1_tag1_Text(3),Long,อาวุธยาว
UIBattleActorInfo_RoleInfor1_tag1_Text(4),Musical,ดนตรี
UIBattleActorInfo_RoleInfor1_tag1_Text(5),Evasion,หลบหลีก
UIBattleActorInfo_RoleInfor1_tag1_Text(6),Parry,ปัดป้อง
UIBattleActorInfo_RoleInfor1_tag1_Text(7),Toxicology,ศาสตร์พิษ
UIBattleActorInfo_RoleInfor1_tag1_Text(8),Combo,โจมตีต่อเนื่อง
UIBattleActorInfo_RoleInfor1_tag1_Text(9),Combat,สู้จริง
UIBattleActorInfo_RoleInfor1_RoleInfo_hp,1000/2000,1000/2000
UIBattleActorInfo_RoleInfor1_RoleInfo_gongji,100,100
UIBattleActorInfo_RoleInfor1_RoleInfo_qinggong,100,100
UIBattleActorInfo_RoleInfor1_RoleInfo_quanzhang,100,100
UIBattleActorInfo_RoleInfor1_RoleInfo_shuadao,100,100
UIBattleActorInfo_RoleInfor1_RoleInfo_duanbing,100,100
UIBattleActorInfo_RoleInfor1_RoleInfo_mingzhong,10%,10%
UIBattleActorInfo_RoleInfor1_RoleInfo_baoji,10%,10%
UIBattleActorInfo_RoleInfor1_RoleInfo_yishu,100,100
UIBattleActorInfo_RoleInfor1_RoleInfo_anqi,100,100
UIBattleActorInfo_RoleInfor1_RoleInfo_wuxuechangshi,100,100
UIBattleActorInfo_RoleInfor1_RoleInfo1_mp,1009/2000,1009/2000
UIBattleActorInfo_RoleInfor1_RoleInfo1_mp_Text(TMP),Yang,หยาง
UIBattleActorInfo_RoleInfor1_RoleInfo1_fangyu,100,100
UIBattleActorInfo_RoleInfor1_RoleInfo1_jiqi,100,100
UIBattleActorInfo_RoleInfor1_RoleInfo1_yujian,100,100
UIBattleActorInfo_RoleInfor1_RoleInfo1_changbing,100,100
UIBattleActorInfo_RoleInfor1_RoleInfo1_yinlv,100,100
UIBattleActorInfo_RoleInfor1_RoleInfo1_shanbi,10%,10%
UIBattleActorInfo_RoleInfor1_RoleInfo1_gedang,10%,10%
UIBattleActorInfo_RoleInfor1_RoleInfo1_dushu,100,100
UIBattleActorInfo_RoleInfor1_RoleInfo1_hubo,100,100
UIBattleActorInfo_RoleInfor1_RoleInfo1_shizhannengli,100,100
UIBattleActorInfo_RoleInfor1_Additional_gongji,+20,+20
UIBattleActorInfo_RoleInfor1_Additional_qinggong,+20,+20
UIBattleActorInfo_RoleInfor1_Additional1_fangyu,+20,+20
UIBattleActorInfo_RoleInfor1_Additional1_jiqi,+20,+20
UIBattleActorInfo_RoleInfor1_item_txt,Kitty,แมว
UIBattleActorInfo_RoleInfor_tag_Text,Attack power,พลังโจมตี
UIBattleActorInfo_RoleInfor_tag_Text(1),Qinggong,วิชาตัวเบา
UIBattleActorInfo_RoleInfor_tag_Text(2),Fist,หมัด
UIBattleActorInfo_RoleInfor_tag_Text(3),Blade,ดาบ
UIBattleActorInfo_RoleInfor_tag_Text(4),Short,อาวุธสั้น
UIBattleActorInfo_RoleInfor_tag1_Text,Defense power,พลังป้องกัน
UIBattleActorInfo_RoleInfor_tag1_Text(1),Initial Action Point,ปราณเคลื่อนที่เริ่มต้น
UIBattleActorInfo_RoleInfor_tag1_Text(2),Sword,กระบี่
UIBattleActorInfo_RoleInfor_tag1_Text(3),Long,อาวุธยาว
UIBattleActorInfo_RoleInfor_tag1_Text(4),Musical,ดนตรี
UIBattleActorInfo_RoleInfor_RoleInfo_gongji,100,100
UIBattleActorInfo_RoleInfor_RoleInfo_qinggong,100,100
UIBattleActorInfo_RoleInfor_RoleInfo_quanzhang,100,100
UIBattleActorInfo_RoleInfor_RoleInfo_shuadao,100,100
UIBattleActorInfo_RoleInfor_RoleInfo_duanbing,100,100
UIBattleActorInfo_RoleInfor_RoleInfo1_fangyu,100,100
UIBattleActorInfo_RoleInfor_RoleInfo1_jiqi,100,100
UIBattleActorInfo_RoleInfor_RoleInfo1_yujian,100,100
UIBattleActorInfo_RoleInfor_RoleInfo1_changbing,100,100
UIBattleActorInfo_RoleInfor_RoleInfo1_yinlv,100,100
UIBattleActorInfo_RoleInfor_Additional_gongji,+20,+20
UIBattleActorInfo_RoleInfor_Additional_qinggong,+20,+20
UIBattleActorInfo_RoleInfor_Additional1_fangyu,+20,+20
UIBattleActorInfo_RoleInfor_Additional1_jiqi,+20,+20
UIBattleActorInfo_RoleInfor_Interaction_Button_Text(TMP),Gift,ของขวัญ
UIBattleActorInfo_RoleInfor_Interaction_Button(1)_Text(TMP),Spar,ประลอง
UIBattleActorInfo_RoleInfor_Interaction_Button(2)_Text(TMP),Trade,แลกเปลี่ยน
UIBattleActorInfo_RoleInfor_Interaction_Button(3)_Text(TMP),Leave team,ออกจากทีม
UIBattleActorInfo_RoleInfor_Character_tag_Text,Benevolence,ศีลธรรม
UIBattleActorInfo_RoleInfor_Character_tag_Text(1),Propriety,มารยาท
UIBattleActorInfo_RoleInfor_Character_tag_Text(2),Trustworthy,ซื่อสัตย์
UIBattleActorInfo_RoleInfor_Character_tag(1)_Text,Righteous,คุณธรรม
UIBattleActorInfo_RoleInfor_Character_tag(1)_Text(1),Wisdom,ภูมิปัญญา
UIBattleActorInfo_RoleInfor_Character_tag(1)_Text(2),Courage,ความกล้าหาญ
UIBattleActorInfo_RoleInfor_Character_RoleInfo_rende,100,100
UIBattleActorInfo_RoleInfor_Character_RoleInfo_lijie,100,100
UIBattleActorInfo_RoleInfor_Character_RoleInfo_xinyong,100,100
UIBattleActorInfo_RoleInfor_Character_RoleInfo(1)_rende,100,100
UIBattleActorInfo_RoleInfor_Character_RoleInfo(1)_lijie,100,100
UIBattleActorInfo_RoleInfor_Character_RoleInfo(1)_xinyong,100,100
UIBattleActorInfo_juezhao_CD,New Text,ข้อความใหม่
UIBattleActorInfo_kongfu_zhunei_Text(TMP),Active,ใช้งาน
UIBattleActorInfo_kongfu_nei_Text(TMP),Internal,ใน
UIBattleActorInfo_kongfu_wai_Text(TMP),EXT,ภายนอก
UIBattleActorInfo_kongfu_lv,Six,หก
UIBattleActorInfo_kongfu_noKongfu,Not Learned,ยังไม่เรียน
UIBattleActorInfo_kongfu_CD,1,1
UIBattleActorInfo_zhanyi_tag,Spirit,พลังใจ
UIBattleActorInfo_zhanyi_index,0,0 
UIBattleActorInfo_kongfu(1)_zhunei_Text(TMP),ACT,บท
UIBattleActorInfo_kongfu(1)_nei_Text(TMP),Internal,ภายใน
UIBattleActorInfo_kongfu(1)_wai_Text(TMP),External,ภายนอก
UIBattleActorInfo_kongfu(1)_lv,Six,หก
UIBattleActorInfo_kongfu(1)_noKongfu,Not Learned,ยังไม่เรียน
UIGoods_num,22,22
UIGoods_mark_Text(TMP),Equip,สวมใส่
UIKongfu_Name,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIKongfu_Lv,First level,ระดับแรก
UIKongfu_State,Running,กำลังใช้งาน
UIKongfu_NotOpen_Text(TMP),Not open,ไม่เปิด
UIKongfu_waigong_Text(TMP),EXT,ภายนอก
UIKongfu_neigong_Text(TMP),INT,ภายใน
UIMartialArts_SkillPanel_SkillPanel_Name,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMartialArts_SkillPanel_SkillPanel_State,Already in battle,ใช้ในการต่อสู้
UIMartialArts_MartialArts_KongFu_Title,Learned martial arts,วรยุทธที่เรียนรู้
UIMartialArts_MartialArts_UniqueSkill_Title,Mastered ultimate move,ท่าไม้ตายที่เชี่ยวชาญ
UIMartialArts_SetUp_UniqueSkill_Title,Battle ultimate move,ท่าไม้ตาย
UIMartialArts_SetUp_UniqueSkill_NoThing_Text(TMP),--Select Super Move--,--เลือกท่าไม้ตาย--
UIMartialArts_SetUp_UniqueSkill_SomeThing_Name_txt,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMartialArts_SetUp_UniqueSkill_SomeThing_Effect,Super Move effect,ประสิทธิภาพท่าไม้ตาย
UIMartialArts_SetUp_UniqueSkill_SomeThing_Effect_txt,All characters within a radius of 2 squares of oneself suffer 1/8 of maximum HP damage and are dispersed to nearby empty spaces.,ตัวละครที่อยู่รอบตัวผู้ร่ายสกิลในระยะ 2 ช่อง จะได้รับความเสียหาย 1 ใน 8 ของพลังชีวิตสูงสุด และจะถูกกระจายไปยังพื้นที่ว่างที่อยู่ใกล้
UIMartialArts_SetUp_neigong_Title,Main internal skill,กำลังภายในหลัก
UIMartialArts_SetUp_neigong_NoThing_Text(TMP),--Select Internal technique--,--เลือกทักษะกำลังภายใน--
UIMartialArts_SetUp_neigong_SomeThing_Name_Text(TMP),Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMartialArts_SetUp_neigong_SomeThing_Effect,Main Internal effect,ประสิทธิภาพกำลังภายในหลัก
UIMartialArts_SetUp_xiulian_Title,Learn manual,เรียนรู้ตำรา
UIMartialArts_SetUp_xiulian_NoThing_Text(TMP),--Select Manual--,--เลือกตำรา--
UIMartialArts_SetUp_xiulian_SomeThing_Quality_Name_Text(TMP),Kitty manual,คู่มือแมว
UIMartialArts_SetUp_xiulian_SomeThing_FullLevel,Manual has been learned to the highest level,ตำราได้รับการเรียนรู้ถึงระดับสูงสุดแล้ว
UIMartialArts_SetUp_xiulian_SomeThing_Level,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMartialArts_SetUp_xiulian_SomeThing_Level_Level,First level,ระดับแรก
UIMartialArts_SetUp_xiulian_SomeThing_Level_NoLevel,Learning,กำลังเรียน
UIMartialArts_SetUp_xiulian_SomeThing_Level_jiangyan,EXP,ค่าประสบการณ์
UIMartialArts_SetUp_xiulian_SomeThing_Level_jiangyan_txt,10000/10000,10000/10000
UIMartialArts_SetUp_xiulian_SomeThing_Effect_Text(TMP),Next level effect,ผลของระดับถัดไป
UIMartialArts_SetUp_xiulian_SomeThing_Effect_waigong_weili,Power,พลัง
UIMartialArts_SetUp_xiulian_SomeThing_Effect_waigong_weili_txt,200,200
UIMartialArts_SetUp_xiulian_SomeThing_Effect_waigong_shuxing,Attribute bonus,คุณสมบัติเพิ่มเติม
UIMartialArts_SetUp_xiulian_SomeThing_Effect_waigong_shuixing_txt,          ,
UIMartialArts_SetUp_xiulian_SomeThing_Effect_neigong_shuxing,Attribute bonus,คุณสมบัติเพิ่มเติม
UIMartialArts_SetUp_xiulian_SomeThing_Effect_neigong_shuixing_txt,"MP+20, HP+20, Defense+20","MP+20, HP+20, ป้องกัน+20"
UIMartialArts_SelectPanel_head_penel_txt,Select Super Move,เลือกท่าไม้ตาย
UIMartialArts_SelectPanel_Button_Text(TMP),Confirm,ยืนยัน
UIPack_Package_menu_Equipment_Text(TMP),Equipment,ของสวมใส่
UIPack_Package_menu_Equipment_Text(TMP)(1),Equipment,ของสวมใส่
UIPack_Package_menu_SecretBook_Text(TMP),Manual,ตำรา
UIPack_Package_menu_SecretBook_Text(TMP)(1),Manual,ตำรา
UIPack_Package_menu_Consume_Text(TMP),Consumables,ของใช้
UIPack_Package_menu_Consume_Text(TMP)(1),Consumables,ของใช้
UIPack_Package_menu_Material_Text(TMP),Material,วัตถุดิบ
UIPack_Package_menu_Material_Text(TMP)(1),Material,วัตถุดิบ
UIPack_Package_menu_Map_Text(TMP),Map,แผนที่
UIPack_Package_menu_Map_Text(TMP)(1),Map,แผนที่
UIPack_Package_menu_Other_Text(TMP),Other,อื่นๆ
UIPack_Package_menu_Other_Text(TMP)(1),Other,อื่นๆ
UIPack_Package_Nothing_Image_Text(TMP),"Hero, your inventory is empty!",ท่านจอมยุทธ์ กระเป๋าของท่านว่างเปล่า!
UIRoleMenuPanel_RightPanel_Down_Features_1_jiesuo_Text(TMP),Kitty,แมว
UIRoleMenuPanel_RightPanel_Down_Features_2_jiesuo_Text(TMP),Kitty,แมว
UIRoleMenuPanel_RightPanel_Down_Features_3_jiesuo_Text(TMP),Kitty,แมว
UIRoleMenuPanel_RightPanel_titleTxt,Gain status,สถานะที่ได้รับ
UIRoleMenuPanel_RightPanel_Item_txt,Kitty,แมว
UIRoleMenuPanel_LeftPanel_lv,100,100
UIRoleMenuPanel_LeftPanel_lv_Text(TMP),Level,ระดับ
UIRoleMenuPanel_LeftPanel_Exp_Text(TMP),EXP,ค่าประสบการณ์
UIRoleMenuPanel_LeftPanel_Exp_expIndex,0/100,0/100
UIRoleMenuPanel_LeftPanel_Radar_txt,CON,พลังกาย
UIRoleMenuPanel_LeftPanel_Radar_Text1,INT,สติปัญญา
UIRoleMenuPanel_LeftPanel_Radar_Text2,LUK,โชค
UIRoleMenuPanel_LeftPanel_Radar_Text3,DEX,คล่องแคล่ว
UIRoleMenuPanel_LeftPanel_Radar_Text4,STR,พละกำลัง
UIRoleMenuPanel_LeftPanel_Radar_Base_txt_tizhi,50,50
UIRoleMenuPanel_LeftPanel_Radar_Base_txt_wuxing,70,70
UIRoleMenuPanel_LeftPanel_Radar_Base_txt_fuyuan,10,10
UIRoleMenuPanel_LeftPanel_Radar_Base_txt_minjie,20,20
UIRoleMenuPanel_LeftPanel_Radar_Base_txt_bili,30,30
UIRoleMenuPanel_LeftPanel_Equip_Item_num,22,22
UIRoleMenuPanel_LeftPanel_Equip_Item_mark_Text(TMP),EQ,สวมใส่
UIRoleMenuPanel_LeftPanel_Equip1_Item_num,22,22
UIRoleMenuPanel_LeftPanel_Equip1_Item_mark_Text(TMP),EQ,สวมใส่
UIRoleMenuPanel_LeftPanel_Equip2_Item_num,22,22
UIRoleMenuPanel_LeftPanel_Equip2_Item_mark_Text(TMP),EQ,สวมใส่
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text,ATK,โจมตี
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(1),QG,ตัวเบา
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(2),FIST,หมัด
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(3),BLD,ดาบ
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(4),SW,อาวุธสั้น
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(5),ACC,แม่นยำ
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(6),CRIT,คริติคอล
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(7),MED,แพทย์
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(8),THRW,อาวุธลับ
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(9),KNOW,ความเข้าใจวรยุทธ
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text,DEF,ป้องกัน
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(1),AS,ท่าร่าง
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(2),SWD,กระบี่
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(3),LW,อาวุธยาว
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(4),MUS,ดนตรี
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(5),EVA,หลบ
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(6),PAR,ปัดป้อง
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(7),TOX,พิษ
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(8),COM,โจมตีต่อเนื่อง
UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(9),CBT,การต่อสู้
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_gongji,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_qinggong,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_quanzhang,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_shuadao,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_duanbing,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_mingzhong,109% +10%,109% +10%
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_baoji,10%,10%
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_yishu,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_anqi,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_wuxuechangshi,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_fangyu,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_jiqi,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_yujian,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_changbing,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_yinlv,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_shanbi,100% +19%,100% +19%
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_gedang,100% +19%,100% +19%
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_dushu,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_hubo,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_shizhannengli,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor1_Additional_gongji,+20,+20
UIRoleMenuPanel_LeftPanel_RoleInfor1_Additional_qinggong,+20,+20
UIRoleMenuPanel_LeftPanel_RoleInfor1_Additional1_fangyu,+20,+20
UIRoleMenuPanel_LeftPanel_RoleInfor1_Additional1_jiqi,+20,+20
UIRoleMenuPanel_LeftPanel_RoleInfor_tag_Text,Attack power,พลังโจมตี
UIRoleMenuPanel_LeftPanel_RoleInfor_tag_Text(1),Qinggong,วิชาตัวเบา
UIRoleMenuPanel_LeftPanel_RoleInfor_tag_Text(2),Fist,หมัด
UIRoleMenuPanel_LeftPanel_RoleInfor_tag_Text(3),Blade,ดาบ
UIRoleMenuPanel_LeftPanel_RoleInfor_tag_Text(4),Short,อาวุธสั้น
UIRoleMenuPanel_LeftPanel_RoleInfor_tag1_Text,Defense power,พลังป้องกัน
UIRoleMenuPanel_LeftPanel_RoleInfor_tag1_Text(1),Initial Action Point,ปราณเคลื่อนที่เริ่มต้น
UIRoleMenuPanel_LeftPanel_RoleInfor_tag1_Text(2),Sword,กระบี่
UIRoleMenuPanel_LeftPanel_RoleInfor_tag1_Text(3),Long,อาวุธยาว
UIRoleMenuPanel_LeftPanel_RoleInfor_tag1_Text(4),Musical,ดนตรี
UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo_gongji,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo_qinggong,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo_quanzhang,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo_shuadao,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo_duanbing,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo1_fangyu,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo1_jiqi,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo1_yujian,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo1_changbing,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo1_yinlv,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor_Additional_gongji,+20,+20
UIRoleMenuPanel_LeftPanel_RoleInfor_Additional_qinggong,+20,+20
UIRoleMenuPanel_LeftPanel_RoleInfor_Additional1_fangyu,+20,+20
UIRoleMenuPanel_LeftPanel_RoleInfor_Additional1_jiqi,+20,+20
UIRoleMenuPanel_LeftPanel_RoleInfor_Interaction_Button_Text(TMP),Gift,ของขวัญ
UIRoleMenuPanel_LeftPanel_RoleInfor_Interaction_Button(1)_Text(TMP),Spar,ประลอง
UIRoleMenuPanel_LeftPanel_RoleInfor_Interaction_Button(2)_Text(TMP),Trade,แลกเปลี่ยน
UIRoleMenuPanel_LeftPanel_RoleInfor_Interaction_Button(3)_Text(TMP),Leave team,ออกจากกลุ่ม
UIRoleMenuPanel_LeftPanel_RoleInfor_Character_tag_Text,Benevolence,ศีลธรรม
UIRoleMenuPanel_LeftPanel_RoleInfor_Character_tag_Text(1),Propriety,มารยาท
UIRoleMenuPanel_LeftPanel_RoleInfor_Character_tag_Text(2),Trustworthy,ซื่อสัตย์
UIRoleMenuPanel_LeftPanel_RoleInfor_Character_tag(1)_Text,Righteous,คุณธรรม
UIRoleMenuPanel_LeftPanel_RoleInfor_Character_tag(1)_Text(1),Wisdom,ภูมิปัญญา
UIRoleMenuPanel_LeftPanel_RoleInfor_Character_tag(1)_Text(2),Courage,ความกล้าหาญ
UIRoleMenuPanel_LeftPanel_RoleInfor_Character_RoleInfo_rende,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor_Character_RoleInfo_lijie,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor_Character_RoleInfo_xinyong,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor_Character_RoleInfo(1)_rende,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor_Character_RoleInfo(1)_lijie,100,100
UIRoleMenuPanel_LeftPanel_RoleInfor_Character_RoleInfo(1)_xinyong,100,100
UIRoleMenuPanel_LeftPanel_PlayerInfo_PlayerInfo_Viewport_Content,"Biography of Yue Fei: Since the age of twenty, he has joined the army four times, starting from the 20th year of Jianyan. Biography of Yue Fei: Since the age of twenty, he has joined the army four times, starting from the 20th year of Jianyan. He has joined the army four times since the 20th year of Jianyan. Biography of Yue Fei: Since the age of twenty, he has joined the army four times, starting from the 20th year of Jianyan. He has joined the army four times since the 20th year of Jianyan. Biography of Yue Fei: Since the age of twenty, he has joined the army four times, starting from the 20th year of Jianyan. He has joined the army four times since the 20th year of Jianyan.",ชีวประวัติของเย่ว์เฟย: ตั้งแต่อายุยี่สิบปี เขาเข้าร่วมกองทัพสี่ครั้ง เริ่มตั้งแต่ปีที่ 20 ของเจียนหยาน ชีวประวัติของเย่ว์เฟย: ตั้งแต่อายุยี่สิบปี เขาเข้าร่วมกองทัพสี่ครั้ง เริ่มตั้งแต่ปีที่ 20 ของเจียนหยาน เขาได้เข้าร่วมกองทัพสี่ครั้งนับตั้งแต่ปีที่ 20 ของเจียนหยาน ชีวประวัติของเย่ว์เฟย: ตั้งแต่อายุยี่สิบปี เขาเข้าร่วมกองทัพสี่ครั้ง เริ่มตั้งแต่ปีที่ 20 ของเจียนหยาน เขาได้เข้าร่วมกองทัพสี่ครั้งนับตั้งแต่ปีที่ 20 ของเจียนหยาน ชีวประวัติของเย่ว์เฟย: ตั้งแต่อายุยี่สิบปี เขาเข้าร่วมกองทัพสี่ครั้ง เริ่มตั้งแต่ปีที่ 20 ของเจียนหยาน เขาได้เข้าร่วมกองทัพสี่ครั้งนับตั้งแต่ปีที่ 20 ของเจียนหยาน
UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_1_Text,BENE,ศีลธรรม
UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_1_rende,100,100
UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_2_Text,RIGH,คุณธรรม
UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_2_rende,100,100
UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_3_Text,PRO,มารยาท
UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_3_rende,<color=#FF0000>100,<color=#FF0000>100
UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_4_Text,TRUST,ซื่อสัตย์
UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_4_rende,100,100
UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_5_Text,WIS,ภูมิปัญญา
UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_5_rende,100,100
UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_6_Text,COUR,ความกล้าหาญ
UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_6_rende,100,100
UIRoleMenuPanel_LeftPanel_NpcInfo_npcBottom_songli_Text(TMP),Gift,ของขวัญ
UIRoleMenuPanel_LeftPanel_NpcInfo_npcBottom_yiwu_Text(TMP),Trade,แลกเปลี่ยน
UIRoleMenuPanel_LeftPanel_NpcInfo_npcBottom_qingjiao_Text(TMP),Request,คำขอ
UIRoleMenuPanel_LeftPanel_NpcInfo_npcBottom_leave_Text(TMP),Leave team,ออกจากกลุ่ม
UIRoleMenuPanel_LeftPanel_NpcInfo_Relation,[Intimate],[ใกล้ชิด]
