﻿Talking_default,Talk,พูดคุย
3011_options2_1,Worship and bow,กราบไหว้และกราบ
3011_options2_2,Nothing special,ไม่มีอะไรพิเศษ
3014_name,Boatman refuses to ferry,คนพายเรือไม่ยอมขึ้นเรือข้ามฟาก
3015_name,First time climbing vines in Wild Wolf Valley,ครั้งแรกกับการปีนเถาวัลย์ในหุบเขาหมาป่า
3015_options01_01,[Climb] Climb the vine to get out,[ปีน] ปีนเถาวัลย์เพื่อออกไป
3015_options01_02,[Stay] There are things to be resolved here,[อยู่] มีหลายสิ่งที่ต้องแก้ไขที่นี่
3016_name,Climbing vines in Wild Wolf Valley again,ปีนเถาวัลย์ใน หุบเขาหมาป่า อีกครั้ง
3017_name,Monster hunting in Lost Forest,การล่าสัตว์ประหลาดในป่าสาปสูญ
3017_options1,Continue Info,ข้อมูลต่อ
3017_options2,Run away quickly,รีบหนีไปซะ
3018_name,Monster hunting in Lost Forest,การล่าสัตว์ประหลาดในป่าสาปสูญ
3018_options1,Continue Info,ข้อมูลต่อ
3018_options2,Run away quickly,รีบหนีไปซะ
3019_name,"Start the plot, gossip with the farmer outside the door",เริ่มโครงเรื่อง ซุบซิบกับชาวนานอกประตู
3020_name,Ask the farmer where to get vegetables to sell,ถามชาวนาว่าจะไปขายผักที่ไหน
3021_name,Ask the butcher where to get meat to sell,ถามคนขายเนื้อว่าจะไปขายเนื้อที่ไหน
3022_name,Ask Void about his origin,ถามความว่างเปล่าเกี่ยวกับต้นกำเนิดของเขา
3023_name,"Ask the woman about making money, she refuses to tell",ถามนางเรื่องหาเงิน นางไม่ยอมปริปาก
3024_name,The woman tells you there are Lingzhi under the big tree in Lost Forest,ผู้หญิงคนนั้นบอกคุณว่ามีเห็ดหลินจืออยู่ใต้ต้นไม้ใหญ่ในป่าสาปสูญ
3025_name,"Scolded for being idle, despising knights",ถูกดุว่าเกียจคร้านและดูหมิ่นอัศวิน
3026_name,Complain about the Iron Ban,ร้องทุกข์ต่อกฎเหล็กที่ไม่เป็นธรรม
3027_name,Scold the protagonist for giving Xiao Bao a Wooden sword,ดุตัวเอกที่มอบกระบี่ไม้ให้กับเสี่ยวเป่า
M1500-1_name,Treasure in Wild Wolf Valley,สมบัติในหุบเขาหมาป่า
M1500-1_overview_1,Go to the withered tree in <color=#c44b0e>Wild Wolf Valley</color> for Info,ไปที่ต้นไม้เหี่ยวใน <color=#c44b0e>หุบเขาหมาป่า</color> เพื่อดูข้อมูล
3029_name,Eliminate Blue Wind Camp,กำจัดค่ายวายุคราม
3030_name,Enter Lost Forest Level reminder event,เข้าร่วมกิจกรรมเตือนความจำระดับป่าสาปสูญ
3030_1_options_1,Not going for now,ไม่ได้ไปตอนนี้
3030_1_options_2,Insist on going,ยืนกรานที่จะไป
4001_name,Void begging for alms,ขอทานเป็นความว่าเปล่า
4001_options01_1,[Item] Choose to give five pancakes,[รายการ] เลือกให้แพนเค้กห้าชิ้น
4001_options01_2,[Item] Choose to give five bowls of Pork soup,[รายการ] เลือกให้ซุปหมูห้าชาม
4001_options01_3,[Run away] Excuse yourself and run away,[วิ่งหนี] ขอโทษแล้ววิ่งหนีไป
4002_name,Sandalwood prayer beads,ลูกประคำไม้จันทน์
4002_options01_1,[Item] Agree to give Sandalwood prayer beads to Void,[Item] ตกลงที่จะมอบลูกประคำไม้จันทน์ให้กับความว่างเปล่า
4002_options01_2,[Refuse] Refuse to give Sandalwood prayer beads,[ปฏิเสธ] ปฏิเสธที่จะให้ลูกประคำไม้จันทน์
4005_name,Ye Yinping's obsession,ความหลงไหลของเย่หยินผิง
4005_options01_1,Exchange with martial arts Manual,แลกเปลี่ยนกับคู่มือศิลปะการต่อสู้
4005_options01_2,Invite Ye Yinping to join your party,ชักชวน เย่หยินผิง เข้าร่วมกลุ่มกับท่าน
4005_options01_3,Give it to Ye Yinping without any conditions,มอบให้ เย่หยินผิง โดยไม่มีเงื่อนไขใด ๆ
4005_options01_4,Not planning to transfer,ไม่คิดจะโอน
4010_name,Block the way,ขวางทางไว้
4010_overview,
4010_options01_01,[Battle] Fight for Ye Yinping,[ต่อสู้] สู้เพื่อเย่หยินผิง
4010_options01_02,"[Silence] This is a private matter, it's not appropriate to interfere",[ความเงียบ] นี่เป็นเรื่องส่วนตัว ไม่เหมาะสมที่จะเข้าไปยุ่ง
2013_overview_1,Go to Wild Wolf Valley to kill the <color=#c44b0e>Wolf King</color> with the hunter,ไปที่หุบเขาหมาป่าเพื่อสังหาร <color=#c44b0e>ราชาหมาป่า</color> พร้อมกับนักล่า
2013_overview_2,"After improving your strength, go to Wild Wolf Valley to kill the <color=#c44b0e>Wolf King</color> with the hunter",หลังจากปรับปรุงความแข็งแกร่งของคุณแล้ว ไปที่หุบเขาหมาป่าเพื่อสังหาร <color=#c44b0e>ราชาหมาป่า</color> พร้อมกับนักล่า
2013_overview_3,The hunter seems to have something to say to you,ดูเหมือนว่านายพรานจะมีอะไรบางอย่างจะพูดกับท่าน
2013_overview_4,Meet the hunter at the Hanging bridge outside the village,พบกับนักล่าที่สะพานแขวนนอกหมู่บ้าน
3005_options1_4,Stay at the inn (50 coins),พักที่โรงเตี๊ยม (50 อีแปะ)
3031_name,Talk to the butcher,คุยกับคนขายเนื้อ
3031_overview,"Collected enough meat, go talk to the butcher",รวบรวมเนื้อได้เพียงพอแล้วไปคุยกับคนขายเนื้อ
3032_name,Talk to the hunter,พูดคุยกับนายพราน
3032_overview,"Collected enough skins, go talk to the hunter",รวบรวมหนังให้ครบ แล้วไปคุยกับนายพราน
10001_option1,Improve Relations (Spend 1000 coins to improve 10 points of power Relations),"ปรับปรุงความสัมพันธ์ (ใช้ 1,000 อีแปะเพื่อปรับปรุงความสัมพันธ์เชิงอำนาจ 10 คะแนน)"
10001_option2,Repair Relations (Spend 2000 coins to improve 10 points of power Relations),"ซ่อมแซมความสัมพันธ์ (ใช้ 2,000 อีแปะเพื่อปรับปรุงความสัมพันธ์ด้านอำนาจ 10 คะแนน)"
10001_option3,Come to visit,มาเยี่ยมชม
10001_option4,Force your way in (Battle will occur),บุกเข้าไปข้างใน (เข้าสู่การต่อสู้)
10001_option5,"Nothing to do, run away",ไม่มีอะไรทำ หนีไปซะ
10001_option6,Eliminate the sect,กำจัดนิกาย
10100_option1_1,Ease Relations (Need to reach 50 Relations with Chai Wangsun),ความสัมพันธ์ที่ง่ายดาย (ต้องถึง 50 ความสัมพันธ์กับไฉหวังชุน)
10100_option1_2,"Nothing to do, run away",ไม่มีอะไรทำ หนีไปซะ
10100_1option2_1,Ease Relations with <color=#c44b0e>Taoist Sect</color> (Spend 2 strings of coins),กระชับความสัมพันธ์กับ <color=#c44b0e>สำนักเต๋า</color> (ใช้ 2000 อีแปะ)
10100_1option2_2,Ease Relations with <color=#c44b0e>Shifa Temple</color> (Spend 2 strings of coins),กระชับความสัมพันธ์กับ <color=#c44b0e>วัดฉีฟา</color> (ใช้ 2000 อีแปะ)
10100_1option2_3,Improve relations with <color=#c44b0e>Confucius Temple</color> (Costs 2 coins),ปรับปรุงความสัมพันธ์กับ <color=#c44b0e>วัดขงจื้อ</color> (ราคา 2 ตำลึง)
10100_1option2_4,Improve relations with <color=#c44b0e>Nine Factions Sect</color> (Costs 2 coins),ปรับปรุงความสัมพันธ์กับ <color=#c44b0e>นิกายเก้าฝ่าย</color> (ราคา 2 ตำลึง)
10100_1option2_5,Improve relations with <color=#c44b0e>Ye Family Battalion</color> (Costs 2 coins),ปรับปรุงความสัมพันธ์กับ <color=#c44b0e>กองพันตระกูลเย่</color> (ราคา 2 ตำลึง)
10100_1option2_6,Improve relations with <color=#c44b0e>Yelv Army</color> (Costs 2 coins),ปรับปรุงความสัมพันธ์กับ <color=#c44b0e>กองทัพเย่ลู่</color> (ราคา 2 ตำลึง)
10100_1option2_7,Improve relations with <color=#c44b0e>Jiujiang Fotress</color> (Costs 2 coins),ปรับปรุงความสัมพันธ์กับ <color=#c44b0e>ค่ายน้ำจิ่วเจียง</color> (ราคา 2 กำลัง)
10100_1option2_8,Improve relations with <color=#c44b0e>Linlang Academy</color> (Costs 2 coins),ปรับปรุงความสัมพันธ์กับ <color=#c44b0e>สถาบันหลินหลาง</color> (ราคา 2 ตำลึง)
10100_1option2_9,Improve relations with <color=#c44b0e>Sword Mountain Villa</color> (Costs 2 coins),ปรับปรุงความสัมพันธ์กับ <color=#c44b0e>คฤหาสน์ภูเขากระบี่</color> (ราคา 2 ตำลึง)
10100_1option2_10,"Nothing to do, run away",ไม่มีอะไรทำ หนีไปซะ
10101_opotion1,Sign up for competition,ลงทะเบียนเข้าร่วมการแข่งขัน
10101_opotion2,Think about it again,คิดดูอีกครั้ง
10102_opotion1,Sign up for competition (200 coins),ลงทะเบียนเข้าร่วมการแข่งขัน (200 อีแปะ)
10102_opotion2,Think about it again,คิดดูอีกครั้ง
10200_option_1,Recover team's <color=#c44b0e>HP</color> (200 coins),กู้คืน <color=#c44b0e>HP</color> ของทีม (200 อีแปะ)
10200_option_2,Recover team's <color=#c44b0e>MP</color> (200 coins),กู้คืน <color=#c44b0e>MP</color> ของทีม (200 อีแปะ)
10200_option_3,Remove team's <color=#c44b0e>serious injuries</color> (400 coins),ลบ<color=#c44b0e>การบาดเจ็บสาหัส</color>ของทีมออก (400 อีแปะ)
10200_option_4,Remove team's <color=#c44b0e>near-death status</color> (600 coins),ลบ<color=#c44b0e>สถานะใกล้ตาย</color>ของทีมออก (600 อีแปะ)
10200_option_5,Remove other abnormalities (200 coins),ลบความผิดปกติอื่นๆ (200 อีแปะ)
10200_option_6,"Nothing to do, run away",ไม่มีอะไรทำ หนีไปซะ
10200_option_7,Remove team's <color=#c44b0e>blindness</color> (200 coins),ลบ<color=#c44b0e>ตาบอด</color>ของทีม (200 อีแปะ)
10200_option_8,Remove team's <color=#c44b0e>broken bones</color> (200 coins),ลบ<color=#c44b0e>กระดูกหัก</color>ของทีมออก (200 อีแปะ)
10200_option_9,Remove team's <color=#c44b0e>poison sores</color> (200 coins),ลบ<color=#c44b0e>แผลพิษ</color>ของทีม (200 อีแปะ)
10200_option_10,Remove team's <color=#c44b0e>confusion</color> (200 coins),ลบ<color=#c44b0e>ความสับสน</color>ของทีม (200 อีแปะ)
10200_option_11,Remove team's <color=#c44b0e>blood loss</color> (200 coins),ลบ<color=#c44b0e>การสูญเสียเลือด</color>ของทีมออก (200 อีแปะ)
10200_option_1a,Recover team's <color=#c44b0e>HP</color> (400 coins),กู้คืน <color=#c44b0e>HP</color> ของทีม (400 อีแปะ)
10200_option_2a,Recover team's <color=#c44b0e>MP</color> (400 coins),กู้คืน <color=#c44b0e>MP</color> ของทีม (400 อีแปะ)
10200_option_3a,Remove team's <color=#c44b0e>serious injuries</color> (800 coins),ลบ<color=#c44b0e>การบาดเจ็บสาหัส</color>ของทีมออก (800 อีแปะ)
10200_option_4a,Remove team's <color=#c44b0e>near-death status</color> (1200 coins),ลบ<color=#c44b0e>สถานะใกล้ตาย</color>ของทีมออก (1200 อีแปะ)
10200_option_5a,Remove other abnormalities (400 coins),ลบความผิดปกติอื่นๆ (400 อีแปะ)
10200_option_6a,"Nothing to do, run away",ไม่มีอะไรทำ หนีไปซะ
10200_option_7a,Remove team's <color=#c44b0e>blindness</color> (400 coins),ลบ<color=#c44b0e>ตาบอด</color>ของทีม (400 อีแปะ)
10200_option_8a,Remove team's <color=#c44b0e>broken bones</color> (400 coins),ลบ<color=#c44b0e>กระดูกหัก</color>ของทีมออก (400 อีแปะ)
10200_option_9a,Remove team's <color=#c44b0e>poison sores</color> (400 coins),ลบ<color=#c44b0e>แผลพิษ</color>ของทีม (400 อีแปะ)
10200_option_10a,Remove team's <color=#c44b0e>confusion</color> (400 coins),ลบ<color=#c44b0e>ความสับสน</color>ของทีม (400 อีแปะ)
10200_option_11a,Remove team's <color=#c44b0e>blood loss</color> (400 coins),ลบ<color=#c44b0e>การสูญเสียเลือด</color>ของทีมออก (400 อีแปะ)
10201_option_1,Recover team's <color=#c44b0e>HP</color> (200 coins),กู้คืน <color=#c44b0e>HP</color> ของทีม (200 อีแปะ)
10201_option_2,Recover team's <color=#c44b0e>MP</color> (200 coins),กู้คืน <color=#c44b0e>MP</color> ของทีม (200 อีแปะ)
10201_option_3,Remove team's <color=#c44b0e>serious injuries</color> (400 coins),ลบ<color=#c44b0e>การบาดเจ็บสาหัส</color>ของทีมออก (400 อีแปะ)
10201_option_4,Remove team's <color=#c44b0e>near-death status</color> (600 coins),ลบ<color=#c44b0e>สถานะใกล้ตาย</color>ของทีมออก (600 อีแปะ)
10201_option_5,Remove other abnormalities (200 coins),ลบความผิดปกติอื่นๆ (200 อีแปะ)
10201_option_6,"Nothing to do, run away",ไม่มีอะไรทำ หนีไปซะ
10201_option_7,Remove team's <color=#c44b0e>blindness</color> (200 coins),ลบ<color=#c44b0e>ตาบอด</color>ของทีม (200 อีแปะ)
10201_option_8,Remove team's <color=#c44b0e>broken bones</color> (200 coins),ลบ<color=#c44b0e>กระดูกหัก</color>ของทีมออก (200 อีแปะ)
10201_option_9,Remove team's <color=#c44b0e>poison sores</color> (200 coins),ลบ<color=#c44b0e>แผลพิษ</color>ของทีม (200 อีแปะ)
10201_option_10,Remove team's <color=#c44b0e>confusion</color> (200 coins),ลบ<color=#c44b0e>ความสับสน</color>ของทีม (200 อีแปะ)
10201_option_11,Remove team's <color=#c44b0e>blood loss</color> (200 coins),ลบ<color=#c44b0e>การสูญเสียเลือด</color>ของทีมออก (200 อีแปะ)
10201_option_1a,Recover team's <color=#c44b0e>HP</color> (400 coins),กู้คืน <color=#c44b0e>HP</color> ของทีม (400 อีแปะ)
10201_option_2a,Recover team's <color=#c44b0e>MP</color> (400 coins),กู้คืน <color=#c44b0e>MP</color> ของทีม (400 อีแปะ)
10201_option_3a,Remove team's <color=#c44b0e>serious injuries</color> (800 coins),ลบ<color=#c44b0e>การบาดเจ็บสาหัส</color>ของทีมออก (800 อีแปะ)
10201_option_4a,Remove team's <color=#c44b0e>near-death status</color> (1200 coins),ลบ<color=#c44b0e>สถานะใกล้ตาย</color>ของทีมออก (1200 อีแปะ)
10201_option_5a,Remove other abnormalities (400 coins),ลบความผิดปกติอื่นๆ (400 อีแปะ)
10201_option_6a,"Nothing to do, run away",ไม่มีอะไรทำ หนีไปซะ
10201_option_7a,Remove team's <color=#c44b0e>blindness</color> (400 coins),ลบ<color=#c44b0e>ตาบอด</color>ของทีม (400 อีแปะ)
10201_option_8a,Remove team's <color=#c44b0e>broken bones</color> (400 coins),ลบ<color=#c44b0e>กระดูกหัก</color>ของทีมออก (400 อีแปะ)
10201_option_9a,Remove team's <color=#c44b0e>poison sores</color> (400 coins),ลบ<color=#c44b0e>แผลพิษ</color>ของทีม (400 อีแปะ)
10201_option_10a,Remove team's <color=#c44b0e>confusion</color> (400 coins),ลบ<color=#c44b0e>ความสับสน</color>ของทีม (400 อีแปะ)
10201_option_11a,Remove team's <color=#c44b0e>blood loss</color> (400 coins),ลบ<color=#c44b0e>การสูญเสียเลือด</color>ของทีมออก (400 อีแปะ)
10202_option_1,Recover team's <color=#c44b0e>HP</color> (200 coins),กู้คืน <color=#c44b0e>HP</color> ของทีม (200 อีแปะ)
10202_option_2,Recover team's <color=#c44b0e>MP</color> (200 coins),กู้คืน <color=#c44b0e>MP</color> ของทีม (200 อีแปะ)
10202_option_3,Remove team's <color=#c44b0e>serious injuries</color> (400 coins),ลบ<color=#c44b0e>การบาดเจ็บสาหัส</color>ของทีมออก (400 อีแปะ)
10202_option_4,Remove team's <color=#c44b0e>near-death status</color> (600 coins),ลบ<color=#c44b0e>สถานะใกล้ตาย</color>ของทีมออก (600 อีแปะ)
10202_option_5,Remove other abnormalities (200 coins),ลบความผิดปกติอื่นๆ (200 อีแปะ)
10202_option_6,"Nothing to do, run away",ไม่มีอะไรทำ หนีไปซะ
10202_option_7,Remove team's <color=#c44b0e>blindness</color> (200 coins),ลบ<color=#c44b0e>ตาบอด</color>ของทีม (200 อีแปะ)
10202_option_8,Remove team's <color=#c44b0e>broken bones</color> (200 coins),ลบ<color=#c44b0e>กระดูกหัก</color>ของทีมออก (200 อีแปะ)
10202_option_9,Remove team's <color=#c44b0e>poison sores</color> (200 coins),ลบ<color=#c44b0e>แผลพิษ</color>ของทีม (200 อีแปะ)
10202_option_10,Remove team's <color=#c44b0e>confusion</color> (200 coins),ลบ<color=#c44b0e>ความสับสน</color>ของทีม (200 อีแปะ)
10202_option_11,Remove team's <color=#c44b0e>blood loss</color> (200 coins),ลบ<color=#c44b0e>การสูญเสียเลือด</color>ของทีมออก (200 อีแปะ)
10202_option_1a,Recover team's <color=#c44b0e>HP</color> (400 coins),กู้คืน <color=#c44b0e>HP</color> ของทีม (400 อีแปะ)
10202_option_2a,Recover team's <color=#c44b0e>MP</color> (400 coins),กู้คืน <color=#c44b0e>MP</color> ของทีม (400 อีแปะ)
10202_option_3a,Remove team's <color=#c44b0e>serious injuries</color> (800 coins),ลบ<color=#c44b0e>การบาดเจ็บสาหัส</color>ของทีมออก (800 อีแปะ)
10202_option_4a,Remove team's <color=#c44b0e>near-death status</color> (1200 coins),ลบ<color=#c44b0e>สถานะใกล้ตาย</color>ของทีมออก (1200 อีแปะ)
10202_option_5a,Remove other abnormalities (400 coins),ลบความผิดปกติอื่นๆ (400 อีแปะ)
10202_option_6a,"Nothing to do, run away",ไม่มีอะไรทำ หนีไปซะ
10202_option_7a,Remove team's <color=#c44b0e>blindness</color> (400 coins),ลบ<color=#c44b0e>ตาบอด</color>ของทีม (400 อีแปะ)
10202_option_8a,Remove team's <color=#c44b0e>broken bones</color> (400 coins),ลบ<color=#c44b0e>กระดูกหัก</color>ของทีมออก (400 อีแปะ)
10202_option_9a,Remove team's <color=#c44b0e>poison sores</color> (400 coins),ลบ<color=#c44b0e>แผลพิษ</color>ของทีม (400 อีแปะ)
10202_option_10a,Remove team's <color=#c44b0e>confusion</color> (400 coins),ลบ<color=#c44b0e>ความสับสน</color>ของทีม (400 อีแปะ)
10202_option_11a,Remove team's <color=#c44b0e>blood loss</color> (400 coins),ลบ<color=#c44b0e>การสูญเสียเลือด</color>ของทีมออก (400 อีแปะ)
10203_option_1,Recover team's <color=#c44b0e>HP</color> (200 coins),กู้คืน <color=#c44b0e>HP</color> ของทีม (200 อีแปะ)
10203_option_2,Recover team's <color=#c44b0e>MP</color> (200 coins),กู้คืน <color=#c44b0e>MP</color> ของทีม (200 อีแปะ)
10203_option_3,Remove team's <color=#c44b0e>serious injuries</color> (400 coins),ลบ<color=#c44b0e>การบาดเจ็บสาหัส</color>ของทีมออก (400 อีแปะ)
10203_option_4,Remove team's <color=#c44b0e>near-death status</color> (600 coins),ลบ<color=#c44b0e>สถานะใกล้ตาย</color>ของทีมออก (600 อีแปะ)
10203_option_5,Remove other abnormalities (200 coins),ลบความผิดปกติอื่นๆ (200 อีแปะ)
10203_option_6,"Nothing to do, run away",ไม่มีอะไรทำ หนีไปซะ
10203_option_7,Remove team's <color=#c44b0e>blindness</color> (200 coins),ลบ<color=#c44b0e>ตาบอด</color>ของทีม (200 อีแปะ)
10203_option_8,Remove team's <color=#c44b0e>broken bones</color> (200 coins),ลบ<color=#c44b0e>กระดูกหัก</color>ของทีมออก (200 อีแปะ)
10203_option_9,Remove team's <color=#c44b0e>poison sores</color> (200 coins),ลบ<color=#c44b0e>แผลพิษ</color>ของทีม (200 อีแปะ)
10203_option_10,Remove team's <color=#c44b0e>confusion</color> (200 coins),ลบ<color=#c44b0e>ความสับสน</color>ของทีม (200 อีแปะ)
10203_option_11,Remove team's <color=#c44b0e>blood loss</color> (200 coins),ลบ<color=#c44b0e>การสูญเสียเลือด</color>ของทีมออก (200 อีแปะ)
10203_option_1a,Recover team's <color=#c44b0e>HP</color> (400 coins),กู้คืน <color=#c44b0e>HP</color> ของทีม (400 อีแปะ)
10203_option_2a,Recover team's <color=#c44b0e>MP</color> (400 coins),กู้คืน <color=#c44b0e>MP</color> ของทีม (400 อีแปะ)
10203_option_3a,Remove team's <color=#c44b0e>serious injuries</color> (800 coins),ลบ<color=#c44b0e>การบาดเจ็บสาหัส</color>ของทีมออก (800 อีแปะ)
10203_option_4a,Remove team's <color=#c44b0e>near-death status</color> (1200 coins),ลบ<color=#c44b0e>สถานะใกล้ตาย</color>ของทีมออก (1200 อีแปะ)
10203_option_5a,Remove other abnormalities (400 coins),ลบความผิดปกติอื่นๆ (400 อีแปะ)
10203_option_6a,"Nothing to do, run away",ไม่มีอะไรทำ หนีไปซะ
10203_option_7a,Remove team's <color=#c44b0e>blindness</color> (400 coins),ลบ<color=#c44b0e>ตาบอด</color>ของทีม (400 อีแปะ)
10203_option_8a,Remove team's <color=#c44b0e>broken bones</color> (400 coins),ลบ<color=#c44b0e>กระดูกหัก</color>ของทีมออก (400 อีแปะ)
10203_option_9a,Remove team's <color=#c44b0e>poison sores</color> (400 coins),ลบ<color=#c44b0e>แผลพิษ</color>ของทีม (400 อีแปะ)
10203_option_10a,Remove team's <color=#c44b0e>confusion</color> (400 coins),ลบ<color=#c44b0e>ความสับสน</color>ของทีม (400 อีแปะ)
10203_option_11a,Remove team's <color=#c44b0e>blood loss</color> (400 coins),ลบ<color=#c44b0e>การสูญเสียเลือด</color>ของทีมออก (400 อีแปะ)
10300option_1,Stay at the Inn (200 Wen),พักแรม (200 อีแปะ)
10300option_2,Think about it,ลองคิดดูสิ
10300option_3,Well rested,พักผ่อนอย่างดี
10300option_4,Insist on staying (Start a fight),ยืนกรานที่จะอยู่ (เริ่มการต่อสู้)
10300option_5,Stay at the Inn again (200 Wen),พักแรมอีกครั้ง (200 อีแปะ)
10301option_1,Stay at the Inn (200 Wen),พักแรม (200 อีแปะ)
10301option_2,Think about it,ลองคิดดูสิ
10301option_3,Well rested,พักผ่อนอย่างดี
10301option_4,Insist on staying (Start a fight),ยืนกรานที่จะอยู่ (เริ่มการต่อสู้)
10301option_5,Stay at the Inn again (200 Wen),พักแรมอีกครั้ง (200 อีแปะ)
10302option_1,Stay at the Inn (200 Wen),พักแรม (200 อีแปะ)
10302option_2,Think about it,ลองคิดดูสิ
10302option_3,Well rested,พักผ่อนอย่างดี
10302option_4,Insist on staying (Start a fight),ยืนกรานที่จะอยู่ (เริ่มการต่อสู้)
10302option_5,Stay at the Inn again (200 Wen),พักแรมอีกครั้ง (200 อีแปะ)
M20216-1option1,【Agree】,【เห็นด้วย】
M20216-1option2,
M20216-1_ans1_1_1,Send feelings of mountains and rivers,ส่งความรู้สึกแห่งขุนเขาและแม่น้ำ
M20216-1_ans1_1_2,Read ancient and modern books,อ่านหนังสือโบราณและสมัยใหม่
M20216-1_ans1_1_3,Travel thousands of miles,เดินทางหลายพันลี้
M20216-1_ans1_1_4,Recite a thousand autumn verses,ท่องกลอนฤดูใบไม้ร่วงนับพัน
M20216-1_ans1_2_1,Break through a thousand people formation,ทะลวงขบวนผู้คนนับพัน
M20216-1_ans1_2_2,Travel with a sword,เดินทางด้วยกระบี่
M20216-1_ans1_2_3,Write a book as tall as oneself,เขียนหนังสือให้สูงเท่ากับตัวเอง
M20216-1_ans1_2_4,Help thousands of people,ช่วยเหลือผู้คนนับพัน
M20216-1_ans1_3_1,Establish oneself through words and deeds,ตั้งตนด้วยคำพูดและการกระทำ
M20216-1_ans1_3_2,Eat to satisfy hunger,กินเพื่อสนองความหิว
M20216-1_ans1_3_3,Sleep to relieve fatigue,นอนหลับเพื่อคลายความเหนื่อยล้า
M20216-1_ans1_3_4,Practice martial arts to secure the people,ฝึกวรยุทธเพื่อช่วยเหลือผู้คน
M20216-1_ans1_4_1,Gorgeous beauty,ความงามที่งดงาม
M20216-1_ans1_4_2,Mountain Clear water show,โชว์ขุนเขาน้ำใส
M20216-1_ans1_4_3,Sound of zither and books,เสียงกู่ฉินและหนังสือ
M20216-1_ans1_4_4,"Courage of the sword, heart of the zither",ความกล้าหาญของกระบี่ หัวใจแห่งพิณ
M20216-1_ans1_5_1,Earth nurtures all things,โลกหล่อเลี้ยงทุกสิ่ง
M20216-1_ans1_5_2,Spring fills Heaven and Earth,ฤดูใบไม้ผลิเติมเต็มสวรรค์และโลก
M20216-1_ans1_5_3,People add to Spring and Autumn,ผู้คนเพิ่มเข้าสู่ฤดูใบไม้ผลิและฤดูใบไม้ร่วง
M20216-1_ans1_5_4,History records the loyal and the treacherous,ประวัติศาสตร์บันทึกผู้ภักดีและผู้ทรยศ
M20216-1_ans1_6_1,Earth lasts forever,โลกคงอยู่ตลอดไป
M20216-1_ans1_6_2,Mountain Clear water show,โชว์ขุนเขาน้ำใส
M20216-1_ans1_6_3,"Water is far, mountains are heavy",น้ำอยู่ไกล ภูเขาหนัก
M20216-1_ans1_6_4,"Clouds are light, the day is beautiful",เมฆมีแสงสว่าง วันนั้นสวยงาม
M20216-1_ans1_7_1,Literary and military strategies,ยุทธศาสตร์วรรณกรรมและการทหาร
M20216-1_ans1_7_2,Sing praises of merits and virtues,ร้องเพลงสรรเสริญคุณธรรมและคุณธรรม
M20216-1_ans1_7_3,Tang and Song ancestors,บรรพบุรุษถังและซ่ง
M20216-1_ans1_7_4,Tang poetry and Han literature,กวีถังและวรรณกรรมฮั่น
M20216-1_ans2_1_1,Horse is not fat without grass,ม้าไม่อ้วนถ้าไม่มีหญ้า
M20216-1_ans2_1_2,Birds don't fly without insects,นกไม่บินโดยไม่มีแมลง
M20216-1_ans2_1_3,Merchants are diligent when there is wealth,พ่อค้าจะขยันเมื่อมีทรัพย์
M20216-1_ans2_1_4,The day is clear when there is sun,วันที่ชัดเจนเมื่อมีแสงแดด
M20216-1_ans2_2_1,New rain moistens hundreds of flowers,ฝนใหม่ทำให้ดอกไม้หลายร้อยดอกชุ่มฉ่ำ
M20216-1_ans2_2_2,Autumn frost chills thousands of grass,น้ำค้างแข็งในฤดูใบไม้ร่วงทำให้หญ้าหลายพันต้นเย็นยะเยือก
M20216-1_ans2_2_3,Warm river wakes up fish and ducks,แม่น้ำอุ่นปลุกปลาและเป็ด
M20216-1_ans2_2_4,Winter snow signifies a good harvest,หิมะในฤดูหนาวหมายถึงการเก็บเกี่ยวที่ดี
M20216-1_ans2_3_1,Spring rain is as precious as oil,ฝนฤดูใบไม้ผลิมีค่าเท่ากับน้ำมัน
M20216-1_ans2_3_2,Clear spring flows over the rocks,น้ำพุใสไหลผ่านโขดหิน
M20216-1_ans2_3_3,The scorching sun is high in the sky,พระอาทิตย์ที่แผดจ้าอยู่สูงขึ้นไปบนท้องฟ้า
M20216-1_ans2_3_4,The forest is quieter with the cicadas' noise,ป่าจะเงียบกว่าด้วยเสียงจั๊กจั่น
M20216-1_ans2_4_1,Nothing is difficult with diligence,ไม่มีอะไรยากด้วยความขยัน
M20216-1_ans2_4_2,"As far as the eye can see, the world is in spring",เท่าที่ตามองเห็น โลกกำลังอยู่ในฤดูใบไม้ผลิ
M20216-1_ans2_4_3,Never turn back despite setbacks,อย่าหันหลังกลับแม้จะพ่ายแพ้
M20216-1_ans2_4_4,Peace prevails over the world,สันติภาพมีชัยเหนือโลก
M20216-1_ans2_5_1,The sun rises high,พระอาทิตย์ขึ้นสูงแล้ว
M20216-1_ans2_5_2,"The wind is calm, the water flows long",ลมสงบน้ำไหลยาว
M20216-1_ans2_5_3,Water and stone delay human intentions,น้ำและหินชลอความตั้งใจของมนุษย์
M20216-1_ans2_5_4,Flowers and moon sway the thoughts,ดอกไม้และดวงจันทร์แกว่งไปมาในความคิด
M20216-1_ans2_6_1,Start with shaking mountains and rivers,เริ่มต้นด้วยภูเขาและแม่น้ำที่สั่นสะเทือน
M20216-1_ans2_6_2,Wind and thunder rise under the pen,ลมและฟ้าร้องดังขึ้นใต้ปากกา
