﻿end015_1,Life is impermanent and constantly changing; home can be found wherever you discover peace of mind.,ชีวิตเป็นสิ่งไม่เที่ยงและเปลี่ยนแปลงตลอดเวลา บ้านสามารถเป็นได้ทุกที่ที่เจ้ารู้สึกสบายใจ
R20005-4_2_1,"The world is going downhill, people are not as good as they used to be...\nYou are so young, I didn't expect you to be so greedy.","โลกนี้กำลังเสื่อมถอย คนเราไม่มีคุณความดีเหมือนแต่ก่อน... \nเจ้ายังเยาว์วัย ข้าไม่คิดว่าเจ้าจะละโมบเช่นนี้"
R20005-4_3_1,"{PlayerSurName}, you are truly Honorable.",{PlayerSurName} เจ้าช่างมีคุณธรรมสูงส่งยิ่งนัก
R20005-4_4_1,"{yell}, you are a disgrace! A gentleman can be killed but not insulted, I don't want this Cattail fan anymore!",{yell} เจ้าช่างต่ำช้ายิ่งนัก! ลูกผู้ชายฆ่าได้ แต่หยามไม่ได้ ข้าไม่ต้องการพัดเล่มนี้อีกต่อไปแล้ว
R20004-1_1_1,"I am the model guide who knows everything and speaks everything - Bao Dating.\nI know everything about the big and small things in the surrounding villages!","ข้าคือผู้แนะนำที่รู้ทุกอย่าง และสามารถบอกเจ้าได้ทุกสิ่ง - เปาต้าถิง\nไม่ว่าจะเป็นเรื่องใหญ่น้อยใดๆที่เกิดขึ้นรอบๆหมู่บ้านแห่งนี้ข้ารู้หมดทั้งสิ้น!"
R20004-2_1_1,"Hua Siniang is the most beautiful girl in this village, and there are many people who want to pursue her. \nHowever, her personality is... you know, so not many people dare to approach her.","ฮวาซื่อเหนียงถือเป็นบุปผางามในหมู่บ้านนี้ และมีผู้คนมากมายที่อยากติดตามเธอ!\nแต่เธอค่อนข้าง...รู้ไหม มีคนไม่กี่คนที่กล้าเข้าใกล้เธอจริงๆ"
R20004-2_2_1,"Do you know the origin of the name of the doctor, Bai Touweng?\nLet me tell you a secret, he just passed the age of forty, I don't know why he looks so old.","เจ้าทราบหรือไม่ว่าที่มาของชื่อของหมอ ไป่โถวเวิ่งนั้น ได้มาอย่างไร? \nข้าจะบอกความลับให้กับเจ้าอย่างหนึ่ง เขาเพิ่งจะย่างเข้าสู่วัยสี่สิบ แต่ข้าไม่รู้เหตุใดจึงดูแก่ชรานัก"
R20004-2_3_1,"The farming tools in the village are all made by the blacksmith, Wang Dachui, his craftsmanship is top-notch.\nI heard that he used to make swords and armor in the army, I don't know why he ended up here.","เครื่องมือทำไร่นาในหมู่บ้านทั้งหมดล้วนถูกสร้างขึ้นโดยช่างตีเหล็ก หวังต้าฉุยฝีมือของเขานั้นยอดเยี่ยมยิ่งนัก\nข้าได้ยินมาว่าเขาเคยเป็นช่างตีดาบและเกราะให้กับกองทัพ แต่ข้าไม่รู้ว่าเขามาลงเอยที่นี่ได้อย่างไร"
R20004-2_4_1,"Don't underestimate Liu Shiba's skills. His archery is undoubtedly the best, hitting the bullseye at a hundred paces. \nThe black dog always with him is very intelligent, and Liu Shiba raises it like a child.","อย่าดูถูกฝีมือของพี่หลิวสือปา วิชายิงธนูของเขานั้นไม่เป็นสองรองใคร\nสุนัขสีดำตัวนั้นที่ติดตามเขาอยู่เสมอ ช่างแสนรู้ยิ่งนัก หลิวสือปาเลี้ยงดูมันราวกับลูก"
R20004-2_5_1,"The butcher who sells meat in the village is fat and white, obviously over-nourished.\nYou can buy meat Ingredient from him and improve your meals through cooking.","พ่อค้าเนื้อในหมู่บ้านนั้นมีรูปร่างอ้วนท้วนขาวผ่อง เห็นได้ชัดเลยว่าเป็นผู้ที่มีอาหารการกินอุดมสมบูรณ์ \nเจ้าสามารถซื้อวัตถุดิบเนื้อสัตว์จากเขา เพื่อปรุงอาหารของเจ้าให้ดียิ่งขึ้นได้"
R20004-2_6_1,"The little beggar's name is Hong Xiaoqi. His conduct is quite shady, you have to be careful!\nIf he steals something from you, find him as soon as possible, you might be able to retrieve your lost item.","เจ้าขอทานน้อยสกปรกหงเสี่ยวฉีนั้น เจ้าต้องระวังมันให้ดี! \nหากเจ้านั้นมันขโมยของสิ่งใดจากเจ้าไป เจ้าจงรีบหามันให้เร็วที่สุดเท่าที่ทำได้ อาจจะพอทวงอะไรคืนมาได้บ้าง"
R20004-2_7_1,"The old village head used to be a teacher, and he has a bad temper.\nHis son has been wandering around the world and there has been no news. He most likely encountered some unfortunate fate, I'm afraid.","ผู้เฒ่าผู้ใหญ่บ้านเคยเป็นอาจารย์สอนหนังสือมาก่อน และท่านก็มีนิสัยอารมณ์ร้าย \nบุตรชายของท่านได้ท่องเที่ยวไปทั่วยุทธภพและไร้ซึ่งข่าวคราว ข้าเกรงว่าจะเป็นเหตุร้ายมากกว่าดี"
R20004-2_8_1,"All characters that can be <color=#c44b0e>Invited</color>, as long as you fulfill their wishes or meet some conditions, you can invite them to join your team and wander the world together.",ตัวละครใดๆที่สามารถ <color=#c44b0e>เชิญ</color>ได้นั้น หากเจ้าสามารถทำตามคำขอของพวกเขาหรือบรรลุเงื่อนไขบางอย่าง เจ้าก็จะสามารถเชิญพวกเขาให้เข้าร่วมกับทีมของเจ้าและท่องยุทธภพร่วมกันได้
R20004-2_8_2,"But you also need to be aware that these companions have their own codes of conduct.\nIf your actions contradict their principles, it's not surprising if you and your companion to become enemies one day.","แต่เจ้ายังต้องตระหนักว่าสหายเหล่านี้ต่างก็มีกฎเกณฑ์ของตนเอง \nหากการกระทำของเจ้าขัดแย้งกับหลักการของพวกเขา ก็ไม่แปลกที่เจ้าจะกลายเป็นศัตรูกันในสักวันหนึ่ง"
R20004-2_9_1,"The peddler from the village replenishes his goods every day, so if you find something you like, you don't have to worry about it being sold out.",พ่อค้าหาบเร่จากหมู่บ้านนั้นเติมสินค้าทุกวัน หากเจ้าพบเห็นสิ่งใดที่ชื่นชอบ ก็ไม่ต้องเป็นกังวลว่าสิ่งนั้นจะหมด
R20004-2_10_1,"<color=#c44b0e>In the middle of one night, I accidentally discovered strange text appearing on the wall of the dilapidated temple outside the village.</color> \nI thought it was haunted, and I couldn't sleep for several days and nights.","<color=#c44b0e>ในคืนหนึ่ง ข้าได้ค้นพบตัวอักษรแปลกประหลาดปรากฏอยู่บนผนังของศาลเจ้าร้างนอกหมู่บ้านโดยบังเอิญ</color> \nข้านึกว่ามีผีสางร้ายเข้าสิง ข้ากลัวจนนอนไม่หลับหลายวันหลายคืน"
R20004-2_11_1,"Xiao Bao told me that in his grandfather's bedroom, there is a secret chamber with several large boxes inside.",เสี่ยวเป่าเคยบอกข้าไว้ว่า ห้องนอนท่านปู่ของเจ้าเด็กนั้นมีห้องลับ และมีกล่องใบใหญ่มากมายอยู่ในนั้น
R20004-2_12_1,"There is an old immortal living in the nearby Linlang Temple, who is said to be able to <color=#c44b0e>help people repair deteriorated Relationships with others</color>.",ไม่ไกลจากนี้ ณ อารามหลินหลาง มีเซียนผู้เฒ่าผู้หนึ่งอาศัยอยู่  ผู้ที่สามารถ<color=#c44b0e>ช่วยเหลือผู้คนให้ไกล่เกลี่ยความสัมพันธ์ที่แตกร้าวกันได้</color>
R20004-2_13_1,"I once accidentally stumbled upon a mountain cave, where there was a tall statue and twelve inexplicable stone platforms.",ครั้งหนึ่ง ข้าบังเอิญสะดุดล้มหลงเข้าไปยังในถ้ำแห่งหนึ่งบนภูเขา ภายในถ้ำนั้นมีรูปปั้นสูงตระหง่าน และแท่นหินสิบสองแท่นที่ยากจะเข้าใจ
R20004-2_14_1,The <color=#c44b0e>Cross Hill</color> to the northwest of the village often has Shuo Shuren telling stories there.,<color=#c44b0e>หุบเขาทางแยก</color>ทางตะวันตกเฉียงเหนือของหมู่บ้าน โซ่วซูเหรินมักจะมาเล่านิทานอยู่ที่นั่นเสมอ
R20004-2_15_1,"Occasionally, you will see passing travelers. If they can't afford the inn, they will make do with the broken house behind the village for a night.",บางครั้ง จะเห็นนักเดินทางสัญจรผ่านไปมา หากพวกเขาไม่สามารถจ่ายค่าที่พักได้ พวกเขาก็จะพักอาศัยอยู่ในบ้านร้างหลังหมู่บ้านเป็นเวลาหนึ่งคืน
R20004-2_16_1,"The tree next to the well must be decades old. It was there when I was a child.\nHowever, according to the elders, it was once struck by lightning and has not grown leaves since then.","ต้นไม้ข้างบ่อน้ำนั้นคงมีอายุหลายสิบปีเป็นแน่แท้ ข้าเห็นมันมาตั้งแต่ยังเป็นเด็ก \nแต่ตามคำบอกเล่าของเหล่าผู้เฒ่า ต้นไม้ต้นนั้นเคยถูกฟ้าผ่า และไม่เคยแตกใบอีกเลยนับแต่นั้นมา"
R20004-2_17_1,"There is a <color=#c44b0e>Bandit Camp</color> to the northeast of the village. Their leader is known as ""Gui Jianchou"" in the martial arts world. Everyone inside is a ruthless killer, so you must be very careful.","ทางทิศตะวันออกเฉียงเหนือของหมู่บ้าน มี<color=#c44b0e>ค่ายหัวหน้าโจร</color>ตั้งอยู่ หัวหน้าของพวกมันเป็นที่รู้จักในยุทธภพนามว่า ""กุ่ยเจี้ยนโฉว"" ทุกคนที่อยู่ในค่ายล้วนเป็นฆาตกรอำมหิต ดังนั้นเจ้าต้องระวังตัวให้มากๆ"
R20004-2_18_1,"I heard that recently there is a group of people, pretending to be rich businessmen in Ferry, specifically deceiving people to board the ship and go out to sea under the pretext of getting rich, and then, those who are deceived have no afterwards.",ข้าได้ยินมาว่า เมื่อไม่นานมานี้ มีกลุ่มคนปลอมตัวเป็นพ่อค้าผู้ร่ำรวยอยู่ที่ท่าเรือ  และล่อลวงผู้คนให้ขึ้นเรือ อ้างว่าจะพาไปหาความร่ำรวย แล้วผู้ที่หลงเชื่อก็หายตัวไปอย่างไร้ร่องรอย
R20004-3_1_1,"Speaking of making money, there are many ways. Let me tell you one by one...",พูดถึงเรื่องการหาเงินนั้น มีหนทางอยู่มากมาย มาม่ะเดี๋ยวข้าจะเล่าให้เจ้าฟังทีละอย่าง...
R20004-3_1_2,"The Ore you mined can be Sold to a blacksmith, and the Herb you collected can be sold by a doctor.",แร่ที่เจ้าขุดมาได้ นำไปขายให้ช่างตีเหล็กได้ ส่วนสมุนไพรที่เจ้าเก็บมาได้ นำไปให้หมอปรุงยาได้
R20004-3_1_3,"The Wood you get from Lumbering can be sold to a Woodcutter, and aquatic ingrediants you catch can be sold to a shopkeeper.",ไม้ที่เจ้าตัดได้ให้นำไปขายให้กับคนตัดไม้ ส่วนปลาที่เจ้าจับได้ก็นำไปขายให้กับพ่อค้า
R20004-3_1_4,"If you are brave enough, you can go hunting for wild animals.\nThe Leather you get can be sold to a hunter, and the Meat can be sold to a butcher.","หากเจ้ามีความกล้าพอ ก็ลองออกล่าสัตว์ในป่าดู\nหนังสัตว์ที่เจ้าหามา ให้นำไปขายให้นายพรานได้ ส่วนเนื้อสัตว์ ก็ให้นำไปขายให้กับคนขายเนื้อ"
R20004-3_1_5,"Making money is not difficult, it's just too tedious.\nFor someone like me, basking in the sun and chatting about gossip is a good way to live.","การหาเงินไม่ใช่เรื่องยาก เพียงแต่ต้องทำงานหนัก \nสำหรับข้าผู้นี้ การได้ยืนตากแดดและพูดคุยเรื่องไร้สาระ ก็นับว่าหนทางดำรงชีพที่สุขสบายแล้ว"
R20004-3_1_6,No wonder no girl is interested in you.,ไม่น่าแปลกใจเลยที่ไม่มีสตรีนางใดสนใจเจ้า
M1100-6_5_1,Are you really looking for some tricky things to do?,เจ้ากำลังมองหาสิ่งที่ยุ่งยากจริงๆ?
M1100-6_5_2,"Forget about running errands and delivering messages, I want to hone myself.\nAfter all, when you are wandering around in the martial arts world, you should have one or two things to brag about."
M1100-6_5_3,"Well, since you are so courageous, it's no harm to tell you about this."
M1100-6_5_4,"Not far from this village, there is a bandit camp called <color=#c44b0e>Blue Wind Camp</color>.\nThe government has sent troops many times but failed to wipe it out. If you can solve this problem, it would be a great achievement."
M1100-6_5_5,"Me? Wipe out a bandit camp?\nThis is not tricky, it's simply suicidal."
M1100-6_5_6,"Solving this problem doesn't necessarily mean wiping out all the bandits in the camp.\nYou just need to kill the leader Kong Yidao or Invite him to your team."
M1100-6_5_7,"As the saying goes, a snake can't move without its head. As long as the leader is not there, the camp can't hold on."
M1100-6_5_8,"Well, it doesn't seem too difficult, I'll think about it."
M1100-6_5_9,"Good luck to you, is there anything else you want to know before you leave?"
M1100-6_6_1,"Okay, I'll be here. If you want to know anything, feel free to come and find me.",โอเค ข้าอยู่ตรงนี้แล้ว อยากรู้อะไรก็กลับมาหาข้าได้ตลอดเวลา
R20027-1_1_1,"This meat looks fresh, resembling pork but with a chewier texture. I wonder what kind of meat it is?",เนื้อนี้ดูสดยิ่งนัก คล้ายเนื้อหมูแต่มีความยืดหยุ่นกว่า มันคือเนื้ออะไรกันนะ?
R20027-1_1_2,"Hehe, young man, you might not be aware of this. The Lost Forest near our village is full of wild boars, and that's precisely wild boar meat.","ฮ่าๆ เจ้าหนุ่ม เจ้าไม่รู้หรอกหรือ ดังคำกล่าวที่ว่า ""อยู่ที่ไหนก็กินของที่นั่น"" ป่าสาบสูญนอกหมู่บ้านเราเต็มไปด้วยหมูป่า นี่คือเนื้อหมูป่าตามธรรมชาติยังไงล่ะ"
R20027-1_1_3,"Brother, do you personally go hunting for wild boars in the forest?",พี่ชาย ท่านล่าหมูป่ามาด้วยตัวเองหรือเปล่า?
R20027-1_1_4,"I'm not skilled in hunting, but Liu Shiba, a well-known hunter in our village, supplies all these. After his successful hunts, he brings the game to me for sale. I reckon he's earned quite a bit of money over the years.",ข้าล่าสัตว์ไม่เป็นหรอก แต่เป็นพี่หลิวสือปา นายพรานเลื่องชื่อของหมู่บ้านเราน่ะ เขาออกล่าสัตว์แล้วมาขายให้ข้า เขาคงทำเงินมามากเป็นแน่แท้ในตลอดหลายปีที่ผ่านมา
R20027-1_1_5,"So, if I manage to get some wild boar meat, can I sell it through you as well?",งั้นหากข้าได้เนื้อหมูป่ามา ข้าจะเอามาขายที่นี่ได้ใช่ไหม?
R20027-1_1_6,"You? You look thin and frail, can you do it?\nBut, if you really can get it, I will definitely reward you.","เจ้าเนี่ยนะ? ดูเจ้าผอมและบอบบางแบบนี้ จะทำได้เรอะ?\nแต่หากเจ้าหามันมาได้จริงๆ  ข้าจะให้ราคาอย่างงามเลยละกัน"
R20003-1_1_1,Be careful not to trample on my seedlings!,จงระวังอย่าเหยียบย่ำต้นกล้าของข้า!
R20003-1_2_1,"Just a reminder, don't mess with the rooster in the village.",เพียงจำไว้ อย่ายุ่งกับไก่ในหมู่บ้าน
R20003-1_3_1,"The hens and the rooster in the village are a family. If you provoke them, you'll have to face the whole flock.",แม่ไก่และไก่ในหมู่บ้านเป็นครอบครัวเดียวกัน หากเจ้ายั่วยุพวกเขา เจ้าจะต้องเผชิญหน้ากับฝูงไก่ทั้งหมด
R20003-1_4_1,"The old yellow ox under the big tree has been working hard all its life, and it has even learned to be lazy.",วัวสีเหลืองแก่ใต้ต้นไม้ใหญ่ทำงานหนักมาตลอดชีวิต และมันก็เรียนรู้ที่จะขี้เกียจด้วยซ้ำ
R20003-1_5_1,"Liu Shiba's dog, Da Hei, is not ordinary. It's very good at guarding the house.",ต้าเฮยเป็นสุนัขของหลิวสือปาที่ไม่ธรรมดา มันเฝ้าบ้านได้ดีมาก
R20003-1_6_1,"Everything growing in the field is my hard work, don't touch it recklessly!",ทุกสิ่งที่เติบโตในทุ่งนาเป็นผลจากการทำงานหนักของข้า อย่าได้แตะต้องมันซี้ซั้ว!
R20003-1_7_1,"You look like you've been educated. Have you heard of this poem?\n""Sow a seed in spring, reap thousands of grains in autumn. No idle field exists in the world, yet some farmers remain famished.""","เจ้าดูเหมือนคนได้รับการศึกษา เจ้าเคยได้ยินบทกวีนี้หรือไม่?\n“หว่านเมล็ดพืชในฤดูใบไม้ผลิ เก็บเกี่ยวหมื่นต้นในฤดูใบไม้ร่วง ไม่มีทุ่งนาใดในโลก แต่ชาวนายังคงอดอยาก”"
R20003-1_8_1,I have fresh vegetables and fruits for sale here. Why not buy some to taste?,ข้ามีผักและผลไม้สดขายที่นี่ ทำไมไม่ซื้อไปชิมบ้างล่ะ?
R20003-1_9_1,The vegetables grown with our own fertilizer are all juicy. This is what we call not letting the good stuff go to waste.,ผักที่ปลูกด้วยปุ๋ยของเราเองล้วนฉ่ำน้ำ นี่แหละที่เราเรียกว่าไม่ปล่อยให้ของดีต้องสูญเปล่า
R20003-1_10_1,Young people these days are lazy and don't know their grains. They'll starve in a famine!,คนหนุ่มสาวสมัยนี้เกียจคร้านและไม่รู้กำพืชตนเอง พวกเขาจะอดอยากจากความขาดแคลน!
R20006-1_1_1,"Wow, it's so hot here...",โอ้ ที่นี่ร้อนจัง...
R20006-1_1_2,"Are you here to apply for an apprenticeship at my blacksmith's forge?\nYou're just in time, come and lend a hand.","เจ้ามาที่นี่เพื่อสมัครฝึกงานที่โรงตีเหล็กของข้าหรือเปล่า?\nเจ้ามาได้จังหวะพอดี มาช่วยข้าหน่อยสิ"
R20006-1_2_1,"You look all clean and tidy...\nWell, never mind, we'll make do for now.","เจ้าดูสะอาดสะอ้านจัง...\nไม่เป็นไร ลงมือกันเถอะ"
R20006-1_2_2,"Pay close attention to what I'm about to say, and remember it well. I'll give you a demonstration shortly.",จำสิ่งที่ข้าจะบอกให้ดีๆ เดี๋ยวข้าจะแสดงตัวอย่างให้ดูทีหลัง
R20006-1_2_3,"The key factors in forging weapons are temperature and timing. If the temperature is too high, it will impact the hardness of the finished product. Conversely, if the temperature is too low, the ore won't melt.",สิ่งที่สำคัญที่สุดในการหลอมอาวุธคืออุณหภูมิและเวลา หากอุณหภูมิที่สูงเกินไปจะส่งผลต่อความแข็งของเหล็กเมื่อหลอมเสร็จ หากต่ำเกินไปแร่จะไม่หลอมละลาย
R20006-1_2_4,"After the molten ore gradually takes shape, it needs to be forged and then reheated in the furnace. After undergoing numerous cycles of forging and reheating, the final step is to quench, temper, and polish the weapon.",หลังจากที่หลอมเหล็กจนค่อยๆเป็นรูปเป็นร่างแล้ว จะต้องทำการตีเหล็ก แล้วจึงนำกลับเข้าเตาเพื่อให้ร้อนอีกครั้ง หลังจากทำขั้นตอนนี้ซ้ำหลายๆครั้ง ก็สามารถทำให้เย็นลงและขัดเงาได้
R20006-1_2_5,"As for the final quality of the product, it depends on your skill.\nThe more skilled you are, the higher the quality.","สำหรับคุณภาพในขั้นตอนสุดท้ายของการหลอมนั้น ขึ้นอยู่กับทักษะของเจ้า\nยิ่งทักษะของเจ้าชำนาญมากเท่าไหร่ คุณภาพก็จะยิ่งสูงขึ้นเท่านั้น"
R20006-1_2_6,"Wang Dachui spoke eloquently, sharing his blacksmithing experiences with you.",หวังต้าฉุยพูดไม่หยุด เล่าเรื่องเกี่ยวกับประสบการณ์ตีเหล็กของเขา
R20006-1_2_7,One shichen later---,หนึ่งชั่วยามต่อมา---
R20006-1_2_8,"That's about it. There's nothing too difficult in this craft. It simply requires patience and endurance to become skilled. \n",แค่นั้นแหละ การหลอมไม่มีอะไรยาก เพียงแค่ต้องใช้ความอดทน และการตีซ้ำๆเพื่อให้ได้ความสมบูรณ์แบบ
R20006-1_2_9,"Here's a set of blueprints. First, familiarize yourself thoroughly with these plans, and then give it a try on your own.",นี่แบบแปลนของเจ้า ทำความคุ้นเคยกับมันซะ แล้วลองทำมันด้วยตนเอง
R20006-1_2_10,Why are all the weapon blueprints so mediocre?,ทำไมแบบแปลนอาวุธเหล่านี้ถึงดูธรรมดาจัง?
R20006-1_2_11,Do you think you can go from zero to hero right away? Beginners shouldn't aim for forging divine weapons. Start with these basic weapons to hone your basic skills first.,เจ้าเป็นมือใหม่ แต่คิดจะข้ามขั้นอยากหลอมอาวุธวิเศษงั้นรึ? เริ่มจากอาวุธธรรมดาพวกนี้เพื่อฝึกทักษะพื้นฐานของเจ้าซะ
R20006-1_3_1,"Sorry, I thought you're here to apply as an apprentice. Right now, I only have farming tools for sale. Take a look and see if there's anything you need.",ขออภัยด้วย ข้านึกเจ้ามาสมัครฝึกงาน ตอนนี้ข้ามีแค่เครื่องมือขาย เจ้าลองดูว่ามีอะไรที่เจ้าต้องการบ้าง
R20006-2_1_1,"Young man, if you have time, can you do me a favor?",เจ้าหนุ่ม หากเจ้าพอมีเวลา ช่วยเหลือข้าอะไรสักอย่างได้ไหม? 
R20006-2_1_2,What favor do you need? Let's hear it.,มีเรื่องอันใดให้ช่วยหรือ เชิญเล่ามาเถิด?
R20006-2_1_3,"I'm running out of iron ore. \nCan you get me <color=#c44b0e>8 pieces of iron ore</color>?","แร่เหล็กของข้ากำลังใกล้จะหมด\nเจ้าช่วยหา<color=#c44b0e>แร่เหล็ก 8 ก้อน</color>ให้ข้าได้ไหม?"
R20006-2_2_1,"As for how to get iron ore, you can ask the quarryman in the village.\nI'll be waiting here for your good news, don't let me down.","ส่วนเรื่องจะหาแร่เหล็กอย่างไรนั้น เจ้าจงไปถามช่างหินในหมู่บ้านนี้ดูเสีย\nข้าจะเฝ้ารอข่าวดีจากเจ้าอยู่ที่นี้ อย่าได้ทำให้ข้าผิดหวังล่ะ"
R20006-2_3_1,"You go ahead with your work, we'll talk when you're free.",เจ้าเชิญทำงานของเจ้าต่อเถิด เมื่อเจ้าว่างแล้วเราค่อยมาคุยกัน
R20006-2_4_1,"You're just in time! I knew I could count on you, you're a man of your word!",เจ้ามาได้เวลาจริงๆ ข้ารู้อยู่แล้วว่าเจ้าไว้วางใจได้ และเป็นคนรักษาคำพูด! 
R20006-2_4_2,"This is the protective armor I used when I was young. I've been taking good care of it over the years,\nIf you don't mind, I'll give it to you.","นี่คือเกราะป้องกันที่ข้าใช้สมัยยังหนุ่ม ข้าดูแลมันอย่างดีมาตลอดหลายปีที่ผ่านมา\nหากเจ้าไม่รังเกียจ ข้าจะมอบให้กับเจ้า"
R20006-2_5_1,"You are late!\nAh, this batch... it's all ruined!","เหตุใดเจ้าจึงถึงเพิ่งมาเอาตอนนี้\nอ๊า ผลงานของข้า... เสียหายหมดแล้ว!"
R20006-2_5_2,"I'll buy this ore.\nAh, if I knew, I would have gone myself...","ข้าจะต้องไปซื้อแร่เพิ่ม\nอ๊า หากข้ารู้เช่นนี้ ข้าก็คงไปเองแล้ว..."
R20006-2_6_1,"Young man, do you have some time to help me get some iron ores?",น้องชาย มีเวลาสักหน่อย ช่วยข้าไปหาแร่เหล็กให้หน่อยได้ไหม?
R20006-3_1_1,Sigh...,เฮ้อ...
R20006-3_1_2,"Old man, you look worried. What's bothering you?",ผู้อาวุโส ท่านดูเป็นกังวลนะ มีเรื่องอะไรหรือเปล่า?
R20006-3_1_3,"Ah, don't laugh at me, little brother. My insatiable fix to alcohol acts up again and again.\nI now owe Hua Siniang 2000 wen just for drinks.","อา อย่าหัวเราะเยาะข้านะน้องชาย ข้าผู้สิ้นหวังติดสุรา ได้ทำมันไปอีกแล้ว\nตอนนี้ข้าเป็นหนี้ค่าเครื่องดื่มฮวาซื่อเหนียง 2,000 อีแปะ"
R20006-3_1_4,"You know Hua Siniang's temper, even gods fear her when she's angry.",เจ้าก็รู้ว่าฮวาซื่อเหนียงเป็นอย่างไร แม้แต่เทพยังต้องหวั่นเกรงนางเมื่อนางโกรธ 
R20006-3_1_5,"But I can't gather enough money to pay off my tap right now.\nNow that my fix is acting up again, I dare not to go to Hua Siniang's place to have another drink anymore.","แต่ตอนนี้ข้าไม่สามารถเก็บเงินเพื่อซื้อเครื่องดื่มได้\nตอนนี้ข้าติดสุรา ข้าไม่กล้าติดหนี้เพื่อดื่มที่ร้านของฮวาซื่อเหนียงอีกแล้ว"
R20006-3_1_6,"I've sent you plenty of drinks, isn't that enough?",ข้านำสุรามาให้ท่าน นั่นยังไม่พออีกหรือ?
R20006-3_1_7,"How many times have you sent good drinks?\nSometimes I want to taste some good wine too.","เจ้านำมาให้ข้ากี่ครั้งล่ะ?\nบางครั้งข้าก็อยากจะลิ้มลองสุราดีๆเองบ้าง"
R20006-3_1_8,Your addiction is really a bottomless pit...,การติดสุราของท่านช่างไร้ก้นบึ้งเสียจริงๆ...
R20006-3_2_1,"Wang Dachui, for the sake of {PlayerGivenName}, I'll forgive your debt.","หวังต้าฉุย, เห็นแก่{PlayerGivenName} ข้าจะยกหนี้ของเจ้าให้"
R20006-3_2_2,What? Are you serious?,อะไรนะ? พูดจริงใช่ไหม?
R20006-3_2_3,"Of course, when have I ever gone back on my word?\nBut this is for the sake of {PlayerGivenName}, if he needs something in the future...","แน่นอน ข้ากลับคำพูดเมื่อไหร่กัน?\nแต่เห็นแก่{PlayerGivenName} หากเขาต้องการบางสิ่งบางอย่างในอนาคต..."
R20006-3_2_4,"Understood! Brother, you really have a lot of influence, I'm truly impressed.\nIf you need me in the future, just come find me, I'll accompany you through hell and high water!","เข้าใจแล้ว! น้องชาย, เจ้าช่างมีอิทธิพลมากข้าประทับใจจริงๆ\nหากเจ้าต้องการข้าในอนาคต แค่มาหาข้า ข้าจะพาเจ้าฝ่านรกลุยน้ำท่วมเอง!"
R20006-3_3_1,"Brother, Hua Siniang is no longer in the village, she said something about family matters.",น้องชาย ฮวาซื่อเหนียงไม่ได้อยู่ในหมู่บ้านแล้ว นางพูดบางอย่างเกี่ยวกับเรื่องครอบครัว
R20006-3_3_2,What about the money I owe her for the drinks...,แล้วเงินที่ข้าติดค้างนางไว้สำหรับค่าเครื่องดื่มล่ะ..
R20006-3_3_3,"She told me before she left that she doesn't know how long she'll be gone.\nYou probably won't have to pay her back for a while.","นางบอกข้าก่อนจะจากไปว่านางไม่รู้ว่าจะจากไปนานแค่ไหน\nเจ้าอาจจะไม่ต้องจ่ายเงินคืนให้นางสักระยะหนึ่ง"
R20006-3_3_4,"In that case, alright, I have time to save up money.\nBut I hope Hua Siniang comes back soon, otherwise I won't have any wine to drink.","เอาล่ะ ในกรณีนี้ ข้าจะได้มีเวลาเก็บเงิน\nแต่ข้าหวังว่าฮวาซื่อเหนียงจะกลับมาเร็วๆ ไม่เช่นนั้นข้าจะไม่มีสุราให้ดื่ม"
R20006-3_4_1,"Shopkeeper, I'm here to pay back the money for the drinks on behalf of the blacksmith.",เถ้าแก่เนี้ย ข้ามาที่นี่เพื่อคืนเงินค่าเครื่องดื่มในนามของช่างตีเหล็ก
R20006-3_4_2,"That guy owes me so much money, if he doesn't pay back soon, I'll tear down his Blacksmith's forge!\nAre you sure you want to pay for that drunkard? 2000 wen, not a wen less.","คนผู้นั้นเป็นหนี้ข้าเยอะมาก ถ้าเขาไม่จ่ายคืนเร็วๆ นี้ ข้าจะพังโรงตีเหล็กของเขาทิ้ง!\nเจ้าแน่ใจหรือว่าต้องการจ่ายเงินให้กับขี้เมาคนนั้น? 2,000 อีแปะ ไม่ขาดไม่เกิน"
R20006-3_5_1,"As long as the money is paid back, there can't be much resentment between neighbors.\nTell that blacksmith for me, if he's thirsty, he can come to the shop for a drink, I'm not stingy.","ตราบใดที่จ่ายเงินคืน เพื่อนบ้านก็คงไม่มีความขุ่นเคืองกันมากนัก\nบอกช่างตีเหล็กคนนั้นให้ข้าที ถ้าเขากระหาย เขาสามารถมาดื่มที่ร้านได้ ข้าไม่ตระหนี่"
R20006-3_6_1,"Go away, I'm busy!\nDon't mess with me.","ออกไปซะ ข้ายุ่งอยู่!\nอย่ามาตอแยข้า."
R20006-3_7_1,"Brother, you can go to Hua Siniang's shop for a drink again.\nI've paid back all the money you owe.","พี่ชาย ท่านสามารถไปโรงเตี๊ยมของฮวาซื่อเหนียงเพื่อดื่มอีกได้นะ\nข้าได้คืนเงินที่เจ้าเป็นหนี้ให้ทั้งหมดแล้ว"
R20006-3_7_2,What? Are you serious?,อะไรนะ? พูดจริงใช่ไหม?
R20006-3_7_3,"Good brother, I really appreciate it!",น้องชายที่ดี ข้าซาบซึ้งจริงๆ!
