﻿common_tip_title,Hint,คำแนะนำ
BuffConflict_Generic,"There is already a similar item effect, continuing will overwrite it, do you confirm?"
GameLog_MovePosInvalid,%c%Cannot move to this location,%c%ไม่สามารถไปที่จุดนี้ได้
GameLog_InBattle_Exp,<#61C3C8>{0}</color> gained <#5CBD4C> {1} Jianghu Knowledge</color>,<#61C3C8>{0}</color> ได้รับ <#5CBD4C> {1} ประสบการณ์ยุทธ</color>
GameLog_InBattle_KungfuExp,<#61C3C8>{0}</color> gained <#D7A347> {1} EXP</color>,<#61C3C8>{0}</color> ได้รับ <#D7A347> ค่าประสบการณ์ {1} </color>
GameLog_InBattle_BattleExp,<#61C3C8>{0}</color> gained <#E16D79> {1} Combat</color>,<#61C3C8>{0}</color> ได้รับ <#E16D79> {1} พลังรบ</color>
GameLog_TeamPack_NotEnoughCoin,%c%Not enough Coin,%c%มีเงินไม่พอ
GameLog_TeamPack_NotEnoughFTributePoint,%c%Not enough Sect contribution,%c%ความดีความชอบสำนักไม่เพียงพอ
GameLog_TeamPack_NotEnoughItem,%c%Not enough {0}
GameLog_TeamPack_AddCoin,{1} gained <#FFED56>{0} Coin</color>,{1} ได้รับ <#FFED56>{0} อีแปะ</color>
GameLog_TeamPack_RemoveCoin,{1} lost <#FFED56>{0} Coin</color>,{1} สูญเสีย <#FFED56>{0} อีแปะ</color>
GameLog_TeamPack_AddFTributePoint,{1} gained <#FFED56>{0} Sect contribution</color>,{1} ได้รับ <#FFED56>{0} ค่าความดีความชอบสำนัก</color>
GameLog_TeamPack_RemoveFTributePoint,{1} lost <#FFED56>{0} Sect contribution</color>,{1} สูญเสีย <#FFED56>{0} ความดีความชอบสำนัก</color>
GameLog_TeamPack_AddItem,{1} gained {0},{1} ได้รับ {0}
GameLog_TeamPack_RemoveItem,{1} lost {0},{1} สูญเสีย {0}
GameLog_InBattle_LevelUp,%s%<#61C3C8>{0}</color> has leveled up to <#ff822f>{1}</color>,%s%<#61C3C8>{0}</color> เลื่อนระดับเป็น ระดับ <#ff822f>{1}</color>
GameLog_InBattle_KungfuExpUp,<#61C3C8>{0}</color>'s {1} gained <#D7A347> {2} EXP</color>,{1} ของ <#61C3C8>{0}</color>  ได้รับ <#D7A347> ค่าประสบการณ์ {2} </color>
GameLog_InBattle_KungfuExpLevelUp,<#61C3C8>{0}</color>'s {1} has leveled up to <#ff822f>{2}</color>,{1} ของ<#61C3C8>{0}</color> เลื่อนระดับเป็น <#ff822f>{2}</color>
GameLog_InBattle_KungfuExpLevelUpNew,%s%<#ff5555>{0}</color> successfully comprehended {1},%s%<#ff5555>{0}</color> เข้าใจ {1} ได้สำเร็จ
GameLog_KungfuRemove,{0} has forgotten {1}
GameLog_InBattle_InternalKungfuChanged,{0} set the skill body to {1}
GameLog_InBattle_InternalKungfuCanceled,{0} cancelled the skill body {1}
GameLog_InBattle_AdditionAction,{0} gained an extra action
GameLog_TeamExp,Gained <#5CBD4C> {0} Jianghu Knowledge</color>,ได้รับ <#5CBD4C>ประสบการณ์ยุทธ {0} </color>
GameLog_TeamKungfuExp,Gained <#D7A347> {0} EXP</color>,ได้รับ <#D7A347>ค่าประสบการณ์ {0}</color>
GameLog_BattleUseItemCap_Med,%c%<#61C3C8>{0}</color>Medicine usage has reached its limit
GameLog_BattleUseItemCap_Wine,%c%<#61C3C8>{0}</color>Beverage usage has reached its limit
GameLog_UseItem_Med,%c%<#61C3C8>{0}</color> took {1}
GameLog_UseItem_Wine,%c%<#61C3C8>{0}</color> drank {1}
GameLog_TeamAddCharacter,%s%<#ff5555>{0}</color> joined the team,%s%<#ff5555>{0}</color> เข้าร่วมกลุ่ม
GameLog_TeamRemoveCharacter,<#ff5555>{0}</color> leave the team,<#ff5555>{0}</color> ออกจากกลุ่ม
GameLog_TeamAddPet,%s%<#9544ba>{0}</color> has recognized you as its master
GameLog_DefaultSimple,{0}
CharacterPropModify_MoralUp,<#D7A347>{1}</color><#5EB94F>increased</color> by {2} points,<#D7A347>{1}</color><#5EB94F>เพิ่มขึ้น</color> {2} แต้ม
CharacterPropModify_MoralDown,<#D7A347>{1}</color><#CE3C3B>decreased</color> by {2} points,<#D7A347>{1}</color><#CE3C3B>ลดลง</color> {2} แต้ม
CharRelation_Up,Relations with <#DFC342>{0}</color> increased by <#FFA311>{1}</color> points,ความสัมพันธ์กับ <#DFC342>{0}</color> เพิ่มขึ้น <#FFA311>{1}</color> แต้ม
CharRelation_Down,Relations with <#DFC342>{0}</color> decreased by <#FFA311>{1}</color> points,ความสัมพันธ์กับ <#DFC342>{0}</color> ลดลง <#FFA311>{1}</color> แต้ม
CharRelation_Change,Relations with <#DFC342>{0}</color> reached <#FD6565>{1}</color>,ความสัมพันธ์กับ <#DFC342>{0}</color> ถึง <#FD6565>{1}</color>
CharRelationFromDamageSameFaction_Up,"Damaged <#DFC342>{0}</color> fellow sect member, relations increased by <#FFA311>{1}</color> points"
CharRelationFromDamageSameFaction_Down,"Damaged <#DFC342>{0}</color> fellow sect member, relations decreased by <#FFA311>{1}</color> points"
CharRelationFromLevelup_Up,"<#DFC342>{0}</color> gained a lot of insight from fighting alongside you, <#DFC342>{0}</color> relations increased by <#FFA311>{1}</color>|<#DFC342>{0}</color> considers you an inseparable partner, <#DFC342>{0}</color> relations increased by <#FFA311>{1}</color>|<#DFC342>{0}</color> trusts you more after this battle, <#DFC342>{0}</color> relations increased by <#FFA311>{1}</color>|<#DFC342>{0}</color> greatly enjoyed fighting alongside you, <#DFC342>{0}</color> relations increased by <#FFA311>{1}</color>|<#DFC342>{0}</color> appreciates your efforts in this battle, <#DFC342>{0}</color> relations increased by <#FFA311>{1}</color>|<#DFC342>{0}</color>'s strength has further improved, <#DFC342>{0}</color> relations increased by <#FFA311>{1}</color>"
CharRelationFromLevelup_Down,"<#DFC342>{0}</color> despises your performance in the battle, <#DFC342>{0}</color> relations decreased by <#FFA311>{1}</color>|You failed to protect <#DFC342>{0}</color>'s safety, <#DFC342>{0}</color> relations decreased by <#FFA311>{1}</color>|<#DFC342>{0}</color> does not recognize your strength in combat, <#DFC342>{0}</color>Relations decrease by <#FFA311>{1}</color>|<#DFC342>{0}</color> disapproves of your actions, <#DFC342>{0}</color>Relations decrease by <#FFA311>{1}</color>|<#DFC342>{0}</color> thinks you are not worthy of trust, <#DFC342>{0}</color>Relations decrease by <#FFA311>{1}</color>|<#DFC342>{0}</color> is now disappointed in you, <#DFC342>{0}</color>Relations decrease by <#FFA311>{1}</color>"
CharRelationFromPlayerAction_Up,"<#DFC342>{0}</color> highly approves of your actions, Relations increase by <#FFA311>{1}</color> points"
CharRelationFromPlayerAction_Down,"<#DFC342>{0}</color> is disgusted by your actions, Relations decrease by <#FFA311>{1}</color> points"
FactionFame_Up,Relations with <#61C3C8>{0}</color> increase by <#FFA311>{1}</color> points, ความสัมพันธ์กับ <#61C3C8>{0}</color> เพิ่มขึ้น <#FFA311>{1}</color> แต้ม
FactionFame_Down,Relations with <#61C3C8>{0}</color> decrease by <#FFA311>{1}</color> points,ความสัมพันธ์กับ <#61C3C8>{0}</color> ลดลง <#FFA311>{1}</color> แต้ม
FactionFame_Change,Relations with <#61C3C8>{0}</color> reach <#FD6565>{1}</color>,ความสัมพันธ์กับ <#61C3C8>{0}</color> ถึง <#FD6565>{1}</color>
Factiontrading_FameCheckFailed,Relations with <#DFC342>{0}</color> reach {1} can Buy
Factiontrading_RelationCheckFailed,Relations with <#DFC342>{0}</color> reach {1} can Buy
SaveInfo_AutoSave,Autosave slot {0},บันทึกอัตโนมัติ ช่องที่ {0}
SaveInfo_Save,Save slot {0},บันทึกช่องที่ {0}
SaveInfo_QuickSave,Quick save
SaveInfo_AutoSaveFinished,%c%Auto save completed,%c%บันทึกอัตโนมัติเสร็จสิ้น
SaveInfo_QuickSaveFinished,%c%Quick save successful
SaveInfo_QuickLoadFinished,%c%Quick load successful
SaveInfo_QuickSaveFailed,%c%Cannot quick save now
SaveInfo_QuickLoadFailed,%c%Cannot quick load now
SaveInfo_Map,{0},{0}
SaveInfo_DateFormat,yyyy-MM-dd HH:mm
SaveInfo_PlayTimeFormat,Game duration: {0} days {1} hours {2} minutes,ระยะเวลาของเกม: {0} วัน {1} ชั่วโมง {2} นาที
SaveInfo_InGameTime,Game duration: {0} days {1} shichen,ระยะเวลาในเกม: {0} วัน {1} ชั่วยาม
SaveInfo_ConfirmValid,"Are you sure you want to overwrite ""{0}""?\nThe overwritten save will be deleted.","แน่ใจหรือไม่ ที่จะเขียนทับ ""{0}""?\nบันทึกเกมที่ถูกเขียนทับจะถูกลบออก"
SaveInfo_ConfirmInvalid,Are you sure you want to create a new save?,แน่ใจหรือไม่ที่จะบันทึกเกมใหม่?
SaveInfo_LoadConfirm,Do you want to load this save?\nUnsaved progress will be lost.,ต้องการโหลดบันทึกนี้หรือไม่?\nข้อมูลความการเล่นที่ยังไม่บันทึกจะสูญหาย
SaveInfo_LoadFailed,%s%Save file is corrupted
SaveInfo_IsSaving,"%c%The system is writing another save, please wait"
SaveInfo_DeleteConfirm,"Choose to delete ""<#ffff00>{0}</color>""?\n<size=24><#ff0000>(Note: The save cannot be recovered after deletion)</color></size>","ต้องการลบ ""<#ffff00>{0}</color>"" หรือไม่?\n<size=24><#ff0000>(หมายเหตุ:หลังจากลบแล้วจะไม่สามารถกู้คืน)</color></size>"
Kungfu_PropNeed,Requirement,ความต้องการ
Equip,Equipment,ของสวมใส่
Equip_Weapon,Weapon,อาวุธ
Equip_Weapon_None,Bare hands,มือเปล่า
Equip_Weapon_Glove,Glove,ถุงมือ
Equip_Weapon_Sword,Sword,กระบี่
Equip_Weapon_Blade,Blade,ดาบ
Equip_Weapon_Lance,Spear,หอก
Equip_Weapon_Staff,Staff,ไม้เท้า
Equip_Weapon_Fan,Fan,พัด
Equip_Weapon_Dagger,Dagger,มีด
Equip_Weapon_Brush,Brush,พู่กัน
Equip_Weapon_Guqin,Zither,พิณ
Equip_Weapon_Flute,Flute,ขลุ่ย
Equip_Weapon_Pipa,Lute,ผีผา
Equip_Armor,Inner armor,เกราะ
Equip_Amulet,Accessory,เครื่องประดับ
KungfuBook,Martial arts manual,ตำราวรยุทธ
KungfuBook_Outer,External skill Manual,ตำราทักษะภายนอก
KungfuBook_Outer_Fist,Fist skill Manual,ตำราทักษะหมัด
KungfuBook_Outer_Sword,Sword skill Manual,ตำราทักษะกระบี่
KungfuBook_Outer_Blade,Knife skill Manual,ตำราทักษะดาบ
KungfuBook_Outer_Lance,Spear skill Manual,ตำราทักษะหอก
KungfuBook_Outer_Staff,Stick skill Manual,ตำราวิชาไม้เท้า
KungfuBook_Outer_Fan,Fan skill Manual,ตำราทักษะพัด
KungfuBook_Outer_Dagger,Dagger skill Manual,ตำราทักษะมีด
KungfuBook_Outer_Brush,Brush skill Manual,ตำราทักษะพู่กัน
KungfuBook_Outer_Guqin,Zither skill Manual,ตำราทักษะพิณ
KungfuBook_Outer_Flute,Flute skill Manual,ตำราทักษะขลุ่ย
KungfuBook_Outer_Pipa,Lute skill Manual,ตำราทักษะผีผา
KungfuBook_Inner,Internal skill Manual,ตำรากำลังภายใน
Consumeable,Consumables,ของใช้
Consumeable_Edible,Consumables,ของใช้
Consumeable_Edible_Meal,Food,อาหาร
Consumeable_Edible_Fruit,Fruit,อาหาร
Consumeable_Edible_Wine,Beverage,เครื่องดื่ม
Consumeable_Edible_Elixir,Pill,โอสถ
Consumeable_Edible_Medicine,Medicine,ยา
Consumeable_Material,Material,วัตถุดิบ
Consumeable_Material_Vege,Ingredient,วัตถุดิบ
Consumeable_Material_Meat,Meat,เนื้อ
Consumeable_Material_Seafood,Aquatic,สัตว์น้ำ
Consumeable_Material_Water,Quenching Material
Consumeable_Material_Herb,Herb,สมุนไพร
Consumeable_Material_Ore,Ore,แร่
Consumeable_Material_Wood,Wood,ไม้
Consumeable_Material_Hide,Leather weaving
Consumeable_Material_Misc,Other Material,วัตถุดิบอื่นๆ
Consumeable_Special,Appraise Chest
Consumable_Chest,Appraise Chest,ของประเมิน
Consumeable_Recipe,Recipe,ตำรา
Consumeable_ChestItem,Item chest,หีบสมบัติ
Misc,Other,อื่นๆ
Misc_Treasure,Treasure,สมบัติ
Misc_Treasure_Tea,Tea leaf,ใบชา
Misc_Treasure_Copybook,Calligraphy
Misc_Treasure_Painting,Painting,ภาพวาด
Misc_Treasure_Antique,Decoration
Misc_Treasure_Toy,Toy,ของเล่น
Misc_Treasure_Makeup,Cosmetic,เครื่องสำอาง
Misc_Treasure_Valuable,Appliance
Misc_HidWep,Throwing,อาวุธลับ
Misc_Quest,Important Item,สิ่งของสำคัญ
Misc_Prop,Other,อื่นๆ
Misc_Map,Map,แผนที่
Misc_Poison,Poison,พิษ
Consumeable_Edible_MageFood,Medicine,ยา
Consumeable_Edible_MuggleFood,Consumable,ของใช้
Consumeable_Material_Other,Other,อื่นๆ
Misc_Map_Normal,Map,แผนที่
Misc_Map_Treasure,Treasure map,แผนที่สมบัติ
All,All,ทั้งหมด
RoamingUI_StoryTimeLimit,Time limit: {0},เหลือเวลา: {0}
InternalTypeShort_Yin,<#A7B6FF>Yin</color>,<#A7B6FF>หยิน</color>
InternalTypeShort_Yang,<#FDF46C>Yang</color>,<#FDF46C>หยาง</color>
InternalTypeShort_ALL,No limit,ไม่จำกัด
InternalTypeShort_Mixed,<#6dffd4>Neutral</color>,<#6dffd4>เป็นกลาง</color>
Practice_book_Of_Name,<#57ECDF>{0} Reading,<#57ECDF>{0} กำลังศึกษา
Practice_Equip_Of_Name,<#57ECDF>{0} Equipped,<#57ECDF>{0} กำลังสวมใส่
StoryNote_Complated,Completed
StoryNote_Close,Closed
StoryNote_TimeOut,Overdue
StoryNote_Fail,Failed
StoryNote_AddCheckFail,%c%Event tracking is full
Time_Day,Sky,วัน
Time_Hour,shichen,ชั่วยาม
Time_Quarter,Ke,เค่อ
Mining_Lucky,What a luck!
Mining_Spe,What a pleasant surprise!
GameLog_NoCoundJuezhao,%c%No selectable ultimate move,%c%ไม่มีท่าไม้ตายให้เลือก
GameLog_NoCoundBook,%c%No Manual available
GameLog_NoCoundkongfu,%c%No internal skills available,%c%ไม่มีกำลังภายในที่ใช้ได้
GameLog_RoleLeaveTeam,Select {0} Run away team?
GameLog_JMweidatong,%c%Need to comprehend the previous Passive
GameLog_JMDotspend,"%c%Not enough acupoints, unable to break through"
caijiceshi1,Digging and digging
caijiceshi2,Praying and praying
caijiceshi3,Sweeping and sweeping
caiji_kuangshi,Mining…
caiji_mucai,Chopping…
caiji_shui,Catching…
caiji_yaocai,Gathering…,กำลังเก็บเกี่ยว...
caiji_shuichan,Fishing…
caiji_shuijiao,Resting…,กำลังพักผ่อน...
caiji_murenzhuang,Training…
caiji_meihuazhuang,Training…
caiji_fuqin,Playing music…
caiji_guibai,Kowtowing…
caiji_zhenjiu,Acupunturing…
caiji_qidao,Praying…,อธิษฐาน…
caiji_dazuo,Meditating…
caiji_shudong,Searching…
caiji_watu,Digging…
caiji_jingshui,You need to consume <#FDF46C>{0}</color> to get <#00c6f3>Well water</color>\nDo you want to continue?
caiji_fuqin1,You need to consume <#FDF46C>{0}</color> to increase Mood by 25 points\nDo you want to continue?
mining_cost_time_tip0,"Need to consume <#FDF46C>{0}</color>,\ncontinue?"
mining_cost_time_tip1,"Need to consume <#FDF46C>{0} ke</color>,\ncontinue?"
mining_cost_skill_tip,Need {1} Skill to reach level {0}
not_enough,Need {0}!,ต้องการ {0}!
GameLog_NotGoods,%c%Lack of necessary Material
stamina,Stamina,แรงกาย
Quality0,Normal,ปกติ
Quality1,Rare,หายาก
Quality2,Epic,มหากาพย์
Quality3,Legendary,ตำนาน
GameLog_Duration,Duration,ระยะเวลา
KongfuAchieveAdd,Reach above {0} layers
NpcFriendly_Higher,Relations with {0} greater than {1}
NpcFriendly_Lower,Relations with {0} less than {1}
Something_Higher,{0} reaches {1}
Something_Lower,{0} reaches {1}
WorldString_武功,Martial Arts
WorldString_势力关系,Power Relations
WorldString_人物关系,Character Relations,ความสัมพันธ์ตัวละคร
WorldString_属性,Attributes
Relation_Dead,<#8e8e8e>Deceased</color>
RoleLevel_已达历练上限,Max Level,ระดับสูงสุด
RelationFormatUnknownShort,<#e8d360>Stranger</color>,<#e8d360>แปลกหน้า</color>
RelationFormatUnknown,<#e8d360>Stranger（0）</color>,<#e8d360>คนแปลกหน้า（0）</color>
RelationFormatShort,<#{1}>{0}</color>
RelationFormat,<#{2}>{0}（{1}）</color>
GameLog_ExpInsufficient,"%c%Insufficient Jianghu Knowledge, unable to improve Skill",%c%ประสบการณ์ยุทธไม่เพียงพอ ไม่สามารถเพิ่มระดับได้
GameLog_NewlyObtained,Received rumor: <#68cf24>{0}</color>,ได้รับข่าวลือ: <#68cf24>{0}</color>
NewlyObtained,Newly acquired
Chest_NotEnoughSomeThing,"%c%Insufficient {0} Skill, unable to {1}!"
Chest_NotEnough,"%c%Insufficient Skill, unable to Appraise!"
Chest_Confirm,Confirm selection of {0}?
Map_Confirm,Watch {0}?,ดู {0} ?
Start,Start,เริ่ม
Pause,Pause
Difficulty_Ultra,Very high,สูงมาก
Difficulty_High,高,สูง
Difficulty_Normal,Medium,กลาง
Difficulty_Easy,Low,ต่ำ
Difficulty_VeryEasy,Very low,ต่ำมาก
BattleActorTip_BottomMsg,Long press on character Info for full details,กดค้างที่ตัวละครเพื่อดูรายละเอียด
Recipe_Confirm,Confirm learning {0}?,ยืนยันเรียนรู้ {0}?
Recipe_Learnt,%s%Mastered the method of combining {0}
Recipe_DntLearnt,"%c%Already mastered this combination method, cannot use"
Recipe_LackOfAbilit,Need {0} Skill level {1},ต้องการ {0} ทักษะระดับ {1}
Recipe_LackOfGoods,"Insufficient Material, unable to forge!","วัตถุดิบไม่เพียงพอ, ไม่สามารถหลอมได้!"
Recipe_LackOfGoodsHC,"Insufficient Material, unable to synthesize!","วัตถุดิบไม่เพียงพอ, ไม่สามารถสังเคราะห์ได้!"
Recipe_LackOfGoodsCook,"Insufficient Material, unable to craft!","วัตถุดิบไม่เพียงพอ, ไม่สามารถสร้างได้!"
Recipe_LackOfGoodsDY,"Insufficient Material, unable to craft!","วัตถุดิบไม่เพียงพอ, ไม่สามารถสร้างได้!"
Recipe_LackOfGoodsZY,"Insufficient Material, unable to craft!","วัตถุดิบไม่เพียงพอ, ไม่สามารถสร้างได้!"
Recipe_NoSelect,Please select blueprint,กรุณาเลือกแบบแปลน
Recipe_NoSelectElixi,Please select prescription,กรุณาเลือกตำรายา
Recipe_NoSelectTailor,Please select blueprint,กรุณาเลือกแบบแปลน
Recipe_NoSelectSundries,Please select blueprint,กรุณาเลือกแบบแปลน
Recipe_NoSelectCook,Please select recipe,กรุณาเลือกตำราอาหาร
Recipe_EffectTips,"The higher the forging Level, the more obvious the special effect"
Recipe_ArmorEffectTips,"The higher the tailoring Level, the more obvious the special effect"
BugReport_MailTitle,"Feedback on ""{0} (Level {1}, {2})"""
BugReport_TimeOffset,"%c%You are submitting issues too quickly, please try again in 30 seconds"
BugReport_SendSuccess,"%c%Issue submitted, thank you for your participation"
BugReport_SendFaild,"%c%Submission failed, reason {0}"
RogueAbilityNotLearnt,%c%{0} not learned
SelectItemConfirm,Confirm selection of {0}?
Forge_NoRecipe,You have not mastered any forging blueprints.
Forge_NoRecipeHC,You have not mastered any synthesis blueprints.
Forge_NoRecipeCook,You have not mastered any cooking recipes.
Forge_NoRecipeDY,You have not mastered any Pill formulas.
Forge_NoRecipeZY,You have not mastered any inner armor blueprints.
Forge_NoRecipeWithType,No blueprints to display,ไม่มีแบบแปลนที่จะแสดง
Forge_NoRecipeWithTypeHC,No synthesis blueprints to display,ไม่มีแบบแปลนที่จะแสดง
Forge_NoRecipeWithTypeCook,No cooking recipes to display,ไม่มีตำราอาหารที่จะแสดง
Forge_NoRecipeWithTypeDY,No Pill formulas to display,ไม่มีตำรายาที่จะแสดง
Forge_NoRecipeWithTypeZY,No inner armor blueprints to display,ไม่มีแบบแปลนที่จะแสดง
Collect_shuijiao,Rest for {0},พักผ่อน {0} 
Collect_shuijiao1,Rest for {0} to recover 5 points of Stamina,พักผ่อนเป็นเวลา {0} เพื่อฟื้นฟูแรงกาย 5 แต้ม
Collect_shuijiao2,Rest for {0}} to recover 10 points of Stamina,พักผ่อนเป็นเวลา {0} เพื่อฟื้นฟูแรงกาย 10 แต้ม
Collect_shuijiao3,Rest for {0}} to recover 25 points of Stamina,พักผ่อนเป็นเวลา {0} เพื่อฟื้นฟูแรงกาย 25 แต้ม
Collect_murenzhuang1,"Train {0}, consume 5 Stamina, gain EXP",ฝึกฝน {0} ใช้แรงกาย 5 หน่วย ได้รับค่าประสบการณ์
Collect_murenzhuang2,"Train {0}, consume 10 Stamina, gain EXP",ฝึกฝน {0} ใช้แรงกาย 10 หน่วย ได้รับค่าประสบการณ์
Collect_murenzhuang3,"Train {0}, consume 15 Stamina, gain EXP",ฝึกฝน {0} ใช้แรงกาย 15 หน่วย ได้รับค่าประสบการณ์
Collect_meihuazhuang1,"Train {0}, consume 10 Stamina, gain 1 point of Qinggong",ฝึกฝน {0} ใช้แรงกาย 10 หน่วย ได้รับวิชาตัวเบา 1 แต้ม
Collect_meihuazhuang2,"Train {0}, consume 20 Stamina, gain 2 points of Qinggong",ฝึกฝน {0} ใช้แรงกาย 20 หน่วย ได้รับวิชาตัวเบา 2 แต้ม
Collect_meihuazhuang3,"Train {0}, consume 30 Stamina, gain 3 points of Qinggong",ฝึกฝน {0} ใช้แรงกาย 30 หน่วย ได้รับวิชาตัวเบา 3 แต้ม
Collect_zhenjiu,Practice {0},ฝึกฝน {0}
Collect_zhenjiu1,"Practice {0}, consume 15 Stamina",ฝึกฝน {0} ใช้แรงกาย 15 หน่วย
Collect_guibai1,Choose to consume <#68cf24>Normal incense</color> to pray,เลือก <#68cf24>ธูปธรรมดา</color> เพื่อสวดภาวนา
Collect_guibai2,Choose to consume <#00c6f3>Rare incense</color> to pray,เลือก <#00c6f3>ธูปหายาก</color> เพื่อสวดภาวนา
Collect_guibai3,Choose to consume <#c851ff>Epic incense</color> to pray,เลือก <#c851ff>ธูปมหากาพย์</color> เพื่อสวดภาวนา
Collect_guibai4,Choose to consume <#d09a09>Legendary incense</color> to pray,เลือก <#d09a09>ธูปตำนาน</color> เพื่อสวดภาวนา
Collect_qidao1,Choose to consume <#68cf24>Normal incense</color> to pray,เลือก <#68cf24>ธูปธรรมดา</color> เพื่อสวดภาวนา
Collect_qidao2,Choose to consume <#00c6f3>Rare incense</color> to pray,เลือก <#00c6f3>ธูปหายาก</color> เพื่อสวดภาวนา
Collect_qidao3,Choose to consume <#c851ff>Epic incense</color> to pray,เลือก <#c851ff>ธูปมหากาพย์</color> เพื่อสวดภาวนา
Collect_qidao4,Choose to consume <#d09a09>Legendary incense</color> to pray,เลือก <#d09a09>ธูปตำนาน</color> เพื่อสวดภาวนา
Collect_dazuo1,Meditate for {0},นั่งสมาธิถึง {0}
Collect_dazuo2,Meditate for {0},นั่งสมาธิถึง {0}
Collect_dazuo3,Meditate for {0},นั่งสมาธิถึง {0}
Collect_shuijiaojuqing,How long should I rest?,ข้าควรพักผ่อนนานเท่าไร?
Collect_murenzhuangjuqing,How long should I train on the wooden dummy that can increase EXP?,ควรฝึกกับหุ่นไม้ที่เพื่อเพิ่มค่าประสบการณ์นานแค่ไหน?
Collect_meihuazhuangjuqing,How long should I train on the wooden stake in the pond to improve Qinggong?,ควรฝึกบนเสาไม้ในบ่อนานเท่าไหร่ เพื่อพัฒนาวิชาตัวเบา?
Collect_zhenjiujuqing,Should I practice acupuncture to improve Medical?,ข้าควรฝึกฝังเข็มเพื่อเพิ่มพูนวิชาแพทย์หรือไม่?
Collect_qidaojuqing,Which incense should I choose for prayer?,ข้าควรเลือกธูปใดในการอธิษฐาน?
Collect_dazuojuqing,How long should I meditate?,ควรนั่งสมาธินานแค่ไหน?
NoSelectPoison,
SetUpMainInternalSkill,Set {0} as the main internal force?
UnSetMainInternalSkill,Cancel {0} as the main internal force?,ยกเลิก {0} เป็นกำลังภายในหลัก?
InternalSkillLv,The {0}th level,ขั้นที่{0}
learning,Learning,กำลังเรียน
SetUpAceSkill,Set {0} as the combat skill?
DiffUnlock,%s%Unlock difficulty: {0}
DiffForSaveSlot,Difficulty: {0},ระดับความยาก: {0}
DiffFreeScore,(Coefficient: {0}),(ค่าสัมประสิทธิ์: {0})
DiffName_0,<#497442>Easy</color>,<#497442>ง่าย</color>
DiffName_1,<#34657A>Normal</color>
DiffName_2,<#6B3F77>Hard</color>
DiffName_3,<#7D3A34>Nightmare</color>
DiffName_100,<#ffff44>Free</color>
DiffInfo_0,It's recommended for new players to start at this difficulty level.,สำหรับผู้เล่นใหม่ แนะนำให้เริ่มต้นด้วยความยากในระดับนี้
DiffInfo_1,Suitable for players familiar with turn-based game who prefer not to engage in full auto-battle mode.,เหมาะสำหรับผู้เล่นที่คุ้นเคยกับเกมแนวผลัดกันเดิน และไม่ต้องการเข้าร่วมโหมดการต่อสู้อัตโนมัติเต็มรูปแบบ
DiffInfo_2,Suitable for players adept at analyzing various combinations and seeking a challenging experience.,เหมาะสำหรับผู้เล่นที่เข้าใจระบบ เป็นอย่างดี และผู้ที่ต้องการประสบการณ์ที่ท้าทายมากขึ้น
DiffInfo_3,"To dominate or be dominated, it all lies within a single thought!",จะอยู่เหนือผู้อื่น หรือถูกผู้อื่นครอบงำ ทุกอย่างอยู่ที่การตัดสินใจของเจ้า!
DiffInfo_100,"<nobr>Difficulty settings are customizable. The higher the difficulty, the larger the calculated coefficient!"
DiffInfo_Lock,Achieve any <#d09a09>true·ending</color> to unlock,บรรลุความสำเร็จ <#d09a09>ฉากจบอย่างแท้จริง</color> ใดก็ได้เพื่อปลดล็อก
DiffTip_Title,<#E6C899>Enemy bonus: {0}</color>,<#E6C899>โบนัส ศัตรู: {0}</color>
DiffTip_Content,<#E6C899>•Experience multiplier for killing enemies: <#d09a09>{3}</color></color>,<#E6C899>•รับคูณประสบการณ์โดยการฆ่าศัตรู: <#d09a09>{3}</color></color>
DiffWarning_0,
DiffWarning_1,
DiffWarning_2,<voffset=-0.5em><#E6C899>•Some character levels and martial arts will dynamically grow with game time</color>,<voffset=-0.5em><#E6C899>•ระดับวิชาวรยุทธของ NPC จะเติบโตสอดคล้องกับเวลาในเกม</color>
DiffWarning_3,"<voffset=-0.5em><#E6C899>•Some character levels and martial arts will dynamically grow with game time</color>\n<voffset=-0.5em><#E6C899>•In combat, the character with the higher level will gain resistance to Poisoned, Bleeding, Internal Injury, Sealed, Blinded effects, the greater the difference, the stronger the effect</color>\n\n<voffset=-0.5em><#FE2929>　Difficulty significantly increased, please choose carefully</color>","<voffset=-0.5em><#E6C899>•เลเวลของ NPC จะเติบโตสอดคล้องกับเวลาในเกม</color><voffset=-0.5em><#E6C899>•ในแบทเทิล NPC ที่ระดับสูงกว่าจะได้รับค่าต้านทานต่อเอฟเฟค พิษ, ตกเลือด, บาดเจ็บภายใน, ผนึก, ตาบอด ยิ่งระดับสูงมากยิ่งมีผลที่มากขึ้น</color><voffset=-0.5em><#FE2929>　ระดับความยากที่มากขึ้น กรุณาเลือกอย่างระวัง</color>"
CustomDiff_HighestScore,Highest coefficient: <#ffffff>{0}</color>,ค่าสัมประสิทธิ์สูงสุด: <#ffffff>{0}</color>
CustomDiff_CurScore,Current coefficient: <#ffffff>{0}</color>,ค่าสัมประสิทธิ์ตอนนี้: <#ffffff>{0}</color>
CustomNpcGrowDiff_Tire1,Normal,ปกติ
CustomNpcGrowDiff_Tire2,Medium
CustomNpcGrowDiff_Tire3,高
CustomDiff_ModifyConfirm,Do you want to keep the changes?
WorldMapShow,%s%The path to <#34657A>{0}</color> is now open
