﻿FondTag_武器,Weapon,อาวุธ
ItemName_砍山刀图纸,Mountain Blade Blueprint
ItemName_九环刀图纸,Nine Rings Blade Blueprint
ItemName_宣花斧图纸,Xuanhua Axe Blueprint
ItemName_碎宇刀图纸,Rain Breaker Blueprint
ItemName_冷艳锯图纸,Cold Saw Blueprint
ItemName_绣春刀图纸,Officer Blade Blueprint
ItemName_太乙刀图纸,Taiyi Blade Blueprint
ItemName_修罗刀图纸,Shura Blade Blueprint
ItemName_绿露刀图纸,Six Ways Blade Blueprint
ItemName_大夏龙雀图纸,Summer Sparrow Blueprint
ItemName_犬神刀图纸,Canine God Blueprint
ItemName_龙牙刀图纸,Dragon Tooth Blueprint
ItemName_昆吾图纸,Kunwu Blueprint
ItemName_应龙图纸,Ying Dragon Blueprint
ItemName_刑天图纸,Xingtian Blueprint
ItemName_红缨枪图纸,Red Spear Blueprint
ItemName_梅花枪图纸,Plum Spear Blueprint
ItemName_雁翅枪图纸,Wings Spear Blueprint
ItemName_钢叉图纸,Trident Blueprint
ItemName_木枪图纸,Wooden Spear Blueprint
ItemName_蛇矛枪图纸,Snake Spear Blueprint
ItemName_混铁枪图纸,Iron Spear Blueprint
ItemName_牛角叉图纸,Horn Trident Blueprint
ItemName_梨花枪图纸,Pear Blossom Blueprint,แบบแปลนหอกหลีฮวา
ItemName_霸王枪图纸,Emperor Spear Blueprint
ItemName_沥泉枪图纸,Slipstream Spear Blueprint
ItemName_句芒图纸,Jumang Blueprint
ItemName_勾陈图纸,Gouchen Blueprint
ItemName_混沌图纸,Origin Blueprint
ItemName_烧火棍图纸,Fire Stick Blueprint
ItemName_木棍图纸,Wooden Stick Blueprint
ItemName_木杵图纸,Wooden Hammer Blueprint
ItemName_竹竿图纸,Bamboo Stick Blueprint
ItemName_短棒图纸,Short Stick Blueprint
ItemName_镔铁杖图纸,Steel Staff Blueprint
ItemName_齐眉棍图纸,Eyebrow Staff Blueprint
ItemName_青竹杖图纸,Bamboo Staff Blueprint
ItemName_盘龙棍图纸,Dragon Staff Blueprint
ItemName_齐天棍图纸,Heaven Staff Blueprint
ItemName_囚龙柱图纸,Dragon Seal Blueprint
ItemName_烛阴图纸,Zhuyin Blueprint
ItemName_穷奇图纸,Qiongqi Blueprint
ItemName_蒲扇图纸,Cattail Fan Blueprint
ItemName_折扇图纸,Folding Fan Blueprint
ItemName_鹅羽扇图纸,Butterfly Fan Blueprint
ItemName_铁骨扇图纸,Steel Fan Blueprint
ItemName_团扇图纸,Round Fan Blueprint
ItemName_绢宫扇图纸,Silk Palace Fan Blueprint
ItemName_雕翎扇图纸,Eagle Feather Fan Blueprint
ItemName_留香扇图纸,Liuxiang Fan Blueprint
ItemName_西江月图纸,Moon Over West River Blueprint
ItemName_满江红图纸,Prismatic River Blueprint
ItemName_破阵子图纸,Formation Breaker Blueprint
ItemName_定风波图纸,Ding Fengbo Blueprint
ItemName_浪淘沙图纸,Waves Scouring the Sands Blueprint
ItemName_卜算子图纸,Fortune Teller Blueprint
ItemName_祝融图纸,Zhurong Blueprint
ItemName_夸父图纸,Kuafu Blueprint
ItemName_青丘图纸,Qingqiu Blueprint
ItemName_短剑图纸,Short Sword Blueprint
ItemName_匕首图纸,Dagger Blueprint,แบบแปลนมีด
ItemName_峨嵋刺图纸,Emei Dagger Blueprint,แปลนมีดเอ๋อเหมย
ItemName_短刀图纸,Short Blade Blueprint
ItemName_狼牙匕图纸,Wolf Fang Dagger Blueprint,แปลนมีดเขี้ยวหมาป่า
ItemName_点钢刺图纸,Diangang Dagger Blueprint
ItemName_三棱锥图纸,Tri-Dagger Blueprint
ItemName_飞来梭图纸,Flying Dagger Blueprint,แปลนมีดบิน
ItemName_流云锥图纸,Drifting Cloud Blueprint
ItemName_孤星刺图纸,Lone Star Blueprint
ItemName_飞影匕图纸,Flying Shadow Blueprint
ItemName_织女梭图纸,Weaver Girl Blueprint
ItemName_残雪刺图纸,Last Snow Blueprint
ItemName_嘲风图纸,Wind Jester Blueprint
ItemName_精卫图纸,Jingwei Blueprint
ItemName_睚眦图纸,Vengeful Blueprint
ItemName_狼毫笔图纸,Wolf Hair Pen Blueprint
ItemName_羊毫笔图纸,Goat Hair Pen Blueprint
ItemName_猪鬃笔图纸,Pig Hair Pen Blueprint
ItemName_鼠须笔图纸,Mouse Whisker Pen Blueprint
ItemName_圆锋图纸,Round Edge Blueprint
ItemName_昌化图纸,Changhua Blueprint
ItemName_佩阿图纸,Peia Blueprint
ItemName_鸡距图纸,Cockspur Blueprint
ItemName_鹿毛笔图纸,Deer Hair Pen Blueprint
ItemName_龙须图纸,Dragon Whisker Blueprint
ItemName_麟角图纸,Unicorn Horn Blueprint
ItemName_太虚图纸,Taixu Blueprint
ItemName_玄黄图纸,Mysterious Yellow Blueprint
ItemName_洪荒图纸,Primal Land Blueprint
ItemName_梧桐琴图纸,Parasol Tree Blueprint
ItemName_玉瑶琴图纸,Beautiful Jade Blueprint
ItemName_响泉琴图纸,Melody River Blueprint
ItemName_百纳琴图纸,Assimilator Blueprint
ItemName_七弦图纸,Seven Strings Blueprint
ItemName_落霞图纸,Sunset Blueprint
ItemName_独幽图纸,Loneliness Blueprint
ItemName_春雷图纸,Spring Thunder Blueprint
ItemName_焦尾图纸,Scorched Tail Blueprint
ItemName_绿绮图纸,Green Beauty Blueprint
ItemName_绕梁图纸,Lingering Blueprint
ItemName_号钟图纸,Bell Sound Blueprint
ItemName_囚牛图纸,Qiuniu Blueprint
ItemName_木箫图纸,Wooden Flute Blueprint
ItemName_洞箫图纸,Hole Flute Blueprint
ItemName_竹箫图纸,Bamboo Flute Blueprint
ItemName_铁箫图纸,Iron Flute Blueprint
ItemName_紫竹箫图纸,Violet Bamboo Flute Blueprint
ItemName_玉屏箫图纸,Jade Flute Blueprint
ItemName_九节箫图纸,Nine-sections Flute Blueprint
ItemName_枉凝眉图纸,Vain Eyebrows Blueprint
ItemName_关山月图纸,Mountain Moon Blueprint
ItemName_冷沧浪图纸,Blue Waves Blueprint
ItemName_有凤来仪图纸,Phoenix's Grace Blueprint
ItemName_碧海潮声图纸,Sound of the Tide Blueprint
ItemName_笑傲江湖图纸,Proud Wanderer Blueprint
ItemName_硬木琵琶图纸,Wooden Lute Blueprint,แปลนผีผาไม้
ItemName_鸡翅琵琶图纸,Chicken Wing Lute Blueprint
ItemName_花梨琵琶图纸,Pear Lute Blueprint
ItemName_紫檀琵琶图纸,Rosewood Lute Blueprint
ItemName_牛角琵琶图纸,Ox Horn Lute Blueprint
ItemName_象牙琵琶图纸,Elephant Tooth Lute Blueprint
ItemName_玉石琵琶图纸,Jade Lute Blueprint,แปลนผีผาหยก
ItemName_双凤琵琶图纸,Twin Phoenix Lute Blueprint
ItemName_绕殿雷图纸,Circling Thunder Blueprint
ItemName_烧槽图纸,Burning Hole Blueprint
ItemName_玄象图纸,Mysterious Elephant Blueprint
ItemName_青山图纸,Blue Mountain Blueprint
ItemName_狮子丸图纸,Lion Ball Blueprint
ItemName_窄袖衣图纸,Female Clothes Blueprint
ItemName_绢麻衣图纸,Linen Clothes Blueprint
ItemName_兽皮袄图纸,Leather Clothes Blueprint
ItemName_护心铠图纸,Protection Armor Blueprint
ItemName_粗布衣图纸,Rugged Clothes Blueprint
ItemName_麻布衣图纸,Cloth Robe Blueprint
ItemName_戎装图纸,Uniform Blueprint
ItemName_百衲衣图纸,Monk Clothes Blueprint
ItemName_官差服图纸,Official Uniform Blueprint
ItemName_逍遥衣图纸,Wanderer Clothes Blueprint
ItemName_精铁内甲图纸,Steel Armor Blueprint
ItemName_锁子铠图纸,Chain Armor Blueprint
ItemName_僧袍图纸,Monk Robe Blueprint
ItemName_道袍图纸,Taoist Robe Blueprint
ItemName_夜行衣图纸,Night Clothes Blueprint
ItemName_儒生服图纸,Student Clothes Blueprint
ItemName_赤翎服图纸,Chiling Robe Blueprint
ItemName_飞鱼锦服图纸,Flying Fish Uniform Blueprint
ItemName_侠客装图纸,Jianghu Outfit Blueprint
ItemName_蚕丝衣图纸,Silk Clothes Blueprint
ItemName_青红襦图纸,Blue Outfit Blueprint
ItemName_流云衫图纸,Drifting Cloud Robe Blueprint
ItemName_金刚甲图纸,Diamond Armor Blueprint
ItemName_明光铠图纸,Glorious Armor Blueprint
ItemName_朱雀服图纸,Phoenix Outfit Blueprint
ItemName_麒麟甲图纸,Unicorn Armor Blueprint
ItemName_玄武铠图纸,Turtle Armor Blueprint
ItemName_紫罗裙图纸,Purple Dress Blueprint
ItemName_山海袍图纸,Mountain and Sea Robe Blueprint
ItemName_袈裟图纸,Seven Artifacts Cassock Blueprint
ItemName_太极服图纸,Taichi Outfit Blueprint
ItemName_黑色披风图纸,Black Cape Blueprint
ItemName_秀才服图纸,Hongru Qingjin Blueprint
ItemName_天蚕宝衣图纸,Silk Armor Blueprint
ItemName_兽王宝甲图纸,Beast King Armor Blueprint
ItemName_霹雳宝铠图纸,Thunder Armor Blueprint
ItemName_紫薇图纸,Emperor Blueprint
ItemName_狻猊图纸,Suanni Blueprint
ItemName_真武图纸,Zhenwu Blueprint
ItemName_碧霞图纸,Jade Cloud Blueprint
ItemName_彩绣香囊图纸,Embroidered Sachet Blueprint
ItemName_粗糙的护身符图纸,Simple Safe-keeping Charm Blueprint
ItemName_香包图纸,Sachet Blueprint
ItemName_护心镜图纸,Protector Glass Blueprint
ItemName_艾草束图纸,Wormwood Bundle Blueprint
ItemName_狼牙吊坠图纸,Wolf Fang Amulet Blueprint
ItemName_长命锁图纸,Longevity Lock Blueprint
ItemName_玉石吊坠图纸,Jade Pendant Blueprint
ItemName_佛手玉坠图纸,Buddha Earrings Blueprint
ItemName_冠凤鸟玉佩图纸,Phoenix Jade Ornament Blueprint
ItemName_工字佩图纸,"""GONG"" Inscripted Jade Ornament Blueprint"
ItemName_太极玉佩图纸,Taichi Jade Ornament Blueprint
ItemName_游商玉符图纸,Youshang Jade Symbol Blueprint
ItemName_葫芦图纸,Gourd Blueprint
ItemName_檀木念珠图纸,Sandalwood Prayer Beads Blueprint
ItemName_茱萸花图纸,Dogwood Flower Blueprint
ItemName_牡丹花图纸,Peony Blueprint
ItemName_花环图纸,Wreath Blueprint
ItemName_狗皮膏药图纸,Dog-skin Plaster Blueprint
ItemName_静心玉环图纸,Mind-clearing Jade Ring Blueprint
ItemName_锦帕图纸,Brocade Handkerchief Blueprint
ItemName_脆响风铃图纸,Crisp Wind Chime Blueprint
ItemName_青须剑穗图纸,Blue Sword String Blueprint
ItemName_腰牌图纸,Waist Badge Blueprint
ItemName_金彩龙纹香囊图纸,Gold Dragon Pattern Sachet Blueprint
ItemName_金镶珠石香囊图纸,Gold Inlaid Gemstone Sachet Blueprint
ItemName_双鱼玉佩图纸,Yin Yang Jade Ornament Blueprint
ItemName_玉莲花图纸,Lotus Gem Blueprint
ItemName_滴水观音图纸,Water Avalokitesvara Blueprint
ItemName_玉辟邪图纸,Exorcist Gem Blueprint
ItemName_金雕长羽图纸,Golden Eagle Feather Blueprint
ItemName_镂空香囊球图纸,Hollow Sachet Ball Blueprint
ItemName_云纹琉璃珠图纸,Sculptured Jade Blueprint
ItemName_青铜面具图纸,Bronze Mask Blueprint
ItemName_玉蝉图纸,Cicada Gem Blueprint
ItemName_鎏金银香囊图纸,Gold Sachet Blueprint
ItemName_皇族玉佩图纸,Royal Jade Ornament Blueprint
ItemName_金饭碗图纸,Golden Bowl Blueprint
ItemName_四海全舆图图纸,Four Seas Map Blueprint
ItemName_调兵虎符图纸,Troops Deploying Tiger Token Blueprint
ItemName_传国玉玺图纸,Imperial Seal Blueprint
ItemName_馒头食谱,Steamed Bun Recipe
ItemName_花卷食谱,Steamed Bread Recipe
ItemName_青菜卷饼食谱,Veggie Strudel Recipe
ItemName_油条食谱,Fritter Recipe
ItemName_清汤面食谱,Vegan Noodle Recipe
ItemName_花椒饼食谱,Pan Cake Recipe
ItemName_饭团食谱,Rice Ball Recipe
ItemName_米饭食谱,Rice Recipe
ItemName_鸡蛋饼食谱,Egg Cake Recipe
ItemName_杂粮饼食谱,Grain Cake Recipe
ItemName_一言难尽的面食食谱,Unspeakable Noodle Recipe
ItemName_菠菜面食谱,Spinach Noodle Recipe
ItemName_鸡丝面食谱,Chicken Noodle Recipe
ItemName_阳春面食谱,Yangchun Noodle Recipe
ItemName_肉馅饺子食谱,Meat Dumpling Recipe
ItemName_素馅饺子食谱,Vegan Dumpling Recipe
ItemName_青菜包食谱,Vegetable Wrap Recipe
ItemName_豆包食谱,Bean Wrap Recipe
ItemName_香菇包食谱,Mushroom Bun Recipe
ItemName_鲜笋包食谱,Bamboo Shoot Bun Recipe
ItemName_糖饼食谱,Sweet Cake Recipe
ItemName_鸡肉饼食谱,Chicken Cake Recipe
ItemName_鲜肉包食谱,Meat Bun Recipe
ItemName_蛋黄酥食谱,Egg Yolk Recipe
ItemName_卤肉饭食谱,Pork Rice Recipe
ItemName_海鲜饭食谱,Seafood Rice Recipe
ItemName_蛋炒饭食谱,Omelette Rice Recipe
ItemName_杂馅饺子食谱,Mixed Dumpling Recipe
ItemName_如意凉糕食谱,Rice Cake Recipe
ItemName_莲蓉香饼食谱,Lotus Biscuit Recipe
ItemName_七巧点心食谱,Seven Artifacts Dessert Recipe
ItemName_碎金饭食谱,Golden Fried Rice Recipe
ItemName_金玉满堂食谱,Dish of Prosperity Recipe
ItemName_三鲜包食谱,Three Fresh Buns Recipe
ItemName_芙蓉饼食谱,Hibiscus Cake Recipe
ItemName_八宝蒸糕食谱,Eight Treasure Pudding Recipe
ItemName_罗汉斋食谱,Buddha's Delight Recipe
ItemName_吉祥如意包食谱,Big Fortune Recipe
ItemName_家常豆腐食谱,Homemade Tofu Recipe
ItemName_红烧豆腐食谱,Braised Tofu Recipe
ItemName_烤鸡腿食谱,Roasted Chicken Leg Recipe
ItemName_烤土豆食谱,Roasted Potato Recipe
ItemName_土豆泥食谱,Potato Soup Recipe
ItemName_水煮蛋食谱,Boiled Egg Recipe
ItemName_烤鱼食谱,Grilled Fish Recipe
ItemName_烤肉串食谱,Kebab Recipe
ItemName_烤香菇食谱,Grilled Mushroom Recipe
ItemName_烤白菜食谱,Roasted Cabbage Recipe
ItemName_烤青菜食谱,Roasted Vegetables Recipe
ItemName_炒蚕豆食谱,Fried Broad Beans Recipe
ItemName_炒米食谱,Fried Rice Recipe
ItemName_油面筋食谱,Oiled Noodle Recipe
ItemName_荷包蛋食谱,Poached Egg Recipe
ItemName_拌菜食谱,Mixed Vegetables Recipe
ItemName_难以下咽的菜肴食谱,Unpleasant Food Recipe
ItemName_素烤串食谱,Skewer Recipe
ItemName_烤杂串食谱,Mixed Skewer Recipe
ItemName_肉丸子食谱,Meat Ball Recipe
ItemName_醋溜肉丸食谱,Sweet and Sour Meat Ball Recipe
ItemName_黄焖鸡食谱,Braised Chicken Recipe
ItemName_辣子鸡食谱,Spicy Chicken Recipe
ItemName_粉蒸肉食谱,Steamed Pork with Rice Powder Recipe
ItemName_糖醋鱼食谱,Sweet and Sour Fish Recipe
ItemName_糖醋排骨食谱,Sweet and Sour Ribs Recipe
ItemName_四喜丸子食谱,Fortune Meat Ball Recipe
ItemName_小炒肉食谱,Fried Pork Recipe
ItemName_铁锅炖鱼食谱,Iron Pot Fish Stew Recipe
ItemName_小鸡炖蘑菇食谱,Chicken Stew with Mushroom Recipe
ItemName_火腿蒸豆腐食谱,Steamed Tofu Recipe
ItemName_酱爆竹笋食谱,Fried Bamboo Shoot Recipe
ItemName_麻婆豆腐食谱,Mapo Tofu Recipe
ItemName_竹笋炒肉食谱,Stir-fried Meat with Bamboo Shoot Recipe
ItemName_土豆炖牛肉食谱,Beef Potato Stew Recipe
ItemName_酸汤鱼食谱,Fish Sour Soup Recipe
ItemName_大拌菜食谱,Big Vegetables Mix Recipe
ItemName_烤蛇肉食谱,Grilled Snake Meat Recipe
ItemName_烤野猪肉食谱,Grilled Wild Boar Meat Recipe
ItemName_水晶脍食谱,Crystal Fish Recipe
ItemName_香菇炖肉食谱,Steamed Meat with Mushroom Recipe
ItemName_东坡肉食谱,Dongpo Pork Recipe
ItemName_宫保鸡丁食谱,Kung Pao Chicken Recipe
ItemName_金牌水煮鱼食谱,Poach Fish Recipe
ItemName_精品水煮肉食谱,Prestige Boiled Meat Recipe
ItemName_爆炒河鲜食谱,Fresh Fish Fried Recipe
ItemName_一品豆腐食谱,First Class Tofu Recipe
ItemName_香菇焖豆腐食谱,Braised Tofu with Mushroom Recipe
ItemName_八仙过海食谱,Eight Immortals Cross the Sea Recipe
ItemName_大杂烩食谱,Hodgepodge Recipe
ItemName_炒山珍食谱,Fried Wild Game Recipe
ItemName_红烧狮子头食谱,Meat Ball with Soy Sauce Recipe
ItemName_五珍脍食谱,Five Delicacies Recipe
ItemName_奶汤锅子鱼食谱,Milk Fish Soup Recipe
ItemName_霸王别姬食谱,Farewell My Concubine Recipe
ItemName_罗汉豆腐食谱,Arhat Tofu Recipe
ItemName_面片汤食谱,Noodle Soup Recipe
ItemName_汤圆食谱,Tangyuan Recipe
ItemName_稀饭食谱,Porridge Recipe
ItemName_肉羹汤食谱,Pork Soup Recipe
ItemName_蚕豆粥食谱,Broad Bean Porridge Recipe
ItemName_蛋花汤食谱,Egg Soup Recipe
ItemName_青菜粥食谱,Vegetable Porridge Recipe
ItemName_菜汤食谱,Mixed Porridge Recipe
ItemName_萝卜汤食谱,Radish Soup Recipe
ItemName_豆浆食谱,Soy Milk Recipe
ItemName_豆腐脑食谱,Jellied Beancurd Recipe
ItemName_汤食谱,Soup Recipe
ItemName_怪味汤食谱,Strange Soup Recipe
ItemName_馄饨食谱,Wonton Recipe
ItemName_鲜鱼汤食谱,Fresh Fish Soup Recipe
ItemName_鱼丸汤食谱,Fish Ball Soup Recipe
ItemName_山珍汤食谱,Wild Game Soup Recipe
ItemName_素鲜粥食谱,Fresh Porridge Recipe
ItemName_海鲜粥食谱,Seafood Porridge Recipe
ItemName_砂锅鸡汤食谱,Chicken Soup Recipe
ItemName_胡辣汤食谱,Spicy Soup Recipe
ItemName_杂拌粥食谱,Mixed Soup Recipe
ItemName_养生蔬菜粥食谱,Vegetable Porridge Recipe
ItemName_莲子粥食谱,Lotus Sweet Soup Recipe
ItemName_香菇瘦肉粥食谱,Pork Congee with Mushroom Recipe
ItemName_鲜鱼煲食谱,Boiled Fresh Fish Recipe
ItemName_滋补鲜肉汤食谱,Herbal Meat Soup Recipe
ItemName_怪味大补粥食谱,Strange Flavor Porridge Recipe
ItemName_八宝粥食谱,Laba Congee Recipe
ItemName_竹笋香菇鸡汤食谱,Chicken Soup with Mushroom Recipe
ItemName_蜜饯果子食谱,Candied Fruit Recipe
ItemName_糖面人食谱,Sugar Candy Recipe
ItemName_水晶皂儿食谱,Crystal Candy Recipe
ItemName_药木瓜食谱,Sugar Fruit Recipe
ItemName_鸡头酿砂糖食谱,Granulated Sugar Chicken Recipe
ItemName_荔枝膏食谱,Lychee Cake Recipe
ItemName_雕花橙子食谱,Carved Orange Recipe
ItemName_蜜饯姜片食谱,Candied Ginger Recipe
ItemName_蜜饯李子食谱,Candied Plum Recipe
ItemName_梅子姜食谱,Plum Ginger Recipe
ItemName_冰雪冷元子食谱,Frozen Snow Recipe
ItemName_雪花糕食谱,Milk Snow Cake Recipe
ItemName_糖糜乳糕浇食谱,Custard Recipe
ItemName_跌打药药方,Healing Powder Prescription
ItemName_行气散药方,Energy Powder Prescription
ItemName_祛病丸药方,Illness Removal Pill Prescription
ItemName_金疮药药方,Healing Medicine Prescription
ItemName_培元膏药方,Healing Ointment Prescription
ItemName_小还丹药方,Small Pill Prescription
ItemName_洗目散药方,Eye Clearing Powder Prescription
ItemName_解毒散药方,Antidote Powder Prescription
ItemName_补脏散药方,Viscera Powder Prescription
ItemName_止血散药方,Hemostasis Powder Prescription
ItemName_定灵散药方,Stabilization Powder Prescription
ItemName_祛湿丸药方,Cold Medicinal Pill Prescription
ItemName_大力丸药方,Power Pill Prescription
ItemName_龟甲散药方,Turtle Armor Powder Prescription
ItemName_玉露丸药方,Stardew Pill Prescription
ItemName_回春丹药方,Revitalization Pill Prescription
ItemName_七星丹药方,Seven Stars Pill Recipe
ItemName_聚元丹药方,Recovery Pill Recipe
ItemName_续命丸药方,Preservation Pill Recipe
ItemName_还魂丹药方,Revival Pill Recipe
ItemName_除瘴散药方,Miasma Removal Pill Recipe
ItemName_断续膏药方,Binding Pill Recipe
ItemName_化毒丹药方,Antidote Pill Recipe
ItemName_醒神散药方,Spirit Powder Recipe
ItemName_固命丸药方,Life Preservation Pill Recipe
ItemName_清目丸药方,Eye Clearing Pill Recipe
ItemName_化毒丸药方,Antidote Ball Recipe
ItemName_调腑丸药方,Stabilizing Pill Recipe
ItemName_凝血丸药方,Hemostasis Pill Recipe
ItemName_聚灵丸药方,Focus Pill Recipe
ItemName_健胃丸药方,Healthy Pill Recipe
ItemName_健力丸药方,Robust Pill Recipe
ItemName_金刚散药方,Diamond Powder Recipe
ItemName_大还丹药方,Big Pill Recipe
ItemName_唯命是从丹解药药方,Mind Control Pill - Antidote Recipe
ItemName_凌波散药方,Blue Wave Powder Recipe
ItemName_开悟丹药方,Enlighten Pill Recipe
ItemName_天香续命丸药方,Fragrance Preservation Pill Recipe
ItemName_天王补气丹药方,Emperor Replenishment Pill Recipe
ItemName_十全大补丸药方,Full Recovery Pill Recipe
ItemName_明目丹药方,Clear Eyesight Pill Recipe
ItemName_清毒丹药方,Poison Removal Pill Recipe
ItemName_固本丹药方,Restoration Pill Recipe
ItemName_愈血丹药方,Regeneration Pill Recipe
ItemName_融灵丹药方,Spirit Fuser Pill Recipe
ItemName_化食丹药方,Chemical Pill Recipe
ItemName_霸力丸药方,Mighty Pill Recipe
ItemName_玄武散药方,Turtle Powder Recipe
ItemName_九转金丹药方,Nine-Times Refined Pill Recipe
ItemName_熊魄丹药方,Bear Pill Recipe
ItemName_白虎丹药方,Tiger Pill Recipe
ItemName_通慧丹药方,Smart Pill Recipe
ItemName_游龙丹药方,Dragon Pill Recipe
ItemName_天泽丹药方,Lucky Pill Recipe
ItemName_真武丹药方,Zhenwu Pill Recipe
ItemName_五毒散药方,Five Poisons Powder Recipe
ItemName_蒙汗药药方,Anesthetic Drug Recipe
ItemName_腐骨散药方,Bone Breaking Powder Recipe
ItemName_断筋丸药方,Tendon Breaking Pill Recipe
ItemName_断肠散药方,Intestine Destroying Pill Recipe
ItemName_迷魂散药方,Narcotic Powder Recipe
ItemName_软骨散药方,Weaken Powder Recipe
ItemName_逍遥丸药方,Carefree Pill Recipe
ItemName_催魂散药方,Soul Catcher Powder Recipe
ItemName_销魂烟药方,Soul Breaking Smoke Recipe
ItemName_化骨散药方,Bone Melting Powder Recipe
ItemName_散功丹药方,Energy Taker Pill Recipe
ItemName_鹤顶红药方,Red Crane Poison Recipe
ItemName_怯战丹药方,Cowardice Pill Recipe
ItemName_血煞丹药方,Blood Rage Pill Recipe
ItemName_软筋散药方,Enfeeble Pill Recipe
ItemName_冰蚕蛊毒药方,Ice Silkworm Poison Recipe
ItemName_脑神丹药方,Brain Control Pill Recipe
ItemName_闺门暗香药方,Secret Fragrance Recipe
ItemName_失心腐志丹药方,Heart Broken Pill Recipe
ItemName_粗糙的鱼竿图纸,Simple Fishing Pole Blueprint
ItemName_铁铲图纸,Iron Shovel Blueprint
ItemName_粗糙的矿镐图纸,Simple Pickaxe Blueprint
ItemName_粗糙的伐木斧图纸,Simple Hatchet Blueprint
ItemName_粗糙的镰刀图纸,Simple Sickle Blueprint
ItemName_粗糙的捕虫网图纸,Simple Worm-Catching Net Blueprint
ItemName_优质矿镐图纸,Good Pickaxe Blueprint
ItemName_优质伐木斧图纸,Good Hatchet Blueprint
ItemName_优质鱼竿图纸,Good Fishing Pole Blueprint
ItemName_优质镰刀图纸,Good Sickle Blueprint
ItemName_优质捕虫网图纸,Good Worm-Catching Net Blueprint
ItemName_精品矿镐图纸,Great Pickaxe Blueprint
ItemName_精品伐木斧图纸,Great Hatchet Blueprint
ItemName_精品鱼竿图纸,Great Fishing Pole Blueprint
ItemName_精品镰刀图纸,Great Sickle Blueprint
ItemName_精品捕虫网图纸,Great Worm-Catching Net Blueprint
ItemName_稀有矿镐图纸,Perfect Pickaxe Blueprint
ItemName_稀有伐木斧图纸,Perfect Hatchet Blueprint
ItemName_稀有鱼竿图纸,Perfect Fishing Pole Blueprint
ItemName_稀有镰刀图纸,Perfect Sickle Blueprint
ItemName_稀有捕虫网图纸,Perfect Worm-Catching Net Blueprint
ItemInfo_铜钱,"Commonly used money in the martial arts world, even a penny can stump a hero."
ItemInfo_江湖历练,Used to increase character level and comprehend martial arts.
ItemInfo_名声历练,"Used to increase fame level, improving status in the martial arts world."
ItemInfo_门派贡献,Used to exchange for valuable items at the head of your sect.
ItemInfo_试炼令牌,"Proof of trials, can be used to exchange for valuable items."
ItemInfo_残渣,"Waste from forging, useless."
ItemInfo_粗布裹手,"Just a cloth strip wrapped around the hand, even street thugs do this when they fight."
ItemInfo_棉布手套,"Made of cotton, gloves with a certain degree of warmth."
ItemInfo_皮革手套,"Made of ordinary leather, comfortable gloves."
ItemInfo_兽纹手套,"Made of high-quality animal skin, looks very mighty."
ItemInfo_铁手,"Made of pure iron, black and extremely hard."
ItemInfo_缠丝拳套,"Made of silk, has a certain protective performance."
ItemInfo_精钢护手,"Although a bit heavy, it can exert great power."
ItemInfo_震山拳套,"Can exert tremendous power, the effect is even better for those with deep MP."
ItemInfo_铁虎爪,"Hand claws made of cold iron, sharp tips, like a tiger's bite."
ItemInfo_奔雷铁手,"Taking the power of heavenly thunder, it strikes like a wind and thunder, determining heaven and earth with one hit."
ItemInfo_幽冥拳套,"Like a ghostly phantom, people are unaware that they are already entangled in severe poison."
ItemInfo_金刚护手,"Made of steel, like the assistance of a war god, endless spirit."
ItemInfo_寒铁拳套,"Made from Steel and Cold iron, it is light and agile, catching people off guard."
ItemInfo_昆仑,"The towering Kunlun, defining the four directions."
ItemInfo_降龙,"Dragon Slayer subdues the tiger, as easy as flipping a hand."
ItemInfo_乾坤,"Silver, Purple Jade, Red Agate, Heaven and Earth overturn to reveal the underworld."
ItemInfo_开明,"It is said to have been used by the ancient Shu king, possessing the power to split mountains and divide rivers."
ItemInfo_少昊,"Crowned with the name of the White Emperor, mastering the laws of the world's rotation."
ItemInfo_北冥,"The vastness of the North Sea, unseen by the world, integrates all rivers into itself, nourishing the body of the great saint."
ItemInfo_木剑,A Wooden sword for children to play with.
ItemInfo_黑铁剑,A common long sword.
ItemInfo_青铜剑,"A sword made of bronze, roughly made, difficult to use in actual combat."
ItemInfo_生铁剑,A sword with slight rust at the edge and hilt.
ItemInfo_白虹剑,"The sword hilt is carved from black jade, the blade is double-edged, thin as cicada wings, sharp as autumn water."
ItemInfo_紫电剑,"This sword has a purple glow like electricity, dazzling brilliance, precious fog rising, and cold air invading people."
ItemInfo_游龙剑,"The sword edge shines like Clear water in the sunlight, a divine Sharp object, definitely not ordinary."
ItemInfo_青罡剑,"Made by condensing energy, the temperament is flowing, elegant yet firm."
ItemInfo_倚天剑,"The legendary Heaven sword, with infinite Power, coveted by everyone in the martial arts world."
ItemInfo_青冥剑,"The waistband is silver-plated, clean and bright. It is said to be an ancient weapon."
ItemInfo_承影剑,"Named for the phrase ""Jiao divides the shadow, the goose falls and forgets to return""."
ItemInfo_百炼剑,"The ultimate craftsmanship created through repeated tempering, everyone in the martial arts world wants to get it."
ItemInfo_龙渊剑,"Cast by the two great swordsmiths, Ou Yezi and Ganjiang, it is a symbol of honesty and integrity."
ItemInfo_干将,"An ancient sword passed down from ancient times, made from the iron essence of five mountains and the golden hero of the six realms. After thousands of years, it is still exceptionally sharp."
